Enzyme	Genes	Accession-1 of Gene	Left-End-Position of Gene	Right-End-Position of Gene	Catalyzes
acetyl-CoA carboxyltransferase	CAC3 // ACCD				acetyl-CoA carboxylase
dihydroflavonol-4-reductase	DFR2	DFR2			dihydrokaempferol 4-reductase
pyridoxal 5'-phosphate synthase complex	pdxS // pdxT				pyridoxal 5'-phosphate synthase
NAD pyrophosphatase	nadN	nadN			NMN 5'-nucleotidase // NAD pyrophosphatase
L-arabinitol dehydrogenase / xylitol dehydrogenase / sorbitol dehydrogenase	sdhA	sdhA			L-arabinitol dehydrogenase // xylitol dehydrogenase // sorbitol dehydrogenase
ornithine carbamoyltransferase	arcB	CLOST_0927			ornithine carbamoyltransferase
tryptoquialanol <i>O</i>-acetyltransferase	TqaD	TqaD			tryptoquialanol <i>O</i>-acetyltransferase
trichodermol 15-<i>O</i>-acetyltransferase	tri3	tri3			trichodermol 15-<i>O</i>-acetyltransferase
geranyllinalool synthase	GES	GES			(E,E)-geranyllinalool synthase
CMP-5'-phosphonoformate--3-phosphoglycerate phosphonoformyl transferase	phpG	phpG			CMP-5'-phosphonoformate--3-phosphoglycerate phosphonoformyl transferase
flavonol 3-<i>O</i>-&beta;-heterodisaccharide glucosidase					rutin-3-<i>O</i>-&beta;-heterodisaccharide glucosidase (FHG I)
glycine decarboxylase	GLDC	GLDC	28557831	28588002	glycine decarboxylase
arginine N-succinyltransferase	astA	b1747	1829731	1830765	arginine <i>N</i>-succinyltransferase
4-toluene-sulfonate monooxygenase oxygenase component // 4-toluene-sulfonate monooxygenase reductase subunit	tsaB // tsaM				4-toluene-sulfonate monooxygenase // 4-toluene-carboxylate monooxygenase
sensor histidine kinase CreC	creC	b4399	4636696	4638120	protein-histidine autokinase
(-)-sophorol reductase	SOR	SOR			(-)-sophorol reductase
L-arginine:pyruvate transaminase subunit	aruH	aruH			L-arginine:pyruvate transaminase
chrysophanol hydroquinone dioxygenase	mdpL	ANIA_10023			chrysophanol hydroquinone dioxygenase
tRNA (adenine<sup>58</sup>-<i>N</i><sup>1</sup>)-methyltransferase	GCD14 // GCD10		185528	186679	tRNA (adenine<sup>58</sup>-<i>N</i><sup>1</sup>)-methyltransferase
adenylylsulfate:phosphate adenyltransferase					adenylylsulfate:phosphate adenyltransferase
plastidic 3-phosphoglycerate kinase	PGK1	PGK1			3-phosphoglycerate kinase
sucrose:sucrose 1-fructosyltransferase	sst-1	sst-1			1-sucrose:sucrose fructosyltransferase
D-ribitol-5-phosphate cytidylyltransferase	ISPD	ISPD			D-ribitol-5-phosphate cytidylyltransferase
inositol-3-phosphate synthase	ino1	ino1			inositol-3-phosphate synthase
YWA1 synthase	PKS12	PKS12			YWA1 synthase
undecaprenyl-phosphate galactose phosphotransferase	wbaP	wbaP			undecaprenyl-phosphate galactose phosphotransferase
phosphopentomutase	deoB	b4383	4619603	4620826	deoxyribose 1,5-phosphomutase // &alpha;-D-ribose 1,5-phosphomutase
phytase (copper-releasing)	coxF	OCA5_pHCG300340			phytase (copper-releasing)
tetraacyldisaccharide 4'-kinase	lpxK	b0915	968366	969352	tetraacyldisaccharide 4'-kinase
isethionate sulfite-lyase	islA	HMPREF0179_02714			isethionate sulfite-lyase
phosphatidyl-N-methylethanolamine N-methyltransferase					phosphatidyl-N-methylethanolamine N-methyltransferase
RNase HII	rnhB	b0183	204493	205089	RNase
periplasmic dehydroquinate dehydratase	GOX0437	GOX0437			dehydroquinate dehydratase
phosphonoformate--CTP cytidylyltransferase	phpF	phpF			phosphonoformate--CTP cytidylyltransferase
L-prolyl-<i>S</i>-[peptidyl-carrier protein] dehydrogenase	pigA	SMWW4_v1c11040			L-prolyl-S-peptidyl-carrier protein dehydrogenase
hydrazine oxidoreductase B	hzoB	hzoB			hydrazine oxidoreductase
replicative DNA helicase	dnaB	b4052	4264314	4265729	helicase
alginate lyase	Aly30	Aly30			alginate lyase
geraniol synthase	GES	GES			geraniol synthase
alpha-fucosidase	FUC1	FUC1			&alpha;-fucosidase
4-ureido-5-imidazolecarboxylate amidohydrolase					4-ureido-5-imidazolecarboxylate amidohydrolase
fumarase A	fumA	b1612	1686731	1688377	fumarase A // oxaloacetate <i>keto-enol</i>-isomerase
choline dehydrogenase	betA	b0311	325577	327247	choline dehydrogenase // choline dehydrogenase // betaine aldehyde dehydrogenase
non-ribosomal peptide synthase SclN	sclN	sclN			L-proline carrier protein // glycolyl-[acyl-carrier protein]:L-proline glycolyltransferase
D-tagatose 6-phosphate 4-epimerase 2	gatZ	b2095	2175059	2176321	D-tagatose 6-phosphate 4-epimerase
malonyl-[acp] decarboxylase	corD	corD			malonyl-[acp] decarboxylase
cobalamin 5'-phosphate synthase	cobS	b1992	2064479	2065222	cobalamin 5'-phosphate synthase
<i>N</i>-acetyl-D-muramate 1-kinase	amgK	PP_0405			<i>N</i>-acetyl-D-glucosamine 1-kinase // <i>N</i>-acetyl-D-galactosamine 1-kinase // <i>N</i>-acetyl-D-muramate 1-kinase
non-ribosomal peptide synthase TxtA	txtA	txtA			non-ribosomal peptide synthase TxtA
saponin 28-O-glucosyltransferase	UGT73F3	MTR_2g035020			medicagenate 28-O-glucosyltransferase // hederagenin 28-O-glucosyltransferase
<i>trans</i>-4-hydroxycyclohexanecarboxylate dehydrogenase	chcB1	SCMU_09900			<i>trans</i>-4-hydroxycyclohexanecarboxylate dehydrogenase
beta-cubebene synthase	Mg25	Mg25			&beta;-cubebene synthase
guanidinoacetate kinase subunit beta // guanidinoacetate kinase subunit alpha	GK-alpha // GK-beta				guanidinoacetate kinase
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	folK	b0142	157253	157732	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase
phosphorylase b kinase (muscle isoform)	PHKG1 // PHKA1 // PHKB // CALM1		55612545	55624480	phosphorylase kinase
aromatic amino acid aminotransferase subunit					L-tryptophan aminotransferase
sulfate adenylyltransferase					sulfate adenylyltransferase
indole-3-lactate dehydrogenase					indole-3-lactate dehydrogenase
phosphinomethylmalate isomerase	pmi	pmi			phosphinomethylmalate isomerase
dimethylallyl-diphosphate:paspalinine dimethylallyltransferase, AtmD	atmD	atmD			aflatrem synthase
acetol monooxygenase					acetol monooxygenase
tRNA (guanine<sup>26</sup>-<i>N<sup>2</sup></i>guanine<sup>27</sup>-<i>N<sup>2</sup></i>)-dimethyltransferase	trm1	aq_841			tRNA (guanine<sup>26</sup>-<i>N</i><sup>2</sup>/guanine<sup>27</sup>-<i>N</i><sup>2</sup>)-dimethyltransferase // tRNA (guanine<sup>26</sup>-<i>N<sup>2</sup></i>-methyltransferase // tRNA (<i>N</i><sup>2</sup>-methylguanine<sup>26</sup>-<i>N<sup>2</sup></i>-methyltransferase // tRNA (guanine<sup>27</sup>-<i>N<sup>2</sup></i>-methyltransferase // tRNA (<i>N</i><sup>2</sup>-methylguanine<sup>27</sup>-<i>N<sup>2</sup></i>-methyltransferase
syringate <i>O</i>-demethylase	desA	desA			syringate <i>O</i>-demethylase
proto-zwittermicin A hydrolase	zmaM	zmaM			proto-zwittermicin A hydrolase
phloretin UDP-glycosyltransferase	PGT1	PGT1			phloretin UDP-glycosyltransferase
guanylate kinase	gmk	b3648	3821428	3822051	guanylate kinase // deoxyguanylate kinase
&beta;-1,2-glucosyltransferase	IALB_1185	IALB_1185			&beta;-1,2-glucosyltransferase
glyceraldehyde-3-phosphate dehydrogenase (arsenate-transferring)	gap3	gap3			glyceraldehyde-3-phosphate dehydrogenase (arsenate-transferring)
4'-phosphopantetheine adenylyltransferase	AtCoaD	AtCoaD			4'-phosphopantetheine adenylyltransferase
glucose-6-phosphate isomerase	GL50803_9115	GL50803_9115			glucose-6-phosphate isomerase
mimosinase	AB823649.2	AB823649.2			mimosinase
isoflavone-7-O-glucosyltransferase					isoflavone-7-O-glucosyltransferase
pheromone gland-specific fatty-acyl reductase	FAR	FAR			(10<i>E</i>,12<i>Z</i>)-10,12-hexadecadienoyl-CoA reductase
benzenesulfonate dioxygenase system, oxygenase component // benzenesulfonate dioxygenase system, reductase component					benzenesulfonate dioxygenase system // 4-toluenesulfonate dioxygenase system
citrate synthase	aarA	aarA			citrate synthase
D-serine ammonia-lyase subunit	chDSD	chDSD			D-serine ammonia-lyase
beta ketoacyl-acyl carrier protein synthase II	fabF	HP0558	592491	593729	(5Z)-3-oxo-dodec-5-enoyl-[acp] synthase
ribose-phosphate diphosphokinase	prs	b1207	1260928	1261875	ribose-phosphate diphosphokinase
catechol <i>O</i>-methyltransferase	Comt	Comt	84576767	84599229	adrenaline <i>O</i>-methyltransferase // L-dopa <i>O</i>-methyltransferase
hydroxymethyl glutaryl-CoA synthase	Hcs1	Hcs1			hydroxymethyl glutaryl-CoA synthase
serine-glyoxylate aminotransferase	sgaA	sgaA			serine-glyoxylate aminotransferase // L-serine:glyoxylate aminotransferase
2-hydroxyisoflavanone dehydratase	HIDH	HIDH			2,6,7,4'-tetrahydroxyisoflavanone hydro-lyase(6,7,4'-trihydroxyisoflavone forming) // 2-hydroxyisoflavanone naringenin hydro-lyase (genistein-forming) // 2-hydroxyisoflavanone dehydratase
cholest-4-en-3-one-26-oyl-CoA synthetase	fadD19	SDENCHOL_11189			cholest-4-en-3-one-26-oyl-CoA synthetase
ornithine decarboxylase	ODC	ODC			ornithine decarboxylase
fructose-bisphosphate aldolase					fructose-bisphosphate aldolase
hydrogenase 3 Ni(2+) incorporation protein HypA	hypA	b2726	2850647	2850997	Ni<sup>2+</sup> insertion into hydrogenase large subunit
rubredoxin NAD+ reductase	nror	nror			rubredoxin NAD<SUP>+</SUP> reductase
ammonia-dependent carbamoyl-phosphate synthase	CPS1	CPS1			ammonia-dependent carbamoyl-phosphate synthase
surfactin synthase SrfAD	srfAD	BSU03520	402388	403116	acyl-CoA thiesterase
UDPG:coniferyl alcohol glucosyltransferase					UDPG:coniferyl alcohol glucosyltransferase
diaminobutyrate--2-oxoglutarate transaminase	rhbA	RA1258			diaminobutyrate--2-oxoglutarate transaminase
NADH-dependent D-xylose reductase	XYL1	XYL1			NADH-dependent D-xylose reductase
lanosterol 14-&alpha;-demethylase	CYP51A1	CYP51A1	90276694	90344402	lanosterol 14&alpha;-demethylase // 24,25-dihydrolanosterol 14&alpha;-demethylase
aldehyde dehydrogenase, Fe-S subunit // aldehyde dehydrogenase, FAD-binding Fe-S subunit // aldehyde dehydrogenase, molybdenum cofactor-binding subunit	paoC // paoB // paoA		298736	300934	aldehyde dehydrogenase // aldehyde dehydrogenase // aldehyde dehydrogenase
lathyrine synthase					lathyrine synthase
2,5-dihydroxypyridine dioxygenase	nicX	PPS_4058			2,5-dihydroxypyridine dioxygenase
geissoschizine synthase	GS1	GS1			19E-geissoschizine reductase // 19E-geissoschizine reductase // geissoschizine synthase
light-independent protochlorophyllide reductase	bchN // bchB // bchL				light-independent 3,8-divinyl-protochlorophyllide reductase // light-independent protochlorophyllide reductase
6-chloro-L-tryptophan aminotransferase	thdN	thdN			6-chloro-L-tryptophan aminotransferase
glutamine synthetase, type II	GLUL	GLUL	180618292	180627573	glutamine synthetase
protein-(glutamine-N5) methyltransferase	prmC	b1212	1266094	1266927	protein-(glutamine-<i>N</i><sup>5</sup>) methyltransferase
bacteriochlorophyllide <i>d</i> C-12<sup>1</sup>-methyltransferase	bchR	Cvib_1051			8-ethyl-12-methyl-3-vinylbacteriochlorophyllide <i>d</i> C-12<sup>1</sup>-methyltransferase
phosphoserine aminotransferase 1	Psat1	Psat1	219269341	219290261	phosphoserine aminotransferase
cytochrome <i>cbb<sub>3</sub></i>-1 terminal oxidase	ccoO-I // ccoQ-I // ccoP-I // ccoN-I		4837432	4838040	Cbb3-1 cytochrome c oxidase
cholest-4-en-26-oyl-CoA dehydrogenase // cholest-4-en-26-oyl-CoA dehydrogenase	ChsE4 // ChsE5				cholest-4-en-26-oyl-CoA dehydrogenase
<i>N</i>-hydroxyputrescine acetyltransferase	fbsK	E5A72_RS01960	382750	383376	<i>N</i>-hydroxyputrescine acetyltransferase
phenylalanine ammonia-lyase 1	PAL1	PAL1			phenylalanine ammonia-lyase
L-arabinose isomerase	araA	b0062	66835	68337	L-arabinose isomerase
octenoyl-CoA carboxylase/reductase	cinF	cinF			octenoyl-CoA carboxylase/reductase
peptidoglycan glycosyltransferase / peptidoglycan DD-transpeptidase MrcB	mrcB	b0149	164730	167264	peptidoglycan glycosyltransferase // peptidoglycan DD-transpeptidase // peptidoglycan DD-carboxypeptidase
RNase I	rna	b0611	644197	645003	RNase I endoribonuclease // RNase I endoribonuclease // RNase I endoribonuclease
sterol C-22 desaturase	ERG5	ERG5	300868	302484	C-22 sterol desaturase
dehydro-<small>L</small>-gulonate decarboxylase	C11orf54	C11orf54	93741672	93764749	3-dehydro-L-gulonate decarboxylase
enoyl reductase	CheB	CheB			enoyl reductase
4-oxocyclohexanecarboxylate 2-dehydrogenase	chcC1	SCMU_09940			4-oxocyclohexanecarboxylate 2-dehydrogenase
flavonoid <i>C</i>-glucosyltransferase	UGT708C1	UGT708C1			phloretin 3-<i>C</i>-glucosyltransferase // 1-(3,4-dihydroxyphenyl)-3-(2,4,6-trihydroxyphenyl)propane-1,3-dione 3-<i>C</i>-glucosyltransferase // 2-hydroxyflavanone 3-<i>C</i>-glucosyltransferase // 1-phenyl-3-(2,4,6-trihydroxyphenyl)propane-1,3-dione 3-<i>C</i>-glucosyltransferase // 2,4,4',6-tetrahydroxydibenzoylmethane 3-<i>C</i>-glucosyltransferase
UDP-<i>N</i>-acetylglucosamine--<i>N</i>-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol <i>N</i>-acetylglucosamine transferase	murG	murG			UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
cellulose synthase	CesA3	CesA3			UDP-glucose:1,4-&beta;-D-glucan 4-&beta;-D-glucosyltransferase
flavanone 7-O-glucosyltransferase					UDP-glucose:hesperitin-7-O-&beta;-D-glucosyltransferase // UDP-glucose:naringenin 7-O-&beta;-D-glucosyltransferase
ent-copalyl diphosphate synthase	CPS1	CPS1			<i>ent</i>-copalyl diphosphate synthase
arginase	rocF	rocF			arginase
glutaminase, kidney isoform	GLS		190448226	190532943	glutaminase
NDP-<em>N</em>-5'-methylthioxylose-decaprenyl-phosphate 5'-methylthioxylosephosphotransferase	mtxS	Rv0539	631743	632375	NDP-<em>N</em>-5'-methylthioxylose-decaprenyl-phosphate 5'-methylthioxylosephosphotransferase
salicylyl-CoA 5-hydroxylase	sdgC	sdgC			salicylyl-CoA 5-hydroxylase
3-(methylthio)propanoate:coenzyme M methyltransferase	mtpA	MA4165			3-(methylthio)propionate:MtpC protein methyltransferase // [methyl-Co(III) methanethiol-specific corrinoid protein]:coenzyme M methyltransferase
aldehyde dehydrogenase	alkH	alkH			1-octanal dehydrogenase // aldehyde dehydrogenase
mycothiol-dependent maleylpyruvate isomerase	nagL	cg3349			maleylpyruvate isomerase
histidinol-phosphatase	hisN	Cgl0799	841514	842296	histidinol-phosphatase
delta-aminolevulinic acid dehydratase	ALAD	ALAD	116148592	116163618	porphobilinogen synthase
4-hydroxybutyryl-CoA synthetase (AMP-forming)	hbs	Msed_0406			4-hydroxybutyryl-CoA synthetase
4-hydroxy-tetrahydrodipicolinate synthase	dapA	BSU16770	1748368	1749240	dihydrodipicolinate synthase
&iota;-carrageenase	cgiA	cgiA			&iota;-carrageenase
inositol hexakisphosphate kinase 1	IP6K1	IP6K1	48634520	48640369	inositol hexakisphosphate 5-kinase // 1-diphosphoinositol pentakisphosphate 5-kinase // 3-diphosphoinositol pentakisphosphate 5-kinase
nicotinate dehydrogenase (cytochrome)					nicotinate dehydrogenase
L,L-diaminopimelate aminotransferase	DAP	AT4G33680			L,L-diaminopimelate aminotransferase
sensor histidine kinase EvgS	evgS	b2370	2484374	2487967	protein-histidine autokinase
tRNA (cytidine/uridine-2'-<i>O</i>)-ribose methyltransferase	trmL	b3606	3781215	3781688	tRNA (cytidine-2'-<i>O</i>)-ribose methyltransferase // tRNA (5-carboxymethylaminomethyluridine)-ribose methyltransferase // tRNA (5-methoxycarbonylmethoxyuridine)-ribose methyltransferase
13<i>S</i>/9<i>S</i> lipoxygenase	lox1-St-2	lox1-St-2			&alpha;-linolenate 9<i>S</i>-lipoxygenase // linoleate 9<i>S</i>-lipoxygenase
2-(acetamidomethylene)succinate hydrolase	aamsh1	mlr6787			2-(acetamidomethylene)succinate hydrolase
curacin polyketide synthase CurL	curL	curL			CurL polyketide synthase
indigoidine synthase	bpsA	bpsA			indigoidine synthase
malonyl-CoA reductase subunit	mcr	mcr			malonyl-CoA reductase
GDP-mannose:cellobiosyl-diphosphopolyprenol &alpha;-mannosyltransferase	gumH	gumH			GDP-mannose:cellobiosyl-diphosphopolyprenol &alpha;-mannosyltransferase
3-methylarginine--cytosinine ligase	argJ	argJ			3-methylarginine--cytosinine ligase
dihydroorotase	pyrC	b1062	1121561	1122607	dihydroorotase
3-hydroxy-L-phenylalanine adenylase/transferase	pacW	pacW			3-hydroxy-L-phenylalanine adenylase
lactate oxidase	lctO	lctO			lactate oxidase
mucin core 3 beta 3-GlcNAc-transferase					acetylgalactosaminyl-<em>O</em>-glycosyl-glycoprotein &beta;-1,3-<em>N</em>-acetylglucosaminyltransferase
lipid-A-disaccharide synthase	lpxB	FY484_RS11230	2401922	2403061	lipid-A-disaccharide synthase
aspartate carbamoyltransferase	pyrB	BSU15490	1620476	1621390	aspartate carbamoyltransferase
adenylosuccinate lyase	purB	b1131	1190616	1191986	adenylosuccinate lyase // 5'-phosphoribosyl-4-(N-succinocarboxamide)-5-aminoimidazole lyase
sensor histidine kinase DpiB	dpiB	b0619	652235	653893	protein-histidine autokinase
lipid A disaccharide synthase	lpxB	b0182	203348	204496	lipid A disaccharide synthase
thiosulfate sulfurtransferase GlpE	glpE	b3425	3561497	3561823	thiosulfate sulfurtransferase // thiosulfate sulfurtransferase
flavonol-3-<i>O</i>-glucoside <i>L</i>-rhamnosyltransferase					quercetin-3-<i>O</i>-glucoside <i>L</i>-rhamnosyltransferase
3-(aryl)acryloyl-CoA:(<i>R</i>)-3-(aryl)lactate CoA-transferase	fldA	fldA			<i>trans</i>-4-coumaroyl-CoA:(R)-3-(4-hydroxyphenyl)lactate CoA-transferase // (indol-3-yl)-acryloyl-CoA:(indol-3-yl)-(R)-lactate CoA-transferase // cinnamoyl-CoA:phenyllactate CoA-transferase
<i>all-trans</i>-octaprenyl-diphosphate synthase	ispB	b3187	3333710	3334681	<i>all-trans</i>-octaprenyl-diphosphate synthase
gibberellin 2-oxidase	GA2ox3	GA2ox3			gibberellin A53,2-oxoglutarate:oxygen oxidoreductase // gibberellin A12,2-oxoglutarate:oxygen oxidoreductase
sterol methyl oxidase 3	SMO3	SMO3			cycloartanol C-4&alpha;-methyl-monooxygenase
galactose oxidase	GaoA	GaoA			galactose oxidase
<i>ditrans,polycis</i>-undecaprenyl-diphosphate synthase [(2<i>E</i>,6<i>E</i>)-farnesyl-diphosphate specific]	ispU	b0174	194903	195664	<i>ditrans,polycis</i>-undecaprenyl-diphosphate synthase [(2<i>E</i>,6<i>E</i>)-farnesyl-diphosphate specific]
2-(4-hydroxybenzyl)-malate isomerase	HtyD	HtyD			2-(4-hydroxybenzyl)-malate isomerase
uroporphyrinogen III cosynthetase					uroporphyrinogen III cosynthetase
orsellinate synthase/transferase	armB	armB			orsellinate synthase // orsellinate:protoilludene transferase // orsellinate synthase/transferase
glycine cleavage system aminomethyl-transferring glycine dehydrogenase component // glycine cleavage system H protein // glycine cleavage system T protein // glycine cleavage system L protein	lpdA // gcvT // gcvH // gcvPA // gcvPB				glycine cleavage system
tyramine beta-monooxygenase	Tbh	Tbh			tyramine &beta;-monooxygenase
lincosamide-ergothioneine transferase	lmbT	lmbT			lincosamide-ergothioneine transferase
pyrimidine 5'-nucleotidase YjjG	yjjG	b4374	4608646	4609323	pyrimidine 5'-nucleotidase // 5-fluorouridine 5'-nucleotidase
carnitine monooxygenase complex	cntA // cntB				carnitine monooxygenase
&delta;1-pyrroline-5-carboxylate synthetase	P5CS1	P5CS1	16605242	16610397	glutamate-5-semialdehyde dehydrogenase // glutamate 5-kinase
dTDP-glucose 4,6-dehydratase 1	rfbB	b2041	2111976	2113061	dTDP-glucose 4,6-dehydratase
tagatose kinase	Atu3166	Atu3166			tagatose kinase
histone-lysine <em>N</em>-trimethyltransferase KMT1C	KMT1C	KMT1C	31901525	31919443	[histone-H3]-lysine-9 <i>N</i>-trimethyltransferase
coproporphyrinogen III dehydrogenase	hemN	b3867	4052045	4053418	coproporphyrinogen III dehydrogenase
mitochondrial trifunctional enzyme &alpha; subunit	HADHA	HADHA	26506094	26560074	long-chain 3-hydroxy-2-methylacyl-CoA dehydrogenase // long-chain 2-methyl-2-enoyl-CoA hydratase // medium-chain 3-hydroxy-2-methylacyl-CoA dehydrogenase // medium-chain 2-methyl-2-enoyl-CoA hydratase // enoyl-CoA hydratase // 3-hydroxyacyl-CoA dehydrogenase
aminodeoxyfutalosine synthase	mqnE	TTHA0804			aminodeoxyfutalosine synthase
phosphoglycerate mutase	pgam1	pgam1	470975	472312	phosphoglycerate mutase
porphobilinogen deaminase	hemC	hemC	2423236	2424180	porphobilinogen deaminase
4-oxalocrotonate tautomerase					4-oxalocrotonate tautomerase
cinnamyl alcohol dehydrogenase 5	CAD5	CAD5			coniferyl alcohol dehydrogenase // coumaryl alcohol dehydrogenase // sinapyl alcohol dehydrogenase
thebaine synthase 2	THS2	THS2			thebaine synthase
2-dehydro-3-deoxy-L-rhamnonate dehydrogenase	Ira5	Ira5			2-keto-3-deoxy-L-rhamnonate 4-dehydrogenase
acetate kinase	ackA	ackA			acetate kinase
dihydrolipoamide dehydrogenase	lpdA	lpdA			dihydrolipoamide dehydrogenase // 3,3'-disulfanediyldipropannoate dehydrogenase
kievitone hydratase	khs	khs			kievitone hydratase
UDP-Glc:&alpha;-D-GalNAc-PP-Und &beta;-(1,3)-glucosyltransferase	wclQ	wclQ			UDP-Glc:&alpha;-D-GalNAc-PP-Und &beta;-(1,3)-glucosyltransferase
protein-glutamine gamma-glutamyltransferase K	TGM1	TGM1	18505615	18519667	transglutaminase 1 // transglutaminase 1
gallate dioxygenase	gllA	PP2518			gallate dioxygenase
branched-chain amino acid aminotransferase	ilvE	BSU02390	259016	260086	L-leucine aminotransferase // L-isoleucine aminotransferase // L-valine aminotransferase
glutathione peroxidase 1	GPX1	GPX1			glutathione peroxidase
IS30 transposase	insI1	b0256	270603	271754	transposase
UDPG:<i>o</i>-dihydroxycoumarin 7-<i>O</i>-glucosyltransferase					esculetin-7-<i>O</i>-glucosyltransferase // daphnetin 7-O-glucosyltransferase
L-pipecolate oxidase	PIPOX	PIPOX	24394044	24408362	L-pipecolate oxidase
mannan polymerase I	VAN1 // MNN9		40187	41794	mannan polymerase I
phospholipase B/lyso-phospholipase	PLB2	YMR006C	277561	279681	lyso-phosphatidylethanolaminelipase // phospholipase B
UDPG:coniferyl alcohol glucosyltransferase					UDPG:coniferyl alcohol glucosyltransferase
naphthomycin E chlorinase	nat1	nat1			naphthomycin E chlorinase
chitinase B	chiB	chiB			exo-chitinase (non-reducing end) // exo-chitinase (non-reducing end)
2-thiouracil desulfurase	DUF523	DUF523			2-thiouracil desulfurase
glucuronoarabinoxylan endo-1,4-&beta;-xylanase	xynC	BSU18150	1942714	1943982	glucuronoarabinoxylan endo-1,4-&beta;-xylanase // glucuronoxylan endo-1,4-beta-xylanase
dimethylamine monooxygenase complex	dmmA // dmmB // dmmC				dimethylamine monooxygenase complex
flavonol synthase	FLS	FLS			flavonol synthase // flavonol synthase
protein disulfide-isomerase	P4HB	P4HB	21841	39149	protein disulfide-isomerase
L-tryptophan isonitrile synthase	isnA	isnA			L-tryptophan isonitrile synthase
griseophenone D 9-<i>O</i>-methyltransferase	GsfC	GsfC			griseophenone D 9-<i>O</i>-methyltransferase
glutathione synthetase	gshB	slr1238			glutathione synthetase // norophthalmate synthetase // ophthalmate synthetase
6-phosphofructokinase, muscle type	PFKM	PFKM	48412358	48439085	6-phosphofructokinase
arogenate dehydrogenase 1	AroDH-1	AroDH-1			arogenate dehydrogenase
3-oxo-5&alpha;-steroid 4-dehydrogenase	DET2	At2g38050	15939427	15940300	cholest-4-en-3-one 4-dehydrogenase // testosterone 4-dehydrogenase // 3-oxo-5&alpha;-steroid 4-dehydrogenase (NADP<small><sup>+</sup></small>) // 22&alpha;-hydroxy-campest-4-en-3-one 4-dehydrogenase // campest-4-en-3-one 4-dehydrogenase // (22R,23R)-22,23-dihydroxy-campest-4-en-3-one 4-dehydrogenase
sanguinarine reductase	SARED1	SARED1			chelerythrine reductase // chelirubine reductase // sanguinarine reductase
isovaleryl-CoA dehydrogenase and DNA-binding transcriptional repressor	aidB	b4187	4414275	4415900	isovaleryl-CoA dehydrogenase
kynurenine aminotransferase I	CCBL1	CCBL1	131595392	131644354	2-oxo-4-methylthiobutanoate aminotransferase // kynurenine aminotransferase // cysteine conjugate &beta;-lyase // glutamine-phenylpyruvate transaminase
L-lysine epsilon-dehydrogenase					L-lysine &epsilon;-dehydrogenase
lanosterol synthase	osc	MCA2873			lanosterol synthase
methionine sulfoxide reductase B	msrB	b1778	1862016	1862429	protein-methionine-S-oxide reductase // methionine sulfoxide reductase
Sox enzyme system	soxZ // soxY // soxD // soxC // soxB // soxA // soxX				Sox enzyme system
geranylgeranyl pyrophosphate synthase	GGPP	GGPP			geranylgeranyl pyrophosphate synthase
andiconin monooxygenase	andJ	andJ			andiconin monooxygenase
L-lactate dehydrogenase	lldE // lldG // lldF				L-lactate dehydrogenase
DNA (cytosine-5) methyltransferase	Dnmt1	Dnmt1	19927666	19973220	DNA (cytosine-5) methyltransferase
1<small>L</small>-<em>myo</em>-inositol 1-phosphate cytidylyltransferase/CDP-<small>L</small>-<em>myo</em>-inositol <em>myo</em>-inositolphosphotransferase	spsI	spsI			(2S)-CDP-glycerol <em>myo</em>-inositolphosphotransferase // 1<small>L</small>-<em>myo</em>-inositol 1-phosphate cytidylyltransferase // CDP-<small>L</small>-<em>myo</em>-inositol <em>myo</em>-inositolphosphotransferase
Cys4	CYS4	CYS4			cystathionine &beta;-synthase
2-hydroxyflavanone-C-glucoside dehydratase					2,5,7-trihydroxyflavanone 6C-glucoside dehydratase // 2-hydroxyeriodictyol 6C-glucoside dehydratase // 2-hydroxynaringenin-6C-glucoside dehydratase
taurine:2-oxoglutarate aminotransferase	toa	toa			taurine:2-oxoglutarate aminotransferase
uracil-DNA glycosylase	ung	b2580	2716754	2717443	uracil-DNA glycosylase
3-vinyl-bacteriochlorophyllide <i>d</i>  3<sup>1</sup>-hydratase	bchV	bchV			3-vinyl-bacteriochlorophyllide <i>d</i>  3<sup>1</sup>-hydratase // 8-ethyl-12-methyl-3-vinyl-bacteriochlorophyllide <i>d</i>  3<sup>1</sup>-hydratase // 8,12-diethyl-3-vinyl-bacteriochlorophyllide <i>d</i>  3<sup>1</sup>-hydratase // 12-ethyl-8-propyl-3-vinyl-bacteriochlorophyllide <i>d</i>  3<sup>1</sup>-hydratase // 12-ethyl-8-isobutyl-3-vinyl-bacteriochlorophyllide <i>d</i>  3<sup>1</sup>-hydratase
ibotenate decarboxylase	iboD	iboD			ibotenate decarboxylase
decaprenol-monophosphate-N-acetylglucosaminyltransferase	wecA	Rv1302			decaprenol-monophosphate-<i>N</i>-acetylglucosaminyltransferase
