S_S2_Ca_088_v1v9_1	1.6.5.3
S_S2_Ca_088_v1v9_538	1.3.1.34
S_S2_Ca_088_v1v9_539	2.7.7.23
S_S2_Ca_088_v1v9_540	2.3.1.157
S_S2_Ca_088_v1v9_541	2.1.1.74
S_S2_Ca_088_v1v9_542	1.8.5.5
S_S2_Ca_088_v1v9_543	3.4.23.51
S_S2_Ca_088_v1v9_544	1.17.99.7
S_S2_Ca_088_v1v9_545	1.17.1.9
S_S2_Ca_088_v1v9_546	2.7.1.107
S_S2_Ca_088_v1v9_547	5.4.2.11
S_S2_Ca_088_v1v9_548	4.1.1.31
S_S2_Ca_088_v1v9_549	2.5.1.16
S_S2_Ca_088_v1v9_550	1.2.1.27
S_S2_Ca_088_v1v9_551	1.2.1.18
S_S2_Ca_088_v1v9_552	2.6.1.2
S_S2_Ca_088_v1v9_553	2.7.8.35
S_S2_Ca_088_v1v9_554	2.7.8.33
S_S2_Ca_088_v1v9_555	3.2.1.58
S_S2_Ca_088_v1v9_556	3.5.3.18
S_S2_Ca_088_v1v9_557	1.3.7.1
S_S2_Ca_088_v1v9_558	2.7.1.39
S_S2_Ca_088_v1v9_559	3.6.3.4
S_S2_Ca_088_v1v9_560	2.1.1.64
S_S2_Ca_088_v1v9_561	2.1.1.222
S_S2_Ca_088_v1v9_562	1.1.1.41
S_S2_Ca_088_v1v9_563	2.3.1.117
S_S2_Ca_088_v1v9_564	5.1.99.8
S_S2_Ca_088_v1v9_565	4.1.2.25
S_S2_Ca_088_v1v9_566	1.13.11.81
S_S2_Ca_088_v1v9_567	6.3.1.12
S_S2_Ca_088_v1v9_568	4.1.2.40
S_S2_Ca_088_v1v9_569	2.1.1.303
S_S2_Ca_088_v1v9_570	2.1.1.187
S_S2_Ca_088_v1v9_571	2.1.1.242
S_S2_Ca_088_v1v9_572	1.1.1.157
S_S2_Ca_088_v1v9_573	5.3.3.2
S_S2_Ca_088_v1v9_574	2.1.1.173
S_S2_Ca_088_v1v9_575	2.1.1.264
S_S2_Ca_088_v1v9_576	5.1.3.14
S_S2_Ca_088_v1v9_577	1.3.1.1
S_S2_Ca_088_v1v9_578	5.3.1.5
S_S2_Ca_088_v1v9_579	3.5.3.1
S_S2_Ca_088_v1v9_580	2.6.1.98
S_S2_Ca_088_v1v9_581	1.14.13.208
