S_NS1_Ca_028_1	NADH-DEHYDROG-A-RXN
S_NS1_Ca_028_320	RXN-7657
S_NS1_Ca_028_320	ALCOHOL-DEHYDROG-RXN
S_NS1_Ca_028_320	RXN-7700
S_NS1_Ca_028_320	RXN-7706
S_NS1_Ca_028_320	RXN-10911
S_NS1_Ca_028_320	RXN-10915
S_NS1_Ca_028_320	RXN66-478
S_NS1_Ca_028_320	RXN-15823
S_NS1_Ca_028_320	RXN-13198
S_NS1_Ca_028_321	GLURS-RXN
S_NS1_Ca_028_322	GLURS-RXN
S_NS1_Ca_028_323	CHORISMATE-SYNTHASE-RXN
S_NS1_Ca_028_324	UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN
S_NS1_Ca_028_325	PYRUVATEORTHOPHOSPHATE-DIKINASE-RXN
S_NS1_Ca_028_326	PGLUCISOM-RXN
S_NS1_Ca_028_326	RXN-6182
S_NS1_Ca_028_326	RXN-13720
S_NS1_Ca_028_327	RXN66-546
S_NS1_Ca_028_327	PYRROLINECARBREDUCT-RXN
S_NS1_Ca_028_328	DGTPTRIPHYDRO-RXN
S_NS1_Ca_028_329	TRNA-PSEUDOURIDINE-SYNTHASE-I-RXN
S_NS1_Ca_028_330	NICONUCADENYLYLTRAN-RXN
S_NS1_Ca_028_331	TRNA-NUCLEOTIDYLTRANSFERASE-RXN
S_NS1_Ca_028_331	RXN0-6482
S_NS1_Ca_028_331	RXN0-6481
S_NS1_Ca_028_332	2-DEHYDROPANTOATE-REDUCT-RXN
S_NS1_Ca_028_333	FORMATETHFLIG-RXN
S_NS1_Ca_028_334	GLYRIBONUCSYN-RXN
S_NS1_Ca_028_335	RXN-11586
S_NS1_Ca_028_336	RXN-11601
S_NS1_Ca_028_337	PROLINE--TRNA-LIGASE-RXN
S_NS1_Ca_028_338	RXN-14992
S_NS1_Ca_028_339	ARGSUCCINLYA-RXN
S_NS1_Ca_028_339	RXN-22
S_NS1_Ca_028_340	RXN-14354
S_NS1_Ca_028_340	RXN-14261
S_NS1_Ca_028_340	RXN-14260
S_NS1_Ca_028_340	AMYLOMALT-RXN
S_NS1_Ca_028_340	RXN-9023
S_NS1_Ca_028_340	RXN-12193
S_NS1_Ca_028_340	RXN-1828
S_NS1_Ca_028_340	RXN-12391
S_NS1_Ca_028_341	RXN-14354
S_NS1_Ca_028_341	RXN-14261
S_NS1_Ca_028_341	RXN-14260
S_NS1_Ca_028_341	AMYLOMALT-RXN
S_NS1_Ca_028_341	RXN-9023
S_NS1_Ca_028_341	RXN-12193
S_NS1_Ca_028_341	RXN-1828
S_NS1_Ca_028_341	RXN-12391
S_NS1_Ca_028_342	3.1.21.2-RXN
S_NS1_Ca_028_343	RXN0-5063
S_NS1_Ca_028_344	RXN0-6366
S_NS1_Ca_028_345	CYSTEINE--TRNA-LIGASE-RXN
S_NS1_Ca_028_346	SUCCINYLDIAMINOPIMTRANS-RXN
S_NS1_Ca_028_347	RXN-15007
S_NS1_Ca_028_347	ACETYLORNTRANSAM-RXN
S_NS1_Ca_028_348	RXN0-5515
S_NS1_Ca_028_348	CDPDIGLYSYN-RXN
S_NS1_Ca_028_349	VALINE-PYRUVATE-AMINOTRANSFER-RXN
S_NS1_Ca_028_350	PHOSPHAGLYPSYN-RXN
S_NS1_Ca_028_351	DNA-LIGASE-NAD+-RXN
S_NS1_Ca_028_352	PREPHENATEDEHYDRAT-RXN
S_NS1_Ca_028_353	CITSYN-RXN
S_NS1_Ca_028_354	RXN-11860
S_NS1_Ca_028_354	RXN-11865
S_NS1_Ca_028_355	2.5.1.19-RXN
S_NS1_Ca_028_356	THREONINE-ALDOLASE-RXN
S_NS1_Ca_028_356	LTAA-RXN
S_NS1_Ca_028_357	RXN-11737
S_NS1_Ca_028_357	ASPAMINOTRANS-RXN
S_NS1_Ca_028_357	RXN-13697
S_NS1_Ca_028_357	RXN-10814
S_NS1_Ca_028_358	RXN-11737
S_NS1_Ca_028_358	ASPAMINOTRANS-RXN
S_NS1_Ca_028_358	RXN-13697
S_NS1_Ca_028_358	RXN-10814
S_NS1_Ca_028_359	RXN-11737
S_NS1_Ca_028_359	ASPAMINOTRANS-RXN
S_NS1_Ca_028_359	RXN-13697
S_NS1_Ca_028_359	RXN-10814
S_NS1_Ca_028_360	RXN-8999
S_NS1_Ca_028_361	2.7.1.148-RXN
S_NS1_Ca_028_362	RXN-15005
S_NS1_Ca_028_362	ACETYLGLUTKIN-RXN
S_NS1_Ca_028_363	IMPCYCLOHYDROLASE-RXN
S_NS1_Ca_028_364	AICARTRANSFORM-RXN
S_NS1_Ca_028_365	ENTDB-RXN
S_NS1_Ca_028_365	HOLO-ACP-SYNTH-RXN
S_NS1_Ca_028_365	RXN-15889
S_NS1_Ca_028_365	RXN-16759
S_NS1_Ca_028_365	RXN-10994
S_NS1_Ca_028_366	ARGININE--TRNA-LIGASE-RXN
S_NS1_Ca_028_369	RXN0-1441
S_NS1_Ca_028_370	CHORISMATEMUT-RXN
S_NS1_Ca_028_371	5.99.1.2-RXN
S_NS1_Ca_028_372	METHYLENETHFDEHYDROG-NADP-RXN
S_NS1_Ca_028_373	RXN-11588
S_NS1_Ca_028_374	LEUCINE--TRNA-LIGASE-RXN
S_NS1_Ca_028_375	S-ADENMETSYN-RXN
S_NS1_Ca_028_376	3.4.21.92-RXN
S_NS1_Ca_028_377	RXN-14570
S_NS1_Ca_028_378	RXN0-6274
S_NS1_Ca_028_379	RXN-8976
S_NS1_Ca_028_379	RXN-11029
S_NS1_Ca_028_379	NACGLCTRANS-RXN
S_NS1_Ca_028_379	RXN-11346
S_NS1_Ca_028_380	UDP-NACMURALA-GLU-LIG-RXN
S_NS1_Ca_028_381	RXN-8975
S_NS1_Ca_028_381	RXN-11347
S_NS1_Ca_028_381	PHOSNACMURPENTATRANS-RXN
S_NS1_Ca_028_382	UDP-NACMURALGLDAPAALIG-RXN
S_NS1_Ca_028_382	6.3.2.10-RXN
S_NS1_Ca_028_383	UDP-NACMURALGLDAPLIG-RXN
S_NS1_Ca_028_384	RXN-11638
S_NS1_Ca_028_386	RXN-10060
S_NS1_Ca_028_386	RXN-9518
S_NS1_Ca_028_386	RXN-9514
S_NS1_Ca_028_386	RXN-10655
S_NS1_Ca_028_386	RXN-10659
S_NS1_Ca_028_386	RXN-9536
S_NS1_Ca_028_386	RXN1G-240
S_NS1_Ca_028_386	RXN1G-203
S_NS1_Ca_028_386	RXN-13008
S_NS1_Ca_028_386	RXN-9556
S_NS1_Ca_028_386	RXN-9552
S_NS1_Ca_028_386	RXN1G-1247
S_NS1_Ca_028_386	RXN1G-881
S_NS1_Ca_028_386	RXN-16622
S_NS1_Ca_028_386	RXN-16626
S_NS1_Ca_028_386	RXN1G-358
S_NS1_Ca_028_386	RXN1G-157
S_NS1_Ca_028_386	RXN1G-508
S_NS1_Ca_028_386	RXN-9532
S_NS1_Ca_028_386	RXN0-2142
S_NS1_Ca_028_386	RXN1G-717
S_NS1_Ca_028_386	RXN-11480
S_NS1_Ca_028_386	RXN1G-481
S_NS1_Ca_028_386	RXN1G-252
S_NS1_Ca_028_386	3-OXOACYL-ACP-REDUCT-RXN
S_NS1_Ca_028_386	RXN-9524
S_NS1_Ca_028_386	RXN-9528
S_NS1_Ca_028_386	RXN1G-637
S_NS1_Ca_028_386	RXN1G-951
S_NS1_Ca_028_386	RXN-9540
S_NS1_Ca_028_386	RXN1G-408
S_NS1_Ca_028_386	RXN1G-409
S_NS1_Ca_028_386	RXN1G-617
S_NS1_Ca_028_386	RXN1G-613
S_NS1_Ca_028_386	RXN1G-384
S_NS1_Ca_028_386	RXN1G-469
S_NS1_Ca_028_386	RXN-16630
S_NS1_Ca_028_386	RXN1G-72
S_NS1_Ca_028_386	RXN1G-349
S_NS1_Ca_028_386	RXN1G-163
S_NS1_Ca_028_386	RXN-16616
S_NS1_Ca_028_386	RXN1G-853
S_NS1_Ca_028_386	RXN-11476
S_NS1_Ca_028_386	RXN1G-184
S_NS1_Ca_028_386	RXN1G-182
S_NS1_Ca_028_386	RXN1G-364
S_NS1_Ca_028_386	RXN1G-287
S_NS1_Ca_028_386	RXN1G-1053
S_NS1_Ca_028_386	RXN1G-1050
S_NS1_Ca_028_386	RXN-9633
S_NS1_Ca_028_386	RXN1G-262
S_NS1_Ca_028_386	RXN1G-260
S_NS1_Ca_028_387	L-ASPARTATE-OXID-RXN
S_NS1_Ca_028_388	L-ASPARTATE-OXID-RXN
S_NS1_Ca_028_389	RIBULP3EPIM-RXN
S_NS1_Ca_028_390	METHENYLTHFCYCLOHYDRO-RXN
S_NS1_Ca_028_391	CTPSYN-RXN
S_NS1_Ca_028_392	RXN66-532
S_NS1_Ca_028_392	PHOSPHOGLUCMUT-RXN
S_NS1_Ca_028_393	TYROSINE--TRNA-LIGASE-RXN
S_NS1_Ca_028_394	AGMATINE-DEIMINASE-RXN
S_NS1_Ca_028_395	AGMATINE-DEIMINASE-RXN
S_NS1_Ca_028_396	RXN0-743
S_NS1_Ca_028_397	URACIL-PRIBOSYLTRANS-RXN
S_NS1_Ca_028_398	URACIL-PRIBOSYLTRANS-RXN
S_NS1_Ca_028_399	ASPCARBTRANS-RXN
S_NS1_Ca_028_400	GTP-CYCLOHYDRO-I-RXN
S_NS1_Ca_028_402	ATPPHOSPHORIBOSYLTRANS-RXN
S_NS1_Ca_028_403	3.4.11.9-RXN
S_NS1_Ca_028_404	ABC-2-RXN
S_NS1_Ca_028_404	ABC-28-RXN
S_NS1_Ca_028_404	3.6.3.17-RXN
S_NS1_Ca_028_404	ABC-33-RXN
S_NS1_Ca_028_404	ABC-18-RXN
S_NS1_Ca_028_405	RXN0-5297
S_NS1_Ca_028_405	6-PHOSPHO-BETA-GLUCOSIDASE-RXN
S_NS1_Ca_028_405	RXN0-5295
S_NS1_Ca_028_405	RXN0-6994
S_NS1_Ca_028_405	RXN0-7002
S_NS1_Ca_028_406	RXN0-5297
S_NS1_Ca_028_406	6-PHOSPHO-BETA-GLUCOSIDASE-RXN
S_NS1_Ca_028_406	RXN0-5295
S_NS1_Ca_028_406	RXN0-6994
S_NS1_Ca_028_406	RXN0-7002
S_NS1_Ca_028_407	ARYLSULFATE-SULFOTRANSFERASE-RXN
S_NS1_Ca_028_408	ARYLSULFATE-SULFOTRANSFERASE-RXN
S_NS1_Ca_028_409	RIBOKIN-RXN
S_NS1_Ca_028_409	RXN-14223
S_NS1_Ca_028_410	DEOXYADENPHOSPHOR-RXN
S_NS1_Ca_028_410	RXN-7001
S_NS1_Ca_028_410	RXN-14029
S_NS1_Ca_028_410	XANTHOSINEPHOSPHORY-RXN
S_NS1_Ca_028_410	RXN-11715
S_NS1_Ca_028_410	RXN-11743
S_NS1_Ca_028_410	INOPHOSPHOR-RXN
S_NS1_Ca_028_410	PNP-RXN
S_NS1_Ca_028_410	DEOXYGUANPHOSPHOR-RXN
S_NS1_Ca_028_410	ADENPHOSPHOR-RXN
S_NS1_Ca_028_410	DEOXYINOPHOSPHOR-RXN
S_NS1_Ca_028_410	RXN0-5199
S_NS1_Ca_028_411	RXN-11146
S_NS1_Ca_028_412	PURINE-NUCLEOSIDASE-RXN
S_NS1_Ca_028_412	RXN0-363
S_NS1_Ca_028_412	RXN0-366
S_NS1_Ca_028_413	GDPPYPHOSKIN-RXN
S_NS1_Ca_028_413	GTPPYPHOSKIN-RXN
S_NS1_Ca_028_414	SUCCDIAMINOPIMDESUCC-RXN
S_NS1_Ca_028_415	SUCCDIAMINOPIMDESUCC-RXN
S_NS1_Ca_028_416	SUCCDIAMINOPIMDESUCC-RXN
S_NS1_Ca_028_417	SUCCDIAMINOPIMDESUCC-RXN
S_NS1_Ca_028_418	XYLULOKIN-RXN
S_NS1_Ca_028_419	3.4.13.9-RXN
S_NS1_Ca_028_420	OROTATE-REDUCTASE-NADH-RXN
S_NS1_Ca_028_421	DTDPDEHYDRHAMEPIM-RXN
S_NS1_Ca_028_423	L-GLN-FRUCT-6-P-AMINOTRANS-RXN
S_NS1_Ca_028_424	3.6.3.3-RXN
S_NS1_Ca_028_425	3.6.3.3-RXN
S_NS1_Ca_028_426	RXN0-5205
S_NS1_Ca_028_427	RXN0-5205
S_NS1_Ca_028_428	GLYCEROL-KIN-RXN
S_NS1_Ca_028_429	5.4.2.10-RXN
S_NS1_Ca_028_430	5.4.2.10-RXN
S_NS1_Ca_028_431	GALPMUT-RXN
S_NS1_Ca_028_432	GALPMUT-RXN
S_NS1_Ca_028_433	GALPMUT-RXN
S_NS1_Ca_028_434	3.6.3.40-RXN
S_NS1_Ca_028_435	ADENINE-DEAMINASE-RXN
S_NS1_Ca_028_436	RIB5PISOM-RXN
S_NS1_Ca_028_437	RXN-1461
S_NS1_Ca_028_437	RXN-9985
S_NS1_Ca_028_438	DEPHOSPHOCOAKIN-RXN
S_NS1_Ca_028_439	BTUR2-RXN
S_NS1_Ca_028_439	COBALADENOSYLTRANS-RXN
S_NS1_Ca_028_439	R344-RXN
S_NS1_Ca_028_440	L-LACTATE-DEHYDROGENASE-RXN
S_NS1_Ca_028_441	L-LACTATE-DEHYDROGENASE-RXN
S_NS1_Ca_028_442	RXN-13671
S_NS1_Ca_028_442	ACETALD-DEHYDROG-RXN
S_NS1_Ca_028_443	CARBAMATE-KINASE-RXN
S_NS1_Ca_028_444	RXN-8141
S_NS1_Ca_028_445	RXN0-4641
S_NS1_Ca_028_446	RXN-7737
S_NS1_Ca_028_447	GLUC1PADENYLTRANS-RXN
S_NS1_Ca_028_448	GLUC1PADENYLTRANS-RXN
S_NS1_Ca_028_449	2-ENOATE-REDUCTASE-RXN
S_NS1_Ca_028_450	1.15.1.2-RXN
S_NS1_Ca_028_452	RXN-8348
S_NS1_Ca_028_453	UDP-NACMUR-ALA-LIG-RXN
S_NS1_Ca_028_454	NICOTINATEPRIBOSYLTRANS-RXN
S_NS1_Ca_028_456	RXN-14338
S_NS1_Ca_028_463	XANPRIBOSYLTRAN-RXN
S_NS1_Ca_028_464	2.7.9.3-RXN
S_NS1_Ca_028_471	2.9.1.1-RXN
S_NS1_Ca_028_472	3.6.3.29-RXN
S_NS1_Ca_028_472	ABC-19-RXN
S_NS1_Ca_028_476	DUTP-PYROP-RXN
S_NS1_Ca_028_480	FLAVONADPREDUCT-RXN
S_NS1_Ca_028_480	1.18.1.2-RXN
S_NS1_Ca_028_481	FLAVONADPREDUCT-RXN
S_NS1_Ca_028_481	1.18.1.2-RXN
S_NS1_Ca_028_482	UDPNACETYLMURAMATEDEHYDROG-RXN
S_NS1_Ca_028_483	UDPNACETYLMURAMATEDEHYDROG-RXN
S_NS1_Ca_028_484	RIBOSYLHOMOCYSTEINASE-RXN
S_NS1_Ca_028_485	RXN0-5260
S_NS1_Ca_028_485	RXN-15740
S_NS1_Ca_028_485	RXN-15745
S_NS1_Ca_028_486	ADENOSYLHOMOCYSTEINE-NUCLEOSIDASE-RXN
S_NS1_Ca_028_487	ASPARTATE-RACEMASE-RXN
S_NS1_Ca_028_488	TRANSALDOL-RXN
S_NS1_Ca_028_489	CHOLOYLGLYCINE-HYDROLASE-RXN
S_NS1_Ca_028_490	GLYCOLALDREDUCT-RXN
S_NS1_Ca_028_490	LACTALDREDUCT-RXN
S_NS1_Ca_028_490	RXN-8641
S_NS1_Ca_028_491	OLEATE-HYDRATASE-RXN
S_NS1_Ca_028_492	ASPARAGHYD-RXN
S_NS1_Ca_028_493	GLYCDEH-RXN
S_NS1_Ca_028_494	GLYCDEH-RXN
S_NS1_Ca_028_495	GLYCDEH-RXN
S_NS1_Ca_028_496	TRNA-S-TRANSFERASE-RXN
S_NS1_Ca_028_497	RXN-14531
S_NS1_Ca_028_498	PEPCARBOXYKIN-RXN
S_NS1_Ca_028_499	ASNSYNB-RXN
S_NS1_Ca_028_500	THRESYN-RXN
S_NS1_Ca_028_501	3.4.21.88-RXN
S_NS1_Ca_028_502	3-HYDROXYISOBUTYRATE-DEHYDROGENASE-RXN
S_NS1_Ca_028_503	HISTPRATPHYD-RXN
S_NS1_Ca_028_504	HISTPRATPHYD-RXN
S_NS1_Ca_028_505	RXN-15117
S_NS1_Ca_028_505	RXN-15118
S_NS1_Ca_028_506	F16BDEPHOS-RXN
S_NS1_Ca_028_507	PSERTRANSAMPYR-RXN
S_NS1_Ca_028_507	PSERTRANSAM-RXN
S_NS1_Ca_028_508	5.1.3.9-RXN
S_NS1_Ca_028_508	NANE-RXN
S_NS1_Ca_028_509	GLUTRACE-RXN
S_NS1_Ca_028_510	RXN0-6515
S_NS1_Ca_028_511	THIAMIN-PYROPHOSPHOKINASE-RXN
S_NS1_Ca_028_512	3.4.17.19-RXN
S_NS1_Ca_028_513	GALACTURIDYLYLTRANS-RXN
S_NS1_Ca_028_514	GALACTURIDYLYLTRANS-RXN
S_NS1_Ca_028_515	GLYCOGENSYN-RXN
S_NS1_Ca_028_516	3.4.11.21-RXN
S_NS1_Ca_028_517	TRNA-CYTIDYLYLTRANSFERASE-RXN
S_NS1_Ca_028_518	RXN66-337
S_NS1_Ca_028_518	3.4.13.19-RXN
S_NS1_Ca_028_518	RXN-15682
S_NS1_Ca_028_519	HOMSUCTRAN-RXN
S_NS1_Ca_028_520	1PFRUCTPHOSN-RXN
S_NS1_Ca_028_521	1PFRUCTPHOSN-RXN
S_NS1_Ca_028_522	RXN-14280
S_NS1_Ca_028_522	ALDHDEHYDROG-RXN
S_NS1_Ca_028_522	RXN-9758
S_NS1_Ca_028_522	RXN-14225
S_NS1_Ca_028_522	RXN-14224
S_NS1_Ca_028_522	RXN-10089
S_NS1_Ca_028_522	R222-RXN
S_NS1_Ca_028_522	RXN-37
S_NS1_Ca_028_522	RXN66-3
S_NS1_Ca_028_522	RXN-15819
S_NS1_Ca_028_522	RXN-15855
S_NS1_Ca_028_522	RXN6666-5
S_NS1_Ca_028_522	RXN-3443
S_NS1_Ca_028_522	RXN-10780
S_NS1_Ca_028_522	RXN-4142
S_NS1_Ca_028_522	RXN-10912
S_NS1_Ca_028_522	RXN-10917
S_NS1_Ca_028_522	RXN-10715
S_NS1_Ca_028_522	RXN66-479
S_NS1_Ca_028_522	RXN66-472
S_NS1_Ca_028_522	RXN66-476
S_NS1_Ca_028_522	RXN-16654
S_NS1_Ca_028_522	RXN-16655
S_NS1_Ca_028_522	RXN-16656
S_NS1_Ca_028_522	RXN-16653
S_NS1_Ca_028_522	RXN-15822
S_NS1_Ca_028_523	RXN-11578
S_NS1_Ca_028_524	ACYLPHOSPHATASE-RXN
S_NS1_Ca_028_525	ACETATEKIN-RXN
S_NS1_Ca_028_526	ACETATEKIN-RXN
S_NS1_Ca_028_530	UREASE-RXN
S_NS1_Ca_028_531	UREASE-RXN
S_NS1_Ca_028_532	UREASE-RXN
S_NS1_Ca_028_535	RXN-11322
S_NS1_Ca_028_536	RXN-11322
S_NS1_Ca_028_537	LACTOSE-6-PHOSPHATE-ISOMERASE-RXN
S_NS1_Ca_028_538	LACTOSE-6-PHOSPHATE-ISOMERASE-RXN
S_NS1_Ca_028_539	TAGAKIN-RXN
S_NS1_Ca_028_540	TAGAKIN-RXN
S_NS1_Ca_028_541	ARGININE-DEIMINASE-RXN
S_NS1_Ca_028_542	ARGININE-DEIMINASE-RXN
S_NS1_Ca_028_543	CEPHALOSPORIN-C-DEACETYLASE-RXN
S_NS1_Ca_028_544	CEPHALOSPORIN-C-DEACETYLASE-RXN
S_NS1_Ca_028_545	RXN-13759
S_NS1_Ca_028_546	RXN-13758
S_NS1_Ca_028_547	RXN-14715
S_NS1_Ca_028_547	RXN-7911
S_NS1_Ca_028_547	RXN-12521
S_NS1_Ca_028_547	DIENOYLCOAREDUCT-RXN
S_NS1_Ca_028_547	RXN-14776
S_NS1_Ca_028_547	RXN-7835
S_NS1_Ca_028_547	RXN-14790
S_NS1_Ca_028_548	NAG1P-URIDYLTRANS-RXN
S_NS1_Ca_028_549	2.3.1.157-RXN
S_NS1_Ca_028_550	2.1.1.74-RXN
S_NS1_Ca_028_552	RXN0-3364
S_NS1_Ca_028_555	DIACYLGLYKIN-RXN
S_NS1_Ca_028_556	FRUCTOSE-6-PHOSPHATE-PHOSPHOKETOLASE-RXN
S_NS1_Ca_028_557	PHOSPHOKETOLASE-RXN
S_NS1_Ca_028_558	RXN-15513
S_NS1_Ca_028_559	PEPCARBOX-RXN
S_NS1_Ca_028_560	SPERMIDINESYN-RXN
S_NS1_Ca_028_561	1.2.1.27-RXN
S_NS1_Ca_028_561	RXN-11213
S_NS1_Ca_028_562	RXN-9958
S_NS1_Ca_028_563	ALANINE-AMINOTRANSFERASE-RXN
S_NS1_Ca_028_563	RXN-13698
S_NS1_Ca_028_564	RXN-6380
S_NS1_Ca_028_565	GLCNACPTRANS-RXN
S_NS1_Ca_028_566	3.2.1.58-RXN
S_NS1_Ca_028_567	DIMETHYLARGININASE-RXN
S_NS1_Ca_028_568	6-HYDROXYNICOTINATE-REDUCTASE-RXN
S_NS1_Ca_028_569	HOMOSERKIN-RXN
S_NS1_Ca_028_570	3.1.4.10-RXN
S_NS1_Ca_028_571	3.6.3.4-RXN
S_NS1_Ca_028_572	RXN-9237
S_NS1_Ca_028_572	2.1.1.64-RXN
S_NS1_Ca_028_572	RXN3O-102
S_NS1_Ca_028_572	RXN-9229
S_NS1_Ca_028_572	DHHB-METHYLTRANSFER-RXN
S_NS1_Ca_028_572	RXN-11758
S_NS1_Ca_028_573	RXN-9240
S_NS1_Ca_028_573	RXN-9233
S_NS1_Ca_028_573	RXN-9225
S_NS1_Ca_028_573	RXN-12160
S_NS1_Ca_028_573	2-OCTAPRENYL-6-OHPHENOL-METHY-RXN
S_NS1_Ca_028_574	ISOCITRATE-DEHYDROGENASE-NAD+-RXN
S_NS1_Ca_028_575	TETHYDPICSUCC-RXN
S_NS1_Ca_028_577	RXN-10857
S_NS1_Ca_028_577	H2NEOPTERINALDOL-RXN
S_NS1_Ca_028_579	6.3.1.12-RXN
S_NS1_Ca_028_579	RXN-11344
S_NS1_Ca_028_579	RXN-11342
S_NS1_Ca_028_580	TAGAALDOL-RXN
S_NS1_Ca_028_581	RXN-15306
S_NS1_Ca_028_582	RXN-11573
S_NS1_Ca_028_583	RXN0-6731
S_NS1_Ca_028_584	PUTRESCINE-CARBAMOYLTRANSFERASE-RXN
S_NS1_Ca_028_585	3-HYDROXYBUTYRYL-COA-DEHYDROGENASE-RXN
S_NS1_Ca_028_586	AMINOGLYCOSIDE-N3-ACETYLTRANSFERASE-RXN
S_NS1_Ca_028_587	IPPISOM-RXN
S_NS1_Ca_028_588	RXN-11574
S_NS1_Ca_028_589	RXN0-6950
