S_S5_He_108_1	NADH-DEHYDROG-A-RXN
S_S5_He_108_350	2.1.1.63-RXN
S_S5_He_108_351	2.5.1.64-RXN
S_S5_He_108_352	3.4.23.43-RXN
S_S5_He_108_353	3.4.23.43-RXN
S_S5_He_108_354	3.4.23.43-RXN
S_S5_He_108_355	3.4.23.43-RXN
S_S5_He_108_356	3.4.23.43-RXN
S_S5_He_108_357	3.4.23.43-RXN
S_S5_He_108_358	METHIONINE--TRNA-LIGASE-RXN
S_S5_He_108_358	RXN-16165
S_S5_He_108_359	RXN0-5298
S_S5_He_108_360	DTDPDEHYRHAMREDUCT-RXN
S_S5_He_108_361	DTDPDEHYRHAMREDUCT-RXN
S_S5_He_108_362	DTDPDEHYRHAMREDUCT-RXN
S_S5_He_108_363	GLUCOSAMINE-6-P-DEAMIN-RXN
S_S5_He_108_364	GLUCOSAMINE-6-P-DEAMIN-RXN
S_S5_He_108_365	GLUCOSAMINE-6-P-DEAMIN-RXN
S_S5_He_108_366	RXN-12462
S_S5_He_108_367	RXN-12463
S_S5_He_108_368	FUCULOKIN-RXN
S_S5_He_108_369	DARABISOM-RXN
S_S5_He_108_369	RXN-14969
S_S5_He_108_370	FUCISOM-RXN
S_S5_He_108_371	RXN-14065
S_S5_He_108_372	OROPRIBTRANS-RXN
S_S5_He_108_373	OROPRIBTRANS-RXN
S_S5_He_108_374	OROPRIBTRANS-RXN
S_S5_He_108_375	UNDECAPRENYL-DIPHOSPHATASE-RXN
S_S5_He_108_376	UNDECAPRENYL-DIPHOSPHATASE-RXN
S_S5_He_108_377	UNDECAPRENYL-DIPHOSPHATASE-RXN
S_S5_He_108_378	OROTPDECARB-RXN
S_S5_He_108_379	ASPARTATE--TRNA-LIGASE-RXN
S_S5_He_108_380	ASPARTATE--TRNA-LIGASE-RXN
S_S5_He_108_381	THIOREDOXIN-REDUCT-NADPH-RXN
S_S5_He_108_382	THIOREDOXIN-REDUCT-NADPH-RXN
S_S5_He_108_383	THIOREDOXIN-REDUCT-NADPH-RXN
S_S5_He_108_384	THIOREDOXIN-REDUCT-NADPH-RXN
S_S5_He_108_385	THIOREDOXIN-REDUCT-NADPH-RXN
S_S5_He_108_386	THIOREDOXIN-REDUCT-NADPH-RXN
S_S5_He_108_387	4.3.1.17-RXN
S_S5_He_108_388	4.3.1.17-RXN
S_S5_He_108_389	ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN
S_S5_He_108_390	FARNESYLTRANSTRANSFERASE-RXN
S_S5_He_108_391	FPPSYN-RXN
S_S5_He_108_392	GPPSYN-RXN
S_S5_He_108_393	RXN0-6480
S_S5_He_108_393	3.1.26.5-RXN
S_S5_He_108_394	RXN0-6727
S_S5_He_108_394	RXN-13141
S_S5_He_108_395	GLUTAMATE-SYNTHASE-NADH-RXN
S_S5_He_108_396	GLUTAMATE-SYNTHASE-NADH-RXN
S_S5_He_108_397	GLUTAMATE-SYNTHASE-NADH-RXN
S_S5_He_108_398	GLUTAMATE-SYNTHASE-NADH-RXN
S_S5_He_108_399	GLUTAMATE-SYNTHASE-NADH-RXN
S_S5_He_108_400	GLUTAMATESYN-RXN
S_S5_He_108_401	GLUTAMATESYN-RXN
S_S5_He_108_402	GLUTAMATESYN-RXN
S_S5_He_108_403	GLUTAMATESYN-RXN
S_S5_He_108_404	GLUTAMATESYN-RXN
S_S5_He_108_405	RXN-11290
S_S5_He_108_406	RXN-11290
S_S5_He_108_407	RXN-11290
S_S5_He_108_408	MANNPISOM-RXN
S_S5_He_108_409	RXN0-302
S_S5_He_108_410	MYO-INOSITOL-1OR-4-MONOPHOSPHATASE-RXN
S_S5_He_108_410	RXN-10949
S_S5_He_108_410	RXN-7253
S_S5_He_108_410	RXN0-5408
S_S5_He_108_410	RXN-10954
S_S5_He_108_410	RXN-10953
S_S5_He_108_410	RXN-10952
S_S5_He_108_411	MYO-INOSITOL-1OR-4-MONOPHOSPHATASE-RXN
S_S5_He_108_411	RXN-10949
S_S5_He_108_411	RXN-7253
S_S5_He_108_411	RXN0-5408
S_S5_He_108_411	RXN-10954
S_S5_He_108_411	RXN-10953
S_S5_He_108_411	RXN-10952
S_S5_He_108_412	MYO-INOSITOL-1OR-4-MONOPHOSPHATASE-RXN
S_S5_He_108_412	RXN-10949
S_S5_He_108_412	RXN-7253
S_S5_He_108_412	RXN0-5408
S_S5_He_108_412	RXN-10954
S_S5_He_108_412	RXN-10953
S_S5_He_108_412	RXN-10952
S_S5_He_108_413	RXN-11592
S_S5_He_108_414	RXN-12752
S_S5_He_108_414	RXN-13142
S_S5_He_108_415	MALONYL-COA-ACP-TRANSACYL-RXN
S_S5_He_108_416	1.11.1.15-RXN
S_S5_He_108_416	RXN0-5468
S_S5_He_108_417	1.11.1.15-RXN
S_S5_He_108_417	RXN0-5468
S_S5_He_108_418	PPPGPPHYDRO-RXN
S_S5_He_108_419	3.4.23.36-RXN
S_S5_He_108_420	3.4.23.36-RXN
S_S5_He_108_421	ISOLEUCINE--TRNA-LIGASE-RXN
S_S5_He_108_422	ISOLEUCINE--TRNA-LIGASE-RXN
S_S5_He_108_423	BETA-LACTAMASE-RXN
S_S5_He_108_424	BETA-LACTAMASE-RXN
S_S5_He_108_425	BETA-LACTAMASE-RXN
S_S5_He_108_426	PANTOTHENATE-KIN-RXN
S_S5_He_108_427	PANTOTHENATE-KIN-RXN
S_S5_He_108_428	METHIONYL-TRNA-FORMYLTRANSFERASE-RXN
S_S5_He_108_429	GALACTOKIN-RXN
S_S5_He_108_430	3.1.11.2-RXN
S_S5_He_108_431	NAG6PDEACET-RXN
S_S5_He_108_431	3.5.1.80-RXN
S_S5_He_108_432	NAG6PDEACET-RXN
S_S5_He_108_432	3.5.1.80-RXN
S_S5_He_108_434	POLYPHOSPHATE-KINASE-RXN
S_S5_He_108_435	EXOPOLYPHOSPHATASE-RXN
S_S5_He_108_437	3.4.11.18-RXN
S_S5_He_108_438	3.4.11.18-RXN
S_S5_He_108_439	NAD-KIN-RXN
S_S5_He_108_440	RXN-14025
S_S5_He_108_440	RXN-14026
S_S5_He_108_440	RXN-7607
S_S5_He_108_440	RXN-7609
S_S5_He_108_440	AMP-DEPHOSPHORYLATION-RXN
S_S5_He_108_440	5-NUCLEOTID-RXN
S_S5_He_108_440	RXN-14227
S_S5_He_108_440	RXN-5841
S_S5_He_108_440	XMPXAN-RXN
S_S5_He_108_441	RXN-14025
S_S5_He_108_441	RXN-14026
S_S5_He_108_441	RXN-7607
S_S5_He_108_441	RXN-7609
S_S5_He_108_441	AMP-DEPHOSPHORYLATION-RXN
S_S5_He_108_441	5-NUCLEOTID-RXN
S_S5_He_108_441	RXN-14227
S_S5_He_108_441	RXN-5841
S_S5_He_108_441	XMPXAN-RXN
S_S5_He_108_442	RXN0-2921
S_S5_He_108_442	FOLYLPOLYGLUTAMATESYNTH-RXN
S_S5_He_108_442	FORMYLTHFGLUSYNTH-RXN
S_S5_He_108_443	DIHYDROFOLATESYNTH-RXN
S_S5_He_108_444	GLUTDEHYD-RXN
S_S5_He_108_445	GLUTDEHYD-RXN
S_S5_He_108_450	PYRUVFORMLY-RXN
S_S5_He_108_451	PYRUVFORMLY-RXN
S_S5_He_108_452	PYRUVFORMLY-RXN
S_S5_He_108_453	THYMIDYLATESYN-RXN
S_S5_He_108_454	PRAISOM-RXN
S_S5_He_108_455	SELENOCYSTEINE-LYASE-RXN
S_S5_He_108_456	RXN-16391
S_S5_He_108_456	METHYLMALONYL-COA-EPIM-RXN
S_S5_He_108_457	RXN-16391
S_S5_He_108_457	METHYLMALONYL-COA-EPIM-RXN
S_S5_He_108_458	RXN-16391
S_S5_He_108_458	METHYLMALONYL-COA-EPIM-RXN
S_S5_He_108_460	ALDOSE1EPIM-RXN
S_S5_He_108_460	ALDOSE-1-EPIMERASE-RXN
S_S5_He_108_461	ALDOSE1EPIM-RXN
S_S5_He_108_461	ALDOSE-1-EPIMERASE-RXN
S_S5_He_108_462	ALDOSE1EPIM-RXN
S_S5_He_108_462	ALDOSE-1-EPIMERASE-RXN
S_S5_He_108_463	ALDOSE1EPIM-RXN
S_S5_He_108_463	ALDOSE-1-EPIMERASE-RXN
S_S5_He_108_464	RXN-12002
S_S5_He_108_465	GAPOXNPHOSPHN-RXN
S_S5_He_108_466	RXN1G-94
S_S5_He_108_466	RXN1G-1015
S_S5_He_108_466	RXN1G-202
S_S5_He_108_466	RXN1G-883
S_S5_He_108_466	RXN1G-660
S_S5_He_108_466	RXN1G-374
S_S5_He_108_466	RXN1G-334
S_S5_He_108_466	RXN-8391
S_S5_He_108_466	RXN1G-582
S_S5_He_108_466	RXN1G-580
S_S5_He_108_466	RXN1G-89
S_S5_He_108_466	2.3.1.179-RXN
S_S5_He_108_466	RXN1G-1212
S_S5_He_108_466	RXN1G-424
S_S5_He_108_466	RXN1G-818
S_S5_He_108_466	RXN1G-79
S_S5_He_108_466	RXN1G-172
S_S5_He_108_466	RXN1G-557
S_S5_He_108_466	RXN1G-32
S_S5_He_108_467	RXN8J2-140
S_S5_He_108_468	2.7.7.60-RXN
S_S5_He_108_469	2.7.7.60-RXN
S_S5_He_108_470	TRYPTOPHAN--TRNA-LIGASE-RXN
S_S5_He_108_471	TRYPTOPHAN--TRNA-LIGASE-RXN
S_S5_He_108_472	FRUCTOKINASE-RXN
S_S5_He_108_473	FRUCTOKINASE-RXN
S_S5_He_108_474	AKBLIG-RXN
S_S5_He_108_475	RXN-14517
S_S5_He_108_475	RXN-12458
S_S5_He_108_476	RXN-982
S_S5_He_108_477	RXN-14285
S_S5_He_108_477	RXN-14284
S_S5_He_108_477	RXN-14286
S_S5_He_108_477	RXN-14353
S_S5_He_108_477	RXN-9025
S_S5_He_108_477	RXN0-5182
S_S5_He_108_477	RXN0-5184
S_S5_He_108_477	GLYCOPHOSPHORYL-RXN
S_S5_He_108_477	RXN-12171
S_S5_He_108_477	GLYMALTOPHOSPHORYL-RXN
S_S5_He_108_477	RXN-1826
S_S5_He_108_477	RXN-12392
S_S5_He_108_478	RXN-14285
S_S5_He_108_478	RXN-14284
S_S5_He_108_478	RXN-14286
S_S5_He_108_478	RXN-14353
S_S5_He_108_478	RXN-9025
S_S5_He_108_478	RXN0-5182
S_S5_He_108_478	RXN0-5184
S_S5_He_108_478	GLYCOPHOSPHORYL-RXN
S_S5_He_108_478	RXN-12171
S_S5_He_108_478	GLYMALTOPHOSPHORYL-RXN
S_S5_He_108_478	RXN-1826
S_S5_He_108_478	RXN-12392
S_S5_He_108_479	RXN-14249
S_S5_He_108_479	THREODEHYD-RXN
S_S5_He_108_480	3.6.3.8-RXN
S_S5_He_108_481	3.6.3.8-RXN
S_S5_He_108_482	3.6.3.8-RXN
S_S5_He_108_483	3.6.3.8-RXN
S_S5_He_108_484	3.6.3.8-RXN
S_S5_He_108_485	3.6.3.8-RXN
S_S5_He_108_486	PRTRANS-RXN
S_S5_He_108_487	DTDPGLUCDEHYDRAT-RXN
S_S5_He_108_488	DTDPGLUCDEHYDRAT-RXN
S_S5_He_108_489	DTDPGLUCOSEPP-RXN
S_S5_He_108_490	BIOTINLIG-RXN
S_S5_He_108_491	HISTIDINE--TRNA-LIGASE-RXN
S_S5_He_108_492	RXN-13158
S_S5_He_108_492	RXN-14986
S_S5_He_108_493	PHOSGLYPHOS-RXN
S_S5_He_108_494	ADENYLOSUCCINATE-SYNTHASE-RXN
S_S5_He_108_495	ADENYLOSUCCINATE-SYNTHASE-RXN
S_S5_He_108_496	GART-RXN
S_S5_He_108_497	RXN66-1
S_S5_He_108_497	RXN-14189
S_S5_He_108_497	CATAL-RXN
S_S5_He_108_498	NMNAMIDOHYDRO-RXN
S_S5_He_108_499	RXN-14207
S_S5_He_108_499	PEPDEPHOS-RXN
S_S5_He_108_499	RXN-14117
S_S5_He_108_499	RXN-14192
S_S5_He_108_500	GCVT-RXN
S_S5_He_108_501	GCVP-RXN
S_S5_He_108_502	GCVP-RXN
S_S5_He_108_503	RXN-15878
S_S5_He_108_504	RXN0-882
S_S5_He_108_505	RXN-12460
S_S5_He_108_505	AMINOCYL-TRNA-HYDROLASE-RXN
S_S5_He_108_505	RXN-16637
S_S5_He_108_506	ALANINE--TRNA-LIGASE-RXN
S_S5_He_108_507	ALANINE--TRNA-LIGASE-RXN
S_S5_He_108_508	RXN-11633
S_S5_He_108_509	RXN-11319
S_S5_He_108_510	AIRS-RXN
S_S5_He_108_511	PRPPAMIDOTRANS-RXN
S_S5_He_108_512	P-PANTOCYSDECARB-RXN
S_S5_He_108_513	P-PANTOCYSLIG-RXN
S_S5_He_108_516	HISTIDPHOS-RXN
S_S5_He_108_517	HISTIDPHOS-RXN
S_S5_He_108_518	GUANYL-KIN-RXN
S_S5_He_108_519	GUANYL-KIN-RXN
S_S5_He_108_520	GUANYL-KIN-RXN
S_S5_He_108_521	2.3.1.180-RXN
S_S5_He_108_522	DXPREDISOM-RXN
S_S5_He_108_523	PANTEPADENYLYLTRAN-RXN
S_S5_He_108_524	RXN0-5462
S_S5_He_108_525	SERINE--TRNA-LIGASE-RXN
S_S5_He_108_525	RXN0-2161
S_S5_He_108_526	FUMHYDR-RXN
S_S5_He_108_527	FUMHYDR-RXN
S_S5_He_108_528	DIHYDRODIPICSYN-RXN
S_S5_He_108_529	DIHYDRODIPICSYN-RXN
S_S5_He_108_530	DIHYDRODIPICSYN-RXN
S_S5_He_108_531	DIHYDRODIPICSYN-RXN
S_S5_He_108_532	RXN-14014
S_S5_He_108_533	THREONINE--TRNA-LIGASE-RXN
S_S5_He_108_534	THREONINE--TRNA-LIGASE-RXN
S_S5_He_108_535	RXN-14712
S_S5_He_108_535	RXN-15521
S_S5_He_108_535	2.4.1.129-RXN
S_S5_He_108_535	RXN-11350
S_S5_He_108_535	RXN-11291
S_S5_He_108_535	RXN-16650
S_S5_He_108_535	RXN-11348
S_S5_He_108_536	RXN-14712
S_S5_He_108_536	RXN-15521
S_S5_He_108_536	2.4.1.129-RXN
S_S5_He_108_536	RXN-11350
S_S5_He_108_536	RXN-11291
S_S5_He_108_536	RXN-16650
S_S5_He_108_536	RXN-11348
S_S5_He_108_537	GLYC3PDEHYDROGBIOSYN-RXN
S_S5_He_108_538	LYSINE--TRNA-LIGASE-RXN
S_S5_He_108_539	GMP-SYN-GLUT-RXN
S_S5_He_108_540	GMP-SYN-GLUT-RXN
S_S5_He_108_541	BRANCHED-CHAINAMINOTRANSFERILEU-RXN
S_S5_He_108_541	BRANCHED-CHAINAMINOTRANSFERVAL-RXN
S_S5_He_108_541	BRANCHED-CHAINAMINOTRANSFERLEU-RXN
S_S5_He_108_542	F16ALDOLASE-RXN
S_S5_He_108_542	RXN-8631
S_S5_He_108_543	F16ALDOLASE-RXN
S_S5_He_108_543	RXN-8631
S_S5_He_108_544	F16ALDOLASE-RXN
S_S5_He_108_544	RXN-8631
S_S5_He_108_545	F16ALDOLASE-RXN
S_S5_He_108_545	RXN-8631
S_S5_He_108_546	F16ALDOLASE-RXN
S_S5_He_108_546	RXN-8631
S_S5_He_108_547	DIAMINOPIMDECARB-RXN
S_S5_He_108_548	RXN0-1342
S_S5_He_108_549	PGLYCDEHYDROG-RXN
S_S5_He_108_550	PGLYCDEHYDROG-RXN
S_S5_He_108_553	ASPARAGINE--TRNA-LIGASE-RXN
S_S5_He_108_554	IMP-DEHYDROG-RXN
S_S5_He_108_555	IMP-DEHYDROG-RXN
S_S5_He_108_556	3-DEHYDROQUINATE-DEHYDRATASE-RXN
S_S5_He_108_557	PYRUFLAVREDUCT-RXN
S_S5_He_108_557	2-OXOBUTYRATE-SYNTHASE-RXN
S_S5_He_108_558	DAHPSYN-RXN
S_S5_He_108_559	DAHPSYN-RXN
S_S5_He_108_560	FADSYN-RXN
S_S5_He_108_561	RIBOFLAVINKIN-RXN
S_S5_He_108_562	RXN-11839
S_S5_He_108_563	325-BISPHOSPHATE-NUCLEOTIDASE-RXN
S_S5_He_108_565	RXN-1961
S_S5_He_108_566	RXN-13179
S_S5_He_108_567	RXN-13179
S_S5_He_108_568	IMIDPHOSDEHYD-RXN
S_S5_He_108_569	PRPPSYN-RXN
S_S5_He_108_570	PRPPSYN-RXN
S_S5_He_108_571	4.1.1.81-RXN
S_S5_He_108_572	4.1.1.81-RXN
S_S5_He_108_573	HISTAMINOTRANS-RXN
S_S5_He_108_574	HISTAMINOTRANS-RXN
S_S5_He_108_575	RXN-7669
S_S5_He_108_575	GLYCOGEN-BRANCH-RXN
S_S5_He_108_575	RXN-7710
S_S5_He_108_575	RXN-14371
S_S5_He_108_575	RXN-14372
S_S5_He_108_576	RXN-7669
S_S5_He_108_576	GLYCOGEN-BRANCH-RXN
S_S5_He_108_576	RXN-7710
S_S5_He_108_576	RXN-14371
S_S5_He_108_576	RXN-14372
S_S5_He_108_577	RXN-13482
S_S5_He_108_577	ORNCARBAMTRANSFER-RXN
S_S5_He_108_578	2.7.3.9-RXN
S_S5_He_108_579	5-FORMYL-THF-CYCLO-LIGASE-RXN
S_S5_He_108_580	GLYCINE--TRNA-LIGASE-RXN
S_S5_He_108_581	UGD-RXN
S_S5_He_108_582	RXN-11833
S_S5_He_108_583	ABC-14-RXN
S_S5_He_108_583	ABC-12-RXN
S_S5_He_108_583	RXN0-3
S_S5_He_108_583	ABC-4-RXN
S_S5_He_108_583	TRANS-RXN-265
S_S5_He_108_583	ABC-3-RXN
S_S5_He_108_583	TRANS-RXN0-222
S_S5_He_108_583	ABC-13-RXN
S_S5_He_108_583	TRANS-RXN0-593
S_S5_He_108_583	3.6.3.21-RXN
S_S5_He_108_583	ABC-37-RXN
S_S5_He_108_584	ABC-14-RXN
S_S5_He_108_584	ABC-12-RXN
S_S5_He_108_584	RXN0-3
S_S5_He_108_584	ABC-4-RXN
S_S5_He_108_584	TRANS-RXN-265
S_S5_He_108_584	ABC-3-RXN
S_S5_He_108_584	TRANS-RXN0-222
S_S5_He_108_584	ABC-13-RXN
S_S5_He_108_584	TRANS-RXN0-593
S_S5_He_108_584	3.6.3.21-RXN
S_S5_He_108_584	ABC-37-RXN
S_S5_He_108_585	ABC-14-RXN
S_S5_He_108_585	ABC-12-RXN
S_S5_He_108_585	RXN0-3
S_S5_He_108_585	ABC-4-RXN
S_S5_He_108_585	TRANS-RXN-265
S_S5_He_108_585	ABC-3-RXN
S_S5_He_108_585	TRANS-RXN0-222
S_S5_He_108_585	ABC-13-RXN
S_S5_He_108_585	TRANS-RXN0-593
S_S5_He_108_585	3.6.3.21-RXN
S_S5_He_108_585	ABC-37-RXN
S_S5_He_108_586	ABC-14-RXN
S_S5_He_108_586	ABC-12-RXN
S_S5_He_108_586	RXN0-3
S_S5_He_108_586	ABC-4-RXN
S_S5_He_108_586	TRANS-RXN-265
S_S5_He_108_586	ABC-3-RXN
S_S5_He_108_586	TRANS-RXN0-222
S_S5_He_108_586	ABC-13-RXN
S_S5_He_108_586	TRANS-RXN0-593
S_S5_He_108_586	3.6.3.21-RXN
S_S5_He_108_586	ABC-37-RXN
S_S5_He_108_587	RXN-15006
S_S5_He_108_587	N-ACETYLGLUTPREDUCT-RXN
S_S5_He_108_588	GLUTAMATE-N-ACETYLTRANSFERASE-RXN
S_S5_He_108_589	PRIBFAICARPISOM-RXN
S_S5_He_108_590	RXN-11598
S_S5_He_108_591	DIHYDROFOLATEREDUCT-RXN
S_S5_He_108_592	DIHYDROFOLATEREDUCT-RXN
S_S5_He_108_593	THIAZOLSYN3-RXN
S_S5_He_108_594	SHIKIMATE-KINASE-RXN
S_S5_He_108_595	SHIKIMATE-KINASE-RXN
S_S5_He_108_596	RXN-16076
S_S5_He_108_596	RXN-16077
S_S5_He_108_596	RXN-16032
S_S5_He_108_596	RXN-16118
S_S5_He_108_596	RXN-15043
S_S5_He_108_596	RXN0-6705
S_S5_He_108_596	RXN-16067
S_S5_He_108_596	RXN-16066
S_S5_He_108_596	RXN-16025
S_S5_He_108_596	RXN0-5514
S_S5_He_108_596	RXN-1623
S_S5_He_108_596	1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN
S_S5_He_108_597	RXN-16076
S_S5_He_108_597	RXN-16077
S_S5_He_108_597	RXN-16032
S_S5_He_108_597	RXN-16118
S_S5_He_108_597	RXN-15043
S_S5_He_108_597	RXN0-6705
S_S5_He_108_597	RXN-16067
S_S5_He_108_597	RXN-16066
S_S5_He_108_597	RXN-16025
S_S5_He_108_597	RXN0-5514
S_S5_He_108_597	RXN-1623
S_S5_He_108_597	1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN
S_S5_He_108_598	3.1.26.3-RXN
S_S5_He_108_599	RXN-11637
S_S5_He_108_600	HISTCYCLOHYD-RXN
S_S5_He_108_601	RXN-11048
S_S5_He_108_601	RXN0-1922
S_S5_He_108_602	RXN-15294
S_S5_He_108_603	NAD-SYNTH-GLN-RXN
S_S5_He_108_604	RXN-8001
S_S5_He_108_605	RXN-14569
S_S5_He_108_606	RXN0-1321
S_S5_He_108_606	QUEUOSINE-TRNA-RIBOSYLTRANSFERASE-RXN
S_S5_He_108_607	TRNA-GUANINE-N7--METHYLTRANSFERASE-RXN
S_S5_He_108_608	VALINE--TRNA-LIGASE-RXN
S_S5_He_108_609	3PGAREARR-RXN
S_S5_He_108_610	3PGAREARR-RXN
S_S5_He_108_611	DXS-RXN
S_S5_He_108_612	CHLORAMPHENICOL-O-ACETYLTRANSFERASE-RXN
S_S5_He_108_613	CHLORAMPHENICOL-O-ACETYLTRANSFERASE-RXN
S_S5_He_108_614	PREPHENATEDEHYDROG-RXN
S_S5_He_108_615	DCMP-DEAMINASE-RXN
S_S5_He_108_616	RXN-7913
S_S5_He_108_616	RXN-11832
S_S5_He_108_617	RXN-7913
S_S5_He_108_617	RXN-11832
S_S5_He_108_618	THREDEHYD-RXN
S_S5_He_108_619	RFFTRANS-RXN
S_S5_He_108_620	R345-RXN
S_S5_He_108_621	COBALAMINSYN-RXN
S_S5_He_108_621	COBALAMIN5PSYN-RXN
S_S5_He_108_622	DMBPPRIBOSYLTRANS-RXN
S_S5_He_108_623	RXN-6261
S_S5_He_108_623	6.3.1.10-RXN
S_S5_He_108_624	SERINE-O-ACETTRAN-RXN
S_S5_He_108_625	SERINE-O-ACETTRAN-RXN
S_S5_He_108_626	GLUTSEMIALDEHYDROG-RXN
S_S5_He_108_627	GLUTKIN-RXN
S_S5_He_108_628	2TRANSKETO-RXN
S_S5_He_108_628	1TRANSKETO-RXN
S_S5_He_108_629	2TRANSKETO-RXN
S_S5_He_108_629	1TRANSKETO-RXN
S_S5_He_108_630	2TRANSKETO-RXN
S_S5_He_108_630	1TRANSKETO-RXN
S_S5_He_108_631	2TRANSKETO-RXN
S_S5_He_108_631	1TRANSKETO-RXN
S_S5_He_108_632	2TRANSKETO-RXN
S_S5_He_108_632	1TRANSKETO-RXN
S_S5_He_108_633	2TRANSKETO-RXN
S_S5_He_108_633	1TRANSKETO-RXN
S_S5_He_108_634	2TRANSKETO-RXN
S_S5_He_108_634	1TRANSKETO-RXN
S_S5_He_108_635	2TRANSKETO-RXN
S_S5_He_108_635	1TRANSKETO-RXN
S_S5_He_108_636	2TRANSKETO-RXN
S_S5_He_108_636	1TRANSKETO-RXN
S_S5_He_108_637	2TRANSKETO-RXN
S_S5_He_108_637	1TRANSKETO-RXN
S_S5_He_108_638	2TRANSKETO-RXN
S_S5_He_108_638	1TRANSKETO-RXN
S_S5_He_108_639	2TRANSKETO-RXN
S_S5_He_108_639	1TRANSKETO-RXN
S_S5_He_108_640	SAICARSYN-RXN
S_S5_He_108_641	S-ADENOSYLHOMOCYSTEINE-DEAMINASE-RXN
S_S5_He_108_642	4.2.99.18-RXN
S_S5_He_108_642	RXN0-2601
S_S5_He_108_643	4.2.99.18-RXN
S_S5_He_108_643	RXN0-2601
S_S5_He_108_644	4.2.99.18-RXN
S_S5_He_108_644	RXN0-2601
S_S5_He_108_645	4.2.99.18-RXN
S_S5_He_108_645	RXN0-2601
S_S5_He_108_646	RXN-10035
S_S5_He_108_647	ARGSUCCINSYN-RXN
S_S5_He_108_647	RXN-10
S_S5_He_108_648	1.8.1.4-RXN
S_S5_He_108_648	RXN0-1132
S_S5_He_108_648	RXN-7719
S_S5_He_108_648	RXN-8629
S_S5_He_108_648	RXN-7716
S_S5_He_108_649	1.8.1.4-RXN
S_S5_He_108_649	RXN0-1132
S_S5_He_108_649	RXN-7719
S_S5_He_108_649	RXN-8629
S_S5_He_108_649	RXN-7716
S_S5_He_108_650	TRIOSEPISOMERIZATION-RXN
S_S5_He_108_651	TRIOSEPISOMERIZATION-RXN
S_S5_He_108_652	TRIOSEPISOMERIZATION-RXN
S_S5_He_108_653	RXN-12730
S_S5_He_108_653	HOMOCYSMET-RXN
S_S5_He_108_654	RXN-12730
S_S5_He_108_654	HOMOCYSMET-RXN
S_S5_He_108_655	RXN-12730
S_S5_He_108_655	HOMOCYSMET-RXN
S_S5_He_108_656	DNA-CYTOSINE-5--METHYLTRANSFERASE-RXN
S_S5_He_108_657	DNA-CYTOSINE-5--METHYLTRANSFERASE-RXN
S_S5_He_108_658	AMPSYN-RXN
S_S5_He_108_658	AICARSYN-RXN
S_S5_He_108_659	AMPSYN-RXN
S_S5_He_108_659	AICARSYN-RXN
S_S5_He_108_660	SHIKIMATE-5-DEHYDROGENASE-RXN
S_S5_He_108_661	SHIKIMATE-5-DEHYDROGENASE-RXN
S_S5_He_108_662	RIBONUCLEOSIDE-DIP-REDUCTII-RXN
S_S5_He_108_662	RXN0-748
S_S5_He_108_662	RXN0-747
S_S5_He_108_662	GDPREDUCT-RXN
S_S5_He_108_662	ADPREDUCT-RXN
S_S5_He_108_662	RXN0-722
S_S5_He_108_662	CDPREDUCT-RXN
S_S5_He_108_662	UDPREDUCT-RXN
S_S5_He_108_662	RIBONUCLEOSIDE-DIP-REDUCTI-RXN
S_S5_He_108_663	RIBONUCLEOSIDE-DIP-REDUCTII-RXN
S_S5_He_108_663	RXN0-748
S_S5_He_108_663	RXN0-747
S_S5_He_108_663	GDPREDUCT-RXN
S_S5_He_108_663	ADPREDUCT-RXN
S_S5_He_108_663	RXN0-722
S_S5_He_108_663	CDPREDUCT-RXN
S_S5_He_108_663	UDPREDUCT-RXN
S_S5_He_108_663	RIBONUCLEOSIDE-DIP-REDUCTI-RXN
S_S5_He_108_664	ASPARTATEKIN-RXN
S_S5_He_108_665	ASPARTATEKIN-RXN
S_S5_He_108_666	ASPARTATEKIN-RXN
S_S5_He_108_667	HOMOSERDEHYDROG-RXN
S_S5_He_108_668	HOMOCYSMETB12-RXN
S_S5_He_108_669	HOMOCYSMETB12-RXN
S_S5_He_108_670	ACNEULY-RXN
S_S5_He_108_670	RXN-15313
S_S5_He_108_671	3.4.11.4-RXN
S_S5_He_108_672	ISOCITDEH-RXN
S_S5_He_108_673	2.7.7.8-RXN
S_S5_He_108_674	GUANPRIBOSYLTRAN-RXN
S_S5_He_108_674	HYPOXANPRIBOSYLTRAN-RXN
S_S5_He_108_675	RXN-9382
S_S5_He_108_676	RXN-9382
S_S5_He_108_677	RXN-9655
S_S5_He_108_677	RXN-10061
S_S5_He_108_677	RXN1G-760
S_S5_He_108_677	RXN-10656
S_S5_He_108_677	RXN1G-220
S_S5_He_108_677	RXN-9537
S_S5_He_108_677	RXN-9533
S_S5_He_108_677	RXN-9557
S_S5_He_108_677	4.2.1.61-RXN
S_S5_He_108_677	RXN1G-884
S_S5_He_108_677	RXN1G-648
S_S5_He_108_677	RXN1G-645
S_S5_He_108_677	RXN-16623
S_S5_He_108_677	RXN1G-355
S_S5_He_108_677	RXN1G-377
S_S5_He_108_677	RXN1G-27
S_S5_He_108_677	4.2.1.59-RXN
S_S5_He_108_677	RXN1G-214
S_S5_He_108_677	RXN1G-294
