S_S5_Ca_088_1	NADH-DEHYDROG-A-RXN
S_S5_Ca_088_321	RXN-14354
S_S5_Ca_088_321	RXN-14261
S_S5_Ca_088_321	RXN-14260
S_S5_Ca_088_321	AMYLOMALT-RXN
S_S5_Ca_088_321	RXN-9023
S_S5_Ca_088_321	RXN-12193
S_S5_Ca_088_321	RXN-1828
S_S5_Ca_088_321	RXN-12391
S_S5_Ca_088_322	RXN-14354
S_S5_Ca_088_322	RXN-14261
S_S5_Ca_088_322	RXN-14260
S_S5_Ca_088_322	AMYLOMALT-RXN
S_S5_Ca_088_322	RXN-9023
S_S5_Ca_088_322	RXN-12193
S_S5_Ca_088_322	RXN-1828
S_S5_Ca_088_322	RXN-12391
S_S5_Ca_088_323	3.1.21.2-RXN
S_S5_Ca_088_324	RXN0-5063
S_S5_Ca_088_325	RXN0-6366
S_S5_Ca_088_326	CYSTEINE--TRNA-LIGASE-RXN
S_S5_Ca_088_327	SUCCINYLDIAMINOPIMTRANS-RXN
S_S5_Ca_088_328	RXN-15007
S_S5_Ca_088_328	ACETYLORNTRANSAM-RXN
S_S5_Ca_088_329	RXN0-5515
S_S5_Ca_088_329	CDPDIGLYSYN-RXN
S_S5_Ca_088_330	VALINE-PYRUVATE-AMINOTRANSFER-RXN
S_S5_Ca_088_331	PHOSPHAGLYPSYN-RXN
S_S5_Ca_088_332	DNA-LIGASE-NAD+-RXN
S_S5_Ca_088_333	PREPHENATEDEHYDRAT-RXN
S_S5_Ca_088_334	CITSYN-RXN
S_S5_Ca_088_335	RXN-11860
S_S5_Ca_088_335	RXN-11865
S_S5_Ca_088_336	2.5.1.19-RXN
S_S5_Ca_088_337	THREONINE-ALDOLASE-RXN
S_S5_Ca_088_337	LTAA-RXN
S_S5_Ca_088_338	RXN-11737
S_S5_Ca_088_338	ASPAMINOTRANS-RXN
S_S5_Ca_088_338	RXN-13697
S_S5_Ca_088_338	RXN-10814
S_S5_Ca_088_339	RXN-11737
S_S5_Ca_088_339	ASPAMINOTRANS-RXN
S_S5_Ca_088_339	RXN-13697
S_S5_Ca_088_339	RXN-10814
S_S5_Ca_088_340	RXN-11737
S_S5_Ca_088_340	ASPAMINOTRANS-RXN
S_S5_Ca_088_340	RXN-13697
S_S5_Ca_088_340	RXN-10814
S_S5_Ca_088_341	RXN-8999
S_S5_Ca_088_342	2.7.1.148-RXN
S_S5_Ca_088_343	RXN-15005
S_S5_Ca_088_343	ACETYLGLUTKIN-RXN
S_S5_Ca_088_344	IMPCYCLOHYDROLASE-RXN
S_S5_Ca_088_345	AICARTRANSFORM-RXN
S_S5_Ca_088_346	ENTDB-RXN
S_S5_Ca_088_346	HOLO-ACP-SYNTH-RXN
S_S5_Ca_088_346	RXN-15889
S_S5_Ca_088_346	RXN-16759
S_S5_Ca_088_346	RXN-10994
S_S5_Ca_088_347	ARGININE--TRNA-LIGASE-RXN
S_S5_Ca_088_350	RXN0-1441
S_S5_Ca_088_351	CHORISMATEMUT-RXN
S_S5_Ca_088_352	5.99.1.2-RXN
S_S5_Ca_088_353	METHYLENETHFDEHYDROG-NADP-RXN
S_S5_Ca_088_354	RXN-11588
S_S5_Ca_088_355	LEUCINE--TRNA-LIGASE-RXN
S_S5_Ca_088_356	S-ADENMETSYN-RXN
S_S5_Ca_088_357	3.4.21.92-RXN
S_S5_Ca_088_358	RXN-14570
S_S5_Ca_088_359	RXN0-6274
S_S5_Ca_088_360	RXN-8976
S_S5_Ca_088_360	RXN-11029
S_S5_Ca_088_360	NACGLCTRANS-RXN
S_S5_Ca_088_360	RXN-11346
S_S5_Ca_088_361	UDP-NACMURALA-GLU-LIG-RXN
S_S5_Ca_088_362	RXN-8975
S_S5_Ca_088_362	RXN-11347
S_S5_Ca_088_362	PHOSNACMURPENTATRANS-RXN
S_S5_Ca_088_363	UDP-NACMURALGLDAPAALIG-RXN
S_S5_Ca_088_363	6.3.2.10-RXN
S_S5_Ca_088_364	UDP-NACMURALGLDAPLIG-RXN
S_S5_Ca_088_365	RXN-11638
S_S5_Ca_088_367	RXN-10060
S_S5_Ca_088_367	RXN-9518
S_S5_Ca_088_367	RXN-9514
S_S5_Ca_088_367	RXN-10655
S_S5_Ca_088_367	RXN-10659
S_S5_Ca_088_367	RXN-9536
S_S5_Ca_088_367	RXN1G-240
S_S5_Ca_088_367	RXN1G-203
S_S5_Ca_088_367	RXN-13008
S_S5_Ca_088_367	RXN-9556
S_S5_Ca_088_367	RXN-9552
S_S5_Ca_088_367	RXN1G-1247
S_S5_Ca_088_367	RXN1G-881
S_S5_Ca_088_367	RXN-16622
S_S5_Ca_088_367	RXN-16626
S_S5_Ca_088_367	RXN1G-358
S_S5_Ca_088_367	RXN1G-157
S_S5_Ca_088_367	RXN1G-508
S_S5_Ca_088_367	RXN-9532
S_S5_Ca_088_367	RXN0-2142
S_S5_Ca_088_367	RXN1G-717
S_S5_Ca_088_367	RXN-11480
S_S5_Ca_088_367	RXN1G-481
S_S5_Ca_088_367	RXN1G-252
S_S5_Ca_088_367	3-OXOACYL-ACP-REDUCT-RXN
S_S5_Ca_088_367	RXN-9524
S_S5_Ca_088_367	RXN-9528
S_S5_Ca_088_367	RXN1G-637
S_S5_Ca_088_367	RXN1G-951
S_S5_Ca_088_367	RXN-9540
S_S5_Ca_088_367	RXN1G-408
S_S5_Ca_088_367	RXN1G-409
S_S5_Ca_088_367	RXN1G-617
S_S5_Ca_088_367	RXN1G-613
S_S5_Ca_088_367	RXN1G-384
S_S5_Ca_088_367	RXN1G-469
S_S5_Ca_088_367	RXN-16630
S_S5_Ca_088_367	RXN1G-72
S_S5_Ca_088_367	RXN1G-349
S_S5_Ca_088_367	RXN1G-163
S_S5_Ca_088_367	RXN-16616
S_S5_Ca_088_367	RXN1G-853
S_S5_Ca_088_367	RXN-11476
S_S5_Ca_088_367	RXN1G-184
S_S5_Ca_088_367	RXN1G-182
S_S5_Ca_088_367	RXN1G-364
S_S5_Ca_088_367	RXN1G-287
S_S5_Ca_088_367	RXN1G-1053
S_S5_Ca_088_367	RXN1G-1050
S_S5_Ca_088_367	RXN-9633
S_S5_Ca_088_367	RXN1G-262
S_S5_Ca_088_367	RXN1G-260
S_S5_Ca_088_368	L-ASPARTATE-OXID-RXN
S_S5_Ca_088_369	L-ASPARTATE-OXID-RXN
S_S5_Ca_088_370	RIBULP3EPIM-RXN
S_S5_Ca_088_371	METHENYLTHFCYCLOHYDRO-RXN
S_S5_Ca_088_372	CTPSYN-RXN
S_S5_Ca_088_373	RXN66-532
S_S5_Ca_088_373	PHOSPHOGLUCMUT-RXN
S_S5_Ca_088_374	TYROSINE--TRNA-LIGASE-RXN
S_S5_Ca_088_375	RXN0-743
S_S5_Ca_088_376	URACIL-PRIBOSYLTRANS-RXN
S_S5_Ca_088_377	URACIL-PRIBOSYLTRANS-RXN
S_S5_Ca_088_378	ASPCARBTRANS-RXN
S_S5_Ca_088_379	GTP-CYCLOHYDRO-I-RXN
S_S5_Ca_088_381	ATPPHOSPHORIBOSYLTRANS-RXN
S_S5_Ca_088_382	3.4.11.9-RXN
S_S5_Ca_088_383	RXN0-5297
S_S5_Ca_088_383	6-PHOSPHO-BETA-GLUCOSIDASE-RXN
S_S5_Ca_088_383	RXN0-5295
S_S5_Ca_088_383	RXN0-6994
S_S5_Ca_088_383	RXN0-7002
S_S5_Ca_088_384	RXN0-5297
S_S5_Ca_088_384	6-PHOSPHO-BETA-GLUCOSIDASE-RXN
S_S5_Ca_088_384	RXN0-5295
S_S5_Ca_088_384	RXN0-6994
S_S5_Ca_088_384	RXN0-7002
S_S5_Ca_088_385	ARYLSULFATE-SULFOTRANSFERASE-RXN
S_S5_Ca_088_386	RIBOKIN-RXN
S_S5_Ca_088_386	RXN-14223
S_S5_Ca_088_387	DEOXYADENPHOSPHOR-RXN
S_S5_Ca_088_387	RXN-7001
S_S5_Ca_088_387	RXN-14029
S_S5_Ca_088_387	XANTHOSINEPHOSPHORY-RXN
S_S5_Ca_088_387	RXN-11715
S_S5_Ca_088_387	RXN-11743
S_S5_Ca_088_387	INOPHOSPHOR-RXN
S_S5_Ca_088_387	PNP-RXN
S_S5_Ca_088_387	DEOXYGUANPHOSPHOR-RXN
S_S5_Ca_088_387	ADENPHOSPHOR-RXN
S_S5_Ca_088_387	DEOXYINOPHOSPHOR-RXN
S_S5_Ca_088_387	RXN0-5199
S_S5_Ca_088_388	RXN-11146
S_S5_Ca_088_389	RXN-11146
S_S5_Ca_088_390	PURINE-NUCLEOSIDASE-RXN
S_S5_Ca_088_390	RXN0-363
S_S5_Ca_088_390	RXN0-366
S_S5_Ca_088_391	GDPPYPHOSKIN-RXN
S_S5_Ca_088_391	GTPPYPHOSKIN-RXN
S_S5_Ca_088_392	SUCCDIAMINOPIMDESUCC-RXN
S_S5_Ca_088_393	SUCCDIAMINOPIMDESUCC-RXN
S_S5_Ca_088_394	RXN-12174
S_S5_Ca_088_395	3.4.13.9-RXN
S_S5_Ca_088_396	OROTATE-REDUCTASE-NADH-RXN
S_S5_Ca_088_397	DTDPDEHYDRHAMEPIM-RXN
S_S5_Ca_088_398	DTDPDEHYDRHAMEPIM-RXN
S_S5_Ca_088_400	L-GLN-FRUCT-6-P-AMINOTRANS-RXN
S_S5_Ca_088_401	3.6.3.3-RXN
S_S5_Ca_088_402	3.6.3.3-RXN
S_S5_Ca_088_403	RXN0-5205
S_S5_Ca_088_404	RXN0-5205
S_S5_Ca_088_405	GLYCEROL-KIN-RXN
S_S5_Ca_088_406	5.4.2.10-RXN
S_S5_Ca_088_407	5.4.2.10-RXN
S_S5_Ca_088_408	GALPMUT-RXN
S_S5_Ca_088_409	GALPMUT-RXN
S_S5_Ca_088_410	3.6.3.40-RXN
S_S5_Ca_088_411	ADENINE-DEAMINASE-RXN
S_S5_Ca_088_412	RIB5PISOM-RXN
S_S5_Ca_088_413	RIB5PISOM-RXN
S_S5_Ca_088_414	RXN-1461
S_S5_Ca_088_414	RXN-9985
S_S5_Ca_088_415	RXN-1461
S_S5_Ca_088_415	RXN-9985
S_S5_Ca_088_416	GLUCONATE-5-DEHYDROGENASE-RXN
S_S5_Ca_088_417	DEPHOSPHOCOAKIN-RXN
S_S5_Ca_088_418	BTUR2-RXN
S_S5_Ca_088_418	COBALADENOSYLTRANS-RXN
S_S5_Ca_088_418	R344-RXN
S_S5_Ca_088_419	L-LACTATE-DEHYDROGENASE-RXN
S_S5_Ca_088_420	L-LACTATE-DEHYDROGENASE-RXN
S_S5_Ca_088_421	RXN-13671
S_S5_Ca_088_421	ACETALD-DEHYDROG-RXN
S_S5_Ca_088_422	CARBAMATE-KINASE-RXN
S_S5_Ca_088_423	CARBAMATE-KINASE-RXN
S_S5_Ca_088_424	RXN-8141
S_S5_Ca_088_425	KDPGALDOL-RXN
S_S5_Ca_088_426	DEOXYGLUCONOKIN-RXN
S_S5_Ca_088_428	RXN0-4641
S_S5_Ca_088_429	RXN-7737
S_S5_Ca_088_430	GLUC1PADENYLTRANS-RXN
S_S5_Ca_088_431	GLUC1PADENYLTRANS-RXN
S_S5_Ca_088_432	2-ENOATE-REDUCTASE-RXN
S_S5_Ca_088_433	1.15.1.2-RXN
S_S5_Ca_088_435	RXN-8348
S_S5_Ca_088_437	UDP-NACMUR-ALA-LIG-RXN
S_S5_Ca_088_438	NICOTINATEPRIBOSYLTRANS-RXN
S_S5_Ca_088_440	RXN-14338
S_S5_Ca_088_448	XANPRIBOSYLTRAN-RXN
S_S5_Ca_088_449	2.7.9.3-RXN
S_S5_Ca_088_457	UDPSUGARHYDRO-RXN
S_S5_Ca_088_458	4.3.1.15-RXN
S_S5_Ca_088_459	2.9.1.1-RXN
S_S5_Ca_088_460	TRANS-RXN-250
S_S5_Ca_088_460	3.6.3.2-RXN
S_S5_Ca_088_461	3.6.3.29-RXN
S_S5_Ca_088_461	ABC-19-RXN
S_S5_Ca_088_464	RXN0-2101
S_S5_Ca_088_467	DUTP-PYROP-RXN
S_S5_Ca_088_470	FLAVONADPREDUCT-RXN
S_S5_Ca_088_470	1.18.1.2-RXN
S_S5_Ca_088_471	FLAVONADPREDUCT-RXN
S_S5_Ca_088_471	1.18.1.2-RXN
S_S5_Ca_088_472	UDPNACETYLMURAMATEDEHYDROG-RXN
S_S5_Ca_088_473	UDPNACETYLMURAMATEDEHYDROG-RXN
S_S5_Ca_088_474	RIBOSYLHOMOCYSTEINASE-RXN
S_S5_Ca_088_475	RXN0-5260
S_S5_Ca_088_475	RXN-15740
S_S5_Ca_088_475	RXN-15745
S_S5_Ca_088_476	RXN-14148
S_S5_Ca_088_477	MYO-INOSITOL-2-DEHYDROGENASE-RXN
S_S5_Ca_088_478	ADENOSYLHOMOCYSTEINE-NUCLEOSIDASE-RXN
S_S5_Ca_088_479	ASPARTATE-RACEMASE-RXN
S_S5_Ca_088_480	TRANSALDOL-RXN
S_S5_Ca_088_481	CHOLOYLGLYCINE-HYDROLASE-RXN
S_S5_Ca_088_482	GLYCOLALDREDUCT-RXN
S_S5_Ca_088_482	LACTALDREDUCT-RXN
S_S5_Ca_088_482	RXN-8641
S_S5_Ca_088_483	ASPARAGHYD-RXN
S_S5_Ca_088_484	GLYCDEH-RXN
S_S5_Ca_088_485	GLYCDEH-RXN
S_S5_Ca_088_486	GLYCDEH-RXN
S_S5_Ca_088_487	TRNA-S-TRANSFERASE-RXN
S_S5_Ca_088_488	RXN-14531
S_S5_Ca_088_489	PEPCARBOXYKIN-RXN
S_S5_Ca_088_490	ASNSYNB-RXN
S_S5_Ca_088_491	THRESYN-RXN
S_S5_Ca_088_492	3.4.21.88-RXN
S_S5_Ca_088_493	3-HYDROXYISOBUTYRATE-DEHYDROGENASE-RXN
S_S5_Ca_088_494	HISTPRATPHYD-RXN
S_S5_Ca_088_495	HISTPRATPHYD-RXN
S_S5_Ca_088_496	RXN-15117
S_S5_Ca_088_496	RXN-15118
S_S5_Ca_088_497	F16BDEPHOS-RXN
S_S5_Ca_088_498	PSERTRANSAMPYR-RXN
S_S5_Ca_088_498	PSERTRANSAM-RXN
S_S5_Ca_088_499	5.1.3.9-RXN
S_S5_Ca_088_499	NANE-RXN
S_S5_Ca_088_500	GLUTRACE-RXN
S_S5_Ca_088_501	RXN0-6515
S_S5_Ca_088_502	ADENYLYLSULFATE-REDUCTASE-RXN
S_S5_Ca_088_503	THIAMIN-PYROPHOSPHOKINASE-RXN
S_S5_Ca_088_504	3.4.17.19-RXN
S_S5_Ca_088_505	GALACTURIDYLYLTRANS-RXN
S_S5_Ca_088_506	GALACTURIDYLYLTRANS-RXN
S_S5_Ca_088_508	RXN-9238
S_S5_Ca_088_508	RXN-9231
S_S5_Ca_088_508	RXN-15309
S_S5_Ca_088_508	3-OCTAPRENYL-4-OHBENZOATE-DECARBOX-RXN
S_S5_Ca_088_508	RXN-9223
S_S5_Ca_088_509	GLYCOGENSYN-RXN
S_S5_Ca_088_510	3.4.11.21-RXN
S_S5_Ca_088_511	TRNA-CYTIDYLYLTRANSFERASE-RXN
S_S5_Ca_088_512	RXN66-337
S_S5_Ca_088_512	3.4.13.19-RXN
S_S5_Ca_088_512	RXN-15682
S_S5_Ca_088_513	HOMSUCTRAN-RXN
S_S5_Ca_088_514	1PFRUCTPHOSN-RXN
S_S5_Ca_088_515	1PFRUCTPHOSN-RXN
S_S5_Ca_088_516	RXN-14280
S_S5_Ca_088_516	ALDHDEHYDROG-RXN
S_S5_Ca_088_516	RXN-9758
S_S5_Ca_088_516	RXN-14225
S_S5_Ca_088_516	RXN-14224
S_S5_Ca_088_516	RXN-10089
S_S5_Ca_088_516	R222-RXN
S_S5_Ca_088_516	RXN-37
S_S5_Ca_088_516	RXN66-3
S_S5_Ca_088_516	RXN-15819
S_S5_Ca_088_516	RXN-15855
S_S5_Ca_088_516	RXN6666-5
S_S5_Ca_088_516	RXN-3443
S_S5_Ca_088_516	RXN-10780
S_S5_Ca_088_516	RXN-4142
S_S5_Ca_088_516	RXN-10912
S_S5_Ca_088_516	RXN-10917
S_S5_Ca_088_516	RXN-10715
S_S5_Ca_088_516	RXN66-479
S_S5_Ca_088_516	RXN66-472
S_S5_Ca_088_516	RXN66-476
S_S5_Ca_088_516	RXN-16654
S_S5_Ca_088_516	RXN-16655
S_S5_Ca_088_516	RXN-16656
S_S5_Ca_088_516	RXN-16653
S_S5_Ca_088_516	RXN-15822
S_S5_Ca_088_517	RXN-11578
S_S5_Ca_088_518	ACYLPHOSPHATASE-RXN
S_S5_Ca_088_519	ACETATEKIN-RXN
S_S5_Ca_088_520	ACETATEKIN-RXN
S_S5_Ca_088_527	RXN-11322
S_S5_Ca_088_528	RXN-11322
S_S5_Ca_088_529	LACTOSE-6-PHOSPHATE-ISOMERASE-RXN
S_S5_Ca_088_530	LACTOSE-6-PHOSPHATE-ISOMERASE-RXN
S_S5_Ca_088_531	TAGAKIN-RXN
S_S5_Ca_088_532	TAGAKIN-RXN
S_S5_Ca_088_533	ARGININE-DEIMINASE-RXN
S_S5_Ca_088_534	CEPHALOSPORIN-C-DEACETYLASE-RXN
S_S5_Ca_088_535	CEPHALOSPORIN-C-DEACETYLASE-RXN
S_S5_Ca_088_536	RXN-13759
S_S5_Ca_088_537	RXN-13758
S_S5_Ca_088_538	RXN-14715
S_S5_Ca_088_538	RXN-7911
S_S5_Ca_088_538	RXN-12521
S_S5_Ca_088_538	DIENOYLCOAREDUCT-RXN
S_S5_Ca_088_538	RXN-14776
S_S5_Ca_088_538	RXN-7835
S_S5_Ca_088_538	RXN-14790
S_S5_Ca_088_539	NAG1P-URIDYLTRANS-RXN
S_S5_Ca_088_540	2.3.1.157-RXN
S_S5_Ca_088_541	2.1.1.74-RXN
S_S5_Ca_088_543	RXN0-3364
S_S5_Ca_088_546	DIACYLGLYKIN-RXN
S_S5_Ca_088_547	RXN-15513
S_S5_Ca_088_548	PEPCARBOX-RXN
S_S5_Ca_088_549	SPERMIDINESYN-RXN
S_S5_Ca_088_550	1.2.1.27-RXN
S_S5_Ca_088_550	RXN-11213
S_S5_Ca_088_551	RXN-9958
S_S5_Ca_088_552	ALANINE-AMINOTRANSFERASE-RXN
S_S5_Ca_088_552	RXN-13698
S_S5_Ca_088_553	RXN-6380
S_S5_Ca_088_554	GLCNACPTRANS-RXN
S_S5_Ca_088_555	3.2.1.58-RXN
S_S5_Ca_088_556	DIMETHYLARGININASE-RXN
S_S5_Ca_088_557	6-HYDROXYNICOTINATE-REDUCTASE-RXN
S_S5_Ca_088_558	HOMOSERKIN-RXN
S_S5_Ca_088_559	3.6.3.4-RXN
S_S5_Ca_088_560	RXN-9237
S_S5_Ca_088_560	2.1.1.64-RXN
S_S5_Ca_088_560	RXN3O-102
S_S5_Ca_088_560	RXN-9229
S_S5_Ca_088_560	DHHB-METHYLTRANSFER-RXN
S_S5_Ca_088_560	RXN-11758
S_S5_Ca_088_561	RXN-9240
S_S5_Ca_088_561	RXN-9233
S_S5_Ca_088_561	RXN-9225
S_S5_Ca_088_561	RXN-12160
S_S5_Ca_088_561	2-OCTAPRENYL-6-OHPHENOL-METHY-RXN
S_S5_Ca_088_562	ISOCITRATE-DEHYDROGENASE-NAD+-RXN
S_S5_Ca_088_563	TETHYDPICSUCC-RXN
S_S5_Ca_088_565	RXN-10857
S_S5_Ca_088_565	H2NEOPTERINALDOL-RXN
S_S5_Ca_088_567	6.3.1.12-RXN
S_S5_Ca_088_567	RXN-11344
S_S5_Ca_088_567	RXN-11342
S_S5_Ca_088_568	TAGAALDOL-RXN
S_S5_Ca_088_569	RXN-15306
S_S5_Ca_088_570	RXN-11573
S_S5_Ca_088_571	RXN0-6731
S_S5_Ca_088_572	3-HYDROXYBUTYRYL-COA-DEHYDROGENASE-RXN
S_S5_Ca_088_573	IPPISOM-RXN
S_S5_Ca_088_574	RXN-11574
S_S5_Ca_088_575	RXN0-6950
S_S5_Ca_088_576	UDPGLCNACEPIM-RXN
S_S5_Ca_088_577	DIHYDROURACIL-DEHYDROGENASE-NAD+-RXN
S_S5_Ca_088_577	RXN0-6565
S_S5_Ca_088_578	XYLISOM-RXN
S_S5_Ca_088_578	GLUCISOM-RXN
S_S5_Ca_088_579	ARGINASE-RXN
S_S5_Ca_088_579	RXN-34
S_S5_Ca_088_580	RXN-13596
