Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34
1193R_NS1_week24_S38_L001_R2_001	(3.0, 1.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 2.0)	(12.0, 18.0)	(13.0, 90.0)	(14.0, 240.0)	(15.0, 318.0)	(16.0, 407.0)	(17.0, 320.0)	(18.0, 268.0)	(19.0, 309.0)	(20.0, 335.0)	(21.0, 420.0)	(22.0, 483.0)	(23.0, 549.0)	(24.0, 681.0)	(25.0, 895.0)	(26.0, 1118.0)	(27.0, 1583.0)	(28.0, 2170.0)	(29.0, 3043.0)	(30.0, 4312.0)	(31.0, 6035.0)	(32.0, 8242.0)	(33.0, 11382.0)	(34.0, 14418.0)	(35.0, 16265.0)	(36.0, 16706.0)	(37.0, 1932.0)
184R_0_M_NS6_week5_S7_L001_R1_001	(17.0, 2.0)	(18.0, 9.0)	(19.0, 24.0)	(20.0, 56.0)	(21.0, 146.0)	(22.0, 264.0)	(23.0, 356.0)	(24.0, 464.0)	(25.0, 582.0)	(26.0, 647.0)	(27.0, 783.0)	(28.0, 950.0)	(29.0, 1160.0)	(30.0, 1372.0)	(31.0, 1607.0)	(32.0, 1976.0)	(33.0, 2599.0)	(34.0, 3894.0)	(35.0, 6535.0)	(36.0, 14091.0)	(37.0, 39536.0)														
184R_0_M_NS6_week5_S7_L001_R2_001	(11.0, 2.0)	(12.0, 26.0)	(13.0, 87.0)	(14.0, 282.0)	(15.0, 466.0)	(16.0, 493.0)	(17.0, 390.0)	(18.0, 341.0)	(19.0, 336.0)	(20.0, 363.0)	(21.0, 427.0)	(22.0, 499.0)	(23.0, 524.0)	(24.0, 605.0)	(25.0, 706.0)	(26.0, 921.0)	(27.0, 1265.0)	(28.0, 1743.0)	(29.0, 2335.0)	(30.0, 3509.0)	(31.0, 5042.0)	(32.0, 7095.0)	(33.0, 9517.0)	(34.0, 12232.0)	(35.0, 13967.0)	(36.0, 12904.0)	(37.0, 976.0)								
2402R_0_F_S5_week5_S15_L001_R1_001	(16.0, 1.0)	(17.0, 5.0)	(18.0, 23.0)	(19.0, 39.0)	(20.0, 64.0)	(21.0, 163.0)	(22.0, 291.0)	(23.0, 428.0)	(24.0, 571.0)	(25.0, 712.0)	(26.0, 873.0)	(27.0, 1007.0)	(28.0, 1232.0)	(29.0, 1439.0)	(30.0, 1651.0)	(31.0, 2052.0)	(32.0, 2552.0)	(33.0, 3322.0)	(34.0, 4665.0)	(35.0, 7444.0)	(36.0, 16145.0)	(37.0, 51919.0)													
2402R_0_F_S5_week5_S15_L001_R2_001	(11.0, 2.0)	(12.0, 28.0)	(13.0, 144.0)	(14.0, 303.0)	(15.0, 415.0)	(16.0, 455.0)	(17.0, 363.0)	(18.0, 369.0)	(19.0, 409.0)	(20.0, 473.0)	(21.0, 525.0)	(22.0, 650.0)	(23.0, 698.0)	(24.0, 865.0)	(25.0, 1095.0)	(26.0, 1497.0)	(27.0, 2137.0)	(28.0, 2996.0)	(29.0, 4163.0)	(30.0, 5810.0)	(31.0, 7985.0)	(32.0, 10387.0)	(33.0, 13158.0)	(34.0, 15047.0)	(35.0, 14936.0)	(36.0, 10548.0)	(37.0, 1140.0)								
2402R_R_F_S5_week5_S16_L001_R1_001	(16.0, 1.0)	(17.0, 1.0)	(18.0, 12.0)	(19.0, 28.0)	(20.0, 80.0)	(21.0, 155.0)	(22.0, 278.0)	(23.0, 388.0)	(24.0, 525.0)	(25.0, 653.0)	(26.0, 827.0)	(27.0, 924.0)	(28.0, 1049.0)	(29.0, 1356.0)	(30.0, 1513.0)	(31.0, 1950.0)	(32.0, 2399.0)	(33.0, 3135.0)	(34.0, 4413.0)	(35.0, 7267.0)	(36.0, 15449.0)	(37.0, 48447.0)													
2402R_R_F_S5_week5_S16_L001_R2_001	(11.0, 2.0)	(12.0, 15.0)	(13.0, 67.0)	(14.0, 207.0)	(15.0, 311.0)	(16.0, 302.0)	(17.0, 304.0)	(18.0, 305.0)	(19.0, 320.0)	(20.0, 382.0)	(21.0, 439.0)	(22.0, 506.0)	(23.0, 621.0)	(24.0, 777.0)	(25.0, 969.0)	(26.0, 1312.0)	(27.0, 1854.0)	(28.0, 2638.0)	(29.0, 3917.0)	(30.0, 5356.0)	(31.0, 7380.0)	(32.0, 9733.0)	(33.0, 12180.0)	(34.0, 14482.0)	(35.0, 14582.0)	(36.0, 11093.0)	(37.0, 796.0)								
2403R_0_F_NS6_week5_S8_L001_R1_001	(16.0, 1.0)	(17.0, 2.0)	(18.0, 5.0)	(19.0, 21.0)	(20.0, 47.0)	(21.0, 153.0)	(22.0, 268.0)	(23.0, 343.0)	(24.0, 436.0)	(25.0, 554.0)	(26.0, 658.0)	(27.0, 781.0)	(28.0, 922.0)	(29.0, 1068.0)	(30.0, 1314.0)	(31.0, 1604.0)	(32.0, 2082.0)	(33.0, 2728.0)	(34.0, 4132.0)	(35.0, 6645.0)	(36.0, 14737.0)	(37.0, 49720.0)													
2403R_0_F_NS6_week5_S8_L001_R2_001	(9.0, 1.0)	(10.0, 0.0)	(11.0, 3.0)	(12.0, 15.0)	(13.0, 96.0)	(14.0, 267.0)	(15.0, 518.0)	(16.0, 540.0)	(17.0, 418.0)	(18.0, 392.0)	(19.0, 380.0)	(20.0, 432.0)	(21.0, 470.0)	(22.0, 475.0)	(23.0, 591.0)	(24.0, 682.0)	(25.0, 807.0)	(26.0, 1096.0)	(27.0, 1444.0)	(28.0, 1988.0)	(29.0, 2847.0)	(30.0, 4021.0)	(31.0, 5726.0)	(32.0, 7876.0)	(33.0, 10927.0)	(34.0, 13975.0)	(35.0, 16096.0)	(36.0, 15119.0)	(37.0, 1019.0)						
2433R_0_F_S5_week5_S17_L001_R1_001	(16.0, 1.0)	(17.0, 7.0)	(18.0, 14.0)	(19.0, 49.0)	(20.0, 104.0)	(21.0, 267.0)	(22.0, 438.0)	(23.0, 624.0)	(24.0, 827.0)	(25.0, 1037.0)	(26.0, 1214.0)	(27.0, 1394.0)	(28.0, 1643.0)	(29.0, 2119.0)	(30.0, 2479.0)	(31.0, 2866.0)	(32.0, 3540.0)	(33.0, 4619.0)	(34.0, 6546.0)	(35.0, 10508.0)	(36.0, 22165.0)	(37.0, 73341.0)													
2433R_0_F_S5_week5_S17_L001_R2_001	(8.0, 1.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 3.0)	(12.0, 15.0)	(13.0, 90.0)	(14.0, 328.0)	(15.0, 600.0)	(16.0, 674.0)	(17.0, 615.0)	(18.0, 595.0)	(19.0, 577.0)	(20.0, 645.0)	(21.0, 761.0)	(22.0, 888.0)	(23.0, 1031.0)	(24.0, 1230.0)	(25.0, 1502.0)	(26.0, 2028.0)	(27.0, 2813.0)	(28.0, 4014.0)	(29.0, 5777.0)	(30.0, 8086.0)	(31.0, 10849.0)	(32.0, 14574.0)	(33.0, 18414.0)	(34.0, 21625.0)	(35.0, 21710.0)	(36.0, 15376.0)	(37.0, 981.0)					
2475R_0_M_S5_week5_S18_L001_R1_001	(16.0, 2.0)	(17.0, 5.0)	(18.0, 11.0)	(19.0, 38.0)	(20.0, 99.0)	(21.0, 275.0)	(22.0, 464.0)	(23.0, 608.0)	(24.0, 824.0)	(25.0, 1072.0)	(26.0, 1256.0)	(27.0, 1526.0)	(28.0, 1773.0)	(29.0, 2161.0)	(30.0, 2615.0)	(31.0, 3252.0)	(32.0, 3968.0)	(33.0, 5239.0)	(34.0, 7391.0)	(35.0, 11849.0)	(36.0, 25626.0)	(37.0, 84287.0)													
2475R_0_M_S5_week5_S18_L001_R2_001	(9.0, 1.0)	(10.0, 1.0)	(11.0, 1.0)	(12.0, 23.0)	(13.0, 128.0)	(14.0, 376.0)	(15.0, 699.0)	(16.0, 761.0)	(17.0, 645.0)	(18.0, 598.0)	(19.0, 682.0)	(20.0, 721.0)	(21.0, 743.0)	(22.0, 968.0)	(23.0, 1086.0)	(24.0, 1320.0)	(25.0, 1640.0)	(26.0, 2202.0)	(27.0, 3059.0)	(28.0, 4435.0)	(29.0, 6312.0)	(30.0, 8925.0)	(31.0, 12413.0)	(32.0, 16535.0)	(33.0, 21095.0)	(34.0, 24930.0)	(35.0, 25392.0)	(36.0, 17575.0)	(37.0, 1075.0)						
2475R_RL_M_S5_week5_S19_L001_R1_001	(16.0, 1.0)	(17.0, 5.0)	(18.0, 26.0)	(19.0, 40.0)	(20.0, 145.0)	(21.0, 306.0)	(22.0, 500.0)	(23.0, 691.0)	(24.0, 851.0)	(25.0, 1119.0)	(26.0, 1318.0)	(27.0, 1615.0)	(28.0, 1855.0)	(29.0, 2250.0)	(30.0, 2635.0)	(31.0, 3295.0)	(32.0, 4050.0)	(33.0, 5247.0)	(34.0, 7393.0)	(35.0, 12370.0)	(36.0, 25955.0)	(37.0, 87090.0)													
2475R_RL_M_S5_week5_S19_L001_R2_001	(10.0, 1.0)	(11.0, 9.0)	(12.0, 26.0)	(13.0, 110.0)	(14.0, 415.0)	(15.0, 702.0)	(16.0, 821.0)	(17.0, 750.0)	(18.0, 630.0)	(19.0, 710.0)	(20.0, 739.0)	(21.0, 879.0)	(22.0, 1031.0)	(23.0, 1110.0)	(24.0, 1368.0)	(25.0, 1668.0)	(26.0, 2156.0)	(27.0, 3165.0)	(28.0, 4377.0)	(29.0, 6174.0)	(30.0, 8808.0)	(31.0, 12283.0)	(32.0, 16621.0)	(33.0, 21160.0)	(34.0, 25721.0)	(35.0, 26552.0)	(36.0, 19439.0)	(37.0, 1332.0)							
2476R_R_F_NS6_week5_S9_L001_R1_001	(17.0, 3.0)	(18.0, 6.0)	(19.0, 20.0)	(20.0, 55.0)	(21.0, 150.0)	(22.0, 246.0)	(23.0, 336.0)	(24.0, 483.0)	(25.0, 591.0)	(26.0, 729.0)	(27.0, 804.0)	(28.0, 922.0)	(29.0, 1124.0)	(30.0, 1385.0)	(31.0, 1612.0)	(32.0, 2109.0)	(33.0, 2687.0)	(34.0, 4018.0)	(35.0, 6814.0)	(36.0, 14140.0)	(37.0, 46681.0)														
2476R_R_F_NS6_week5_S9_L001_R2_001	(11.0, 2.0)	(12.0, 11.0)	(13.0, 57.0)	(14.0, 218.0)	(15.0, 370.0)	(16.0, 358.0)	(17.0, 333.0)	(18.0, 301.0)	(19.0, 336.0)	(20.0, 333.0)	(21.0, 370.0)	(22.0, 440.0)	(23.0, 538.0)	(24.0, 612.0)	(25.0, 748.0)	(26.0, 947.0)	(27.0, 1270.0)	(28.0, 1782.0)	(29.0, 2364.0)	(30.0, 3469.0)	(31.0, 5167.0)	(32.0, 7065.0)	(33.0, 10331.0)	(34.0, 13383.0)	(35.0, 16532.0)	(36.0, 16370.0)	(37.0, 1208.0)								
2518R_0_M_S5_week5_S20_L001_R1_001	(17.0, 5.0)	(18.0, 13.0)	(19.0, 36.0)	(20.0, 83.0)	(21.0, 193.0)	(22.0, 352.0)	(23.0, 491.0)	(24.0, 678.0)	(25.0, 794.0)	(26.0, 965.0)	(27.0, 1192.0)	(28.0, 1342.0)	(29.0, 1622.0)	(30.0, 1851.0)	(31.0, 2249.0)	(32.0, 2798.0)	(33.0, 3542.0)	(34.0, 5232.0)	(35.0, 8401.0)	(36.0, 17989.0)	(37.0, 57207.0)														
2518R_0_M_S5_week5_S20_L001_R2_001	(4.0, 1.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 1.0)	(12.0, 24.0)	(13.0, 79.0)	(14.0, 280.0)	(15.0, 473.0)	(16.0, 569.0)	(17.0, 519.0)	(18.0, 491.0)	(19.0, 480.0)	(20.0, 508.0)	(21.0, 578.0)	(22.0, 713.0)	(23.0, 804.0)	(24.0, 927.0)	(25.0, 1159.0)	(26.0, 1573.0)	(27.0, 2145.0)	(28.0, 2989.0)	(29.0, 4299.0)	(30.0, 5989.0)	(31.0, 8519.0)	(32.0, 11407.0)	(33.0, 14397.0)	(34.0, 17022.0)	(35.0, 17576.0)	(36.0, 12588.0)	(37.0, 925.0)	
2529R_0_F_NS1_week5_S53_L001_R1_001	(15.0, 1.0)	(16.0, 0.0)	(17.0, 4.0)	(18.0, 16.0)	(19.0, 35.0)	(20.0, 109.0)	(21.0, 226.0)	(22.0, 374.0)	(23.0, 496.0)	(24.0, 632.0)	(25.0, 799.0)	(26.0, 979.0)	(27.0, 1102.0)	(28.0, 1263.0)	(29.0, 1478.0)	(30.0, 1876.0)	(31.0, 2275.0)	(32.0, 2778.0)	(33.0, 3601.0)	(34.0, 5143.0)	(35.0, 8577.0)	(36.0, 18739.0)	(37.0, 66776.0)												
2529R_0_F_NS1_week5_S53_L001_R2_001	(7.0, 1.0)	(8.0, 0.0)	(9.0, 1.0)	(10.0, 1.0)	(11.0, 1.0)	(12.0, 28.0)	(13.0, 130.0)	(14.0, 425.0)	(15.0, 719.0)	(16.0, 769.0)	(17.0, 621.0)	(18.0, 517.0)	(19.0, 532.0)	(20.0, 542.0)	(21.0, 625.0)	(22.0, 738.0)	(23.0, 875.0)	(24.0, 895.0)	(25.0, 1147.0)	(26.0, 1436.0)	(27.0, 1913.0)	(28.0, 2630.0)	(29.0, 3688.0)	(30.0, 5090.0)	(31.0, 7205.0)	(32.0, 9774.0)	(33.0, 13559.0)	(34.0, 17664.0)	(35.0, 20410.0)	(36.0, 22441.0)	(37.0, 2902.0)				
2529R_0_F_NS1_week9_S74_L001_R1_001	(17.0, 2.0)	(18.0, 10.0)	(19.0, 17.0)	(20.0, 66.0)	(21.0, 149.0)	(22.0, 278.0)	(23.0, 393.0)	(24.0, 499.0)	(25.0, 641.0)	(26.0, 796.0)	(27.0, 996.0)	(28.0, 1145.0)	(29.0, 1351.0)	(30.0, 1640.0)	(31.0, 1957.0)	(32.0, 2515.0)	(33.0, 3318.0)	(34.0, 4708.0)	(35.0, 7635.0)	(36.0, 17625.0)	(37.0, 57768.0)														
2529R_0_F_NS1_week9_S74_L001_R2_001	(11.0, 2.0)	(12.0, 25.0)	(13.0, 157.0)	(14.0, 383.0)	(15.0, 554.0)	(16.0, 533.0)	(17.0, 462.0)	(18.0, 420.0)	(19.0, 409.0)	(20.0, 479.0)	(21.0, 518.0)	(22.0, 643.0)	(23.0, 689.0)	(24.0, 800.0)	(25.0, 982.0)	(26.0, 1334.0)	(27.0, 1828.0)	(28.0, 2604.0)	(29.0, 3755.0)	(30.0, 5464.0)	(31.0, 7463.0)	(32.0, 10111.0)	(33.0, 13299.0)	(34.0, 16349.0)	(35.0, 17463.0)	(36.0, 15477.0)	(37.0, 1306.0)								
2529R_L_F_NS1_diabetes_S26_L001_R1_001	(18.0, 9.0)	(19.0, 16.0)	(20.0, 50.0)	(21.0, 141.0)	(22.0, 242.0)	(23.0, 357.0)	(24.0, 494.0)	(25.0, 560.0)	(26.0, 696.0)	(27.0, 801.0)	(28.0, 980.0)	(29.0, 1203.0)	(30.0, 1345.0)	(31.0, 1711.0)	(32.0, 2116.0)	(33.0, 2847.0)	(34.0, 3970.0)	(35.0, 6679.0)	(36.0, 14692.0)	(37.0, 48119.0)															
2529R_L_F_NS1_diabetes_S26_L001_R2_001	(7.0, 1.0)	(8.0, 1.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 8.0)	(12.0, 36.0)	(13.0, 188.0)	(14.0, 501.0)	(15.0, 822.0)	(16.0, 762.0)	(17.0, 610.0)	(18.0, 459.0)	(19.0, 521.0)	(20.0, 504.0)	(21.0, 552.0)	(22.0, 606.0)	(23.0, 691.0)	(24.0, 748.0)	(25.0, 947.0)	(26.0, 1190.0)	(27.0, 1597.0)	(28.0, 2184.0)	(29.0, 3002.0)	(30.0, 4076.0)	(31.0, 5812.0)	(32.0, 7977.0)	(33.0, 10385.0)	(34.0, 13176.0)	(35.0, 14656.0)	(36.0, 13785.0)	(37.0, 1231.0)				
2529R_L_F_NS1_week5_S54_L001_R1_001	(17.0, 2.0)	(18.0, 8.0)	(19.0, 15.0)	(20.0, 77.0)	(21.0, 206.0)	(22.0, 301.0)	(23.0, 418.0)	(24.0, 588.0)	(25.0, 680.0)	(26.0, 865.0)	(27.0, 953.0)	(28.0, 1157.0)	(29.0, 1353.0)	(30.0, 1638.0)	(31.0, 1965.0)	(32.0, 2461.0)	(33.0, 3196.0)	(34.0, 4546.0)	(35.0, 7474.0)	(36.0, 16367.0)	(37.0, 56120.0)														
2529R_L_F_NS1_week5_S54_L001_R2_001	(5.0, 2.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 1.0)	(12.0, 18.0)	(13.0, 118.0)	(14.0, 353.0)	(15.0, 570.0)	(16.0, 664.0)	(17.0, 528.0)	(18.0, 476.0)	(19.0, 470.0)	(20.0, 480.0)	(21.0, 518.0)	(22.0, 605.0)	(23.0, 685.0)	(24.0, 800.0)	(25.0, 1001.0)	(26.0, 1271.0)	(27.0, 1748.0)	(28.0, 2294.0)	(29.0, 3247.0)	(30.0, 4483.0)	(31.0, 6389.0)	(32.0, 8774.0)	(33.0, 11704.0)	(34.0, 15078.0)	(35.0, 17211.0)	(36.0, 18580.0)	(37.0, 2322.0)		
2529R_L_F_NS1_week9_S75_L001_R1_001	(16.0, 1.0)	(17.0, 2.0)	(18.0, 8.0)	(19.0, 20.0)	(20.0, 55.0)	(21.0, 133.0)	(22.0, 228.0)	(23.0, 375.0)	(24.0, 506.0)	(25.0, 598.0)	(26.0, 763.0)	(27.0, 921.0)	(28.0, 1077.0)	(29.0, 1306.0)	(30.0, 1434.0)	(31.0, 1906.0)	(32.0, 2455.0)	(33.0, 3128.0)	(34.0, 4344.0)	(35.0, 7470.0)	(36.0, 16237.0)	(37.0, 54861.0)													
2529R_L_F_NS1_week9_S75_L001_R2_001	(4.0, 1.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 1.0)	(11.0, 6.0)	(12.0, 21.0)	(13.0, 126.0)	(14.0, 366.0)	(15.0, 541.0)	(16.0, 528.0)	(17.0, 428.0)	(18.0, 384.0)	(19.0, 431.0)	(20.0, 477.0)	(21.0, 508.0)	(22.0, 601.0)	(23.0, 665.0)	(24.0, 815.0)	(25.0, 941.0)	(26.0, 1246.0)	(27.0, 1690.0)	(28.0, 2357.0)	(29.0, 3349.0)	(30.0, 4810.0)	(31.0, 6639.0)	(32.0, 9270.0)	(33.0, 12372.0)	(34.0, 15419.0)	(35.0, 16940.0)	(36.0, 15525.0)	(37.0, 1371.0)	
2529R_NS1_week22_S37_L001_R1_001	(16.0, 1.0)	(17.0, 0.0)	(18.0, 6.0)	(19.0, 21.0)	(20.0, 58.0)	(21.0, 147.0)	(22.0, 232.0)	(23.0, 350.0)	(24.0, 460.0)	(25.0, 601.0)	(26.0, 752.0)	(27.0, 836.0)	(28.0, 1082.0)	(29.0, 1293.0)	(30.0, 1632.0)	(31.0, 1952.0)	(32.0, 2426.0)	(33.0, 3397.0)	(34.0, 4550.0)	(35.0, 7764.0)	(36.0, 17119.0)	(37.0, 60052.0)													
2529R_NS1_week22_S37_L001_R2_001	(11.0, 1.0)	(12.0, 27.0)	(13.0, 99.0)	(14.0, 262.0)	(15.0, 388.0)	(16.0, 406.0)	(17.0, 365.0)	(18.0, 329.0)	(19.0, 375.0)	(20.0, 400.0)	(21.0, 454.0)	(22.0, 555.0)	(23.0, 677.0)	(24.0, 771.0)	(25.0, 959.0)	(26.0, 1240.0)	(27.0, 1643.0)	(28.0, 2330.0)	(29.0, 3212.0)	(30.0, 4680.0)	(31.0, 6465.0)	(32.0, 9188.0)	(33.0, 12524.0)	(34.0, 16297.0)	(35.0, 19171.0)	(36.0, 19444.0)	(37.0, 2469.0)								
2529R_RL_F_NS1_week5_S55_L001_R1_001	(16.0, 1.0)	(17.0, 2.0)	(18.0, 9.0)	(19.0, 28.0)	(20.0, 86.0)	(21.0, 202.0)	(22.0, 331.0)	(23.0, 443.0)	(24.0, 509.0)	(25.0, 704.0)	(26.0, 828.0)	(27.0, 952.0)	(28.0, 1237.0)	(29.0, 1442.0)	(30.0, 1706.0)	(31.0, 2065.0)	(32.0, 2624.0)	(33.0, 3399.0)	(34.0, 4850.0)	(35.0, 7990.0)	(36.0, 17687.0)	(37.0, 62931.0)													
2529R_RL_F_NS1_week5_S55_L001_R2_001	(12.0, 26.0)	(13.0, 133.0)	(14.0, 364.0)	(15.0, 642.0)	(16.0, 732.0)	(17.0, 575.0)	(18.0, 526.0)	(19.0, 451.0)	(20.0, 494.0)	(21.0, 601.0)	(22.0, 654.0)	(23.0, 739.0)	(24.0, 909.0)	(25.0, 1012.0)	(26.0, 1250.0)	(27.0, 1765.0)	(28.0, 2278.0)	(29.0, 3412.0)	(30.0, 4720.0)	(31.0, 6531.0)	(32.0, 9311.0)	(33.0, 12956.0)	(34.0, 16619.0)	(35.0, 19918.0)	(36.0, 21042.0)	(37.0, 2366.0)									
2529R_RL_F_NS1_week9_S76_L001_R1_001	(17.0, 2.0)	(18.0, 16.0)	(19.0, 28.0)	(20.0, 73.0)	(21.0, 182.0)	(22.0, 302.0)	(23.0, 420.0)	(24.0, 527.0)	(25.0, 687.0)	(26.0, 830.0)	(27.0, 1027.0)	(28.0, 1089.0)	(29.0, 1358.0)	(30.0, 1653.0)	(31.0, 1957.0)	(32.0, 2528.0)	(33.0, 3209.0)	(34.0, 4601.0)	(35.0, 7689.0)	(36.0, 16785.0)	(37.0, 53849.0)														
2529R_RL_F_NS1_week9_S76_L001_R2_001	(9.0, 1.0)	(10.0, 0.0)	(11.0, 7.0)	(12.0, 33.0)	(13.0, 144.0)	(14.0, 360.0)	(15.0, 532.0)	(16.0, 568.0)	(17.0, 433.0)	(18.0, 414.0)	(19.0, 424.0)	(20.0, 460.0)	(21.0, 538.0)	(22.0, 571.0)	(23.0, 670.0)	(24.0, 784.0)	(25.0, 981.0)	(26.0, 1180.0)	(27.0, 1753.0)	(28.0, 2389.0)	(29.0, 3308.0)	(30.0, 4859.0)	(31.0, 6958.0)	(32.0, 9266.0)	(33.0, 12366.0)	(34.0, 15609.0)	(35.0, 17196.0)	(36.0, 15463.0)	(37.0, 1545.0)						
2562R_0_F_NS6_week5_S10_L001_R1_001	(18.0, 3.0)	(19.0, 27.0)	(20.0, 60.0)	(21.0, 136.0)	(22.0, 295.0)	(23.0, 352.0)	(24.0, 499.0)	(25.0, 599.0)	(26.0, 758.0)	(27.0, 859.0)	(28.0, 1063.0)	(29.0, 1268.0)	(30.0, 1414.0)	(31.0, 1813.0)	(32.0, 2294.0)	(33.0, 2939.0)	(34.0, 4183.0)	(35.0, 6741.0)	(36.0, 14457.0)	(37.0, 47600.0)															
2562R_0_F_NS6_week5_S10_L001_R2_001	(11.0, 1.0)	(12.0, 18.0)	(13.0, 72.0)	(14.0, 243.0)	(15.0, 398.0)	(16.0, 423.0)	(17.0, 359.0)	(18.0, 297.0)	(19.0, 330.0)	(20.0, 386.0)	(21.0, 413.0)	(22.0, 448.0)	(23.0, 525.0)	(24.0, 652.0)	(25.0, 747.0)	(26.0, 1021.0)	(27.0, 1287.0)	(28.0, 1856.0)	(29.0, 2627.0)	(30.0, 3949.0)	(31.0, 5432.0)	(32.0, 8033.0)	(33.0, 10715.0)	(34.0, 13864.0)	(35.0, 16541.0)	(36.0, 15511.0)	(37.0, 1212.0)								
2562R_RL_F_NS6_week5_S11_L001_R1_001	(18.0, 5.0)	(19.0, 12.0)	(20.0, 45.0)	(21.0, 123.0)	(22.0, 205.0)	(23.0, 276.0)	(24.0, 408.0)	(25.0, 515.0)	(26.0, 597.0)	(27.0, 719.0)	(28.0, 894.0)	(29.0, 1067.0)	(30.0, 1273.0)	(31.0, 1510.0)	(32.0, 1858.0)	(33.0, 2519.0)	(34.0, 3577.0)	(35.0, 5988.0)	(36.0, 13047.0)	(37.0, 42892.0)															
2562R_RL_F_NS6_week5_S11_L001_R2_001	(11.0, 1.0)	(12.0, 12.0)	(13.0, 53.0)	(14.0, 204.0)	(15.0, 322.0)	(16.0, 416.0)	(17.0, 321.0)	(18.0, 312.0)	(19.0, 288.0)	(20.0, 325.0)	(21.0, 351.0)	(22.0, 411.0)	(23.0, 479.0)	(24.0, 565.0)	(25.0, 650.0)	(26.0, 790.0)	(27.0, 1059.0)	(28.0, 1435.0)	(29.0, 2121.0)	(30.0, 3096.0)	(31.0, 4681.0)	(32.0, 6586.0)	(33.0, 9361.0)	(34.0, 12172.0)	(35.0, 15037.0)	(36.0, 15139.0)	(37.0, 1343.0)								
3861R_0_M_NS1_week5_S56_L001_R1_001	(16.0, 2.0)	(17.0, 4.0)	(18.0, 7.0)	(19.0, 21.0)	(20.0, 64.0)	(21.0, 201.0)	(22.0, 325.0)	(23.0, 395.0)	(24.0, 548.0)	(25.0, 696.0)	(26.0, 811.0)	(27.0, 944.0)	(28.0, 1111.0)	(29.0, 1363.0)	(30.0, 1646.0)	(31.0, 1952.0)	(32.0, 2554.0)	(33.0, 3273.0)	(34.0, 4758.0)	(35.0, 7739.0)	(36.0, 16944.0)	(37.0, 59258.0)													
3861R_0_M_NS1_week5_S56_L001_R2_001	(11.0, 2.0)	(12.0, 19.0)	(13.0, 112.0)	(14.0, 389.0)	(15.0, 635.0)	(16.0, 698.0)	(17.0, 552.0)	(18.0, 484.0)	(19.0, 466.0)	(20.0, 506.0)	(21.0, 506.0)	(22.0, 583.0)	(23.0, 692.0)	(24.0, 843.0)	(25.0, 982.0)	(26.0, 1255.0)	(27.0, 1712.0)	(28.0, 2379.0)	(29.0, 3228.0)	(30.0, 4828.0)	(31.0, 6702.0)	(32.0, 9340.0)	(33.0, 12605.0)	(34.0, 16308.0)	(35.0, 18666.0)	(36.0, 18567.0)	(37.0, 1557.0)								
3861R_0_M_NS1_week9_S77_L001_R1_001	(18.0, 7.0)	(19.0, 21.0)	(20.0, 65.0)	(21.0, 146.0)	(22.0, 251.0)	(23.0, 347.0)	(24.0, 455.0)	(25.0, 606.0)	(26.0, 645.0)	(27.0, 803.0)	(28.0, 860.0)	(29.0, 1131.0)	(30.0, 1368.0)	(31.0, 1650.0)	(32.0, 2142.0)	(33.0, 2738.0)	(34.0, 3927.0)	(35.0, 6630.0)	(36.0, 14729.0)	(37.0, 50257.0)															
3861R_0_M_NS1_week9_S77_L001_R2_001	(11.0, 2.0)	(12.0, 31.0)	(13.0, 123.0)	(14.0, 294.0)	(15.0, 512.0)	(16.0, 508.0)	(17.0, 437.0)	(18.0, 387.0)	(19.0, 373.0)	(20.0, 410.0)	(21.0, 459.0)	(22.0, 531.0)	(23.0, 602.0)	(24.0, 683.0)	(25.0, 854.0)	(26.0, 1023.0)	(27.0, 1417.0)	(28.0, 1846.0)	(29.0, 2620.0)	(30.0, 3831.0)	(31.0, 5392.0)	(32.0, 7626.0)	(33.0, 10362.0)	(34.0, 13659.0)	(35.0, 15817.0)	(36.0, 16988.0)	(37.0, 1991.0)								
3861R_L_M_NS1_diabetes_S27_L001_R1_001	(18.0, 2.0)	(19.0, 15.0)	(20.0, 56.0)	(21.0, 162.0)	(22.0, 189.0)	(23.0, 310.0)	(24.0, 354.0)	(25.0, 527.0)	(26.0, 638.0)	(27.0, 765.0)	(28.0, 968.0)	(29.0, 1082.0)	(30.0, 1290.0)	(31.0, 1576.0)	(32.0, 1957.0)	(33.0, 2575.0)	(34.0, 3800.0)	(35.0, 6623.0)	(36.0, 14284.0)	(37.0, 50667.0)															
