S_S2_Ca_088_v1v9_1	NADH-DEHYDROG-A-RXN
S_S2_Ca_088_v1v9_285	RXN-10
S_S2_Ca_088_v1v9_286	TRIOSEPISOMERIZATION-RXN
S_S2_Ca_088_v1v9_287	3.1.13.5-RXN
S_S2_Ca_088_v1v9_287	RXN0-6483
S_S2_Ca_088_v1v9_287	RXN0-6484
S_S2_Ca_088_v1v9_288	DNA-CYTOSINE-5--METHYLTRANSFERASE-RXN
S_S2_Ca_088_v1v9_289	AMPSYN-RXN
S_S2_Ca_088_v1v9_289	AICARSYN-RXN
S_S2_Ca_088_v1v9_290	RIBONUCLEOSIDE-DIP-REDUCTII-RXN
S_S2_Ca_088_v1v9_290	RXN0-748
S_S2_Ca_088_v1v9_290	RXN0-747
S_S2_Ca_088_v1v9_290	GDPREDUCT-RXN
S_S2_Ca_088_v1v9_290	ADPREDUCT-RXN
S_S2_Ca_088_v1v9_290	RXN0-722
S_S2_Ca_088_v1v9_290	CDPREDUCT-RXN
S_S2_Ca_088_v1v9_290	UDPREDUCT-RXN
S_S2_Ca_088_v1v9_290	RIBONUCLEOSIDE-DIP-REDUCTI-RXN
S_S2_Ca_088_v1v9_291	ASPARTATEKIN-RXN
S_S2_Ca_088_v1v9_292	HOMOSERDEHYDROG-RXN
S_S2_Ca_088_v1v9_293	HOMOCYSMETB12-RXN
S_S2_Ca_088_v1v9_294	HOMOCYSMETB12-RXN
S_S2_Ca_088_v1v9_295	3.4.11.4-RXN
S_S2_Ca_088_v1v9_296	2.7.7.8-RXN
S_S2_Ca_088_v1v9_297	GUANPRIBOSYLTRAN-RXN
S_S2_Ca_088_v1v9_297	HYPOXANPRIBOSYLTRAN-RXN
S_S2_Ca_088_v1v9_298	RXN-9382
S_S2_Ca_088_v1v9_299	DTMPKI-RXN
S_S2_Ca_088_v1v9_300	RXN-10781
S_S2_Ca_088_v1v9_300	RXN-5424
S_S2_Ca_088_v1v9_300	METHANOL-DEHYDROGENASE-RXN
S_S2_Ca_088_v1v9_300	RXN-15818
S_S2_Ca_088_v1v9_300	RXN3O-4113
S_S2_Ca_088_v1v9_300	RXN-12448
S_S2_Ca_088_v1v9_300	ALCOHOL-DEHYDROG-GENERIC-RXN
S_S2_Ca_088_v1v9_300	RXN-7694
S_S2_Ca_088_v1v9_300	RXN-7693
S_S2_Ca_088_v1v9_300	RXN-7657
S_S2_Ca_088_v1v9_300	ALCOHOL-DEHYDROG-RXN
S_S2_Ca_088_v1v9_300	RXN-7700
S_S2_Ca_088_v1v9_300	RXN-7706
S_S2_Ca_088_v1v9_300	RXN-10911
S_S2_Ca_088_v1v9_300	RXN-10915
S_S2_Ca_088_v1v9_300	RXN66-478
S_S2_Ca_088_v1v9_300	RXN-15823
S_S2_Ca_088_v1v9_300	RXN-13198
S_S2_Ca_088_v1v9_301	RXN-10781
S_S2_Ca_088_v1v9_301	RXN-5424
S_S2_Ca_088_v1v9_301	METHANOL-DEHYDROGENASE-RXN
S_S2_Ca_088_v1v9_301	RXN-15818
S_S2_Ca_088_v1v9_301	RXN3O-4113
S_S2_Ca_088_v1v9_301	RXN-12448
S_S2_Ca_088_v1v9_301	ALCOHOL-DEHYDROG-GENERIC-RXN
S_S2_Ca_088_v1v9_301	RXN-7694
S_S2_Ca_088_v1v9_301	RXN-7693
S_S2_Ca_088_v1v9_301	RXN-7657
S_S2_Ca_088_v1v9_301	ALCOHOL-DEHYDROG-RXN
S_S2_Ca_088_v1v9_301	RXN-7700
S_S2_Ca_088_v1v9_301	RXN-7706
S_S2_Ca_088_v1v9_301	RXN-10911
S_S2_Ca_088_v1v9_301	RXN-10915
S_S2_Ca_088_v1v9_301	RXN66-478
S_S2_Ca_088_v1v9_301	RXN-15823
S_S2_Ca_088_v1v9_301	RXN-13198
S_S2_Ca_088_v1v9_302	GLURS-RXN
S_S2_Ca_088_v1v9_303	GLURS-RXN
S_S2_Ca_088_v1v9_304	CHORISMATE-SYNTHASE-RXN
S_S2_Ca_088_v1v9_305	UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN
S_S2_Ca_088_v1v9_306	PYRUVATEORTHOPHOSPHATE-DIKINASE-RXN
S_S2_Ca_088_v1v9_307	PGLUCISOM-RXN
S_S2_Ca_088_v1v9_307	RXN-6182
S_S2_Ca_088_v1v9_307	RXN-13720
S_S2_Ca_088_v1v9_308	RXN66-546
S_S2_Ca_088_v1v9_308	PYRROLINECARBREDUCT-RXN
S_S2_Ca_088_v1v9_309	DGTPTRIPHYDRO-RXN
S_S2_Ca_088_v1v9_310	TRNA-PSEUDOURIDINE-SYNTHASE-I-RXN
S_S2_Ca_088_v1v9_311	NICONUCADENYLYLTRAN-RXN
S_S2_Ca_088_v1v9_312	TRNA-NUCLEOTIDYLTRANSFERASE-RXN
S_S2_Ca_088_v1v9_312	RXN0-6482
S_S2_Ca_088_v1v9_312	RXN0-6481
S_S2_Ca_088_v1v9_313	2-DEHYDROPANTOATE-REDUCT-RXN
S_S2_Ca_088_v1v9_314	FORMATETHFLIG-RXN
S_S2_Ca_088_v1v9_315	GLYRIBONUCSYN-RXN
S_S2_Ca_088_v1v9_316	RXN-11586
S_S2_Ca_088_v1v9_317	RXN-11601
S_S2_Ca_088_v1v9_318	PROLINE--TRNA-LIGASE-RXN
S_S2_Ca_088_v1v9_319	RXN-14992
S_S2_Ca_088_v1v9_320	ARGSUCCINLYA-RXN
S_S2_Ca_088_v1v9_320	RXN-22
S_S2_Ca_088_v1v9_321	RXN-14354
S_S2_Ca_088_v1v9_321	RXN-14261
S_S2_Ca_088_v1v9_321	RXN-14260
S_S2_Ca_088_v1v9_321	AMYLOMALT-RXN
S_S2_Ca_088_v1v9_321	RXN-9023
S_S2_Ca_088_v1v9_321	RXN-12193
S_S2_Ca_088_v1v9_321	RXN-1828
S_S2_Ca_088_v1v9_321	RXN-12391
S_S2_Ca_088_v1v9_322	RXN-14354
S_S2_Ca_088_v1v9_322	RXN-14261
S_S2_Ca_088_v1v9_322	RXN-14260
S_S2_Ca_088_v1v9_322	AMYLOMALT-RXN
S_S2_Ca_088_v1v9_322	RXN-9023
S_S2_Ca_088_v1v9_322	RXN-12193
S_S2_Ca_088_v1v9_322	RXN-1828
S_S2_Ca_088_v1v9_322	RXN-12391
S_S2_Ca_088_v1v9_323	3.1.21.2-RXN
S_S2_Ca_088_v1v9_324	RXN0-5063
S_S2_Ca_088_v1v9_325	RXN0-6366
S_S2_Ca_088_v1v9_326	CYSTEINE--TRNA-LIGASE-RXN
S_S2_Ca_088_v1v9_327	SUCCINYLDIAMINOPIMTRANS-RXN
S_S2_Ca_088_v1v9_328	RXN-15007
S_S2_Ca_088_v1v9_328	ACETYLORNTRANSAM-RXN
S_S2_Ca_088_v1v9_329	RXN0-5515
S_S2_Ca_088_v1v9_329	CDPDIGLYSYN-RXN
S_S2_Ca_088_v1v9_330	VALINE-PYRUVATE-AMINOTRANSFER-RXN
S_S2_Ca_088_v1v9_331	PHOSPHAGLYPSYN-RXN
S_S2_Ca_088_v1v9_332	DNA-LIGASE-NAD+-RXN
S_S2_Ca_088_v1v9_333	PREPHENATEDEHYDRAT-RXN
S_S2_Ca_088_v1v9_334	CITSYN-RXN
S_S2_Ca_088_v1v9_335	RXN-11860
S_S2_Ca_088_v1v9_335	RXN-11865
S_S2_Ca_088_v1v9_336	2.5.1.19-RXN
S_S2_Ca_088_v1v9_337	THREONINE-ALDOLASE-RXN
S_S2_Ca_088_v1v9_337	LTAA-RXN
S_S2_Ca_088_v1v9_338	RXN-11737
S_S2_Ca_088_v1v9_338	ASPAMINOTRANS-RXN
S_S2_Ca_088_v1v9_338	RXN-13697
S_S2_Ca_088_v1v9_338	RXN-10814
S_S2_Ca_088_v1v9_339	RXN-11737
S_S2_Ca_088_v1v9_339	ASPAMINOTRANS-RXN
S_S2_Ca_088_v1v9_339	RXN-13697
S_S2_Ca_088_v1v9_339	RXN-10814
S_S2_Ca_088_v1v9_340	RXN-11737
S_S2_Ca_088_v1v9_340	ASPAMINOTRANS-RXN
S_S2_Ca_088_v1v9_340	RXN-13697
S_S2_Ca_088_v1v9_340	RXN-10814
S_S2_Ca_088_v1v9_341	RXN-8999
S_S2_Ca_088_v1v9_342	2.7.1.148-RXN
S_S2_Ca_088_v1v9_343	RXN-15005
S_S2_Ca_088_v1v9_343	ACETYLGLUTKIN-RXN
S_S2_Ca_088_v1v9_344	IMPCYCLOHYDROLASE-RXN
S_S2_Ca_088_v1v9_345	AICARTRANSFORM-RXN
S_S2_Ca_088_v1v9_346	ENTDB-RXN
S_S2_Ca_088_v1v9_346	HOLO-ACP-SYNTH-RXN
S_S2_Ca_088_v1v9_346	RXN-15889
S_S2_Ca_088_v1v9_346	RXN-16759
S_S2_Ca_088_v1v9_346	RXN-10994
S_S2_Ca_088_v1v9_347	ARGININE--TRNA-LIGASE-RXN
S_S2_Ca_088_v1v9_350	RXN0-1441
S_S2_Ca_088_v1v9_351	CHORISMATEMUT-RXN
S_S2_Ca_088_v1v9_352	5.99.1.2-RXN
S_S2_Ca_088_v1v9_353	METHYLENETHFDEHYDROG-NADP-RXN
S_S2_Ca_088_v1v9_354	RXN-11588
S_S2_Ca_088_v1v9_355	LEUCINE--TRNA-LIGASE-RXN
S_S2_Ca_088_v1v9_356	S-ADENMETSYN-RXN
S_S2_Ca_088_v1v9_357	3.4.21.92-RXN
S_S2_Ca_088_v1v9_358	RXN-14570
S_S2_Ca_088_v1v9_359	RXN0-6274
S_S2_Ca_088_v1v9_360	RXN-8976
S_S2_Ca_088_v1v9_360	RXN-11029
S_S2_Ca_088_v1v9_360	NACGLCTRANS-RXN
S_S2_Ca_088_v1v9_360	RXN-11346
S_S2_Ca_088_v1v9_361	UDP-NACMURALA-GLU-LIG-RXN
S_S2_Ca_088_v1v9_362	RXN-8975
S_S2_Ca_088_v1v9_362	RXN-11347
S_S2_Ca_088_v1v9_362	PHOSNACMURPENTATRANS-RXN
S_S2_Ca_088_v1v9_363	UDP-NACMURALGLDAPAALIG-RXN
S_S2_Ca_088_v1v9_363	6.3.2.10-RXN
S_S2_Ca_088_v1v9_364	UDP-NACMURALGLDAPLIG-RXN
S_S2_Ca_088_v1v9_365	RXN-11638
S_S2_Ca_088_v1v9_367	RXN-10060
S_S2_Ca_088_v1v9_367	RXN-9518
S_S2_Ca_088_v1v9_367	RXN-9514
S_S2_Ca_088_v1v9_367	RXN-10655
S_S2_Ca_088_v1v9_367	RXN-10659
S_S2_Ca_088_v1v9_367	RXN-9536
S_S2_Ca_088_v1v9_367	RXN1G-240
S_S2_Ca_088_v1v9_367	RXN1G-203
S_S2_Ca_088_v1v9_367	RXN-13008
S_S2_Ca_088_v1v9_367	RXN-9556
S_S2_Ca_088_v1v9_367	RXN-9552
S_S2_Ca_088_v1v9_367	RXN1G-1247
S_S2_Ca_088_v1v9_367	RXN1G-881
S_S2_Ca_088_v1v9_367	RXN-16622
S_S2_Ca_088_v1v9_367	RXN-16626
S_S2_Ca_088_v1v9_367	RXN1G-358
S_S2_Ca_088_v1v9_367	RXN1G-157
S_S2_Ca_088_v1v9_367	RXN1G-508
S_S2_Ca_088_v1v9_367	RXN-9532
S_S2_Ca_088_v1v9_367	RXN0-2142
S_S2_Ca_088_v1v9_367	RXN1G-717
S_S2_Ca_088_v1v9_367	RXN-11480
S_S2_Ca_088_v1v9_367	RXN1G-481
S_S2_Ca_088_v1v9_367	RXN1G-252
S_S2_Ca_088_v1v9_367	3-OXOACYL-ACP-REDUCT-RXN
S_S2_Ca_088_v1v9_367	RXN-9524
S_S2_Ca_088_v1v9_367	RXN-9528
S_S2_Ca_088_v1v9_367	RXN1G-637
S_S2_Ca_088_v1v9_367	RXN1G-951
S_S2_Ca_088_v1v9_367	RXN-9540
S_S2_Ca_088_v1v9_367	RXN1G-408
S_S2_Ca_088_v1v9_367	RXN1G-409
S_S2_Ca_088_v1v9_367	RXN1G-617
S_S2_Ca_088_v1v9_367	RXN1G-613
S_S2_Ca_088_v1v9_367	RXN1G-384
S_S2_Ca_088_v1v9_367	RXN1G-469
S_S2_Ca_088_v1v9_367	RXN-16630
S_S2_Ca_088_v1v9_367	RXN1G-72
S_S2_Ca_088_v1v9_367	RXN1G-349
S_S2_Ca_088_v1v9_367	RXN1G-163
S_S2_Ca_088_v1v9_367	RXN-16616
S_S2_Ca_088_v1v9_367	RXN1G-853
S_S2_Ca_088_v1v9_367	RXN-11476
S_S2_Ca_088_v1v9_367	RXN1G-184
S_S2_Ca_088_v1v9_367	RXN1G-182
S_S2_Ca_088_v1v9_367	RXN1G-364
S_S2_Ca_088_v1v9_367	RXN1G-287
S_S2_Ca_088_v1v9_367	RXN1G-1053
S_S2_Ca_088_v1v9_367	RXN1G-1050
S_S2_Ca_088_v1v9_367	RXN-9633
S_S2_Ca_088_v1v9_367	RXN1G-262
S_S2_Ca_088_v1v9_367	RXN1G-260
S_S2_Ca_088_v1v9_368	L-ASPARTATE-OXID-RXN
S_S2_Ca_088_v1v9_369	L-ASPARTATE-OXID-RXN
S_S2_Ca_088_v1v9_370	RIBULP3EPIM-RXN
S_S2_Ca_088_v1v9_371	METHENYLTHFCYCLOHYDRO-RXN
S_S2_Ca_088_v1v9_372	CTPSYN-RXN
S_S2_Ca_088_v1v9_373	RXN66-532
S_S2_Ca_088_v1v9_373	PHOSPHOGLUCMUT-RXN
S_S2_Ca_088_v1v9_374	TYROSINE--TRNA-LIGASE-RXN
S_S2_Ca_088_v1v9_375	RXN0-743
S_S2_Ca_088_v1v9_376	URACIL-PRIBOSYLTRANS-RXN
S_S2_Ca_088_v1v9_377	URACIL-PRIBOSYLTRANS-RXN
S_S2_Ca_088_v1v9_378	ASPCARBTRANS-RXN
S_S2_Ca_088_v1v9_379	GTP-CYCLOHYDRO-I-RXN
S_S2_Ca_088_v1v9_381	ATPPHOSPHORIBOSYLTRANS-RXN
S_S2_Ca_088_v1v9_382	3.4.11.9-RXN
S_S2_Ca_088_v1v9_383	RXN0-5297
S_S2_Ca_088_v1v9_383	6-PHOSPHO-BETA-GLUCOSIDASE-RXN
S_S2_Ca_088_v1v9_383	RXN0-5295
S_S2_Ca_088_v1v9_383	RXN0-6994
S_S2_Ca_088_v1v9_383	RXN0-7002
S_S2_Ca_088_v1v9_384	RXN0-5297
S_S2_Ca_088_v1v9_384	6-PHOSPHO-BETA-GLUCOSIDASE-RXN
S_S2_Ca_088_v1v9_384	RXN0-5295
S_S2_Ca_088_v1v9_384	RXN0-6994
S_S2_Ca_088_v1v9_384	RXN0-7002
S_S2_Ca_088_v1v9_385	ARYLSULFATE-SULFOTRANSFERASE-RXN
S_S2_Ca_088_v1v9_386	RIBOKIN-RXN
S_S2_Ca_088_v1v9_386	RXN-14223
S_S2_Ca_088_v1v9_387	DEOXYADENPHOSPHOR-RXN
S_S2_Ca_088_v1v9_387	RXN-7001
S_S2_Ca_088_v1v9_387	RXN-14029
S_S2_Ca_088_v1v9_387	XANTHOSINEPHOSPHORY-RXN
S_S2_Ca_088_v1v9_387	RXN-11715
S_S2_Ca_088_v1v9_387	RXN-11743
S_S2_Ca_088_v1v9_387	INOPHOSPHOR-RXN
S_S2_Ca_088_v1v9_387	PNP-RXN
S_S2_Ca_088_v1v9_387	DEOXYGUANPHOSPHOR-RXN
S_S2_Ca_088_v1v9_387	ADENPHOSPHOR-RXN
S_S2_Ca_088_v1v9_387	DEOXYINOPHOSPHOR-RXN
S_S2_Ca_088_v1v9_387	RXN0-5199
S_S2_Ca_088_v1v9_388	RXN-11146
S_S2_Ca_088_v1v9_389	RXN-11146
S_S2_Ca_088_v1v9_390	PURINE-NUCLEOSIDASE-RXN
S_S2_Ca_088_v1v9_390	RXN0-363
S_S2_Ca_088_v1v9_390	RXN0-366
S_S2_Ca_088_v1v9_391	GDPPYPHOSKIN-RXN
S_S2_Ca_088_v1v9_391	GTPPYPHOSKIN-RXN
S_S2_Ca_088_v1v9_392	SUCCDIAMINOPIMDESUCC-RXN
S_S2_Ca_088_v1v9_393	SUCCDIAMINOPIMDESUCC-RXN
S_S2_Ca_088_v1v9_394	RXN-12174
S_S2_Ca_088_v1v9_395	3.4.13.9-RXN
S_S2_Ca_088_v1v9_396	OROTATE-REDUCTASE-NADH-RXN
S_S2_Ca_088_v1v9_397	DTDPDEHYDRHAMEPIM-RXN
S_S2_Ca_088_v1v9_398	DTDPDEHYDRHAMEPIM-RXN
S_S2_Ca_088_v1v9_400	L-GLN-FRUCT-6-P-AMINOTRANS-RXN
S_S2_Ca_088_v1v9_401	3.6.3.3-RXN
S_S2_Ca_088_v1v9_402	3.6.3.3-RXN
S_S2_Ca_088_v1v9_403	RXN0-5205
S_S2_Ca_088_v1v9_404	RXN0-5205
S_S2_Ca_088_v1v9_405	GLYCEROL-KIN-RXN
S_S2_Ca_088_v1v9_406	5.4.2.10-RXN
S_S2_Ca_088_v1v9_407	5.4.2.10-RXN
S_S2_Ca_088_v1v9_408	GALPMUT-RXN
S_S2_Ca_088_v1v9_409	GALPMUT-RXN
S_S2_Ca_088_v1v9_410	3.6.3.40-RXN
S_S2_Ca_088_v1v9_411	ADENINE-DEAMINASE-RXN
S_S2_Ca_088_v1v9_412	RIB5PISOM-RXN
S_S2_Ca_088_v1v9_413	RIB5PISOM-RXN
S_S2_Ca_088_v1v9_414	RXN-1461
S_S2_Ca_088_v1v9_414	RXN-9985
S_S2_Ca_088_v1v9_415	RXN-1461
S_S2_Ca_088_v1v9_415	RXN-9985
S_S2_Ca_088_v1v9_416	GLUCONATE-5-DEHYDROGENASE-RXN
S_S2_Ca_088_v1v9_417	DEPHOSPHOCOAKIN-RXN
S_S2_Ca_088_v1v9_418	BTUR2-RXN
S_S2_Ca_088_v1v9_418	COBALADENOSYLTRANS-RXN
S_S2_Ca_088_v1v9_418	R344-RXN
S_S2_Ca_088_v1v9_419	L-LACTATE-DEHYDROGENASE-RXN
S_S2_Ca_088_v1v9_420	L-LACTATE-DEHYDROGENASE-RXN
S_S2_Ca_088_v1v9_421	RXN-13671
S_S2_Ca_088_v1v9_421	ACETALD-DEHYDROG-RXN
S_S2_Ca_088_v1v9_422	CARBAMATE-KINASE-RXN
S_S2_Ca_088_v1v9_423	CARBAMATE-KINASE-RXN
S_S2_Ca_088_v1v9_424	RXN-8141
S_S2_Ca_088_v1v9_425	KDPGALDOL-RXN
S_S2_Ca_088_v1v9_426	DEOXYGLUCONOKIN-RXN
S_S2_Ca_088_v1v9_428	RXN0-4641
S_S2_Ca_088_v1v9_429	RXN-7737
S_S2_Ca_088_v1v9_430	GLUC1PADENYLTRANS-RXN
S_S2_Ca_088_v1v9_431	GLUC1PADENYLTRANS-RXN
S_S2_Ca_088_v1v9_432	2-ENOATE-REDUCTASE-RXN
S_S2_Ca_088_v1v9_433	1.15.1.2-RXN
S_S2_Ca_088_v1v9_435	RXN-8348
S_S2_Ca_088_v1v9_437	UDP-NACMUR-ALA-LIG-RXN
S_S2_Ca_088_v1v9_438	NICOTINATEPRIBOSYLTRANS-RXN
S_S2_Ca_088_v1v9_440	RXN-14338
S_S2_Ca_088_v1v9_448	XANPRIBOSYLTRAN-RXN
S_S2_Ca_088_v1v9_449	2.7.9.3-RXN
S_S2_Ca_088_v1v9_457	UDPSUGARHYDRO-RXN
S_S2_Ca_088_v1v9_458	4.3.1.15-RXN
S_S2_Ca_088_v1v9_459	2.9.1.1-RXN
S_S2_Ca_088_v1v9_460	TRANS-RXN-250
S_S2_Ca_088_v1v9_460	3.6.3.2-RXN
S_S2_Ca_088_v1v9_461	3.6.3.29-RXN
S_S2_Ca_088_v1v9_461	ABC-19-RXN
S_S2_Ca_088_v1v9_464	RXN0-2101
S_S2_Ca_088_v1v9_467	DUTP-PYROP-RXN
S_S2_Ca_088_v1v9_470	FLAVONADPREDUCT-RXN
S_S2_Ca_088_v1v9_470	1.18.1.2-RXN
S_S2_Ca_088_v1v9_471	FLAVONADPREDUCT-RXN
S_S2_Ca_088_v1v9_471	1.18.1.2-RXN
S_S2_Ca_088_v1v9_472	UDPNACETYLMURAMATEDEHYDROG-RXN
S_S2_Ca_088_v1v9_473	UDPNACETYLMURAMATEDEHYDROG-RXN
S_S2_Ca_088_v1v9_474	RIBOSYLHOMOCYSTEINASE-RXN
S_S2_Ca_088_v1v9_475	RXN0-5260
S_S2_Ca_088_v1v9_475	RXN-15740
S_S2_Ca_088_v1v9_475	RXN-15745
S_S2_Ca_088_v1v9_476	RXN-14148
S_S2_Ca_088_v1v9_477	MYO-INOSITOL-2-DEHYDROGENASE-RXN
S_S2_Ca_088_v1v9_478	ADENOSYLHOMOCYSTEINE-NUCLEOSIDASE-RXN
S_S2_Ca_088_v1v9_479	ASPARTATE-RACEMASE-RXN
S_S2_Ca_088_v1v9_480	TRANSALDOL-RXN
S_S2_Ca_088_v1v9_481	CHOLOYLGLYCINE-HYDROLASE-RXN
S_S2_Ca_088_v1v9_482	GLYCOLALDREDUCT-RXN
S_S2_Ca_088_v1v9_482	LACTALDREDUCT-RXN
S_S2_Ca_088_v1v9_482	RXN-8641
S_S2_Ca_088_v1v9_483	ASPARAGHYD-RXN
S_S2_Ca_088_v1v9_484	GLYCDEH-RXN
S_S2_Ca_088_v1v9_485	GLYCDEH-RXN
S_S2_Ca_088_v1v9_486	GLYCDEH-RXN
S_S2_Ca_088_v1v9_487	TRNA-S-TRANSFERASE-RXN
S_S2_Ca_088_v1v9_488	RXN-14531
S_S2_Ca_088_v1v9_489	PEPCARBOXYKIN-RXN
S_S2_Ca_088_v1v9_490	ASNSYNB-RXN
S_S2_Ca_088_v1v9_491	THRESYN-RXN
S_S2_Ca_088_v1v9_492	3.4.21.88-RXN
S_S2_Ca_088_v1v9_493	3-HYDROXYISOBUTYRATE-DEHYDROGENASE-RXN
S_S2_Ca_088_v1v9_494	HISTPRATPHYD-RXN
S_S2_Ca_088_v1v9_495	HISTPRATPHYD-RXN
S_S2_Ca_088_v1v9_496	RXN-15117
S_S2_Ca_088_v1v9_496	RXN-15118
S_S2_Ca_088_v1v9_497	F16BDEPHOS-RXN
S_S2_Ca_088_v1v9_498	PSERTRANSAMPYR-RXN
S_S2_Ca_088_v1v9_498	PSERTRANSAM-RXN
S_S2_Ca_088_v1v9_499	5.1.3.9-RXN
S_S2_Ca_088_v1v9_499	NANE-RXN
S_S2_Ca_088_v1v9_500	GLUTRACE-RXN
S_S2_Ca_088_v1v9_501	RXN0-6515
S_S2_Ca_088_v1v9_502	ADENYLYLSULFATE-REDUCTASE-RXN
S_S2_Ca_088_v1v9_503	THIAMIN-PYROPHOSPHOKINASE-RXN
S_S2_Ca_088_v1v9_504	3.4.17.19-RXN
S_S2_Ca_088_v1v9_505	GALACTURIDYLYLTRANS-RXN
S_S2_Ca_088_v1v9_506	GALACTURIDYLYLTRANS-RXN
S_S2_Ca_088_v1v9_508	RXN-9238
S_S2_Ca_088_v1v9_508	RXN-9231
S_S2_Ca_088_v1v9_508	RXN-15309
S_S2_Ca_088_v1v9_508	3-OCTAPRENYL-4-OHBENZOATE-DECARBOX-RXN
S_S2_Ca_088_v1v9_508	RXN-9223
S_S2_Ca_088_v1v9_509	GLYCOGENSYN-RXN
S_S2_Ca_088_v1v9_510	3.4.11.21-RXN
S_S2_Ca_088_v1v9_511	TRNA-CYTIDYLYLTRANSFERASE-RXN
S_S2_Ca_088_v1v9_512	RXN66-337
S_S2_Ca_088_v1v9_512	3.4.13.19-RXN
S_S2_Ca_088_v1v9_512	RXN-15682
S_S2_Ca_088_v1v9_513	HOMSUCTRAN-RXN
S_S2_Ca_088_v1v9_514	1PFRUCTPHOSN-RXN
S_S2_Ca_088_v1v9_515	1PFRUCTPHOSN-RXN
S_S2_Ca_088_v1v9_516	RXN-14280
S_S2_Ca_088_v1v9_516	ALDHDEHYDROG-RXN
S_S2_Ca_088_v1v9_516	RXN-9758
S_S2_Ca_088_v1v9_516	RXN-14225
S_S2_Ca_088_v1v9_516	RXN-14224
S_S2_Ca_088_v1v9_516	RXN-10089
S_S2_Ca_088_v1v9_516	R222-RXN
S_S2_Ca_088_v1v9_516	RXN-37
S_S2_Ca_088_v1v9_516	RXN66-3
S_S2_Ca_088_v1v9_516	RXN-15819
S_S2_Ca_088_v1v9_516	RXN-15855
S_S2_Ca_088_v1v9_516	RXN6666-5
S_S2_Ca_088_v1v9_516	RXN-3443
S_S2_Ca_088_v1v9_516	RXN-10780
S_S2_Ca_088_v1v9_516	RXN-4142
S_S2_Ca_088_v1v9_516	RXN-10912
S_S2_Ca_088_v1v9_516	RXN-10917
S_S2_Ca_088_v1v9_516	RXN-10715
S_S2_Ca_088_v1v9_516	RXN66-479
S_S2_Ca_088_v1v9_516	RXN66-472
S_S2_Ca_088_v1v9_516	RXN66-476
S_S2_Ca_088_v1v9_516	RXN-16654
S_S2_Ca_088_v1v9_516	RXN-16655
S_S2_Ca_088_v1v9_516	RXN-16656
S_S2_Ca_088_v1v9_516	RXN-16653
S_S2_Ca_088_v1v9_516	RXN-15822
S_S2_Ca_088_v1v9_517	RXN-11578
S_S2_Ca_088_v1v9_518	ACYLPHOSPHATASE-RXN
S_S2_Ca_088_v1v9_519	ACETATEKIN-RXN
S_S2_Ca_088_v1v9_520	ACETATEKIN-RXN
S_S2_Ca_088_v1v9_527	RXN-11322
S_S2_Ca_088_v1v9_528	RXN-11322
S_S2_Ca_088_v1v9_529	LACTOSE-6-PHOSPHATE-ISOMERASE-RXN
S_S2_Ca_088_v1v9_530	LACTOSE-6-PHOSPHATE-ISOMERASE-RXN
S_S2_Ca_088_v1v9_531	TAGAKIN-RXN
S_S2_Ca_088_v1v9_532	TAGAKIN-RXN
S_S2_Ca_088_v1v9_533	ARGININE-DEIMINASE-RXN
S_S2_Ca_088_v1v9_534	CEPHALOSPORIN-C-DEACETYLASE-RXN
S_S2_Ca_088_v1v9_535	CEPHALOSPORIN-C-DEACETYLASE-RXN
S_S2_Ca_088_v1v9_536	RXN-13759
S_S2_Ca_088_v1v9_537	RXN-13758
S_S2_Ca_088_v1v9_538	RXN-14715
S_S2_Ca_088_v1v9_538	RXN-7911
S_S2_Ca_088_v1v9_538	RXN-12521
S_S2_Ca_088_v1v9_538	DIENOYLCOAREDUCT-RXN
S_S2_Ca_088_v1v9_538	RXN-14776
S_S2_Ca_088_v1v9_538	RXN-7835
S_S2_Ca_088_v1v9_538	RXN-14790
S_S2_Ca_088_v1v9_539	NAG1P-URIDYLTRANS-RXN
S_S2_Ca_088_v1v9_540	2.3.1.157-RXN
S_S2_Ca_088_v1v9_541	2.1.1.74-RXN
S_S2_Ca_088_v1v9_543	RXN0-3364
S_S2_Ca_088_v1v9_546	DIACYLGLYKIN-RXN
S_S2_Ca_088_v1v9_547	RXN-15513
S_S2_Ca_088_v1v9_548	PEPCARBOX-RXN
S_S2_Ca_088_v1v9_549	SPERMIDINESYN-RXN
S_S2_Ca_088_v1v9_550	1.2.1.27-RXN
S_S2_Ca_088_v1v9_550	RXN-11213
S_S2_Ca_088_v1v9_551	RXN-9958
S_S2_Ca_088_v1v9_552	ALANINE-AMINOTRANSFERASE-RXN
S_S2_Ca_088_v1v9_552	RXN-13698
S_S2_Ca_088_v1v9_553	RXN-6380
S_S2_Ca_088_v1v9_554	GLCNACPTRANS-RXN
S_S2_Ca_088_v1v9_555	3.2.1.58-RXN
S_S2_Ca_088_v1v9_556	DIMETHYLARGININASE-RXN
S_S2_Ca_088_v1v9_557	6-HYDROXYNICOTINATE-REDUCTASE-RXN
S_S2_Ca_088_v1v9_558	HOMOSERKIN-RXN
S_S2_Ca_088_v1v9_559	3.6.3.4-RXN
S_S2_Ca_088_v1v9_560	RXN-9237
S_S2_Ca_088_v1v9_560	2.1.1.64-RXN
S_S2_Ca_088_v1v9_560	RXN3O-102
