S_NS6_Ca_028_v1v9_1	NADH-DEHYDROG-A-RXN
S_NS6_Ca_028_v1v9_283	NAD-SYNTH-GLN-RXN
S_NS6_Ca_028_v1v9_284	NAD-SYNTH-GLN-RXN
S_NS6_Ca_028_v1v9_285	RXN-8001
S_NS6_Ca_028_v1v9_286	RXN-14569
S_NS6_Ca_028_v1v9_287	RXN0-1321
S_NS6_Ca_028_v1v9_287	QUEUOSINE-TRNA-RIBOSYLTRANSFERASE-RXN
S_NS6_Ca_028_v1v9_288	TRNA-GUANINE-N7--METHYLTRANSFERASE-RXN
S_NS6_Ca_028_v1v9_289	VALINE--TRNA-LIGASE-RXN
S_NS6_Ca_028_v1v9_290	3PGAREARR-RXN
S_NS6_Ca_028_v1v9_291	3PGAREARR-RXN
S_NS6_Ca_028_v1v9_292	DXS-RXN
S_NS6_Ca_028_v1v9_293	PREPHENATEDEHYDROG-RXN
S_NS6_Ca_028_v1v9_294	DCMP-DEAMINASE-RXN
S_NS6_Ca_028_v1v9_295	RXN-7913
S_NS6_Ca_028_v1v9_295	RXN-11832
S_NS6_Ca_028_v1v9_296	SERINE-O-ACETTRAN-RXN
S_NS6_Ca_028_v1v9_297	SERINE-O-ACETTRAN-RXN
S_NS6_Ca_028_v1v9_298	GLUTSEMIALDEHYDROG-RXN
S_NS6_Ca_028_v1v9_299	GLUTKIN-RXN
S_NS6_Ca_028_v1v9_300	2TRANSKETO-RXN
S_NS6_Ca_028_v1v9_300	1TRANSKETO-RXN
S_NS6_Ca_028_v1v9_301	2TRANSKETO-RXN
S_NS6_Ca_028_v1v9_301	1TRANSKETO-RXN
S_NS6_Ca_028_v1v9_302	SAICARSYN-RXN
S_NS6_Ca_028_v1v9_303	4.2.99.18-RXN
S_NS6_Ca_028_v1v9_303	RXN0-2601
S_NS6_Ca_028_v1v9_304	ARGSUCCINSYN-RXN
S_NS6_Ca_028_v1v9_304	RXN-10
S_NS6_Ca_028_v1v9_305	TRIOSEPISOMERIZATION-RXN
S_NS6_Ca_028_v1v9_306	3.1.13.5-RXN
S_NS6_Ca_028_v1v9_306	RXN0-6483
S_NS6_Ca_028_v1v9_306	RXN0-6484
S_NS6_Ca_028_v1v9_307	DNA-CYTOSINE-5--METHYLTRANSFERASE-RXN
S_NS6_Ca_028_v1v9_308	AMPSYN-RXN
S_NS6_Ca_028_v1v9_308	AICARSYN-RXN
S_NS6_Ca_028_v1v9_309	RIBONUCLEOSIDE-DIP-REDUCTII-RXN
S_NS6_Ca_028_v1v9_309	RXN0-748
S_NS6_Ca_028_v1v9_309	RXN0-747
S_NS6_Ca_028_v1v9_309	GDPREDUCT-RXN
S_NS6_Ca_028_v1v9_309	ADPREDUCT-RXN
S_NS6_Ca_028_v1v9_309	RXN0-722
S_NS6_Ca_028_v1v9_309	CDPREDUCT-RXN
S_NS6_Ca_028_v1v9_309	UDPREDUCT-RXN
S_NS6_Ca_028_v1v9_309	RIBONUCLEOSIDE-DIP-REDUCTI-RXN
S_NS6_Ca_028_v1v9_310	ASPARTATEKIN-RXN
S_NS6_Ca_028_v1v9_311	HOMOSERDEHYDROG-RXN
S_NS6_Ca_028_v1v9_312	HOMOCYSMETB12-RXN
S_NS6_Ca_028_v1v9_313	HOMOCYSMETB12-RXN
S_NS6_Ca_028_v1v9_314	3.4.11.4-RXN
S_NS6_Ca_028_v1v9_315	2.7.7.8-RXN
S_NS6_Ca_028_v1v9_316	GUANPRIBOSYLTRAN-RXN
S_NS6_Ca_028_v1v9_316	HYPOXANPRIBOSYLTRAN-RXN
S_NS6_Ca_028_v1v9_317	RXN-9382
S_NS6_Ca_028_v1v9_318	DTMPKI-RXN
S_NS6_Ca_028_v1v9_319	RXN-10781
S_NS6_Ca_028_v1v9_319	RXN-5424
S_NS6_Ca_028_v1v9_319	METHANOL-DEHYDROGENASE-RXN
S_NS6_Ca_028_v1v9_319	RXN-15818
S_NS6_Ca_028_v1v9_319	RXN3O-4113
S_NS6_Ca_028_v1v9_319	RXN-12448
S_NS6_Ca_028_v1v9_319	ALCOHOL-DEHYDROG-GENERIC-RXN
S_NS6_Ca_028_v1v9_319	RXN-7694
S_NS6_Ca_028_v1v9_319	RXN-7693
S_NS6_Ca_028_v1v9_319	RXN-7657
S_NS6_Ca_028_v1v9_319	ALCOHOL-DEHYDROG-RXN
S_NS6_Ca_028_v1v9_319	RXN-7700
S_NS6_Ca_028_v1v9_319	RXN-7706
S_NS6_Ca_028_v1v9_319	RXN-10911
S_NS6_Ca_028_v1v9_319	RXN-10915
S_NS6_Ca_028_v1v9_319	RXN66-478
S_NS6_Ca_028_v1v9_319	RXN-15823
S_NS6_Ca_028_v1v9_319	RXN-13198
S_NS6_Ca_028_v1v9_320	RXN-10781
S_NS6_Ca_028_v1v9_320	RXN-5424
S_NS6_Ca_028_v1v9_320	METHANOL-DEHYDROGENASE-RXN
S_NS6_Ca_028_v1v9_320	RXN-15818
S_NS6_Ca_028_v1v9_320	RXN3O-4113
S_NS6_Ca_028_v1v9_320	RXN-12448
S_NS6_Ca_028_v1v9_320	ALCOHOL-DEHYDROG-GENERIC-RXN
S_NS6_Ca_028_v1v9_320	RXN-7694
S_NS6_Ca_028_v1v9_320	RXN-7693
S_NS6_Ca_028_v1v9_320	RXN-7657
S_NS6_Ca_028_v1v9_320	ALCOHOL-DEHYDROG-RXN
S_NS6_Ca_028_v1v9_320	RXN-7700
S_NS6_Ca_028_v1v9_320	RXN-7706
S_NS6_Ca_028_v1v9_320	RXN-10911
S_NS6_Ca_028_v1v9_320	RXN-10915
S_NS6_Ca_028_v1v9_320	RXN66-478
S_NS6_Ca_028_v1v9_320	RXN-15823
S_NS6_Ca_028_v1v9_320	RXN-13198
S_NS6_Ca_028_v1v9_321	GLURS-RXN
S_NS6_Ca_028_v1v9_322	GLURS-RXN
S_NS6_Ca_028_v1v9_323	CHORISMATE-SYNTHASE-RXN
S_NS6_Ca_028_v1v9_324	UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN
S_NS6_Ca_028_v1v9_325	PYRUVATEORTHOPHOSPHATE-DIKINASE-RXN
S_NS6_Ca_028_v1v9_326	PGLUCISOM-RXN
S_NS6_Ca_028_v1v9_326	RXN-6182
S_NS6_Ca_028_v1v9_326	RXN-13720
S_NS6_Ca_028_v1v9_327	RXN66-546
S_NS6_Ca_028_v1v9_327	PYRROLINECARBREDUCT-RXN
S_NS6_Ca_028_v1v9_328	DGTPTRIPHYDRO-RXN
S_NS6_Ca_028_v1v9_329	TRNA-PSEUDOURIDINE-SYNTHASE-I-RXN
S_NS6_Ca_028_v1v9_330	NICONUCADENYLYLTRAN-RXN
S_NS6_Ca_028_v1v9_331	TRNA-NUCLEOTIDYLTRANSFERASE-RXN
S_NS6_Ca_028_v1v9_331	RXN0-6482
S_NS6_Ca_028_v1v9_331	RXN0-6481
S_NS6_Ca_028_v1v9_332	2-DEHYDROPANTOATE-REDUCT-RXN
S_NS6_Ca_028_v1v9_333	FORMATETHFLIG-RXN
S_NS6_Ca_028_v1v9_334	GLYRIBONUCSYN-RXN
S_NS6_Ca_028_v1v9_335	RXN-11586
S_NS6_Ca_028_v1v9_336	RXN-11601
S_NS6_Ca_028_v1v9_337	PROLINE--TRNA-LIGASE-RXN
S_NS6_Ca_028_v1v9_338	RXN-14992
S_NS6_Ca_028_v1v9_339	ARGSUCCINLYA-RXN
S_NS6_Ca_028_v1v9_339	RXN-22
S_NS6_Ca_028_v1v9_340	RXN-14354
S_NS6_Ca_028_v1v9_340	RXN-14261
S_NS6_Ca_028_v1v9_340	RXN-14260
S_NS6_Ca_028_v1v9_340	AMYLOMALT-RXN
S_NS6_Ca_028_v1v9_340	RXN-9023
S_NS6_Ca_028_v1v9_340	RXN-12193
S_NS6_Ca_028_v1v9_340	RXN-1828
S_NS6_Ca_028_v1v9_340	RXN-12391
S_NS6_Ca_028_v1v9_341	RXN-14354
S_NS6_Ca_028_v1v9_341	RXN-14261
S_NS6_Ca_028_v1v9_341	RXN-14260
S_NS6_Ca_028_v1v9_341	AMYLOMALT-RXN
S_NS6_Ca_028_v1v9_341	RXN-9023
S_NS6_Ca_028_v1v9_341	RXN-12193
S_NS6_Ca_028_v1v9_341	RXN-1828
S_NS6_Ca_028_v1v9_341	RXN-12391
S_NS6_Ca_028_v1v9_342	3.1.21.2-RXN
S_NS6_Ca_028_v1v9_343	RXN0-5063
S_NS6_Ca_028_v1v9_344	RXN0-6366
S_NS6_Ca_028_v1v9_345	CYSTEINE--TRNA-LIGASE-RXN
S_NS6_Ca_028_v1v9_346	SUCCINYLDIAMINOPIMTRANS-RXN
S_NS6_Ca_028_v1v9_347	RXN-15007
S_NS6_Ca_028_v1v9_347	ACETYLORNTRANSAM-RXN
S_NS6_Ca_028_v1v9_348	RXN0-5515
S_NS6_Ca_028_v1v9_348	CDPDIGLYSYN-RXN
S_NS6_Ca_028_v1v9_349	VALINE-PYRUVATE-AMINOTRANSFER-RXN
S_NS6_Ca_028_v1v9_350	PHOSPHAGLYPSYN-RXN
S_NS6_Ca_028_v1v9_351	DNA-LIGASE-NAD+-RXN
S_NS6_Ca_028_v1v9_352	PREPHENATEDEHYDRAT-RXN
S_NS6_Ca_028_v1v9_353	CITSYN-RXN
S_NS6_Ca_028_v1v9_354	RXN-11860
S_NS6_Ca_028_v1v9_354	RXN-11865
S_NS6_Ca_028_v1v9_355	2.5.1.19-RXN
S_NS6_Ca_028_v1v9_356	THREONINE-ALDOLASE-RXN
S_NS6_Ca_028_v1v9_356	LTAA-RXN
S_NS6_Ca_028_v1v9_357	RXN-11737
S_NS6_Ca_028_v1v9_357	ASPAMINOTRANS-RXN
S_NS6_Ca_028_v1v9_357	RXN-13697
S_NS6_Ca_028_v1v9_357	RXN-10814
S_NS6_Ca_028_v1v9_358	RXN-11737
S_NS6_Ca_028_v1v9_358	ASPAMINOTRANS-RXN
S_NS6_Ca_028_v1v9_358	RXN-13697
S_NS6_Ca_028_v1v9_358	RXN-10814
S_NS6_Ca_028_v1v9_359	RXN-11737
S_NS6_Ca_028_v1v9_359	ASPAMINOTRANS-RXN
S_NS6_Ca_028_v1v9_359	RXN-13697
S_NS6_Ca_028_v1v9_359	RXN-10814
S_NS6_Ca_028_v1v9_360	RXN-8999
S_NS6_Ca_028_v1v9_361	2.7.1.148-RXN
S_NS6_Ca_028_v1v9_362	RXN-15005
S_NS6_Ca_028_v1v9_362	ACETYLGLUTKIN-RXN
S_NS6_Ca_028_v1v9_363	IMPCYCLOHYDROLASE-RXN
S_NS6_Ca_028_v1v9_364	AICARTRANSFORM-RXN
S_NS6_Ca_028_v1v9_365	ENTDB-RXN
S_NS6_Ca_028_v1v9_365	HOLO-ACP-SYNTH-RXN
S_NS6_Ca_028_v1v9_365	RXN-15889
S_NS6_Ca_028_v1v9_365	RXN-16759
S_NS6_Ca_028_v1v9_365	RXN-10994
S_NS6_Ca_028_v1v9_366	ARGININE--TRNA-LIGASE-RXN
S_NS6_Ca_028_v1v9_369	RXN0-1441
S_NS6_Ca_028_v1v9_370	CHORISMATEMUT-RXN
S_NS6_Ca_028_v1v9_371	5.99.1.2-RXN
S_NS6_Ca_028_v1v9_372	METHYLENETHFDEHYDROG-NADP-RXN
S_NS6_Ca_028_v1v9_373	RXN-11588
S_NS6_Ca_028_v1v9_374	LEUCINE--TRNA-LIGASE-RXN
S_NS6_Ca_028_v1v9_375	S-ADENMETSYN-RXN
S_NS6_Ca_028_v1v9_376	3.4.21.92-RXN
S_NS6_Ca_028_v1v9_377	RXN-14570
S_NS6_Ca_028_v1v9_378	RXN0-6274
S_NS6_Ca_028_v1v9_379	RXN-8976
S_NS6_Ca_028_v1v9_379	RXN-11029
S_NS6_Ca_028_v1v9_379	NACGLCTRANS-RXN
S_NS6_Ca_028_v1v9_379	RXN-11346
S_NS6_Ca_028_v1v9_380	UDP-NACMURALA-GLU-LIG-RXN
S_NS6_Ca_028_v1v9_381	RXN-8975
S_NS6_Ca_028_v1v9_381	RXN-11347
S_NS6_Ca_028_v1v9_381	PHOSNACMURPENTATRANS-RXN
S_NS6_Ca_028_v1v9_382	UDP-NACMURALGLDAPAALIG-RXN
S_NS6_Ca_028_v1v9_382	6.3.2.10-RXN
S_NS6_Ca_028_v1v9_383	UDP-NACMURALGLDAPLIG-RXN
S_NS6_Ca_028_v1v9_384	RXN-11638
S_NS6_Ca_028_v1v9_386	RXN-10060
S_NS6_Ca_028_v1v9_386	RXN-9518
S_NS6_Ca_028_v1v9_386	RXN-9514
S_NS6_Ca_028_v1v9_386	RXN-10655
S_NS6_Ca_028_v1v9_386	RXN-10659
S_NS6_Ca_028_v1v9_386	RXN-9536
S_NS6_Ca_028_v1v9_386	RXN1G-240
S_NS6_Ca_028_v1v9_386	RXN1G-203
S_NS6_Ca_028_v1v9_386	RXN-13008
S_NS6_Ca_028_v1v9_386	RXN-9556
S_NS6_Ca_028_v1v9_386	RXN-9552
S_NS6_Ca_028_v1v9_386	RXN1G-1247
S_NS6_Ca_028_v1v9_386	RXN1G-881
S_NS6_Ca_028_v1v9_386	RXN-16622
S_NS6_Ca_028_v1v9_386	RXN-16626
S_NS6_Ca_028_v1v9_386	RXN1G-358
S_NS6_Ca_028_v1v9_386	RXN1G-157
S_NS6_Ca_028_v1v9_386	RXN1G-508
S_NS6_Ca_028_v1v9_386	RXN-9532
S_NS6_Ca_028_v1v9_386	RXN0-2142
S_NS6_Ca_028_v1v9_386	RXN1G-717
S_NS6_Ca_028_v1v9_386	RXN-11480
S_NS6_Ca_028_v1v9_386	RXN1G-481
S_NS6_Ca_028_v1v9_386	RXN1G-252
S_NS6_Ca_028_v1v9_386	3-OXOACYL-ACP-REDUCT-RXN
S_NS6_Ca_028_v1v9_386	RXN-9524
S_NS6_Ca_028_v1v9_386	RXN-9528
S_NS6_Ca_028_v1v9_386	RXN1G-637
S_NS6_Ca_028_v1v9_386	RXN1G-951
S_NS6_Ca_028_v1v9_386	RXN-9540
S_NS6_Ca_028_v1v9_386	RXN1G-408
S_NS6_Ca_028_v1v9_386	RXN1G-409
S_NS6_Ca_028_v1v9_386	RXN1G-617
S_NS6_Ca_028_v1v9_386	RXN1G-613
S_NS6_Ca_028_v1v9_386	RXN1G-384
S_NS6_Ca_028_v1v9_386	RXN1G-469
S_NS6_Ca_028_v1v9_386	RXN-16630
S_NS6_Ca_028_v1v9_386	RXN1G-72
S_NS6_Ca_028_v1v9_386	RXN1G-349
S_NS6_Ca_028_v1v9_386	RXN1G-163
S_NS6_Ca_028_v1v9_386	RXN-16616
S_NS6_Ca_028_v1v9_386	RXN1G-853
S_NS6_Ca_028_v1v9_386	RXN-11476
S_NS6_Ca_028_v1v9_386	RXN1G-184
S_NS6_Ca_028_v1v9_386	RXN1G-182
S_NS6_Ca_028_v1v9_386	RXN1G-364
S_NS6_Ca_028_v1v9_386	RXN1G-287
S_NS6_Ca_028_v1v9_386	RXN1G-1053
S_NS6_Ca_028_v1v9_386	RXN1G-1050
S_NS6_Ca_028_v1v9_386	RXN-9633
S_NS6_Ca_028_v1v9_386	RXN1G-262
S_NS6_Ca_028_v1v9_386	RXN1G-260
S_NS6_Ca_028_v1v9_387	L-ASPARTATE-OXID-RXN
S_NS6_Ca_028_v1v9_388	L-ASPARTATE-OXID-RXN
S_NS6_Ca_028_v1v9_389	RIBULP3EPIM-RXN
S_NS6_Ca_028_v1v9_390	METHENYLTHFCYCLOHYDRO-RXN
S_NS6_Ca_028_v1v9_391	CTPSYN-RXN
S_NS6_Ca_028_v1v9_392	RXN66-532
S_NS6_Ca_028_v1v9_392	PHOSPHOGLUCMUT-RXN
S_NS6_Ca_028_v1v9_393	TYROSINE--TRNA-LIGASE-RXN
S_NS6_Ca_028_v1v9_394	AGMATINE-DEIMINASE-RXN
S_NS6_Ca_028_v1v9_395	AGMATINE-DEIMINASE-RXN
S_NS6_Ca_028_v1v9_396	RXN0-743
S_NS6_Ca_028_v1v9_397	URACIL-PRIBOSYLTRANS-RXN
S_NS6_Ca_028_v1v9_398	URACIL-PRIBOSYLTRANS-RXN
S_NS6_Ca_028_v1v9_399	ASPCARBTRANS-RXN
S_NS6_Ca_028_v1v9_400	GTP-CYCLOHYDRO-I-RXN
S_NS6_Ca_028_v1v9_402	ATPPHOSPHORIBOSYLTRANS-RXN
S_NS6_Ca_028_v1v9_403	3.4.11.9-RXN
S_NS6_Ca_028_v1v9_404	ABC-2-RXN
S_NS6_Ca_028_v1v9_404	ABC-28-RXN
S_NS6_Ca_028_v1v9_404	3.6.3.17-RXN
S_NS6_Ca_028_v1v9_404	ABC-33-RXN
S_NS6_Ca_028_v1v9_404	ABC-18-RXN
S_NS6_Ca_028_v1v9_405	RXN0-5297
S_NS6_Ca_028_v1v9_405	6-PHOSPHO-BETA-GLUCOSIDASE-RXN
S_NS6_Ca_028_v1v9_405	RXN0-5295
S_NS6_Ca_028_v1v9_405	RXN0-6994
S_NS6_Ca_028_v1v9_405	RXN0-7002
S_NS6_Ca_028_v1v9_406	RXN0-5297
S_NS6_Ca_028_v1v9_406	6-PHOSPHO-BETA-GLUCOSIDASE-RXN
S_NS6_Ca_028_v1v9_406	RXN0-5295
S_NS6_Ca_028_v1v9_406	RXN0-6994
S_NS6_Ca_028_v1v9_406	RXN0-7002
S_NS6_Ca_028_v1v9_407	ARYLSULFATE-SULFOTRANSFERASE-RXN
S_NS6_Ca_028_v1v9_408	ARYLSULFATE-SULFOTRANSFERASE-RXN
S_NS6_Ca_028_v1v9_409	RIBOKIN-RXN
S_NS6_Ca_028_v1v9_409	RXN-14223
S_NS6_Ca_028_v1v9_410	DEOXYADENPHOSPHOR-RXN
S_NS6_Ca_028_v1v9_410	RXN-7001
S_NS6_Ca_028_v1v9_410	RXN-14029
S_NS6_Ca_028_v1v9_410	XANTHOSINEPHOSPHORY-RXN
S_NS6_Ca_028_v1v9_410	RXN-11715
S_NS6_Ca_028_v1v9_410	RXN-11743
S_NS6_Ca_028_v1v9_410	INOPHOSPHOR-RXN
S_NS6_Ca_028_v1v9_410	PNP-RXN
S_NS6_Ca_028_v1v9_410	DEOXYGUANPHOSPHOR-RXN
S_NS6_Ca_028_v1v9_410	ADENPHOSPHOR-RXN
S_NS6_Ca_028_v1v9_410	DEOXYINOPHOSPHOR-RXN
S_NS6_Ca_028_v1v9_410	RXN0-5199
S_NS6_Ca_028_v1v9_411	RXN-11146
S_NS6_Ca_028_v1v9_412	PURINE-NUCLEOSIDASE-RXN
S_NS6_Ca_028_v1v9_412	RXN0-363
S_NS6_Ca_028_v1v9_412	RXN0-366
S_NS6_Ca_028_v1v9_413	GDPPYPHOSKIN-RXN
S_NS6_Ca_028_v1v9_413	GTPPYPHOSKIN-RXN
S_NS6_Ca_028_v1v9_414	SUCCDIAMINOPIMDESUCC-RXN
S_NS6_Ca_028_v1v9_415	SUCCDIAMINOPIMDESUCC-RXN
S_NS6_Ca_028_v1v9_416	SUCCDIAMINOPIMDESUCC-RXN
S_NS6_Ca_028_v1v9_417	SUCCDIAMINOPIMDESUCC-RXN
S_NS6_Ca_028_v1v9_418	XYLULOKIN-RXN
S_NS6_Ca_028_v1v9_419	3.4.13.9-RXN
S_NS6_Ca_028_v1v9_420	OROTATE-REDUCTASE-NADH-RXN
S_NS6_Ca_028_v1v9_421	DTDPDEHYDRHAMEPIM-RXN
S_NS6_Ca_028_v1v9_423	L-GLN-FRUCT-6-P-AMINOTRANS-RXN
S_NS6_Ca_028_v1v9_424	3.6.3.3-RXN
S_NS6_Ca_028_v1v9_425	3.6.3.3-RXN
S_NS6_Ca_028_v1v9_426	RXN0-5205
S_NS6_Ca_028_v1v9_427	RXN0-5205
S_NS6_Ca_028_v1v9_428	GLYCEROL-KIN-RXN
S_NS6_Ca_028_v1v9_429	5.4.2.10-RXN
S_NS6_Ca_028_v1v9_430	5.4.2.10-RXN
S_NS6_Ca_028_v1v9_431	GALPMUT-RXN
S_NS6_Ca_028_v1v9_432	GALPMUT-RXN
S_NS6_Ca_028_v1v9_433	GALPMUT-RXN
S_NS6_Ca_028_v1v9_434	3.6.3.40-RXN
S_NS6_Ca_028_v1v9_435	ADENINE-DEAMINASE-RXN
S_NS6_Ca_028_v1v9_436	RIB5PISOM-RXN
S_NS6_Ca_028_v1v9_437	RXN-1461
S_NS6_Ca_028_v1v9_437	RXN-9985
S_NS6_Ca_028_v1v9_438	DEPHOSPHOCOAKIN-RXN
S_NS6_Ca_028_v1v9_439	BTUR2-RXN
S_NS6_Ca_028_v1v9_439	COBALADENOSYLTRANS-RXN
S_NS6_Ca_028_v1v9_439	R344-RXN
S_NS6_Ca_028_v1v9_440	L-LACTATE-DEHYDROGENASE-RXN
S_NS6_Ca_028_v1v9_441	L-LACTATE-DEHYDROGENASE-RXN
S_NS6_Ca_028_v1v9_442	RXN-13671
S_NS6_Ca_028_v1v9_442	ACETALD-DEHYDROG-RXN
S_NS6_Ca_028_v1v9_443	CARBAMATE-KINASE-RXN
S_NS6_Ca_028_v1v9_444	RXN-8141
S_NS6_Ca_028_v1v9_445	RXN0-4641
S_NS6_Ca_028_v1v9_446	RXN-7737
S_NS6_Ca_028_v1v9_447	GLUC1PADENYLTRANS-RXN
S_NS6_Ca_028_v1v9_448	GLUC1PADENYLTRANS-RXN
S_NS6_Ca_028_v1v9_449	2-ENOATE-REDUCTASE-RXN
S_NS6_Ca_028_v1v9_450	1.15.1.2-RXN
S_NS6_Ca_028_v1v9_452	RXN-8348
S_NS6_Ca_028_v1v9_453	UDP-NACMUR-ALA-LIG-RXN
S_NS6_Ca_028_v1v9_454	NICOTINATEPRIBOSYLTRANS-RXN
S_NS6_Ca_028_v1v9_456	RXN-14338
S_NS6_Ca_028_v1v9_463	XANPRIBOSYLTRAN-RXN
S_NS6_Ca_028_v1v9_464	2.7.9.3-RXN
S_NS6_Ca_028_v1v9_471	2.9.1.1-RXN
S_NS6_Ca_028_v1v9_472	3.6.3.29-RXN
S_NS6_Ca_028_v1v9_472	ABC-19-RXN
S_NS6_Ca_028_v1v9_476	DUTP-PYROP-RXN
S_NS6_Ca_028_v1v9_480	FLAVONADPREDUCT-RXN
S_NS6_Ca_028_v1v9_480	1.18.1.2-RXN
S_NS6_Ca_028_v1v9_481	FLAVONADPREDUCT-RXN
S_NS6_Ca_028_v1v9_481	1.18.1.2-RXN
S_NS6_Ca_028_v1v9_482	UDPNACETYLMURAMATEDEHYDROG-RXN
S_NS6_Ca_028_v1v9_483	UDPNACETYLMURAMATEDEHYDROG-RXN
S_NS6_Ca_028_v1v9_484	RIBOSYLHOMOCYSTEINASE-RXN
S_NS6_Ca_028_v1v9_485	RXN0-5260
S_NS6_Ca_028_v1v9_485	RXN-15740
S_NS6_Ca_028_v1v9_485	RXN-15745
S_NS6_Ca_028_v1v9_486	ADENOSYLHOMOCYSTEINE-NUCLEOSIDASE-RXN
S_NS6_Ca_028_v1v9_487	ASPARTATE-RACEMASE-RXN
S_NS6_Ca_028_v1v9_488	TRANSALDOL-RXN
S_NS6_Ca_028_v1v9_489	CHOLOYLGLYCINE-HYDROLASE-RXN
S_NS6_Ca_028_v1v9_490	GLYCOLALDREDUCT-RXN
S_NS6_Ca_028_v1v9_490	LACTALDREDUCT-RXN
S_NS6_Ca_028_v1v9_490	RXN-8641
S_NS6_Ca_028_v1v9_491	OLEATE-HYDRATASE-RXN
S_NS6_Ca_028_v1v9_492	ASPARAGHYD-RXN
S_NS6_Ca_028_v1v9_493	GLYCDEH-RXN
S_NS6_Ca_028_v1v9_494	GLYCDEH-RXN
S_NS6_Ca_028_v1v9_495	GLYCDEH-RXN
S_NS6_Ca_028_v1v9_496	TRNA-S-TRANSFERASE-RXN
S_NS6_Ca_028_v1v9_497	RXN-14531
S_NS6_Ca_028_v1v9_498	PEPCARBOXYKIN-RXN
S_NS6_Ca_028_v1v9_499	ASNSYNB-RXN
S_NS6_Ca_028_v1v9_500	THRESYN-RXN
S_NS6_Ca_028_v1v9_501	3.4.21.88-RXN
S_NS6_Ca_028_v1v9_502	3-HYDROXYISOBUTYRATE-DEHYDROGENASE-RXN
S_NS6_Ca_028_v1v9_503	HISTPRATPHYD-RXN
S_NS6_Ca_028_v1v9_504	HISTPRATPHYD-RXN
S_NS6_Ca_028_v1v9_505	RXN-15117
S_NS6_Ca_028_v1v9_505	RXN-15118
S_NS6_Ca_028_v1v9_506	F16BDEPHOS-RXN
S_NS6_Ca_028_v1v9_507	PSERTRANSAMPYR-RXN
S_NS6_Ca_028_v1v9_507	PSERTRANSAM-RXN
S_NS6_Ca_028_v1v9_508	5.1.3.9-RXN
S_NS6_Ca_028_v1v9_508	NANE-RXN
S_NS6_Ca_028_v1v9_509	GLUTRACE-RXN
S_NS6_Ca_028_v1v9_510	RXN0-6515
S_NS6_Ca_028_v1v9_511	THIAMIN-PYROPHOSPHOKINASE-RXN
S_NS6_Ca_028_v1v9_512	3.4.17.19-RXN
S_NS6_Ca_028_v1v9_513	GALACTURIDYLYLTRANS-RXN
S_NS6_Ca_028_v1v9_514	GALACTURIDYLYLTRANS-RXN
S_NS6_Ca_028_v1v9_515	GLYCOGENSYN-RXN
S_NS6_Ca_028_v1v9_516	3.4.11.21-RXN
S_NS6_Ca_028_v1v9_517	TRNA-CYTIDYLYLTRANSFERASE-RXN
S_NS6_Ca_028_v1v9_518	RXN66-337
S_NS6_Ca_028_v1v9_518	3.4.13.19-RXN
S_NS6_Ca_028_v1v9_518	RXN-15682
S_NS6_Ca_028_v1v9_519	HOMSUCTRAN-RXN
S_NS6_Ca_028_v1v9_520	1PFRUCTPHOSN-RXN
S_NS6_Ca_028_v1v9_521	1PFRUCTPHOSN-RXN
S_NS6_Ca_028_v1v9_522	RXN-14280
S_NS6_Ca_028_v1v9_522	ALDHDEHYDROG-RXN
S_NS6_Ca_028_v1v9_522	RXN-9758
S_NS6_Ca_028_v1v9_522	RXN-14225
S_NS6_Ca_028_v1v9_522	RXN-14224
S_NS6_Ca_028_v1v9_522	RXN-10089
S_NS6_Ca_028_v1v9_522	R222-RXN
S_NS6_Ca_028_v1v9_522	RXN-37
S_NS6_Ca_028_v1v9_522	RXN66-3
S_NS6_Ca_028_v1v9_522	RXN-15819
S_NS6_Ca_028_v1v9_522	RXN-15855
S_NS6_Ca_028_v1v9_522	RXN6666-5
S_NS6_Ca_028_v1v9_522	RXN-3443
S_NS6_Ca_028_v1v9_522	RXN-10780
S_NS6_Ca_028_v1v9_522	RXN-4142
S_NS6_Ca_028_v1v9_522	RXN-10912
S_NS6_Ca_028_v1v9_522	RXN-10917
S_NS6_Ca_028_v1v9_522	RXN-10715
S_NS6_Ca_028_v1v9_522	RXN66-479
S_NS6_Ca_028_v1v9_522	RXN66-472
S_NS6_Ca_028_v1v9_522	RXN66-476
S_NS6_Ca_028_v1v9_522	RXN-16654
S_NS6_Ca_028_v1v9_522	RXN-16655
S_NS6_Ca_028_v1v9_522	RXN-16656
S_NS6_Ca_028_v1v9_522	RXN-16653
S_NS6_Ca_028_v1v9_522	RXN-15822
S_NS6_Ca_028_v1v9_523	RXN-11578
S_NS6_Ca_028_v1v9_524	ACYLPHOSPHATASE-RXN
S_NS6_Ca_028_v1v9_525	ACETATEKIN-RXN
S_NS6_Ca_028_v1v9_526	ACETATEKIN-RXN
S_NS6_Ca_028_v1v9_530	UREASE-RXN
S_NS6_Ca_028_v1v9_531	UREASE-RXN
S_NS6_Ca_028_v1v9_532	UREASE-RXN
S_NS6_Ca_028_v1v9_535	RXN-11322
S_NS6_Ca_028_v1v9_536	RXN-11322
S_NS6_Ca_028_v1v9_537	LACTOSE-6-PHOSPHATE-ISOMERASE-RXN
S_NS6_Ca_028_v1v9_538	LACTOSE-6-PHOSPHATE-ISOMERASE-RXN
S_NS6_Ca_028_v1v9_539	TAGAKIN-RXN
