S_S5_He_108_v1v9_1	NADH-DEHYDROG-A-RXN
S_S5_He_108_v1v9_289	ALPHAGALACTOSID-RXN
S_S5_He_108_v1v9_289	RXN-11501
S_S5_He_108_v1v9_289	RXN-12088
S_S5_He_108_v1v9_290	ALPHAGALACTOSID-RXN
S_S5_He_108_v1v9_290	RXN-11501
S_S5_He_108_v1v9_290	RXN-12088
S_S5_He_108_v1v9_291	ALPHAGALACTOSID-RXN
S_S5_He_108_v1v9_291	RXN-11501
S_S5_He_108_v1v9_291	RXN-12088
S_S5_He_108_v1v9_296	RXN-14455
S_S5_He_108_v1v9_297	1.8.4.12-RXN
S_S5_He_108_v1v9_298	RXN-8668
S_S5_He_108_v1v9_299	DIHYDROOROT-RXN
S_S5_He_108_v1v9_300	RXN-11396
S_S5_He_108_v1v9_301	RXN-11396
S_S5_He_108_v1v9_302	RXN-11396
S_S5_He_108_v1v9_303	GLUCOKIN-RXN
S_S5_He_108_v1v9_303	RXN66-521
S_S5_He_108_v1v9_303	RXN-1685
S_S5_He_108_v1v9_304	GLUCOKIN-RXN
S_S5_He_108_v1v9_304	RXN66-521
S_S5_He_108_v1v9_304	RXN-1685
S_S5_He_108_v1v9_305	GLUCOKIN-RXN
S_S5_He_108_v1v9_305	RXN66-521
S_S5_He_108_v1v9_305	RXN-1685
S_S5_He_108_v1v9_306	GLUCOKIN-RXN
S_S5_He_108_v1v9_306	RXN66-521
S_S5_He_108_v1v9_306	RXN-1685
S_S5_He_108_v1v9_307	GLUCOKIN-RXN
S_S5_He_108_v1v9_307	RXN66-521
S_S5_He_108_v1v9_307	RXN-1685
S_S5_He_108_v1v9_308	GLUCOKIN-RXN
S_S5_He_108_v1v9_308	RXN66-521
S_S5_He_108_v1v9_308	RXN-1685
S_S5_He_108_v1v9_309	GLUCOKIN-RXN
S_S5_He_108_v1v9_309	RXN66-521
S_S5_He_108_v1v9_309	RXN-1685
S_S5_He_108_v1v9_310	3-DEHYDROQUINATE-SYNTHASE-RXN
S_S5_He_108_v1v9_311	R-2-METHYLMALATE-DEHYDRATASE-RXN
S_S5_He_108_v1v9_312	R-2-METHYLMALATE-DEHYDRATASE-RXN
S_S5_He_108_v1v9_313	RXN-13182
S_S5_He_108_v1v9_313	SIALATE-O-ACETYLESTERASE-RXN
S_S5_He_108_v1v9_313	RXN-13181
S_S5_He_108_v1v9_314	3.5.1.88-RXN
S_S5_He_108_v1v9_314	3.5.1.27-RXN
S_S5_He_108_v1v9_315	3.5.1.88-RXN
S_S5_He_108_v1v9_315	3.5.1.27-RXN
S_S5_He_108_v1v9_316	3.5.1.88-RXN
S_S5_He_108_v1v9_316	3.5.1.27-RXN
S_S5_He_108_v1v9_317	TDCEACT-RXN
S_S5_He_108_v1v9_318	TDCEACT-RXN
S_S5_He_108_v1v9_319	TDCEACT-RXN
S_S5_He_108_v1v9_320	TDCEACT-RXN
S_S5_He_108_v1v9_321	TDCEACT-RXN
S_S5_He_108_v1v9_322	TDCEACT-RXN
S_S5_He_108_v1v9_323	TDCEACT-RXN
S_S5_He_108_v1v9_324	TDCEACT-RXN
S_S5_He_108_v1v9_325	TDCEACT-RXN
S_S5_He_108_v1v9_326	RXN-14283
S_S5_He_108_v1v9_326	RXN-14282
S_S5_He_108_v1v9_326	RXN-14350
S_S5_He_108_v1v9_326	RXN-15910
S_S5_He_108_v1v9_326	RXN0-5183
S_S5_He_108_v1v9_326	RXN-14349
S_S5_He_108_v1v9_326	MALTODEXGLUCOSID-RXN
S_S5_He_108_v1v9_326	RXN-14281
S_S5_He_108_v1v9_326	RXN-2141
S_S5_He_108_v1v9_327	RXN-11836
S_S5_He_108_v1v9_328	2.7.1.90-RXN
S_S5_He_108_v1v9_329	2.7.1.90-RXN
S_S5_He_108_v1v9_330	2.7.1.90-RXN
S_S5_He_108_v1v9_331	2.7.1.90-RXN
S_S5_He_108_v1v9_332	2.7.1.90-RXN
S_S5_He_108_v1v9_333	ACETOLACTSYN-RXN
S_S5_He_108_v1v9_333	ACETOOHBUTSYN-RXN
S_S5_He_108_v1v9_334	ACETOLACTSYN-RXN
S_S5_He_108_v1v9_334	ACETOOHBUTSYN-RXN
S_S5_He_108_v1v9_335	ACETOLACTSYN-RXN
S_S5_He_108_v1v9_335	ACETOOHBUTSYN-RXN
S_S5_He_108_v1v9_336	ACETOLACTSYN-RXN
S_S5_He_108_v1v9_336	ACETOOHBUTSYN-RXN
S_S5_He_108_v1v9_337	ACETOLACTSYN-RXN
S_S5_He_108_v1v9_337	ACETOOHBUTSYN-RXN
S_S5_He_108_v1v9_338	IGPSYN-RXN
S_S5_He_108_v1v9_339	ALARACECAT-RXN
S_S5_He_108_v1v9_340	ALARACECAT-RXN
S_S5_He_108_v1v9_341	3.1.11.6-RXN
S_S5_He_108_v1v9_342	3.1.11.6-RXN
S_S5_He_108_v1v9_343	ALPHA-AMYL-RXN
S_S5_He_108_v1v9_343	RXN0-5181
S_S5_He_108_v1v9_343	3.2.1.1-RXN
S_S5_He_108_v1v9_343	RXN-1823
S_S5_He_108_v1v9_344	ALPHA-AMYL-RXN
S_S5_He_108_v1v9_344	RXN0-5181
S_S5_He_108_v1v9_344	3.2.1.1-RXN
S_S5_He_108_v1v9_344	RXN-1823
S_S5_He_108_v1v9_345	ALPHA-AMYL-RXN
S_S5_He_108_v1v9_345	RXN0-5181
S_S5_He_108_v1v9_345	3.2.1.1-RXN
S_S5_He_108_v1v9_345	RXN-1823
S_S5_He_108_v1v9_346	ALPHA-AMYL-RXN
S_S5_He_108_v1v9_346	RXN0-5181
S_S5_He_108_v1v9_346	3.2.1.1-RXN
S_S5_He_108_v1v9_346	RXN-1823
S_S5_He_108_v1v9_347	ALPHA-AMYL-RXN
S_S5_He_108_v1v9_347	RXN0-5181
S_S5_He_108_v1v9_347	3.2.1.1-RXN
S_S5_He_108_v1v9_347	RXN-1823
S_S5_He_108_v1v9_348	ALPHA-AMYL-RXN
S_S5_He_108_v1v9_348	RXN0-5181
S_S5_He_108_v1v9_348	3.2.1.1-RXN
S_S5_He_108_v1v9_348	RXN-1823
S_S5_He_108_v1v9_349	ALPHA-AMYL-RXN
S_S5_He_108_v1v9_349	RXN0-5181
S_S5_He_108_v1v9_349	3.2.1.1-RXN
S_S5_He_108_v1v9_349	RXN-1823
S_S5_He_108_v1v9_350	2.1.1.63-RXN
S_S5_He_108_v1v9_351	2.5.1.64-RXN
S_S5_He_108_v1v9_352	3.4.23.43-RXN
S_S5_He_108_v1v9_353	3.4.23.43-RXN
S_S5_He_108_v1v9_354	3.4.23.43-RXN
S_S5_He_108_v1v9_355	3.4.23.43-RXN
S_S5_He_108_v1v9_356	3.4.23.43-RXN
S_S5_He_108_v1v9_357	3.4.23.43-RXN
S_S5_He_108_v1v9_358	METHIONINE--TRNA-LIGASE-RXN
S_S5_He_108_v1v9_358	RXN-16165
S_S5_He_108_v1v9_359	RXN0-5298
S_S5_He_108_v1v9_360	DTDPDEHYRHAMREDUCT-RXN
S_S5_He_108_v1v9_361	DTDPDEHYRHAMREDUCT-RXN
S_S5_He_108_v1v9_362	DTDPDEHYRHAMREDUCT-RXN
S_S5_He_108_v1v9_363	GLUCOSAMINE-6-P-DEAMIN-RXN
S_S5_He_108_v1v9_364	GLUCOSAMINE-6-P-DEAMIN-RXN
S_S5_He_108_v1v9_365	GLUCOSAMINE-6-P-DEAMIN-RXN
S_S5_He_108_v1v9_366	RXN-12462
S_S5_He_108_v1v9_367	RXN-12463
S_S5_He_108_v1v9_368	FUCULOKIN-RXN
S_S5_He_108_v1v9_369	DARABISOM-RXN
S_S5_He_108_v1v9_369	RXN-14969
S_S5_He_108_v1v9_370	FUCISOM-RXN
S_S5_He_108_v1v9_371	RXN-14065
S_S5_He_108_v1v9_372	OROPRIBTRANS-RXN
S_S5_He_108_v1v9_373	OROPRIBTRANS-RXN
S_S5_He_108_v1v9_374	OROPRIBTRANS-RXN
S_S5_He_108_v1v9_375	UNDECAPRENYL-DIPHOSPHATASE-RXN
S_S5_He_108_v1v9_376	UNDECAPRENYL-DIPHOSPHATASE-RXN
S_S5_He_108_v1v9_377	UNDECAPRENYL-DIPHOSPHATASE-RXN
S_S5_He_108_v1v9_378	OROTPDECARB-RXN
S_S5_He_108_v1v9_379	ASPARTATE--TRNA-LIGASE-RXN
S_S5_He_108_v1v9_380	ASPARTATE--TRNA-LIGASE-RXN
S_S5_He_108_v1v9_381	THIOREDOXIN-REDUCT-NADPH-RXN
S_S5_He_108_v1v9_382	THIOREDOXIN-REDUCT-NADPH-RXN
S_S5_He_108_v1v9_383	THIOREDOXIN-REDUCT-NADPH-RXN
S_S5_He_108_v1v9_384	THIOREDOXIN-REDUCT-NADPH-RXN
S_S5_He_108_v1v9_385	THIOREDOXIN-REDUCT-NADPH-RXN
S_S5_He_108_v1v9_386	THIOREDOXIN-REDUCT-NADPH-RXN
S_S5_He_108_v1v9_387	4.3.1.17-RXN
S_S5_He_108_v1v9_388	4.3.1.17-RXN
S_S5_He_108_v1v9_389	ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN
S_S5_He_108_v1v9_390	FARNESYLTRANSTRANSFERASE-RXN
S_S5_He_108_v1v9_391	FPPSYN-RXN
S_S5_He_108_v1v9_392	GPPSYN-RXN
S_S5_He_108_v1v9_393	RXN0-6480
S_S5_He_108_v1v9_393	3.1.26.5-RXN
S_S5_He_108_v1v9_394	RXN0-6727
S_S5_He_108_v1v9_394	RXN-13141
S_S5_He_108_v1v9_395	GLUTAMATE-SYNTHASE-NADH-RXN
S_S5_He_108_v1v9_396	GLUTAMATE-SYNTHASE-NADH-RXN
S_S5_He_108_v1v9_397	GLUTAMATE-SYNTHASE-NADH-RXN
S_S5_He_108_v1v9_398	GLUTAMATE-SYNTHASE-NADH-RXN
S_S5_He_108_v1v9_399	GLUTAMATE-SYNTHASE-NADH-RXN
S_S5_He_108_v1v9_400	GLUTAMATESYN-RXN
S_S5_He_108_v1v9_401	GLUTAMATESYN-RXN
S_S5_He_108_v1v9_402	GLUTAMATESYN-RXN
S_S5_He_108_v1v9_403	GLUTAMATESYN-RXN
S_S5_He_108_v1v9_404	GLUTAMATESYN-RXN
S_S5_He_108_v1v9_405	RXN-11290
S_S5_He_108_v1v9_406	RXN-11290
S_S5_He_108_v1v9_407	RXN-11290
S_S5_He_108_v1v9_408	MANNPISOM-RXN
S_S5_He_108_v1v9_409	RXN0-302
S_S5_He_108_v1v9_410	MYO-INOSITOL-1OR-4-MONOPHOSPHATASE-RXN
S_S5_He_108_v1v9_410	RXN-10949
S_S5_He_108_v1v9_410	RXN-7253
S_S5_He_108_v1v9_410	RXN0-5408
S_S5_He_108_v1v9_410	RXN-10954
S_S5_He_108_v1v9_410	RXN-10953
S_S5_He_108_v1v9_410	RXN-10952
S_S5_He_108_v1v9_411	MYO-INOSITOL-1OR-4-MONOPHOSPHATASE-RXN
S_S5_He_108_v1v9_411	RXN-10949
S_S5_He_108_v1v9_411	RXN-7253
S_S5_He_108_v1v9_411	RXN0-5408
S_S5_He_108_v1v9_411	RXN-10954
S_S5_He_108_v1v9_411	RXN-10953
S_S5_He_108_v1v9_411	RXN-10952
S_S5_He_108_v1v9_412	MYO-INOSITOL-1OR-4-MONOPHOSPHATASE-RXN
S_S5_He_108_v1v9_412	RXN-10949
S_S5_He_108_v1v9_412	RXN-7253
S_S5_He_108_v1v9_412	RXN0-5408
S_S5_He_108_v1v9_412	RXN-10954
S_S5_He_108_v1v9_412	RXN-10953
S_S5_He_108_v1v9_412	RXN-10952
S_S5_He_108_v1v9_413	RXN-11592
S_S5_He_108_v1v9_414	RXN-12752
S_S5_He_108_v1v9_414	RXN-13142
S_S5_He_108_v1v9_415	MALONYL-COA-ACP-TRANSACYL-RXN
S_S5_He_108_v1v9_416	1.11.1.15-RXN
S_S5_He_108_v1v9_416	RXN0-5468
S_S5_He_108_v1v9_417	1.11.1.15-RXN
S_S5_He_108_v1v9_417	RXN0-5468
S_S5_He_108_v1v9_418	PPPGPPHYDRO-RXN
S_S5_He_108_v1v9_419	3.4.23.36-RXN
S_S5_He_108_v1v9_420	3.4.23.36-RXN
S_S5_He_108_v1v9_421	ISOLEUCINE--TRNA-LIGASE-RXN
S_S5_He_108_v1v9_422	ISOLEUCINE--TRNA-LIGASE-RXN
S_S5_He_108_v1v9_423	BETA-LACTAMASE-RXN
S_S5_He_108_v1v9_424	BETA-LACTAMASE-RXN
S_S5_He_108_v1v9_425	BETA-LACTAMASE-RXN
S_S5_He_108_v1v9_426	PANTOTHENATE-KIN-RXN
S_S5_He_108_v1v9_427	PANTOTHENATE-KIN-RXN
S_S5_He_108_v1v9_428	METHIONYL-TRNA-FORMYLTRANSFERASE-RXN
S_S5_He_108_v1v9_429	GALACTOKIN-RXN
S_S5_He_108_v1v9_430	3.1.11.2-RXN
S_S5_He_108_v1v9_431	NAG6PDEACET-RXN
S_S5_He_108_v1v9_431	3.5.1.80-RXN
S_S5_He_108_v1v9_432	NAG6PDEACET-RXN
S_S5_He_108_v1v9_432	3.5.1.80-RXN
S_S5_He_108_v1v9_434	POLYPHOSPHATE-KINASE-RXN
S_S5_He_108_v1v9_435	EXOPOLYPHOSPHATASE-RXN
S_S5_He_108_v1v9_437	3.4.11.18-RXN
S_S5_He_108_v1v9_438	3.4.11.18-RXN
S_S5_He_108_v1v9_439	NAD-KIN-RXN
S_S5_He_108_v1v9_440	RXN-14025
S_S5_He_108_v1v9_440	RXN-14026
S_S5_He_108_v1v9_440	RXN-7607
S_S5_He_108_v1v9_440	RXN-7609
S_S5_He_108_v1v9_440	AMP-DEPHOSPHORYLATION-RXN
S_S5_He_108_v1v9_440	5-NUCLEOTID-RXN
S_S5_He_108_v1v9_440	RXN-14227
S_S5_He_108_v1v9_440	RXN-5841
S_S5_He_108_v1v9_440	XMPXAN-RXN
S_S5_He_108_v1v9_441	RXN-14025
S_S5_He_108_v1v9_441	RXN-14026
S_S5_He_108_v1v9_441	RXN-7607
S_S5_He_108_v1v9_441	RXN-7609
S_S5_He_108_v1v9_441	AMP-DEPHOSPHORYLATION-RXN
S_S5_He_108_v1v9_441	5-NUCLEOTID-RXN
S_S5_He_108_v1v9_441	RXN-14227
S_S5_He_108_v1v9_441	RXN-5841
S_S5_He_108_v1v9_441	XMPXAN-RXN
S_S5_He_108_v1v9_442	RXN0-2921
S_S5_He_108_v1v9_442	FOLYLPOLYGLUTAMATESYNTH-RXN
S_S5_He_108_v1v9_442	FORMYLTHFGLUSYNTH-RXN
S_S5_He_108_v1v9_443	DIHYDROFOLATESYNTH-RXN
S_S5_He_108_v1v9_444	GLUTDEHYD-RXN
S_S5_He_108_v1v9_445	GLUTDEHYD-RXN
S_S5_He_108_v1v9_450	PYRUVFORMLY-RXN
S_S5_He_108_v1v9_451	PYRUVFORMLY-RXN
S_S5_He_108_v1v9_452	PYRUVFORMLY-RXN
S_S5_He_108_v1v9_453	THYMIDYLATESYN-RXN
S_S5_He_108_v1v9_454	PRAISOM-RXN
S_S5_He_108_v1v9_455	SELENOCYSTEINE-LYASE-RXN
S_S5_He_108_v1v9_456	RXN-16391
S_S5_He_108_v1v9_456	METHYLMALONYL-COA-EPIM-RXN
S_S5_He_108_v1v9_457	RXN-16391
S_S5_He_108_v1v9_457	METHYLMALONYL-COA-EPIM-RXN
S_S5_He_108_v1v9_458	RXN-16391
S_S5_He_108_v1v9_458	METHYLMALONYL-COA-EPIM-RXN
S_S5_He_108_v1v9_460	ALDOSE1EPIM-RXN
S_S5_He_108_v1v9_460	ALDOSE-1-EPIMERASE-RXN
S_S5_He_108_v1v9_461	ALDOSE1EPIM-RXN
S_S5_He_108_v1v9_461	ALDOSE-1-EPIMERASE-RXN
S_S5_He_108_v1v9_462	ALDOSE1EPIM-RXN
S_S5_He_108_v1v9_462	ALDOSE-1-EPIMERASE-RXN
S_S5_He_108_v1v9_463	ALDOSE1EPIM-RXN
S_S5_He_108_v1v9_463	ALDOSE-1-EPIMERASE-RXN
S_S5_He_108_v1v9_464	RXN-12002
S_S5_He_108_v1v9_465	GAPOXNPHOSPHN-RXN
S_S5_He_108_v1v9_466	RXN1G-94
S_S5_He_108_v1v9_466	RXN1G-1015
S_S5_He_108_v1v9_466	RXN1G-202
S_S5_He_108_v1v9_466	RXN1G-883
S_S5_He_108_v1v9_466	RXN1G-660
S_S5_He_108_v1v9_466	RXN1G-374
S_S5_He_108_v1v9_466	RXN1G-334
S_S5_He_108_v1v9_466	RXN-8391
S_S5_He_108_v1v9_466	RXN1G-582
S_S5_He_108_v1v9_466	RXN1G-580
S_S5_He_108_v1v9_466	RXN1G-89
S_S5_He_108_v1v9_466	2.3.1.179-RXN
S_S5_He_108_v1v9_466	RXN1G-1212
S_S5_He_108_v1v9_466	RXN1G-424
S_S5_He_108_v1v9_466	RXN1G-818
S_S5_He_108_v1v9_466	RXN1G-79
S_S5_He_108_v1v9_466	RXN1G-172
S_S5_He_108_v1v9_466	RXN1G-557
S_S5_He_108_v1v9_466	RXN1G-32
S_S5_He_108_v1v9_467	RXN8J2-140
S_S5_He_108_v1v9_468	2.7.7.60-RXN
S_S5_He_108_v1v9_469	2.7.7.60-RXN
S_S5_He_108_v1v9_470	TRYPTOPHAN--TRNA-LIGASE-RXN
S_S5_He_108_v1v9_471	TRYPTOPHAN--TRNA-LIGASE-RXN
S_S5_He_108_v1v9_472	FRUCTOKINASE-RXN
S_S5_He_108_v1v9_473	FRUCTOKINASE-RXN
S_S5_He_108_v1v9_474	AKBLIG-RXN
S_S5_He_108_v1v9_475	RXN-14517
S_S5_He_108_v1v9_475	RXN-12458
S_S5_He_108_v1v9_476	RXN-982
S_S5_He_108_v1v9_477	RXN-14285
S_S5_He_108_v1v9_477	RXN-14284
S_S5_He_108_v1v9_477	RXN-14286
S_S5_He_108_v1v9_477	RXN-14353
S_S5_He_108_v1v9_477	RXN-9025
S_S5_He_108_v1v9_477	RXN0-5182
S_S5_He_108_v1v9_477	RXN0-5184
S_S5_He_108_v1v9_477	GLYCOPHOSPHORYL-RXN
S_S5_He_108_v1v9_477	RXN-12171
S_S5_He_108_v1v9_477	GLYMALTOPHOSPHORYL-RXN
S_S5_He_108_v1v9_477	RXN-1826
S_S5_He_108_v1v9_477	RXN-12392
S_S5_He_108_v1v9_478	RXN-14285
S_S5_He_108_v1v9_478	RXN-14284
S_S5_He_108_v1v9_478	RXN-14286
S_S5_He_108_v1v9_478	RXN-14353
S_S5_He_108_v1v9_478	RXN-9025
S_S5_He_108_v1v9_478	RXN0-5182
S_S5_He_108_v1v9_478	RXN0-5184
S_S5_He_108_v1v9_478	GLYCOPHOSPHORYL-RXN
S_S5_He_108_v1v9_478	RXN-12171
S_S5_He_108_v1v9_478	GLYMALTOPHOSPHORYL-RXN
S_S5_He_108_v1v9_478	RXN-1826
S_S5_He_108_v1v9_478	RXN-12392
S_S5_He_108_v1v9_479	RXN-14249
S_S5_He_108_v1v9_479	THREODEHYD-RXN
S_S5_He_108_v1v9_480	3.6.3.8-RXN
S_S5_He_108_v1v9_481	3.6.3.8-RXN
S_S5_He_108_v1v9_482	3.6.3.8-RXN
S_S5_He_108_v1v9_483	3.6.3.8-RXN
S_S5_He_108_v1v9_484	3.6.3.8-RXN
S_S5_He_108_v1v9_485	3.6.3.8-RXN
S_S5_He_108_v1v9_486	PRTRANS-RXN
S_S5_He_108_v1v9_487	DTDPGLUCDEHYDRAT-RXN
S_S5_He_108_v1v9_488	DTDPGLUCDEHYDRAT-RXN
S_S5_He_108_v1v9_489	DTDPGLUCOSEPP-RXN
S_S5_He_108_v1v9_490	BIOTINLIG-RXN
S_S5_He_108_v1v9_491	HISTIDINE--TRNA-LIGASE-RXN
S_S5_He_108_v1v9_492	RXN-13158
S_S5_He_108_v1v9_492	RXN-14986
S_S5_He_108_v1v9_493	PHOSGLYPHOS-RXN
S_S5_He_108_v1v9_494	ADENYLOSUCCINATE-SYNTHASE-RXN
S_S5_He_108_v1v9_495	ADENYLOSUCCINATE-SYNTHASE-RXN
S_S5_He_108_v1v9_496	GART-RXN
S_S5_He_108_v1v9_497	RXN66-1
S_S5_He_108_v1v9_497	RXN-14189
S_S5_He_108_v1v9_497	CATAL-RXN
S_S5_He_108_v1v9_498	NMNAMIDOHYDRO-RXN
S_S5_He_108_v1v9_499	RXN-14207
S_S5_He_108_v1v9_499	PEPDEPHOS-RXN
S_S5_He_108_v1v9_499	RXN-14117
S_S5_He_108_v1v9_499	RXN-14192
S_S5_He_108_v1v9_500	GCVT-RXN
S_S5_He_108_v1v9_501	GCVP-RXN
S_S5_He_108_v1v9_502	GCVP-RXN
S_S5_He_108_v1v9_503	RXN-15878
S_S5_He_108_v1v9_504	RXN0-882
S_S5_He_108_v1v9_505	RXN-12460
S_S5_He_108_v1v9_505	AMINOCYL-TRNA-HYDROLASE-RXN
S_S5_He_108_v1v9_505	RXN-16637
S_S5_He_108_v1v9_506	ALANINE--TRNA-LIGASE-RXN
S_S5_He_108_v1v9_507	ALANINE--TRNA-LIGASE-RXN
S_S5_He_108_v1v9_508	RXN-11633
S_S5_He_108_v1v9_509	RXN-11319
S_S5_He_108_v1v9_510	AIRS-RXN
S_S5_He_108_v1v9_511	PRPPAMIDOTRANS-RXN
S_S5_He_108_v1v9_512	P-PANTOCYSDECARB-RXN
S_S5_He_108_v1v9_513	P-PANTOCYSLIG-RXN
S_S5_He_108_v1v9_516	HISTIDPHOS-RXN
S_S5_He_108_v1v9_517	HISTIDPHOS-RXN
S_S5_He_108_v1v9_518	GUANYL-KIN-RXN
S_S5_He_108_v1v9_519	GUANYL-KIN-RXN
S_S5_He_108_v1v9_520	GUANYL-KIN-RXN
S_S5_He_108_v1v9_521	2.3.1.180-RXN
S_S5_He_108_v1v9_522	DXPREDISOM-RXN
S_S5_He_108_v1v9_523	PANTEPADENYLYLTRAN-RXN
S_S5_He_108_v1v9_524	RXN0-5462
S_S5_He_108_v1v9_525	SERINE--TRNA-LIGASE-RXN
S_S5_He_108_v1v9_525	RXN0-2161
S_S5_He_108_v1v9_526	FUMHYDR-RXN
S_S5_He_108_v1v9_527	FUMHYDR-RXN
S_S5_He_108_v1v9_528	DIHYDRODIPICSYN-RXN
S_S5_He_108_v1v9_529	DIHYDRODIPICSYN-RXN
S_S5_He_108_v1v9_530	DIHYDRODIPICSYN-RXN
S_S5_He_108_v1v9_531	DIHYDRODIPICSYN-RXN
S_S5_He_108_v1v9_532	RXN-14014
S_S5_He_108_v1v9_533	THREONINE--TRNA-LIGASE-RXN
S_S5_He_108_v1v9_534	THREONINE--TRNA-LIGASE-RXN
S_S5_He_108_v1v9_535	RXN-14712
S_S5_He_108_v1v9_535	RXN-15521
S_S5_He_108_v1v9_535	2.4.1.129-RXN
S_S5_He_108_v1v9_535	RXN-11350
S_S5_He_108_v1v9_535	RXN-11291
S_S5_He_108_v1v9_535	RXN-16650
S_S5_He_108_v1v9_535	RXN-11348
S_S5_He_108_v1v9_536	RXN-14712
S_S5_He_108_v1v9_536	RXN-15521
S_S5_He_108_v1v9_536	2.4.1.129-RXN
S_S5_He_108_v1v9_536	RXN-11350
S_S5_He_108_v1v9_536	RXN-11291
S_S5_He_108_v1v9_536	RXN-16650
S_S5_He_108_v1v9_536	RXN-11348
S_S5_He_108_v1v9_537	GLYC3PDEHYDROGBIOSYN-RXN
S_S5_He_108_v1v9_538	LYSINE--TRNA-LIGASE-RXN
S_S5_He_108_v1v9_539	GMP-SYN-GLUT-RXN
S_S5_He_108_v1v9_540	GMP-SYN-GLUT-RXN
S_S5_He_108_v1v9_541	BRANCHED-CHAINAMINOTRANSFERILEU-RXN
S_S5_He_108_v1v9_541	BRANCHED-CHAINAMINOTRANSFERVAL-RXN
S_S5_He_108_v1v9_541	BRANCHED-CHAINAMINOTRANSFERLEU-RXN
S_S5_He_108_v1v9_542	F16ALDOLASE-RXN
S_S5_He_108_v1v9_542	RXN-8631
S_S5_He_108_v1v9_543	F16ALDOLASE-RXN
S_S5_He_108_v1v9_543	RXN-8631
S_S5_He_108_v1v9_544	F16ALDOLASE-RXN
S_S5_He_108_v1v9_544	RXN-8631
S_S5_He_108_v1v9_545	F16ALDOLASE-RXN
S_S5_He_108_v1v9_545	RXN-8631
S_S5_He_108_v1v9_546	F16ALDOLASE-RXN
S_S5_He_108_v1v9_546	RXN-8631
S_S5_He_108_v1v9_547	DIAMINOPIMDECARB-RXN
S_S5_He_108_v1v9_548	RXN0-1342
S_S5_He_108_v1v9_549	PGLYCDEHYDROG-RXN
S_S5_He_108_v1v9_550	PGLYCDEHYDROG-RXN
S_S5_He_108_v1v9_553	ASPARAGINE--TRNA-LIGASE-RXN
S_S5_He_108_v1v9_554	IMP-DEHYDROG-RXN
S_S5_He_108_v1v9_555	IMP-DEHYDROG-RXN
S_S5_He_108_v1v9_556	3-DEHYDROQUINATE-DEHYDRATASE-RXN
S_S5_He_108_v1v9_557	PYRUFLAVREDUCT-RXN
S_S5_He_108_v1v9_557	2-OXOBUTYRATE-SYNTHASE-RXN
S_S5_He_108_v1v9_558	DAHPSYN-RXN
S_S5_He_108_v1v9_559	DAHPSYN-RXN
S_S5_He_108_v1v9_560	FADSYN-RXN
S_S5_He_108_v1v9_561	RIBOFLAVINKIN-RXN
S_S5_He_108_v1v9_562	RXN-11839
S_S5_He_108_v1v9_563	325-BISPHOSPHATE-NUCLEOTIDASE-RXN
S_S5_He_108_v1v9_565	RXN-1961
S_S5_He_108_v1v9_566	RXN-13179
S_S5_He_108_v1v9_567	RXN-13179
S_S5_He_108_v1v9_568	IMIDPHOSDEHYD-RXN
S_S5_He_108_v1v9_569	PRPPSYN-RXN
S_S5_He_108_v1v9_570	PRPPSYN-RXN
S_S5_He_108_v1v9_571	4.1.1.81-RXN
S_S5_He_108_v1v9_572	4.1.1.81-RXN
S_S5_He_108_v1v9_573	HISTAMINOTRANS-RXN
S_S5_He_108_v1v9_574	HISTAMINOTRANS-RXN
S_S5_He_108_v1v9_575	RXN-7669
S_S5_He_108_v1v9_575	GLYCOGEN-BRANCH-RXN
S_S5_He_108_v1v9_575	RXN-7710
S_S5_He_108_v1v9_575	RXN-14371
S_S5_He_108_v1v9_575	RXN-14372
S_S5_He_108_v1v9_576	RXN-7669
S_S5_He_108_v1v9_576	GLYCOGEN-BRANCH-RXN
S_S5_He_108_v1v9_576	RXN-7710
S_S5_He_108_v1v9_576	RXN-14371
S_S5_He_108_v1v9_576	RXN-14372
S_S5_He_108_v1v9_577	RXN-13482
S_S5_He_108_v1v9_577	ORNCARBAMTRANSFER-RXN
S_S5_He_108_v1v9_578	2.7.3.9-RXN
S_S5_He_108_v1v9_579	5-FORMYL-THF-CYCLO-LIGASE-RXN
S_S5_He_108_v1v9_580	GLYCINE--TRNA-LIGASE-RXN
S_S5_He_108_v1v9_581	UGD-RXN
S_S5_He_108_v1v9_582	RXN-11833
S_S5_He_108_v1v9_583	ABC-14-RXN
S_S5_He_108_v1v9_583	ABC-12-RXN
S_S5_He_108_v1v9_583	RXN0-3
S_S5_He_108_v1v9_583	ABC-4-RXN
S_S5_He_108_v1v9_583	TRANS-RXN-265
S_S5_He_108_v1v9_583	ABC-3-RXN
S_S5_He_108_v1v9_583	TRANS-RXN0-222
S_S5_He_108_v1v9_583	ABC-13-RXN
S_S5_He_108_v1v9_583	TRANS-RXN0-593
S_S5_He_108_v1v9_583	3.6.3.21-RXN
S_S5_He_108_v1v9_583	ABC-37-RXN
S_S5_He_108_v1v9_584	ABC-14-RXN
S_S5_He_108_v1v9_584	ABC-12-RXN
S_S5_He_108_v1v9_584	RXN0-3
S_S5_He_108_v1v9_584	ABC-4-RXN
S_S5_He_108_v1v9_584	TRANS-RXN-265
S_S5_He_108_v1v9_584	ABC-3-RXN
