"","asv_id","kingdom_final","phylum_final","class_final","order_final","family_final","genus_final","species_final","curated_species_femmicro","expected_communities"
"180","p4_ASV_107","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"181","p4_ASV_100","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"182","p4_ASV_143","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"183","p4_ASV_118","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"184","p4_ASV_138","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"185","p4_ASV_102","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"186","p4_ASV_147","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"187","p4_ASV_119","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"188","p4_ASV_133","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"189","p4_ASV_109","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"190","p4_ASV_255","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"191","p4_ASV_239","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"192","p4_ASV_98","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"193","p4_ASV_224","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"194","p4_ASV_78","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"195","p3_ASV_130","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"196","p4_ASV_144","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"197","p4_ASV_94","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"198","p4_ASV_80","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"199","p3_ASV_79","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"200","p4_ASV_256","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"201","p4_ASV_142","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"202","p3_ASV_184","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"203","p4_ASV_270","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"204","p4_ASV_207","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"205","p3_ASV_131","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"206","p4_ASV_245","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"207","p3_ASV_73","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"208","p4_ASV_97","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"209","p3_ASV_124","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"210","p4_ASV_93","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"211","p4_ASV_95","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"212","p4_ASV_139","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"213","p4_ASV_149","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"214","p4_ASV_55","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"215","p4_ASV_89","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"216","p4_ASV_249","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"217","p4_ASV_238","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"218","p4_ASV_195","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"219","p4_ASV_268","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"220","p4_ASV_252","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"221","p4_ASV_178","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"222","p4_ASV_75","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"223","p4_ASV_223","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"224","p4_ASV_246","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"225","p4_ASV_228","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"226","p4_ASV_122","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"227","p4_ASV_215","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"228","p3_ASV_102","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"229","p4_ASV_84","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"230","p3_ASV_106","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"231","p4_ASV_180","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"232","p4_ASV_74","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"233","p5_ASV_41","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"234","p4_ASV_77","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"235","p3_ASV_159","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"236","p3_ASV_68","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"237","p3_ASV_122","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"238","p3_ASV_107","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"239","p3_ASV_125","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"240","p4_ASV_158","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"241","p4_ASV_140","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"242","p4_ASV_171","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"243","p4_ASV_151","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"244","p4_ASV_201","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"245","p4_ASV_225","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"246","p4_ASV_199","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"247","p4_ASV_173","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"248","p4_ASV_166","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"249","p4_ASV_197","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus",NA,"S5_Bg_092","S5"
"250","p3_ASV_128","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus","S5_Bg_092","S5_Bg_092","S5"
"251","p3_ASV_44","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus","S5_Bg_092","S5_Bg_092","S5"
"252","p3_ASV_109","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus","S5_Bg_092","S5_Bg_092","S5"
"253","p3_ASV_110","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus","S5_Bg_092","S5_Bg_092","S5"
"254","p1_ASV_137","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus","S5_Bg_092","S5_Bg_092","S5"
"255","p3_ASV_65","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Duncaniella","dubosii","",""
"256","p1_ASV_149","Bacteria","Actinomycetota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Eggerthella","lenta","lenta","NS1/NS6/S2/S5"
"257","p3_ASV_34","Bacteria","Actinomycetota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Eggerthella","lenta","lenta","NS1/NS6/S2/S5"
"258","p3_ASV_155","Bacteria","Actinomycetota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Eggerthella","lenta","lenta","NS1/NS6/S2/S5"
"259","p4_ASV_85","Bacteria","Actinomycetota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Eggerthella","lenta","lenta","NS1/NS6/S2/S5"
"260","p3_ASV_185","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Eisenbergiella",NA,"tayi","NS1/NS6/S2/S5"
"261","p3_ASV_186","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Eisenbergiella",NA,"tayi","NS1/NS6/S2/S5"
"262","p2_ASV_158","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Eisenbergiella",NA,"tayi","NS1/NS6/S2/S5"
"263","p2_ASV_151","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Eisenbergiella",NA,"tayi","NS1/NS6/S2/S5"
"264","p1_ASV_170","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Eisenbergiella",NA,"tayi","NS1/NS6/S2/S5"
"265","p2_ASV_131","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Eisenbergiella","porci","porci","NS6/S5"
"266","p4_ASV_23","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Eisenbergiella","porci","porci","NS6/S5"
"267","p1_ASV_112","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Eisenbergiella","porci","porci","NS6/S5"
"268","p2_ASV_112","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Eisenbergiella","tayi","tayi","NS1/NS6/S2/S5"
"269","p2_ASV_8","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Eisenbergiella","tayi","tayi","NS1/NS6/S2/S5"
"270","p3_ASV_121","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Eisenbergiella","tayi","tayi","NS1/NS6/S2/S5"
"271","p2_ASV_62","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Eisenbergiella","tayi","tayi","NS1/NS6/S2/S5"
"272","p1_ASV_87","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Eisenbergiella","tayi","tayi","NS1/NS6/S2/S5"
"273","p3_ASV_17","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Eisenbergiella","tayi","tayi","NS1/NS6/S2/S5"
"274","p3_ASV_66","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Enterocloster","alcoholdehydrogenati","alcoholdehydrogenati","S5"
"275","p2_ASV_115","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Enterocloster","bolteae/clostridioformis","bolteae/clostridioformis","NS1/NS6/S2/S5"
"276","p3_ASV_103","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Enterocloster","bolteae/clostridioformis","bolteae/clostridioformis","NS1/NS6/S2/S5"
"277","p4_ASV_9","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Enterocloster","bolteae/clostridioformis","bolteae/clostridioformis","NS1/NS6/S2/S5"
"278","p3_ASV_24","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Enterocloster","bolteae/clostridioformis","bolteae/clostridioformis","NS1/NS6/S2/S5"
"279","p1_ASV_104","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Enterocloster","bolteae/clostridioformis","bolteae/clostridioformis","NS1/NS6/S2/S5"
"280","p3_ASV_88","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Enterocloster","citroniae","citroniae","NS1/S5"
"281","p2_ASV_65","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Enterocloster","citroniae","citroniae","NS1/S5"
"282","p4_ASV_30","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Enterocloster","citroniae","citroniae","NS1/S5"
"283","p1_ASV_163","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Enterocloster","citroniae","citroniae","NS1/S5"
"284","p1_ASV_91","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Enterocloster","citroniae/bolteae/clostridioformis","bolteae/citroniae","NS1/NS6/S2/S5"
"285","p4_ASV_271","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Enterocloster",NA,"bolteae/citroniae","NS1/NS6/S2/S5"
"286","p4_ASV_35","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Enterocloster","sp005845215","sp005845215","NS6"
"287","p4_ASV_64","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Enterocloster","sp005845215","sp005845215","NS6"
"288","p1_ASV_154","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Enterocloster","sp005845215","sp005845215","NS6"
"289","p2_ASV_133","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","faecalis","faecalis","NS6"
"290","p3_ASV_143","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","faecalis","faecalis","NS6"
"291","p3_ASV_112","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","faecalis","faecalis","NS6"
"292","p3_ASV_31","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","faecalis","faecalis","NS6"
"293","p1_ASV_136","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","faecalis","faecalis","NS6"
"294","p3_ASV_160","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","faecalis","faecalis","NS6"
"295","p3_ASV_62","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","faecalis","faecalis","NS6"
"296","p3_ASV_51","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus_A","avium","avium","S2/S5"
"297","p3_ASV_83","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus_A","avium","avium","S2/S5"
"298","p3_ASV_135","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus_A","avium","avium","S2/S5"
"299","p3_ASV_20","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus_A","avium","avium","S2/S5"
"300","p3_ASV_164","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus_A","avium","avium","S2/S5"
"301","p3_ASV_132","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus_A","avium","avium","S2/S5"
"302","p3_ASV_18","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus_A","avium","avium","S2/S5"
"303","p4_ASV_203","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus_A","avium","avium","S2/S5"
"304","p3_ASV_82","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus_A","avium","avium","S2/S5"
"305","p3_ASV_32","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus_A","avium","avium","S2/S5"
"306","p5_ASV_90","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus_A",NA,"avium","S2/S5"
"307","p1_ASV_166","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus_A",NA,"avium","S2/S5"
"308","p4_ASV_26","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus_B","durans","durans","NS1"
"309","p4_ASV_34","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus_B","durans","durans","NS1"
"310","p5_ASV_100","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus_B",NA,"durans","NS1"
"311","p5_ASV_93","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus_B",NA,"durans","NS1"
"312","p5_ASV_83","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus_B",NA,"durans","NS1"
"313","p4_ASV_266","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus_B",NA,"durans","NS1"
"314","p4_ASV_172","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus_E","cecorum_A/cecorum","",""
"315","p4_ASV_121","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus_E","cecorum_A/cecorum","",""
"316","p2_ASV_108","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","coli","coli","NS1/NS6/S2/S5"
"317","p4_ASV_33","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","coli","coli","NS1/NS6/S2/S5"
"318","p4_ASV_88","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","coli","coli","NS1/NS6/S2/S5"
"319","p3_ASV_7","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","coli","coli","NS1/NS6/S2/S5"
"320","p3_ASV_81","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","coli","coli","NS1/NS6/S2/S5"
"321","p1_ASV_97","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","coli","coli","NS1/NS6/S2/S5"
"322","p1_ASV_93","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","coli","coli","NS1/NS6/S2/S5"
"323","p3_ASV_176","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia",NA,"coli","NS1/NS6/S2/S5"
"324","p1_ASV_167","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia",NA,"coli","NS1/NS6/S2/S5"
"325","p3_ASV_172","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia",NA,"coli","NS1/NS6/S2/S5"
"326","p3_ASV_183","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia",NA,"coli","NS1/NS6/S2/S5"
"327","p4_ASV_68","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia",NA,"coli","NS1/NS6/S2/S5"
"328","p4_ASV_91","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia",NA,"coli","NS1/NS6/S2/S5"
"329","p4_ASV_101","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia",NA,"coli","NS1/NS6/S2/S5"
"330","p5_ASV_43","Bacteria","Bacillota_A","Clostridia","Oscillospirales","Ruminococcaceae","Faecalibacterium","longum","longum","S2/S5"
"331","p1_ASV_153","Bacteria","Bacillota_A","Clostridia","Oscillospirales","Ruminococcaceae","Faecalibacterium","longum","longum","S2/S5"
"332","p4_ASV_160","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","ammonificans/ammoniigenes","ammonificans/ammoniigenes",""
"333","p4_ASV_39","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","ammonificans/ammoniigenes","ammonificans/ammoniigenes",""
"334","p4_ASV_187","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","ammonificans/ammoniigenes","ammonificans/ammoniigenes",""
"335","p4_ASV_90","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","ammonificans/ammoniigenes","ammonificans/ammoniigenes",""
"336","p5_ASV_91","Bacteria","Bacillota_A","Clostridia","Oscillospirales","Oscillospiraceae","Flavonifractor",NA,"plautii","NS1/NS6/S2/S5"
"337","p2_ASV_152","Bacteria","Bacillota_A","Clostridia","Oscillospirales","Oscillospiraceae","Flavonifractor",NA,"plautii","NS1/NS6/S2/S5"
"338","p4_ASV_53","Bacteria","Bacillota_A","Clostridia","Oscillospirales","Oscillospiraceae","Flavonifractor","plautii","plautii","NS1/NS6/S2/S5"
"339","p4_ASV_19","Bacteria","Bacillota_A","Clostridia","Oscillospirales","Oscillospiraceae","Flavonifractor","plautii","plautii","NS1/NS6/S2/S5"
"340","p3_ASV_16","Bacteria","Bacillota_A","Clostridia","Oscillospirales","Oscillospiraceae","Flavonifractor","plautii","plautii","NS1/NS6/S2/S5"
"341","p1_ASV_138","Bacteria","Bacillota_A","Clostridia","Oscillospirales","Oscillospiraceae","Flavonifractor","plautii","plautii","NS1/NS6/S2/S5"
"342","p1_ASV_161","Bacteria","Bacillota_A","Clostridia","Oscillospirales","Oscillospiraceae","Flavonifractor","plautii","plautii","NS1/NS6/S2/S5"
"343","p3_ASV_38","Bacteria","Bacillota_I","Bacilli_A","Erysipelotrichales","Erysipelotrichaceae","Holdemania","filiformis","filiformis","S2/S5"
"344","p1_ASV_162","Bacteria","Bacillota_I","Bacilli_A","Erysipelotrichales","Erysipelotrichaceae","Holdemania","filiformis","filiformis","S2/S5"
"345","p1_ASV_89","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Staphylococcus","capitis","capitis","S2"
"346","p1_ASV_159","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Staphylococcus","capitis","capitis","S2"
"347","p2_ASV_90","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Hungatella","effluvii","effluvii","NS1/NS6/S2/S5"
"348","p2_ASV_70","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Hungatella","effluvii","effluvii","NS1/NS6/S2/S5"
"349","p2_ASV_72","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Hungatella","effluvii","effluvii","NS1/NS6/S2/S5"
"350","p3_ASV_3","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Hungatella","effluvii","effluvii","NS1/NS6/S2/S5"
"351","p3_ASV_49","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Hungatella","effluvii","effluvii","NS1/NS6/S2/S5"
"352","p4_ASV_198","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Hungatella","effluvii","effluvii","NS1/NS6/S2/S5"
"353","p2_ASV_78","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Hungatella","hathewayi","hathewayi","NS6"
"354","p2_ASV_95","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Hungatella","hathewayi","hathewayi","NS6"
"355","p5_ASV_85","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Hungatella",NA,"effluvii","NS1/NS6/S2/S5"
"356","p3_ASV_165","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Hungatella",NA,"effluvii","NS1/NS6/S2/S5"
"357","p5_ASV_86","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Hungatella",NA,"effluvii","NS1/NS6/S2/S5"
"358","p1_ASV_88","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Hungatella",NA,"effluvii","NS1/NS6/S2/S5"
"359","p1_ASV_157","Bacteria","Bacillota_A","Clostridia","Oscillospirales","Acutalibacteraceae","Hydrogeniiclostridium","mannosilyticum","mannosilyticum",""
"360","p4_ASV_128","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Inhella","crocodyli","",""
"361","p5_ASV_71","Bacteria","Bacillota_A","Clostridia","Oscillospirales","Oscillospiraceae","Instestinimonas_A","celer","celer","NS1"
"362","p4_ASV_161","Bacteria","Actinomycetota","Actinomycetes","Actinomycetales","Micrococcaceae","Kocuria","palustris/sp025149945","",""
"363","p4_ASV_115","Bacteria","Actinomycetota","Actinomycetes","Actinomycetales","Micrococcaceae","Kocuria","palustris/sp025149945","",""
"364","p4_ASV_130","Bacteria","Actinomycetota","Actinomycetes","Actinomycetales","Micrococcaceae","Kocuria","palustris/sp025149945","palustris/sp025149945",""
