Pathway	Reactions
PWY-7211	CTPSYN-RXN // UDPKIN-RXN // RXN-12002 // DIHYDROOROTATE-DEHYDROGENASE-RXN // OROTPDECARB-RXN // OROPRIBTRANS-RXN // DIHYDROOROT-RXN // ASPCARBTRANS-RXN // CARBPSYN-RXN // THYMIDYLATESYN-RXN // RXN-12195 // CDPREDUCT-RXN // UDPREDUCT-RXN // DTDPKIN-RXN // DTMPKI-RXN // DUTP-PYROP-RXN // DUDPKIN-RXN // DCDPKIN-RXN
PWY-7210	THYMIDYLATESYN-RXN // DCMP-DEAMINASE-RXN // RXN-14187 // RXN-12195 // CDPREDUCT-RXN // DTDPKIN-RXN // DTMPKI-RXN // DCDPKIN-RXN
PWY-7219	ADENYL-KIN-RXN // AMPSYN-RXN // ADENYLOSUCCINATE-SYNTHASE-RXN
PWY-7218	RXN-15479 // PLASTOQUINOL--PLASTOCYANIN-REDUCTASE-RXN // 1.18.1.2-RXN // PSII-RXN // PYRUVDEH-RXN // PEPDEPHOS-RXN // 3PGAREARR-RXN // 2PGADEHYDRAT-RXN // RIB5PISOM-RXN // PHOSPHORIBULOKINASE-RXN // RIBULP3EPIM-RXN // SEDOHEPTULOSE-BISPHOSPHATASE-RXN // 2TRANSKETO-RXN // 1TRANSKETO-RXN // F16BDEPHOS-RXN // SEDOBISALDOL-RXN // F16ALDOLASE-RXN // TRIOSEPISOMERIZATION-RXN // 1.2.1.13-RXN // PHOSGLYPHOS-RXN // RIBULOSE-BISPHOSPHATE-CARBOXYLASE-RXN // RXN-14251 // RXN-14255 // RXN-11662 // ACETYL-COA-ACETYLTRANSFER-RXN // RXN-5901
PWY-7136	RXN-12336 // RXN-12335 // RXN-11968 // RXN-11970
UBISYN-PWY	FPPSYN-RXN // GPPSYN-RXN // RXN-8992 // 4OHBENZOATE-OCTAPRENYLTRANSFER-RXN // 3-OCTAPRENYL-4-OHBENZOATE-DECARBOX-RXN // 2-OCTAPRENYLPHENOL-HYDROX-RXN // 2-OCTAPRENYL-6-OHPHENOL-METHY-RXN // 2-OCTAPRENYL-6-METHOXYPHENOL-HYDROX-RXN // 2-OCTAPRENYL-METHOXY-BENZOQ-METH-RXN // DHHB-METHYLTRANSFER-RXN // OCTAPRENYL-METHYL-METHOXY-BENZOQ-OH-RXN // CHORPYRLY-RXN
PWY-6404	RXN-11081 // RXN-11080 // RXN-11079 // RXN-11078 // RXN-21427 // RXN-11094 // RXN-11092 // RXN-11091 // RXN-11093 // RXN1G-1633 // RXN-11082 // RXN-11077 // RXN-11075 // UDPGLUCEPIM-RXN // GALPMUT-RXN // RXN-11072 // RXN-11070 // RXN-6380 // RXN-11027 // IPPISOM-RXN // GPPSYN-RXN // 2.5.1.68-RXN // RXN-11023 // PGLUCISOM-RXN // 5.4.2.10-RXN // L-GLN-FRUCT-6-P-AMINOTRANS-RXN // 2.3.1.157-RXN // NAG1P-URIDYLTRANS-RXN // PRPPSYN-RXN // DTDPGLUCDEHYDRAT-RXN // DTDPGLUCOSEPP-RXN // DTDPDEHYRHAMREDUCT-RXN // DTDPDEHYDRHAMEPIM-RXN
PWY-6834	SAMDECARB-RXN // RXN-12515 // RXN-12514 // ARGDECARBOX-RXN
POLYAMSYN-PWY	AGMATIN-RXN // ARGDECARBOX-RXN // ARGINASE-RXN // ORNDECARBOX-RXN // SPERMIDINESYN-RXN // SAMDECARB-RXN // RXN0-5217 // LYSDECARBOX-RXN
PWY-7044	RXN-14254 // RXN-14253 // RXN-10445 // MALEYLPYRUVATE-ISOMERASE-RXN // RXN-11730 // RXN-13371
PWY-7046	OHBENZCOARED-RXN // 4-HYDROXYBENZOATE--COA-LIGASE-RXN // RXN-13394 // RXN-13392 // RXN-11244 // 4-COUMARATE--COA-LIGASE-RXN
PWY-6538	RXN-13106 // RXN-11513 // RXN-11516 // RXN-11517 // RXN-11518 // RXN0-901 // XANTHINE-OXIDASE-RXN
P163-PWY	RXN-16834 // ACETATEKIN-RXN // PHOSACETYLTRANS-RXN // ACETYL-COA-ACETYLTRANSFER-RXN // 2.8.3.9-RXN // 4.3.1.14-RXN // R125-RXN // 1.4.1.11-RXN // BETA-LYSINE-56-AMINOMUTASE-RXN // LYSINE-23-AMINOMUTASE-RXN
PWY-7596	RXN-16067 // RXN-16024 // RXN-16023 // RXN-16068 // RXN-16069 // RXN-16070
PWY-5899	RXN-9364 // RXN-9366 // RXN-9365 // RXN-9311 // NAPHTHOATE-SYN-RXN // RXN-9310 // 2.5.1.64-RXN // ISOCHORSYN-RXN // O-SUCCINYLBENZOATE-COA-SYN-RXN // O-SUCCINYLBENZOATE-COA-LIG-RXN
PWY-5898	RXN-9139 // RXN-9363 // RXN-9360 // RXN-9311 // NAPHTHOATE-SYN-RXN // RXN-9310 // 2.5.1.64-RXN // ISOCHORSYN-RXN // O-SUCCINYLBENZOATE-COA-SYN-RXN // O-SUCCINYLBENZOATE-COA-LIG-RXN
PWY-6629	RXN0-2381 // RXN0-2382 // ANTHRANSYN-RXN // PRTRANS-RXN // PRAISOM-RXN // IGPSYN-RXN // 3-DEHYDROQUINATE-DEHYDRATASE-RXN // SHIKIMATE-5-DEHYDROGENASE-RXN // SHIKIMATE-KINASE-RXN // 2.5.1.19-RXN // CHORISMATE-SYNTHASE-RXN // DAHPSYN-RXN // 3-DEHYDROQUINATE-SYNTHASE-RXN
PWY-6628	RXN-10814 // CHORISMATEMUT-RXN // PREPHENATEDEHYDRAT-RXN // 3-DEHYDROQUINATE-DEHYDRATASE-RXN // SHIKIMATE-5-DEHYDROGENASE-RXN // SHIKIMATE-KINASE-RXN // 2.5.1.19-RXN // CHORISMATE-SYNTHASE-RXN // DAHPSYN-RXN // 3-DEHYDROQUINATE-SYNTHASE-RXN
PWY-841	DGDPKIN-RXN // GDPREDUCT-RXN // GDPKIN-RXN // GUANYL-KIN-RXN // GMP-SYN-GLUT-RXN // IMP-DEHYDROG-RXN // ADENYL-KIN-RXN // AMPSYN-RXN // ADENYLOSUCCINATE-SYNTHASE-RXN // DADPKIN-RXN // ADPREDUCT-RXN // IMPCYCLOHYDROLASE-RXN // AICARTRANSFORM-RXN // AICARSYN-RXN // SAICARSYN-RXN // AIRCARBOXY-RXN // AIRS-RXN // FGAMSYN-RXN // GART-RXN // GLYRIBONUCSYN-RXN // PRPPAMIDOTRANS-RXN
PHOSLIPSYN-PWY	RXN0-7012 // RXN-10462 // 1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN // PHOSPHASERDECARB-RXN // PHOSPHASERSYN-RXN // PHOSPHAGLYPSYN-RXN // CARDIOLIPSYN-RXN // PGPPHOSPHA-RXN // GLYC3PDEHYDROGBIOSYN-RXN // RXN-1381 // RXN-1623 // CDPDIGLYSYN-RXN
PWY-7663	RXN-16632 // RXN-16631 // RXN-16630 // RXN-16629
PWY-7664	RXN-9533 // RXN-16628 // RXN-16627 // RXN-16626 // RXN-16625 // RXN-16624 // RXN-16623 // RXN-16622 // RXN-16621 // RXN-16620 // RXN-16619 // RXN-16616 // RXN-16615 // RXN-16614
RUMP-PWY	GLU6PDEHYDROG-RXN // PGLUCISOM-RXN // RXN-3341 // 6PGLUCONOLACT-RXN // R12-RXN // R10-RXN
PWY-5198	RXN-20703 // RXN-19230 // RXN-19229 // 1.5.99.9-RXN // RXN-8078 // RXN-8077
PWY-6886	RIB5PISOM-RXN // PHOSPHORIBULOKINASE-RXN // RIBULP3EPIM-RXN // SEDOHEPTULOSE-BISPHOSPHATASE-RXN // 2TRANSKETO-RXN // 1TRANSKETO-RXN // F16BDEPHOS-RXN // SEDOBISALDOL-RXN // F16ALDOLASE-RXN // TRIOSEPISOMERIZATION-RXN // 1.2.1.13-RXN // RIBULOSE-BISPHOSPHATE-CARBOXYLASE-RXN // PYRUVDEH-RXN // PEPDEPHOS-RXN // 2PGADEHYDRAT-RXN // 3PGAREARR-RXN // PHOSGLYPHOS-RXN // RXN-15479 // PLASTOQUINOL--PLASTOCYANIN-REDUCTASE-RXN // 1.18.1.2-RXN // PSII-RXN // RXN-11667 // RXN-11662 // RXN-161 // BUTANAL-DEHYDROGENASE-RXN // RXN-12558 // ACETYL-COA-ACETYLTRANSFER-RXN
PWY-6883	RXN-11667 // RXN-11662 // RXN-161 // BUTANAL-DEHYDROGENASE-RXN // RXN-12558 // ACETYL-COA-ACETYLTRANSFER-RXN
PWY-5751	RXN-10817 // RXN-13536 // RXN-8990 // RXN-7700 // PHENYLALANINE-DECARBOXYLASE-RXN
FUC-RHAMCAT-PWY	LACTALDREDUCT-RXN // LACTALDDEHYDROG-RXN // L-LACTDEHYDROGFMN-RXN // RXN0-5306 // RXN-15356 // RHAMNISOM-RXN // RHAMNULOKIN-RXN // RHAMNULPALDOL-RXN // RXN0-5298 // FUCISOM-RXN // FUCULOKIN-RXN // FUCPALDOL-RXN
PWY-6954	BENZALDEHYDE-DEHYDROGENASE-NADP+-RXN // BENZALDEHYDE-DEHYDROGENASE-NAD+-RXN // BENZOYLFORMATE-DECARBOXYLASE-RXN // MANDELATE-DEHYDROGENASE-RXN // MANDELATE-RACEMASE-RXN // BENZOATE-12-DIOXYGENASE-RXN // 1.3.1.25-RXN // RXNN-386 // 1.2.1.65-RXN // RXN-8615 // RXN-8612 // 1.3.1.29-RXN // NAPHTHALENE-12-DIOXYGENASE-RXN // SALICYLATE-1-MONOOXYGENASE-RXN // TOLUENE-DIOL-DEHYDROGENASE-RXN // TOLUENE-DIOXYGENASE-RXN // 2-OH-6-OXOHEPTA-2-4-DIENOATE-HYDR-RXN // CATECHOL-2-3-DIOXYGENASE-RXN // RXN-8527 // 4.1.1.77-RXN // RXN-8529 // RXN-10883 // RXN-10882 // 3.7.1.9-RXN // CATECHOL-23-DIOXYGENASE-RXN // ACETALD-DEHYDROG-RXN // MHPELY-RXN // 2-OXOPENT-4-ENOATE-HYDRATASE-RXN // 1.14.12.1-RXN // RXN-8665 // ARYLFORMAMIDASE-RXN // KYNURENINASE-RXN // 4-HYDROXYBENZOATE-3-MONOOXYGENASE-RXN // HYDROXYBENZALDEHYDE-OXIDATION-NADP-RXN // HYDROXYBENZALDEHYDE-OXIDATION-NAD-RXN // HYDROXYBENZOYLFORMATE-DECARBOXYLASE-RXN // 4-HYDROXYMANDELATE-OXY-RXN // HYDROXY-MANDELATE-RACEMASE-RXN // 3-DEHYDROQUINATE-DEHYDRATASE-RXN // 1.1.99.25-RXN // DHSHIKIMATE-DEHYDRO-RXN // SHIKIMATE-PQQ-RXN
PWY-6957	ACETALD-DEHYDROG-RXN // MHPELY-RXN // 2-OXOPENT-4-ENOATE-HYDRATASE-RXN // 3.7.1.9-RXN // CATECHOL-23-DIOXYGENASE-RXN // RXN-3641 // 3-OXOADIPATE-COA-TRANSFERASE-RXN // 3-OXOADIPATE-ENOL-LACTONASE-RXN // MUCONOLACTONE-DELTA-ISOMERASE-RXN // MUCONATE-CYCLOISOMERASE-RXN // CATECHOL-12-DIOXYGENASE-RXN // BENZALDEHYDE-DEHYDROGENASE-NADP+-RXN // BENZALDEHYDE-DEHYDROGENASE-NAD+-RXN // BENZOYLFORMATE-DECARBOXYLASE-RXN // MANDELATE-DEHYDROGENASE-RXN // MANDELATE-RACEMASE-RXN // BENZOATE-12-DIOXYGENASE-RXN // 1.3.1.25-RXN
PWY-6956	ACETALD-DEHYDROG-RXN // MHPELY-RXN // 2-OXOPENT-4-ENOATE-HYDRATASE-RXN // 3.7.1.9-RXN // CATECHOL-23-DIOXYGENASE-RXN // SALICYLATE-1-MONOOXYGENASE-RXN // RXNN-386 // 1.2.1.65-RXN // RXN-8615 // RXN-8612 // 1.3.1.29-RXN // NAPHTHALENE-12-DIOXYGENASE-RXN
PWY-6953	DTDPGLUCDEHYDRAT-RXN // DTDPGLUCOSEPP-RXN // RXN-12839 // RXN-12811 // RXN-12806
PWY-5686	DIHYDROOROTATE-DEHYDROGENASE-RXN // OROTPDECARB-RXN // OROPRIBTRANS-RXN // DIHYDROOROT-RXN // ASPCARBTRANS-RXN // CARBPSYN-RXN
PWY-1501	BENZALDEHYDE-DEHYDROGENASE-NADP+-RXN // BENZALDEHYDE-DEHYDROGENASE-NAD+-RXN // BENZOYLFORMATE-DECARBOXYLASE-RXN // MANDELATE-DEHYDROGENASE-RXN // MANDELATE-RACEMASE-RXN
PWY-922	IPPISOM-RXN // DIPHOSPHOMEVALONTE-DECARBOXYLASE-RXN // PHOSPHOMEVALONATE-KINASE-RXN // MEVALONATE-KINASE-RXN // 1.1.1.34-RXN // HYDROXYMETHYLGLUTARYL-COA-SYNTHASE-RXN // ACETYL-COA-ACETYLTRANSFER-RXN
GLUCONEO-PWY	PGLUCISOM-RXN // MALATE-DEH-RXN // 1.1.1.39-RXN // TRIOSEPISOMERIZATION-RXN // MALIC-NADP-RXN // PEPSYNTH-RXN // PEPCARBOXYKIN-RXN // 2PGADEHYDRAT-RXN // 3PGAREARR-RXN // PHOSGLYPHOS-RXN // GAPOXNPHOSPHN-RXN // F16ALDOLASE-RXN // F16BDEPHOS-RXN
GLUCUROCAT-PWY	RXN-14693 // BETA-GLUCURONID-RXN // GLUCUROISOM-RXN // KDPGALDOL-RXN // DEOXYGLUCONOKIN-RXN // MANNONDEHYDRAT-RXN // MANNONOXIDOREDUCT-RXN
PWY-6471	TRANS-RXN-486 // RXN-22557 // RXN-20088 // RXN-11351 // RXN-11350 // RXN-11338 // RXN-11342 // RXN-8976 // RXN-8975 // 6.3.2.10-RXN // 6.3.2.7-RXN // DALADALALIG-RXN // GLUTRACE-RXN // UDP-NACMURALA-GLU-LIG-RXN // UDP-NACMUR-ALA-LIG-RXN // UDPNACETYLMURAMATEDEHYDROG-RXN // UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN
ARGDEG-PWY	PUTTRANSAM-RXN // AMINOBUTDEHYDROG-RXN // SUCCSEMIALDDEHYDROG-RXN // SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN // GABATRANSAM-RXN // AGMATIN-RXN // ARGDECARBOX-RXN // RXN0-3901 // RXN0-3921 // RXN0-3922 // RXN0-3942
LEU-DEG2-PWY	RXN0-2301 // HYDROXYMETHYLGLUTARYL-COA-LYASE-RXN // METHYLGLUTACONYL-COA-HYDRATASE-RXN // METHYLCROTONYL-COA-CARBOXYLASE-RXN // 2KETO-4METHYL-PENTANOATE-DEHYDROG-RXN // BRANCHED-CHAINAMINOTRANSFERLEU-RXN
PWY-6322	RXN-17194 // RXN-17193 // RXN-17192 // RXN-17191 // RXN-17190 // RXN-17189 // RXN-17188 // 4.1.1.82-RXN // RXN-10837 // RXN-10839 // RXN-10840 // RXN-10828 // RXN-10827 // RXN-10826 // RXN-10829 // RXN-10830 // RXN-10831 // RXN-10832 // RXN-10833 // RXN-10834 // RXN-10835 // RXN-10836 // RXN-10824 // RXN-9009 // PHOSPHOENOLPYRUVATE-MUTASE-RXN
PWY-6324	RXN-18336 // RXN-16966 // RXN-10842 // RXN-10843 // RXN-10845 // RXN-10846 // RXN-10847
PWY0-1533	RXN0-1401 // RXN0-6710 // RXN0-6734 // RXN0-6733 // RXN0-6732
ILEUSYN-PWY	RXN-15121 // RXN-15123 // RXN-15122 // ACETOOHBUTSYN-RXN // ACETOOHBUTREDUCTOISOM-RXN // BRANCHED-CHAINAMINOTRANSFERILEU-RXN // DIHYDROXYMETVALDEHYDRAT-RXN
FASYN-ELONG-PWY	3-OXOACYL-ACP-SYNTH-RXN // 3-OXOACYL-ACP-REDUCT-RXN // ENOYL-ACP-REDUCT-NADH-RXN // ENOYL-ACP-REDUCT-NADPH-RXN // 3-HYDROXYDECANOYL-ACP-DEHYDR-RXN
PWY-7128	MALEATE-ISOMERASE-RXN // RXN-646 // RXN-11318 // 1.13.11.9-RXN // RXN-16530 // RXN-16529 // RXN-16527 // RXN-16526 // RXN-13081 // NICOTINE-DEHYDROGENASE-RXN
PWY-7124	RXN-12538 // ISOCITDEH-RXN // ACONITATEHYDR-RXN // ACONITATEDEHYDR-RXN // CITSYN-RXN // PEPCARBOX-RXN // 2PGADEHYDRAT-RXN // 3PGAREARR-RXN // RIB5PISOM-RXN // PHOSPHORIBULOKINASE-RXN // RIBULP3EPIM-RXN // SEDOHEPTULOSE-BISPHOSPHATASE-RXN // 2TRANSKETO-RXN // 1TRANSKETO-RXN // F16BDEPHOS-RXN // SEDOBISALDOL-RXN // F16ALDOLASE-RXN // TRIOSEPISOMERIZATION-RXN // 1.2.1.13-RXN // PHOSGLYPHOS-RXN // RIBULOSE-BISPHOSPHATE-CARBOXYLASE-RXN // RXN-15479 // PLASTOQUINOL--PLASTOCYANIN-REDUCTASE-RXN // 1.18.1.2-RXN // PSII-RXN
COA-PWY	P-PANTOCYSLIG-RXN // P-PANTOCYSDECARB-RXN // DEPHOSPHOCOAKIN-RXN // PANTEPADENYLYLTRAN-RXN
PWY-5989	RXN-16380 // RXN-9548 // RXN-9635 // RXN-9634 // RXN-9633 // RXN-9632
P261-PWY	RXN2OBG-14 // 4.4.1.19-RXN // R231-RXN // R230-RXN // R229-RXN
PWY-7050	RXN-13431
PWY-6507	RXN-16475 // KDPGALDOL-RXN // DEOXYGLUCONOKIN-RXN // 1.1.1.127-RXN // 5.3.1.17-RXN
PWY-6505	1.13.11.6-RXN // 3.5.99.5-RXN // 4.1.1.77-RXN // 1.2.1.32-RXN // AMINO-CARBOXYMUCONATE-SEMIALDEHYDE-RXN // RXN-10724 // RXN-8665 // ARYLFORMAMIDASE-RXN // KYNURENINASE-RXN // ACETALD-DEHYDROG-RXN // MHPELY-RXN // 2-OXOPENT-4-ENOATE-HYDRATASE-RXN
PWYG-321	RXN-21726 // RXN-21725 // RXN-21724 // RXN-21723 // RXN-21722 // RXN-21721 // RXN-21720 // RXN-21719 // RXN3O-5293 // RXN-20770 // RXN-20769 // RXN3O-1803 // RXN-9635 // RXN-9634 // RXN-9633 // RXN-9632 // RXN-9663 // 4.2.1.61-RXN // RXN-9540 // RXN-9539 // RXN-9662 // RXN-9537 // RXN-9536 // RXN1G-460 // RXN1G-2527 // RXN-15342 // RXN-15340 // RXN-15339 // RXN-15338 // RXN1G-363 // RXN-10062 // RXN-10061 // RXN-10060 // RXN-10059 // RXN1G-1637 // RXN1G-1636 // RXN1G-1635 // RXN1G-1634 // RXN1G-1633 // RXN1G-1152 // RXN1G-1151 // RXN1G-1150 // RXN1G-1149 // RXN1G-874 // RXN1G-474 // RXN1G-473 // RXN1G-472 // RXN1G-470 // RXN1G-137 // RXN1G-1439 // RXN1G-1438 // RXN1G-1437 // RXN1G-1436 // RXN1G-1435 // RXN1G-811 // RXN1G-810 // RXN1G-809 // RXN1G-808 // RXN1G-807 // RXN1G-292 // RXN1G-291 // RXN1G-290 // RXN1G-289 // RXN1G-288 // RXN1G-1530 // RXN1G-1529 // RXN1G-1528 // RXN1G-1527 // RXN1G-1486 // RXN1G-296 // RXN1G-295 // RXN1G-297 // RXN1G-98 // RXN1G-181 // RXN1G-4355 // RXN1G-4143 // RXN1G-4142 // RXN1G-4141 // RXN1G-4140 // RXN1G-3993 // RXN1G-3667 // RXN1G-3660 // RXN1G-3641 // RXN1G-3613 // RXN1G-3256 // RXN1G-3232 // RXN1G-2544 // RXN1G-45 // RXN1G-679 // RXN1G-648 // RXN1G-617 // RXN1G-582 // RXN1G-471 // RXN1G-440 // RXN1G-409 // RXN1G-374 // RXN1G-276 // RXN1G-220 // RXN1G-184 // RXN1G-94 // RXN1G-1325 // RXN1G-1278 // RXN1G-1247 // RXN1G-1212 // RXN1G-1117 // RXN1G-1081 // RXN1G-1050 // RXN1G-1015 // RXN1G-915 // RXN1G-884 // RXN1G-853 // RXN1G-818 // RXN1G-686 // RXN1G-645 // RXN1G-613 // RXN1G-557 // RXN1G-468 // RXN1G-425 // RXN1G-384 // RXN1G-334 // RXN1G-248 // RXN1G-214 // RXN1G-182 // RXN1G-79 // RXN1G-1057 // RXN1G-1004 // RXN1G-951 // RXN1G-883 // RXN1G-820 // RXN1G-760 // RXN1G-717 // RXN1G-660 // RXN1G-607 // RXN1G-554 // RXN1G-481 // RXN1G-424 // RXN1G-337 // RXN1G-294 // RXN1G-203 // RXN1G-32 // RXN1G-196 // RXN1G-127 // RXN1G-637 // RXN1G-580 // RXN1G-509 // RXN1G-309 // RXN1G-252 // RXN1G-172 // RXN1G-339 // RXN1G-308 // RXN1G-262 // RXN1G-89 // RXN1G-193 // RXN1G-464 // RXN1G-408 // RXN1G-202 // RXN1G-53 // RXN1G-355 // RXN1G-287 // RXN1G-132 // RXN1G-1130 // RXN1G-1084 // RXN1G-1053 // RXN1G-1003 // RXN1G-962 // RXN1G-912 // RXN1G-881 // RXN1G-840 // RXN1G-674 // RXN1G-396 // RXN1G-377 // RXN1G-358 // RXN1G-324 // RXN1G-299 // RXN1G-279 // RXN1G-260 // RXN1G-236 // RXN1G-210 // RXN1G-188 // RXN1G-163 // RXN1G-138 // RXN1G-285 // RXN1G-266 // RXN1G-240 // RXN1G-218 // RXN1G-37 // RXN1G-420 // RXN1G-364 // RXN1G-306 // RXN1G-171 // RXN1G-27 // RXN1G-72 // RXN1G-26 // RXN1G-30 // RXN1G-536 // RXN1G-526 // RXN1G-517 // RXN1G-508 // RXN1G-499 // RXN1G-469 // RXN1G-445 // RXN1G-395 // RXN1G-320 // RXN1G-349 // RXN1G-368
CENTFERM-PWY	RXN-16834 // RXN-11667 // PYRUFLAVREDUCT-RXN // RXN-11662 // BUTYRATE-KINASE-RXN // PHOSPHATE-BUTYRYLTRANSFERASE-RXN // ACETYL-COA-ACETYLTRANSFER-RXN
ENTBACSYN-PWY	ENTG-RXN // RXN-15891 // RXN-15890 // RXN-15889 // ENTF-RXN // RXN0-6442 // DHBAMPLIG-RXN // ENTDB-RXN // DHBDEHYD-RXN // ISOCHORMAT-RXN // ISOCHORSYN-RXN
PWY-6612	ADCLY-RXN // PABASYN-RXN // GTP-CYCLOHYDRO-I-RXN // H2NEOPTERINP3PYROPHOSPHOHYDRO-RXN // DIHYDRONEOPTERIN-MONO-P-DEPHOS-RXN // H2NEOPTERINALDOL-RXN // H2PTERIDINEPYROPHOSPHOKIN-RXN // DIHYDROFOLATEREDUCT-RXN // DIHYDROFOLATESYNTH-RXN // H2PTEROATESYNTH-RXN
PWY-4361	RXN-13072 // RXN-15650 // R147-RXN // R83-RXN // R82-RXN // R145-RXN // 5.3.1.23-RXN
PWY-3801	PHOSPHOGLUCMUT-RXN // PGLUCISOM-RXN // GLUC1PURIDYLTRANS-RXN // FRUCTOKINASE-RXN // SUCROSE-SYNTHASE-RXN
LPSSYN-PWY	RXN-22463 // RXN-22462 // RXN-22461 // RXN0-5127 // RXN0-5126 // RXN0-5125 // RXN0-5124 // RXN0-5123 // RXN0-5061 // RXN0-5118 // MYRISTOYLACYLTRAN-RXN // LAUROYLACYLTRAN-RXN // KDOTRANS2-RXN // KDOTRANS-RXN // RXN-16804 // DARAB5PISOM-RXN // KDO-8PSYNTH-RXN // KDO-8PPHOSPHAT-RXN // CPM-KDOSYNTH-RXN // UDPNACETYLGLUCOSAMACYLTRANS-RXN // UDPACYLGLCNACDEACETYL-RXN // UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-RXN // LIPIDXSYNTHESIS-RXN // TETRAACYLDISACC4KIN-RXN // LIPIDADISACCHARIDESYNTH-RXN
PWY-6876	ISOPROPANOL-DEHYDROGENASE-NADP+-RXN // ACETOACETATE-DECARBOXYLASE-RXN // ACETOACETYL-COA-HYDROLASE-RXN // ACETYL-COA-ACETYLTRANSFER-RXN // PYRUFLAVREDUCT-RXN
PWY-5183	HYDROXYBENZALDEHYDE-OXIDATION-NADP-RXN // RXN-16205 // RXN-16204 // 4-HYDROXYBENZOATE-3-MONOOXYGENASE-RXN // RXN-3641 // 3-OXOADIPATE-COA-TRANSFERASE-RXN // 4-CARBOXYMUCONOLACTONE-DECARBOXYLASE-RXN // 3-OXOADIPATE-ENOL-LACTONASE-RXN // 5.5.1.2-RXN // PROTOCATECHUATE-34-DIOXYGENASE-RXN // TOLUENE-4-MONOOXYGENASE-RXN // TOLUENE-2-MONOOXYGENASE-RXN // O-CRESOL-METHYLCATECHOL-RXN // RXN-8527 // RXN-8529 // 4.1.1.77-RXN // 3.7.1.9-RXN // CATECHOL-23-DIOXYGENASE-RXN // BENZOATE-12-DIOXYGENASE-RXN // 1.3.1.25-RXN // BENZALDEHYDE-DEHYDROGENASE-NAD+-RXN // BENZYL-ALC-DEHYDROGENASE-RXN // TOLUENE-SIDE-CHAIN-MONOOXYGENASE-RXN // ACETALD-DEHYDROG-RXN // MHPELY-RXN // 2-OXOPENT-4-ENOATE-HYDRATASE-RXN // TOLUENE-DIOL-DEHYDROGENASE-RXN // TOLUENE-DIOXYGENASE-RXN // 2-OH-6-OXOHEPTA-2-4-DIENOATE-HYDR-RXN // CATECHOL-2-3-DIOXYGENASE-RXN
PWY-5181	HYDROXYBENZALDEHYDE-OXIDATION-NADP-RXN // RXN-16205 // RXN-16204 // 4-HYDROXYBENZOATE-3-MONOOXYGENASE-RXN // RXN-3641 // 3-OXOADIPATE-COA-TRANSFERASE-RXN // 4-CARBOXYMUCONOLACTONE-DECARBOXYLASE-RXN // 3-OXOADIPATE-ENOL-LACTONASE-RXN // 5.5.1.2-RXN // PROTOCATECHUATE-34-DIOXYGENASE-RXN // TOLUENE-4-MONOOXYGENASE-RXN
PWY-5180	ACETALD-DEHYDROG-RXN // MHPELY-RXN // 2-OXOPENT-4-ENOATE-HYDRATASE-RXN // TOLUENE-2-MONOOXYGENASE-RXN // O-CRESOL-METHYLCATECHOL-RXN // 2-OH-6-OXOHEPTA-2-4-DIENOATE-HYDR-RXN // CATECHOL-2-3-DIOXYGENASE-RXN
PWY-5184	RXN-11667 // RXN-11662 // ACETYL-COA-ACETYLTRANSFER-RXN // GLUTACONYL-COA-DECARBOXYLASE-RXN // GLUTARYL-COA-DEHYDROG-RXN // RXN-15013 // RXN-15012 // 4.2.1.100-RXN // RXN-8032 // 1.1.1.259-RXN // HADTHAUERA-RXN // 1.3.99.15-RXN // RXN-904 // RXN-905 // RXN-863 // RXN-864 // RXN-865 // RXN-902
PWY-5189	UROGENIIISYN-RXN // OHMETHYLBILANESYN-RXN // PORPHOBILSYNTH-RXN // 5-AMINOLEVULINIC-ACID-SYNTHASE-RXN
PWY-5188	GLURS-RXN // GLUTRNAREDUCT-RXN // GSAAMINOTRANS-RXN // PORPHOBILSYNTH-RXN // OHMETHYLBILANESYN-RXN // UROGENIIISYN-RXN
PWY-5741	RXN-16391 // MALATE--COA-LIGASE-RXN // MALYL-COA-LYASE-RXN // 3-HYDROXBUTYRYL-COA-DEHYDRATASE-RXN // RXN-5901 // ACETYL-COA-ACETYLTRANSFER-RXN // RXN-8961 // RXN-8960 // RXN-8959 // RXN-8958 // RXN-8957
PWY-5743	RXN0-5224 // BIOTIN-CARBOXYL-RXN // RXN0-5055 // RXN-9086 // RXN-9087 // RXN-6383 // MALYL-COA-LYASE-RXN // RXN-8964 // METHYLMALONYL-COA-MUT-RXN // METHYLMALONYL-COA-EPIM-RXN // PROPIONYL-COA-CARBOXY-RXN // RXN-8974 // RXN-8963
PWY-5744	RXN0-5224 // BIOTIN-CARBOXYL-RXN // RXN0-5055 // RXN-9087 // RXN-6383 // RXN-9086 // CITRAMALYL-COA-LYASE-RXN // RXN-13230 // RXN-8974 // RXN-8963 // RXN-8965 // RXN-8960 // RXN-8961
PWY-5747	RXN-8977 // RXN-8979 // 4.2.1.99-RXN // METHYLISOCITRATE-LYASE-RXN // 2-METHYLCITRATE-SYNTHASE-RXN // PROPIONATE--COA-LIGASE-RXN
PWY-5695	RXN0-901 // XANTHOSINEPHOSPHORY-RXN // XMPXAN-RXN // IMP-DEHYDROG-RXN
