Pathways	Taxonomic-Range	Species	Common-Name	Common-Name2
PWY-6497	TAX-2	TAX-62977 // TAX-176299 // TAX-358 // TAX-80866 // TAX-303 // TAX-306 // TAX-317	Acinetobacter baylyi // Agrobacterium fabrum // Agrobacterium tumefaciens // Delftia acidovorans // Pseudomonas putida // Pseudomonas sp. // Pseudomonas syringae	Bacteria <bacteria>
PWY-7885	TAX-85007	TAX-1769 // TAX-83331 // TAX-83332 // TAX-1772	Mycobacterium leprae // Mycobacterium tuberculosis // Mycolicibacterium smegmatis	Mycobacteriales
PWY-6802	TAX-33090	TAX-203015 // TAX-265354	Rhodiola rosea // Rhodiola sachalinensis	Viridiplantae
PWY-8217	TAX-1236	TAX-244320 // TAX-297361	Escherichia coli // Salmonella enterica	Gammaproteobacteria
PWY-5399	TAX-4751 // TAX-3524	TAX-41956 // TAX-161934 // TAX-124768 // TAX-90527 // TAX-3538 // TAX-3583	Amanita muscaria // Beta vulgaris // Celosia cristata // Cleretum bellidiforme // Mirabilis jalapa // Portulaca grandiflora	Fungi // Caryophyllales
PWY0-1601	TAX-2157 // TAX-2	TAX-82374 // TAX-511145 // TAX-287 // TAX-971 // TAX-29466	Anaerovibrio lipolyticus // Escherichia coli // Pseudomonas aeruginosa // Selenomonas ruminantium // Veillonella parvula	Archaea // Bacteria <bacteria>
PWY-1501	TAX-1224	TAX-303	Pseudomonas putida	Pseudomonadota
PWY-5853	TAX-2	TAX-729 // ORG-6033	Haemophilus parainfluenzae // Micrococcus luteus	Bacteria <bacteria>
PWY-8284	TAX-2698788 // TAX-2323 // TAX-2498710 // TAX-1930617 // TAX-2716431 // TAX-2138240 // TAX-200930 // TAX-74152 // TAX-508458 // TAX-68297 // TAX-53433 // TAX-200940 // TAX-909932 // TAX-1798711 // TAX-203691 // TAX-1802340 // TAX-40117 // TAX-32066 // TAX-1783270 // TAX-200938 // TAX-200783 // TAX-57723 // TAX-1783257 // TAX-1224	TAX-83558 // TAX-511145	Chlamydia pneumoniae // Escherichia coli	Candidatus Krumholzibacteriota // Bacteria incertae sedis // Caldisericota/Cryosericota group // Calditrichota // Coleospermum // Coprothermobacterota // Deferribacterota // Elusimicrobiota // Synergistota // Dictyoglomota // Halanaerobiales // Thermodesulfobacteriota // Negativicutes // Cyanobacteriota/Melainabacteria group // Spirochaetota // Nitrospinota/Tectimicrobiota group // Nitrospirota // Fusobacteriota // FCB group // Chrysiogenota // Aquificota // Acidobacteriota // PVC group // Pseudomonadota
PWY-6366	TAX-2759	TAX-9606	Homo sapiens	Eukaryota
PWY-6182	TAX-2	TAX-395598	Pseudomonas reinekei	Bacteria <bacteria>
PWY-7002	TAX-2	ORG-6204 // ORG-6205	Pseudomonas fluorescens // Pseudomonas putida	Bacteria <bacteria>
PWY-8175	TAX-2	TAX-1423 // TAX-224308	Bacillus subtilis	Bacteria <bacteria>
PWY-5159	TAX-1224	TAX-222 // TAX-192 // TAX-287 // TAX-208964 // TAX-303 // TAX-306 // ORG-6168	Achromobacter // Azospirillum brasilense // Pseudomonas aeruginosa // Pseudomonas putida // Pseudomonas sp.	Pseudomonadota
TRYPTOPHAN-DEGRADATION-1	TAX-4751 // TAX-33208	TAX-9606 // TAX-10090 // TAX-10116 // TAX-4932	Homo sapiens // Mus musculus // Rattus norvegicus // Saccharomyces cerevisiae	Fungi // Metazoa
PWY-6030	TAX-33208	TAX-9606 // TAX-10090 // TAX-10116	Homo sapiens // Mus musculus // Rattus norvegicus	Metazoa
PWY-6098	TAX-13819	TAX-13818	Adiantum capillus-veneris	Pteridaceae
PWY-8531	TAX-2062	TAX-42234 // TAX-1930 // TAX-680198 // TAX-85558	Streptomyces acidiscabies // Streptomyces scabiei // Streptomyces turgidiscabies	Streptomycetaceae
PWY-6696	TAX-2	TAX-96344 // TAX-408 // TAX-272630 // TAX-82996	Cupriavidus oxalaticus // Methylorubrum extorquens // Serratia plymuthica	Bacteria <bacteria>
PWY2B4Q-4	TAX-2	TAX-359391	Brucella abortus	Bacteria <bacteria>
PWY66-429	TAX-33208 // TAX-4751	TAX-9606 // TAX-4932	Homo sapiens // Saccharomyces cerevisiae	Metazoa // Fungi
PWY-7274	TAX-2062	TAX-235466 // TAX-58340	Streptomyces garyphalus // Streptomyces lavendulae	Streptomycetaceae
PWY-8369	TAX-201174	TAX-2893586	Actinoalloteichus caeruleus	Actinomycetota
PWY-2161B	TAX-2759	TAX-3847 // TAX-9606 // TAX-5141 // TAX-10116 // ORG-5993	Glycine max // Homo sapiens // Neurospora crassa // Rattus norvegicus // Arabidopsis thaliana	Eukaryota
PWY-7965	TAX-2	TAX-90371	Salmonella enterica	Bacteria <bacteria>
PWY-6529	TAX-2	TAX-179636 // TAX-146939 // TAX-259537 // TAX-36863 // TAX-203192	Alicycliphilus denitrificans // Azospira oryzae // Dechloromonas aromatica (nom. nud.) // Ideonella dechloratans // Stutzerimonas chloritidismutans	Bacteria <bacteria>
PWY-7564	TAX-2	TAX-1404 // TAX-337 // TAX-28450 // TAX-57975 // TAX-1491 // TAX-441770 // TAX-1509 // TAX-1888	Priestia megaterium // Burkholderia glumae // Burkholderia pseudomallei // Burkholderia thailandensis // Clostridium botulinum // Clostridium sporogenes // Streptomyces albus	Bacteria <bacteria>
PWY-8447	TAX-33381	TAX-765876	Dactylopius coccus	Coccoidea
PWY-7868	TAX-183988 // TAX-183925 // TAX-183939 // TAX-224756	TAX-39152	Methanococcus maripaludis	Methanopyri // Methanobacteria // Methanococci // Methanomicrobia
PWY0-1568	TAX-2 // TAX-2157	TAX-511145	Escherichia coli	Bacteria <bacteria> // Archaea
PWY-5481	TAX-2759 // TAX-2	TAX-216816 // TAX-1582 // TAX-272634 // TAX-10116 // TAX-4113 // TAX-2336	Bifidobacterium longum // Lacticaseibacillus casei // Mycoplasmoides pneumoniae // Rattus norvegicus // Solanum tuberosum // Thermotoga maritima	Eukaryota // Bacteria <bacteria>
PWY-6591	TAX-4751 // TAX-2	TAX-287752 // TAX-161528 // TAX-2822231 // TAX-76869	Aurantimonas manganoxydans // Erythrobacter sp. SD-21 // Phanerodontia chrysosporium // Pseudomonas putida	Fungi // Bacteria <bacteria>
P641-PWY	TAX-2	TAX-1420 // TAX-76885 // TAX-1280 // ORG-5901	Bacillus sp. RC607 // Pseudomonas sp. K-62 // Staphylococcus aureus // Escherichia coli	Bacteria <bacteria>
PWY-6767	TAX-2	TAX-318114	Methylomonas sp. 16a	Bacteria <bacteria>
PWY-7176	TAX-2157 // TAX-2759 // TAX-2	TAX-511145 // TAX-9606 // TAX-4932 // ORG-5993	Escherichia coli // Homo sapiens // Saccharomyces cerevisiae // Arabidopsis thaliana	Archaea // Eukaryota // Bacteria <bacteria>
SUCSYN-PWY	TAX-1117 // TAX-33090	TAX-3847 // TAX-3750 // TAX-4097 // TAX-4530 // TAX-39947 // TAX-4081 // TAX-3562 // ORG-5993	Glycine max // Malus domestica // Nicotiana tabacum // Oryza sativa // Solanum lycopersicum // Spinacia oleracea // Arabidopsis thaliana	Cyanobacteriota // Viridiplantae
PWY-7309	TAX-1224 // TAX-201174	TAX-1829	Rhodococcus rhodochrous	Pseudomonadota // Actinomycetota
PWY-6974	TAX-2	TAX-1890	Streptomyces antibioticus	Bacteria <bacteria>
PWY-6568	TAX-33208	TAX-9606	Homo sapiens	Metazoa
PWY-7501	TAX-40674	TAX-9606	Homo sapiens	Mammalia
PWY-8019	TAX-4751	TAX-33178 // TAX-63396 // TAX-5270	Aspergillus terreus // Ustilago cynodontis // Mycosarcoma maydis	Fungi
PWY-8522	TAX-201174	TAX-1772 // TAX-67263 // TAX-1573406	Mycolicibacterium smegmatis // Streptomyces griseus // Streptomyces sp. MNU77	Actinomycetota
PWY-5075	TAX-1239	TAX-1509	Clostridium sporogenes	Bacillota
PWY-7925	TAX-2	TAX-84595 // TAX-158898 // TAX-1829 // TAX-256642 // TAX-230757	Gordonia polyisoprenivorans // Gordonia westfalica // Rhodococcus rhodochrous // Streptomyces sp. K30 // Xanthomonas sp. 35Y	Bacteria <bacteria>
PWY-5873	TAX-4751	TAX-51920 // TAX-36038 // TAX-36040 // TAX-4903 // TAX-2878918 // TAX-907340 // TAX-324740 // TAX-1538182 // TAX-1538186 // TAX-1156966 // TAX-53649 // TAX-36026 // TAX-51923 // TAX-1337055 // TAX-54194 // TAX-52256 // TAX-52247 // TAX-4921 // TAX-52248 // TAX-5492 // TAX-5489 // TAX-52249 // TAX-53643 // TAX-53644 // TAX-56415 // TAX-4927 // TAX-1378264 // TAX-49323 // TAX-5477 // TAX-49324 // TAX-64417 // TAX-50260 // TAX-50262 // TAX-49329 // TAX-51921 // TAX-51932 // TAX-5495 // TAX-49330 // TAX-51922 // TAX-51933 // TAX-51934 // TAX-51924 // TAX-51917 // TAX-51925 // TAX-51926 // TAX-49334 // TAX-51927 // TAX-51918	Ambrosiozyma llanquihuensis // Barnettozyma californica // Barnettozyma pratensis // Cyberlindnera jadinii // Cyberlindnera maritima // Cyberlindnera saturnus // Kregervanrija fluxuum // Nakazawaea peltata // Nakazawaea wickerhamii // Ogataea methanolica // Ogataea methylovora // Ogataea minuta // Ogataea pignaliae // Ogataea salicorniae // Phaffomyces opuntiae // Pichia ethanolica // Pichia inconspicua // Pichia norvegensis // Pichia pseudolambica // Pichia rugopelliculosa // Saturnispora diversa // Saturnispora silvae // Starmera amethionina // Starmera caribaea // Starmera stellimalicola // Wickerhamomyces anomalus // Wickerhamomyces mucosus // [Candida] berthetii // [Candida] boidinii // [Candida] dendrica // [Candida] freyschussii // [Candida] maris // [Candida] methanosorbosa // [Candida] montana // [Candida] nanaspora // [Candida] nemodendra // [Candida] nitratophila // [Candida] norvegica // [Candida] odintsovae // [Candida] ovalis // [Candida] pini // [Candida] quercuum // [Candida] silvicultrix // [Candida] solani // [Candida] sonorensis // [Candida] sorboxylosa // [Candida] succiphila // [Candida] vartiovaarae	Fungi
GLUCARDEG-PWY	TAX-2	TAX-548 // TAX-511145	Klebsiella aerogenes // Escherichia coli	Bacteria <bacteria>
PWY-7587	TAX-1117	TAX-264691 // TAX-261476 // TAX-1148	Trichormus variabilis // Nostoc sp. 36 // Synechocystis sp. PCC 6803	Cyanobacteriota
PWY1ZNC-1	TAX-2	TAX-83332 // TAX-59919 // TAX-211586 // TAX-1140 // TAX-84588 // TAX-1148 // TAX-273121	Mycobacterium tuberculosis // Prochlorococcus marinus // Shewanella oneidensis // Synechococcus elongatus // Parasynechococcus marenigrum // Synechocystis sp. PCC 6803 // Wolinella succinogenes	Bacteria <bacteria>
PWY-5743	TAX-200795	TAX-152260 // TAX-1108 // TAX-120962 // TAX-357808	Chloroflexus aggregans // Chloroflexus aurantiacus // Roseiflexus castenholzii // Roseiflexus sp. RS-1	Chloroflexota
PWY-6083	TAX-2	TAX-393999 // TAX-60924 // TAX-93220 // ORG-6071	Cupriavidus sp. PS12 // Burkholderia sp. JS150 // Pandoraea pnomenusa // Xanthobacter flavus	Bacteria <bacteria>
PWY-5907	TAX-131567	TAX-1079 // TAX-4097 // TAX-93496 // TAX-76276	Blastochloris viridis // Nicotiana tabacum // Senecio vernalis // Senecio vulgaris	cellular organisms
PWY-7337	TAX-4751	TAX-4932	Saccharomyces cerevisiae	Fungi
PWY-5389	TAX-2 // TAX-33090	TAX-571 // TAX-573 // TAX-4530	Klebsiella oxytoca // Klebsiella pneumoniae // Oryza sativa	Bacteria <bacteria> // Viridiplantae
PWY-8432	TAX-2	TAX-376808	Arthrobacter sp. IN13	Bacteria <bacteria>
PWY-8513	TAX-6073	TAX-6100 // TAX-6136	Aequorea victoria // Renilla reniformis	Cnidaria
PWY-6061	TAX-7742	TAX-9606 // TAX-10090 // TAX-9986 // TAX-10116	Homo sapiens // Mus musculus // Oryctolagus cuniculus // Rattus norvegicus	Vertebrata <vertebrates>
PWY-5373	TAX-3398	TAX-41496	Calendula officinalis	Magnoliopsida
PWY-7444	TAX-3398	TAX-4550	Secale cereale	Magnoliopsida
PWY-6575	TAX-7147 // TAX-6993 // TAX-6970 // TAX-4610	TAX-7159 // TAX-6981 // TAX-36943 // TAX-6976 // TAX-36947 // TAX-388567 // TAX-6984 // TAX-7227 // TAX-7004 // TAX-6990 // TAX-36963	Aedes aegypti // Blaberus discoidalis // Blaberus giganteus // Blatta orientalis // Byrsotria fumigata // Cyperus iria // Diploptera punctata // Drosophila melanogaster // Locusta migratoria // Nauphoeta cinerea // Rhyparobia maderae	Diptera // Orthoptera // Dictyoptera <insects> // Cyperus
PWY-8341	TAX-2759 // TAX-2157	TAX-9606 // TAX-4932	Homo sapiens // Saccharomyces cerevisiae	Eukaryota // Archaea
PWY-4821	TAX-82115 // TAX-2759	TAX-3847 // TAX-10090 // TAX-4097 // TAX-266834 // ORG-5993	Glycine max // Mus musculus // Nicotiana tabacum // Sinorhizobium meliloti // Arabidopsis thaliana	Rhizobiaceae // Eukaryota
PWY-7415	TAX-1883	TAX-1906 // TAX-1912 // TAX-1927	Streptomyces fradiae // Streptomyces hygroscopicus // Streptomyces rimosus	Streptomyces
PWY-5327	TAX-2759 // TAX-2	TAX-358 // TAX-82374 // TAX-9913 // TAX-5482 // TAX-100174 // TAX-1550 // TAX-907340 // TAX-511145 // TAX-851 // TAX-1422 // TAX-9606 // TAX-4929 // TAX-10090 // TAX-837 // TAX-294 // TAX-303 // TAX-10116 // TAX-4932 // TAX-971 // TAX-1901 // TAX-5544 // TAX-5547 // TAX-29466 // TAX-4952 // TAX-1511 // TAX-255 // TAX-1541393 // ORG-5885 // ORG-5889 // ORG-5919 // ORG-5920	Agrobacterium tumefaciens // Anaerovibrio lipolyticus // Bos taurus // Candida tropicalis // Clostridium peptidivorans // Clostridium subterminale // Cyberlindnera saturnus // Escherichia coli // Fusobacterium nucleatum // Geobacillus stearothermophilus // Homo sapiens // Meyerozyma guilliermondii // Mus musculus // Porphyromonas gingivalis // Pseudomonas fluorescens // Pseudomonas putida // Rattus norvegicus // Saccharomyces cerevisiae // Selenomonas ruminantium // Streptomyces clavuligerus // Trichoderma harzianum // Trichoderma viride // Veillonella parvula // Yarrowia lipolytica // Acetoanaerobium sticklandii // [Flavobacterium] lutescens // Slafractonia leguminicola // Candida maltosa L4 // Clostridium SB4   // Neurospora crassa 15069 // Neurospora crassa 33933	Eukaryota // Bacteria <bacteria>
PWY-5087	TAX-2	TAX-81464 // TAX-35703 // TAX-546 // TAX-1494 // TAX-1536 // TAX-1539 // TAX-169679 // TAX-1513 // TAX-1553 // TAX-582	Anaeromusa acidaminophila // Citrobacter amalonaticus // Citrobacter freundii // Clostridium cochlearium // Hathewaya limosa // Clostridium malenominatum // Clostridium saccharobutylicum // Clostridium tetani // Clostridium tetanomorphum // Morganella morganii	Bacteria <bacteria>
PWY-1001	TAX-2759 // TAX-2	TAX-511145 // ORG-5993	Escherichia coli // Arabidopsis thaliana	Eukaryota // Bacteria <bacteria>
PWY-2762	TAX-3803	TAX-3847	Glycine max	Fabaceae
NADSYN-PWY	TAX-2759 // TAX-2	TAX-201174 // TAX-985 // TAX-235140 // TAX-9606 // TAX-4530 // TAX-53483 // TAX-4932 // TAX-1890 // TAX-56448 // TAX-53413	Actinomycetota // Cytophaga hutchinsonii // Gemmata sp. Wa1-1 // Homo sapiens // Oryza sativa // Polaribacter filamentus // Saccharomyces cerevisiae // Streptomyces antibioticus // Xanthomonas arboricola // Xanthomonas axonopodis	Eukaryota // Bacteria <bacteria>
PWY-7929	TAX-2	TAX-1962683 // TAX-717774 // TAX-1353533 // TAX-1315281 // TAX-713587	Hormoscilla spongeliae // Marinomonas mediterranea // Pseudoalteromonas luteoviolacea // Pseudoalteromonas phenolica // Thioalkalivibrio thiocyanoxidans	Bacteria <bacteria>
PWY0-1335	TAX-2	TAX-160488 // TAX-511145	Pseudomonas putida // Escherichia coli	Bacteria <bacteria>
PWY-724	TAX-33090	ORG-5993	Arabidopsis thaliana	Viridiplantae
ARGSPECAT-PWY	TAX-2759 // TAX-2 // TAX-2157	TAX-2157 // TAX-8782 // TAX-1423 // TAX-9913 // TAX-1422 // TAX-9606 // TAX-40674 // TAX-5791 // TAX-287 // TAX-2287 // TAX-4932 // TAX-90371 // TAX-32443 // ORG-5993	Archaea // Aves // Bacillus subtilis // Bos taurus // Geobacillus stearothermophilus // Homo sapiens // Mammalia // Physarum polycephalum // Pseudomonas aeruginosa // Saccharolobus solfataricus // Saccharomyces cerevisiae // Salmonella enterica // Teleostei // Arabidopsis thaliana	Eukaryota // Bacteria <bacteria> // Archaea
P162-PWY	TAX-1239 // TAX-32066	TAX-905 // TAX-851 // TAX-1258 // TAX-1549 // TAX-1512	Acidaminococcus fermentans // Fusobacterium nucleatum // Peptoniphilus asaccharolyticus // Faecalispora sporosphaeroides // [Clostridium] symbiosum	Bacillota // Fusobacteriota
PWY-8111	TAX-2	TAX-1586081 // TAX-1190938	Pseudomonas sp. C5pp // Pseudomonas sp. C6 (2012)	Bacteria <bacteria>
PWY-2681	TAX-3193	TAX-39947 // ORG-5993	Oryza sativa // Arabidopsis thaliana	Embryophyta
PWY-6000	TAX-33154	TAX-29923 // TAX-4903 // TAX-9606 // TAX-4952	Amylomyces rouxii // Cyberlindnera jadinii // Homo sapiens // Yarrowia lipolytica	Opisthokonta
PWY-8106	TAX-2	TAX-1496 // TAX-1502 // TAX-1898203 // TAX-33038	Clostridioides difficile // Clostridium perfringens // Lachnospiraceae bacterium // Mediterraneibacter gnavus	Bacteria <bacteria>
PWY-8213	TAX-2	TAX-160453 // TAX-1404 // TAX-1512 // TAX-39491 // ORG-57071	Enterococcus gilvus // Priestia megaterium // [Clostridium] symbiosum // Agathobacter rectalis // Bacillus aryabhattai	Bacteria <bacteria>
PWY-5326	TAX-33090 // TAX-33208	TAX-8782 // TAX-9913 // TAX-9031 // TAX-9606 // TAX-40674 // TAX-33208 // TAX-10090 // TAX-10116 // ORG-5993	Aves // Bos taurus // Gallus gallus // Homo sapiens // Mammalia // Metazoa // Mus musculus // Rattus norvegicus // Arabidopsis thaliana	Viridiplantae // Metazoa
PWY-8537	TAX-2			Bacteria <bacteria>
P163-PWY	TAX-2	TAX-1511 // TAX-100174 // TAX-1550 // TAX-851 // TAX-837 // ORG-5889	Acetoanaerobium sticklandii // Clostridium peptidivorans // Clostridium subterminale // Fusobacterium nucleatum // Porphyromonas gingivalis // Clostridium SB4  	Bacteria <bacteria>
PWY18C3-10	TAX-4070	TAX-4081	Solanum lycopersicum	Solanaceae
MALTOSECAT-PWY	TAX-2	TAX-1580 // TAX-1358 // TAX-487	Levilactobacillus brevis // Lactococcus lactis // Neisseria meningitidis	Bacteria <bacteria>
PWY-6977	TAX-2	TAX-1836 // TAX-405948	Saccharopolyspora erythraea	Bacteria <bacteria>
PWY-7331	TAX-2	TAX-272559 // TAX-185332 // TAX-630 // ORG-6243 // ORG-6240 // ORG-6241 // ORG-6242	Bacteroides fragilis // Vibrio cholerae O37 // Yersinia enterocolitica // Escherichia coli // Proteus penneri // Proteus vulgaris OX2	Bacteria <bacteria>
PWY-7996	TAX-1117 // TAX-2836 // TAX-2763 // TAX-1639119	TAX-2836 // TAX-2771 // TAX-33072 // TAX-5833 // TAX-32049	Bacillariophyta // Cyanidium caldarium // Gloeobacter violaceus // Plasmodium falciparum // Picosynechococcus sp. PCC 7002	Cyanobacteriota // Bacillariophyta // Rhodophyta // Plasmodiidae
PWY-7828	TAX-2	TAX-182640	Kribbella flavida	Bacteria <bacteria>
PWY-8305	TAX-2157	TAX-224325	Archaeoglobus fulgidus	Archaea
PWY-6481	TAX-2 // TAX-2759	TAX-666 // TAX-385 // TAX-382 // TAX-9606 // TAX-41956	Vibrio cholerae // Rhizobium leguminosarum // Sinorhizobium meliloti // Homo sapiens // Amanita muscaria	Bacteria <bacteria> // Eukaryota
PWY-7901	TAX-3699	TAX-161756 // TAX-33125 // TAX-3728	Isatis tinctoria // Lepidium sativum // Sinapis alba	Brassicales
PWY-7383	TAX-6433 // TAX-6231 // TAX-6157 // TAX-6340 // TAX-6447	TAX-6344 // TAX-6252 // TAX-6253 // TAX-141464 // TAX-29159 // TAX-6192 // TAX-6549 // TAX-6550 // TAX-29158 // TAX-6551 // TAX-6446	Arenicola marina // Ascaris lumbricoides // Ascaris suum // Corbicula japonica // Magallana gigas // Fasciola hepatica // Mytilus californianus // Mytilus edulis // Mytilus galloprovincialis // Mytilus trossulus // Sipunculus nudus	Sipuncula // Nematoda // Platyhelminthes // Annelida // Mollusca
PWY0-845	TAX-2	TAX-511145	Escherichia coli	Bacteria <bacteria>
P283-PWY	TAX-2	TAX-264691 // TAX-12917 // TAX-281 // TAX-280 // TAX-223389 // TAX-39439 // TAX-304 // TAX-266 // TAX-1778 // TAX-297 // TAX-65655 // TAX-65657 // TAX-180195 // TAX-106590 // TAX-375 // TAX-1484 // TAX-193 // TAX-100 // TAX-72557	Trichormus variabilis // Acidovorax facilis // Xanthobacter flavus // Xanthobacter autotrophicus // Ancylobacter vacuolatus // Pseudomonas hydrogenovora // Roseateles saccharophilus // Paracoccus denitrificans // Mycobacterium gordonae // Hydrogenophilus thermoluteolus // Hydrogenophaga palleronii // Hydrogenophaga flava // Herbaspirillum autotrophicum // Cupriavidus necator // Bradyrhizobium japonicum // Hydrogenibacillus schlegelii // Azospirillum lipoferum // Ancylobacter aquaticus // Achromobacter ruhlandii	Bacteria <bacteria>
PWY-3101	TAX-58024	TAX-4058 // TAX-55188 // TAX-62330 // TAX-3311 // TAX-3750 // TAX-3879 // TAX-4102 // TAX-3893 // TAX-3895 // ORG-5993	Catharanthus roseus // Citrus unshiu // Fagopyrum tataricum // Ginkgo biloba // Malus domestica // Medicago sativa // Petunia x hybrida // Pueraria montana // Sesbania rostrata // Arabidopsis thaliana	Spermatophyta
PWY-5807	TAX-2759 // TAX-2 // TAX-2157	TAX-1423 // TAX-260554 // TAX-41170 // TAX-2045 // TAX-1292 // TAX-1286 // TAX-29385 // TAX-1290 // TAX-1283 // TAX-1282 // TAX-29382 // TAX-29388 // TAX-1280 // TAX-1641 // TAX-2756 // TAX-1422 // TAX-1428 // TAX-1571 // TAX-2078 // TAX-1565 // TAX-33022 // TAX-1408 // TAX-1407 // TAX-1404 // TAX-1402 // TAX-1461 // TAX-1399 // TAX-1398 // TAX-1397 // TAX-1396 // TAX-1455 // TAX-1390 // TAX-29332 // TAX-1445 // TAX-1049 // TAX-891 // TAX-115852 // TAX-997 // TAX-2303	Bacillus subtilis // Bacillus halotolerans // Exiguobacterium acetylicum // Pimelobacter simplex // Staphylococcus warneri // Staphylococcus simulans // Staphylococcus saprophyticus // Staphylococcus hominis // Staphylococcus haemolyticus // Staphylococcus epidermidis // Staphylococcus cohnii // Staphylococcus capitis // Staphylococcus aureus // Listeria grayi // Brochothrix thermosphacta // Geobacillus stearothermophilus // Bacillus thuringiensis // Sporosarcina ureae // Sporolactobacillus inulinus // Desulfotomaculum nigrificans // Bacillus racemilacticus // Bacillus pumilus // Peribacillus psychrosaccharolyticus // Priestia megaterium // Bacillus licheniformis // Psychrobacillus insolitus // Cytobacillus firmus // Heyndrickxia coagulans // Niallia circulans // Bacillus cereus // Pseudobacillus badius // Bacillus amyloliquefaciens // Domibacillus aminovorans // Alkalihalobacillus alcalophilus // Allochromatium vinosum // Desulfuromonas acetoxidans // Chlorobaculum thiosulfatiphilum // Eisenibacter elegans // Thermoplasma acidophilum	Eukaryota // Bacteria <bacteria> // Archaea
HEME-BIOSYNTHESIS-II	TAX-2 // TAX-2759	TAX-358 // TAX-1063 // TAX-511145 // TAX-3039 // TAX-9606 // TAX-40674 // TAX-10090 // TAX-4097 // TAX-5833 // TAX-82115 // TAX-4932 // TAX-1148 // ORG-5993	Agrobacterium tumefaciens // Cereibacter sphaeroides // Escherichia coli // Euglena gracilis // Homo sapiens // Mammalia // Mus musculus // Nicotiana tabacum // Plasmodium falciparum // Rhizobiaceae // Saccharomyces cerevisiae // Synechocystis sp. PCC 6803 // Arabidopsis thaliana	Bacteria <bacteria> // Eukaryota
P343-PWY	TAX-2	TAX-196627 // TAX-1718	Corynebacterium glutamicum	Bacteria <bacteria>
PWY-4	TAX-33090 // TAX-2	TAX-3888 // TAX-3916	Pisum sativum // Vigna radiata	Viridiplantae // Bacteria <bacteria>
PWY-7841	TAX-33208	TAX-9606	Homo sapiens	Metazoa
PWY-8163	TAX-2	TAX-40137	Afipia carboxidovorans	Bacteria <bacteria>
PWY-6086	TAX-2	TAX-80866 // TAX-244562 // TAX-69003 // TAX-264198	Delftia acidovorans // Bradyrhizobium sp. RD5-C2 // Burkholderia sp. RASC // Cupriavidus pinatubonensis	Bacteria <bacteria>
PWY-7576	TAX-2157 // TAX-2	TAX-354 // TAX-573	Azotobacter vinelandii // Klebsiella pneumoniae	Archaea // Bacteria <bacteria>
PWY-5162	TAX-1224	TAX-232721 // TAX-170622 // TAX-292 // TAX-58226 // TAX-511145 // TAX-303 // TAX-351746 // TAX-79676 // TAX-329 // ORG-5948	Acidovorax sp. JS42 // Bordetella sp. 10d // Burkholderia cepacia // Comamonas sp. JS765 // Escherichia coli // Pseudomonas putida // Pseudomonas sp. CF600 // Ralstonia pickettii	Pseudomonadota
PWY-6606	TAX-4751 // TAX-3193	TAX-36642 // TAX-4442 // TAX-4058 // TAX-3847 // TAX-3873 // TAX-4113 // ORG-5993	Aspergillus terricola // Camellia sinensis // Catharanthus roseus // Glycine max // Lupinus luteus // Solanum tuberosum // Arabidopsis thaliana	Fungi // Embryophyta
PWY3O-6	TAX-4751	TAX-4932	Saccharomyces cerevisiae	Fungi
PWY-6754	TAX-2157 // TAX-2 // TAX-3193	TAX-1423 // TAX-573 // TAX-571 // TAX-4530 // TAX-3873 // ORG-5993	Bacillus subtilis // Klebsiella pneumoniae // Klebsiella oxytoca // Oryza sativa // Lupinus luteus // Arabidopsis thaliana	Archaea // Bacteria <bacteria> // Embryophyta
PWY-8186	TAX-2	TAX-1511 // TAX-1496 // TAX-84022 // TAX-1491 // TAX-1509 // TAX-1503 // TAX-1731 // TAX-1557 // TAX-158	Acetoanaerobium sticklandii // Clostridioides difficile // Clostridium aceticum // Clostridium botulinum // Clostridium sporogenes // Gottschalkia purinilytica // Peptoclostridium acidaminophilum // Peptoclostridium litorale // Treponema denticola	Bacteria <bacteria>
PWY-882	TAX-33090	TAX-3624 // TAX-3715 // TAX-4530 // TAX-3562 // ORG-5993	Actinidia // Brassica oleracea // Oryza sativa // Spinacia oleracea // Arabidopsis thaliana	Viridiplantae
P344-PWY	TAX-1224 // TAX-201174	TAX-469 // TAX-1663 // TAX-546 // TAX-285 // TAX-85007 // TAX-1817 // TAX-286 // TAX-1829 // TAX-1830 // TAX-1831 // ORG-5980 // ORG-5982	Acinetobacter // Arthrobacter // Citrobacter freundii // Comamonas testosteroni // Mycobacteriales // Nocardia // Pseudomonas // Rhodococcus rhodochrous // Rhodococcus ruber // Rhodococcus sp. (in: high G+C Gram-positive bacteria) // Rhodococcus N-774 // Rhodococcus YH3-3	Pseudomonadota // Actinomycetota
PWY-6562	TAX-641	TAX-216895 // TAX-1219076 // TAX-672 // TAX-670 // TAX-663 // TAX-666	Vibrio vulnificus // Vibrio alginolyticus // Vibrio parahaemolyticus // Vibrio cholerae	Vibrionaceae
PWY-7888	TAX-2759	TAX-9606 // TAX-559292	Homo sapiens // Saccharomyces cerevisiae	Eukaryota
PWY-5534	TAX-2	TAX-196162 // TAX-1829 // TAX-78245	Nocardioides sp. JS614 // Rhodococcus rhodochrous // Xanthobacter autotrophicus	Bacteria <bacteria>
PWY-5260	TAX-28890	TAX-2207 // TAX-2214 // TAX-2208 // TAX-2210 // ORG-5913	Methanosarcina // Methanosarcina acetivorans // Methanosarcina barkeri // Methanosarcina thermophila // Methanosarcina TM-1	Methanobacteriota
