Pathways	Object ID	Ontology - pathway type	Key-Reactions	Reaction-List	EC-Number
PWY-882	PWY-882	Cofactor-Biosynthesis // Carboxylate-Biosynthesis		RXN-7772 // RXNQT-4141 // RXNQT-4142 // RXN-1884 // GALACTONOLACTONE-DEHYDROGENASE-RXN	EC-5.1.3.18 // EC-2.7.7.69 // EC-3.1.3.93 // EC-1.1.1.316 // EC-1.3.2.3
P344-PWY	P344-PWY	Other-Degradation // Super-Pathways		PWY-7309 // PWY-7308	
PWY-6562	PWY-6562	Polyamine-Biosynthesis	R101-RXN // 4.1.1.86-RXN // RXN-9380 // RXN-11565	R101-RXN // 4.1.1.86-RXN // RXN-9380 // RXN-11565 // ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN // ASPARTATEKIN-RXN	EC-2.6.1.76 // EC-4.1.1.86 // EC-4.1.1.96 // EC-1.5.1.43 // EC-1.2.1.11 // EC-2.7.2.4
PWY-7888	PWY-7888	Nucleic-Acid-Processing		RXN-23599 // RXN0-308 // RXN-18705 // RXN-18704 // RXN-18700 // RXN-18701 // RXN-18699 // RXN-12461	EC-2.3.1.311 // EC-2.8.1 // EC-2.7.7 // EC-2.1.1.229
PWY-5534	PWY-5534	Hydrocarbon-Degradation		RXN-8806 // 1.14.13.69-RXN // RXN-8805 // 4.2.99.19-RXN // 1.1.1.268-RXN // 1.1.1.269-RXN // 1.8.1.5-RXN	EC-1.14.13.69 // EC-4.4.1.23 // EC-1.1.1.268 // EC-1.1.1.269 // EC-1.8.1.5
PWY-5260	PWY-5260	Noncarbon-Nutrients // Energy-Metabolism		RXN-8130 // RXN-8126	EC-2.1.1.251
PWY-7708	PWY-7708	SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-17006 // RXN-17005 // RXN-17004 // RXN-17003 // RXN-17002	EC-1.14.13 // EC-2.3.1 // EC-1.14.19 // EC-2.5.1
PWY-5472	PWY-5472	SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-8702 // 1.1.3.34-RXN	EC-1.14.19 // EC-1.14.19.66
PWY-8488	PWY-8488	Protein-Modification		RXN-24296 // RXN0-3201 // RXN-17362 // RXN0-20	EC-3.4.21 // EC-3.4.23.36 // EC-2.5.1.145
PWY-6458	PWY-6458	AROMATIC-COMPOUNDS-BIOSYN		RXN-2003 // RXN-2002 // RXN-2006	EC-1.1.1.35 // EC-4.2.1.17 // EC-2.3.1.16
P105-PWY	P105-PWY	Energy-Metabolism	RXN-7774 // SUCCSEMIALDDEHYDROG-RXN	RXN-14971 // MALATE-DEH-RXN // ISOCITDEH-RXN // RXN-7774 // SUCCSEMIALDDEHYDROG-RXN // FUMHYDR-RXN // ACONITATEHYDR-RXN // ACONITATEDEHYDR-RXN // CITSYN-RXN	EC-1.3.5.1 // EC-1.1.1.37 // EC-1.1.1.42 // EC-4.1.1.71 // EC-1.2.1.79 // EC-4.2.1.2 // EC-2.3.3.3 // EC-2.3.3.16 // EC-2.3.3.1
PWY-1822	PWY-1822	Activation		RXN-2982 // RXN-2981	EC-3.5.1.M7
PWY-7143	PWY-7143	AROMATIC-COMPOUNDS-BIOSYN		RXN-13830 // RXN1F-461	EC-2.4.1 // EC-2.4.1.91
PWY-7091	PWY-7091	SECONDARY-METABOLITE-DEGRADATION		RXN-13646 // ACETONE-CYANHYDRIN-LYASE-RXN // RXN-5341 // RXN-13602	EC-3.2.1 // EC-4.1.2.46 // EC-3.2.1.21
P401-PWY	P401-PWY	Other-Degradation		L-3-CYANOALANINE-SYNTHASE-RXN	EC-4.4.1.9
PWY-5760	PWY-5760	Amino-Acid-Biosynthesis		RXN-9015 // RXN-6382	EC-1.5.3.17 // EC-1.5.3.16 // EC-1.2.1.8
PWY-6282	PWY-6282	Lipid-Biosynthesis	RXN-10654 // RXN-10658 // 5.3.3.14-RXN	RXN-9550 // RXN-10654 // RXN-10655 // RXN-10656 // RXN-10657 // RXN-10658 // RXN-10659 // RXN-10660 // RXN-10661	EC-3.1.2.14 // EC-2.3.1.179 // EC-2.3.1.41 // EC-1.1.1.100 // EC-4.2.1.59 // EC-1.3.1.9
PWY2OBG-2	PWY2OBG-2	Other-biosynthesis		RXN-24006 // RXN-25018	EC-1.8.4.16 // EC-1.8.98.8
CENTBENZCOA-PWY	CENTBENZCOA-PWY	AROMATIC-COMPOUNDS-DEGRADATION	4.2.1.100-RXN	RXN-15013 // RXN-15012 // 4.2.1.100-RXN // RXN-8032 // 1.1.1.259-RXN // HADTHAUERA-RXN // 1.3.99.15-RXN	EC-4.2.1.100 // EC-2.3.1 // EC-1.1.1.259 // EC-1.1.1.368 // EC-1.3.7.8
PWY-7547	PWY-7547	SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-15786 // RXN-15785 // RXN-15769 // RXN-15778 // RXN-15787 // RXN-15777 // RXN-15783 // RXN-15784 // RXN-15782 // RXN-15781 // RXN-15780 // RXN-15779	EC-2.1.1 // EC-1.1.1 // EC-2.2.1.12 // EC-2.6.1 // EC-6.4.1 // EC-1.4.3 // EC-2.3.1 // EC-4.2.1 // EC-1.3.8.14 // EC-6.2.1.53
PWY-7053	PWY-7053	Lipid-Biosynthesis	RXN-12797	RXN-16102 // RXN-12797 // RXN-13445 // RXN-13444 // RXN-13443 // RXN-13442 // RXN-17688	EC-2.3.1 // EC-1.14.19.31 // EC-1.3.1.93 // EC-4.2.1.134 // EC-1.1.1.330 // EC-2.3.1.23
PWY-7465	PWY-7465	Noncarbon-Nutrients		RXN-15375 // RXN-15370 // RXN-15362 // RXN-15364	EC-2.3.1 // EC-3.13.1 // EC-3.13.1.4 // EC-1.13.11.91
PWY0-1306	PWY0-1306	CARBOXYLATES-DEG		RXN0-5229	EC-1.1.1.414
PWY-8244	PWY-8244	Glycan-Pathways // Cell-Structure-Biosynthesis // Carbohydrates-Biosynthesis		RXN-22228 // RXN-22227 // RXN-22225 // RXN-22226 // RXN-22070 // GLCNACPTRANS-RXN	EC-2.4.99.27 // EC-7.5.99.a // EC-2.4.1 // EC-2.7.8.33
VALSYN-PWY	VALSYN-PWY	Amino-Acid-Biosynthesis		ACETOLACTSYN-RXN // ACETOLACTREDUCTOISOM-RXN // BRANCHED-CHAINAMINOTRANSFERVAL-RXN // DIHYDROXYISOVALDEHYDRAT-RXN	EC-2.2.1.6 // EC-1.1.1.86 // EC-2.6.1.42 // EC-4.2.1.9
PWY-6804	PWY-6804	Lipid-Biosynthesis		RXN-12386 // RXN-5781	EC-2.7.8 // EC-2.7.8.2
PWY-5336	PWY-5336	Other-Degradation		RXN-8272 // RXN-1901	EC-1.8.1 // EC-3.13.1.7
PWY-6105	PWY-6105	SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-12263 // RXN-13311 // RXN-13310 // RXN-13291 // RXN-13285 // RXN-13284 // RXN-13283 // RXN-13282 // RXN-13724	EC-2.5.1.103 // EC-1.3.1.97 // EC-1.3.1.96
TRPKYNCAT-PWY	TRPKYNCAT-PWY	Amino-Acid-Degradation		INDOLELACTATE-DEHYDROGENASE-RXN // TRYPTOPHAN-AMINOTRANSFERASE-RXN	EC-1.1.1.110 // EC-2.6.1.57 // EC-2.6.1.27 // EC-2.6.1.1
PWY-5332	PWY-5332	Noncarbon-Nutrients		H2SOXIREDPYRO-RXN	EC-1.12.98.4
PWY0-44	PWY0-44	Carbohydrates-Degradation		ALLOSE-KINASE-RXN // RXN0-304 // RXN0-303	EC-2.7.1.55 // EC-5.1.3 // EC-5.3.1
P321-PWY	P321-PWY	AROMATIC-COMPOUNDS-DEGRADATION		RXN-8032 // 1.1.1.259-RXN // RXN-8031 // 1.3.1.62-RXN // 1.3.99.15-RXN // R268-RXN // R267-RXN // R266-RXN // R265-RXN	EC-2.3.1 // EC-1.1.1.259 // EC-4.2.1.17 // EC-1.3.1.62 // EC-1.3.7.8 // EC-3.7.1 // EC-4.2.1 // EC-1.3.8.10
CAROTENOID-PWY	CAROTENOID-PWY	Super-Pathways // SECONDARY-METABOLITE-BIOSYNTHESIS		PWY-6809 // PWY-5945 // PWY-5944 // PWY-6475 // PWY-5947 // PWY-5946 // PWY-5943	
PWY-6099	PWY-6099	AROMATIC-COMPOUNDS-DEGRADATION // CHLORINATED-COMPOUNDS-DEG		RXN-9876 // RXN-9875	EC-1.14.12.26
PWY-6886	PWY-6886	Super-Pathways // Energy-Metabolism		CALVIN-PWY // PYRUVDEH-RXN // PEPDEPHOS-RXN // 2PGADEHYDRAT-RXN // 3PGAREARR-RXN // PHOSGLYPHOS-RXN // PWY-101 // PWY-6883	EC-1.2.1.104 // EC-2.7.1.40 // EC-4.2.1.11 // EC-5.4.2.12 // EC-2.7.2.3
PWY-6192	PWY-6192	AROMATIC-COMPOUNDS-DEGRADATION // CHLORINATED-COMPOUNDS-DEG	RXN-10092	RXN-17088 // RXN-10095 // RXN-10104 // RXN-10103 // RXN-10098 // RXN-10092	EC-1.3.1.119 // EC-5.5.1.7 // EC-1.14.12.26
PWY-6043	PWY-6043	Noncarbon-Nutrients		RXN-9734	
PWY-8429	PWY-8429	Metabolic-Regulators		RXN-23656 // RXN-23657 // RXN-23658	EC-2.7.7.39 // EC-2.7.8.34 // EC-3.1.3.M14
PWY18C3-1	PWY18C3-1	Lipid-Biosynthesis		RXN-20440 // RXN-20438 // RXN-4282 // RXN-20433 // RXN66-323 // 1.14.21.6-RXN // RXN-20442 // RXN-20441 // RXN-4286 // RXN-20439 // RXN-20436 // RXN-20435 // RXN-20434	EC-1.14.18.M9 // EC-1.14.14.154 // EC-1.3.1.72 // EC-1.14.18.9 // EC-1.3.1.21 // EC-1.14.19.20 // EC-1.1.1.270 // EC-1.1.1.418 // EC-5.3.3.5 // EC-1.3.1.70 // EC-5.5.1.9
PWY-8282	PWY-8282	Cofactor-Biosynthesis		RXN-22475 // COBINPGUANYLYLTRANS-RXN	EC-3.1.3.ak // EC-2.7.7.62
PWY-6234	PWY-6234	Super-Pathways		PWY-6233 // PWY-6220	
PWY-7650	PWY-7650	SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-16503 // RXN-16508 // RXN-16507 // RXN-16506 // RXN-16505 // RXN-16504 // RXN-16502 // RXN-16501 // RXN-16500 // RXN-16499 // RXN-16498	EC-6.3.2 // EC-1.14.13
TRNA-CHARGING-PWY	TRNA-CHARGING-PWY	Aminoacyl-tRNAs-Charging // Metabolic-Clusters		RXN-16165 // GLYCINE--TRNA-LIGASE-RXN // HISTIDINE--TRNA-LIGASE-RXN // LYSINE--TRNA-LIGASE-RXN // METHIONINE--TRNA-LIGASE-RXN // PHENYLALANINE--TRNA-LIGASE-RXN // PROLINE--TRNA-LIGASE-RXN // SERINE--TRNA-LIGASE-RXN // THREONINE--TRNA-LIGASE-RXN // TRYPTOPHAN--TRNA-LIGASE-RXN // TYROSINE--TRNA-LIGASE-RXN // ASPARTATE--TRNA-LIGASE-RXN // ASPARAGINE--TRNA-LIGASE-RXN // ALANINE--TRNA-LIGASE-RXN // VALINE--TRNA-LIGASE-RXN // LEUCINE--TRNA-LIGASE-RXN // ISOLEUCINE--TRNA-LIGASE-RXN // GLURS-RXN // GLUTAMINE--TRNA-LIGASE-RXN // CYSTEINE--TRNA-LIGASE-RXN // ARGININE--TRNA-LIGASE-RXN	EC-6.1.1.10 // EC-6.1.1.14 // EC-6.1.1.21 // EC-6.1.1.6 // EC-6.1.1.20 // EC-6.1.1.15 // EC-6.1.1.11 // EC-6.1.1.3 // EC-6.1.1.2 // EC-6.1.1.1 // EC-6.1.1.23 // EC-6.1.1.12 // EC-6.1.1.22 // EC-6.1.1.7 // EC-6.1.1.9 // EC-6.1.1.4 // EC-6.1.1.5 // EC-6.1.1.17 // EC-6.1.1.18 // EC-6.1.1.16 // EC-6.1.1.19
PWY-6081	PWY-6081	AROMATIC-COMPOUNDS-DEGRADATION // CHLORINATED-COMPOUNDS-DEG		RXN-9854 // RXN-9853	EC-1.3.1.119 // EC-1.14.12.26
PWY-8427	PWY-8427	Energy-Metabolism		RXN-23646 // RXN-23645 // RXN-23644 // RXN-23643 // RXN-23642 // RXN-23641 // RXN-23640 // RXN-23639	EC-4.2.1.59 // EC-1.1.1.100
PWY-7867	PWY-7867	Cofactor-Biosynthesis		RXN-18521	EC-1.8.98.5
PWY-7416	PWY-7416	Lipid-Biosynthesis		RXN-1641 // RXN-15066 // RXN-15065	EC-2.3.1.158 // EC-2.3.1.23 // EC-3.1.1.4
PWY-5328	PWY-5328	Amino-Acid-Degradation // Super-Pathways		ADENOSYLHOMOCYSCAT-PWY // PWY-5326 // CYSTEINE-DEG-PWY // PWY-5130 // HOMOCYSDEGR-PWY // METHIONINE-DEG1-PWY	
PWY-7267	PWY-7267	AROMATIC-COMPOUNDS-BIOSYN // SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-18352 // PELUDP-RXN // LEUCPEL-RXN	EC-2.4.1.115 // EC-1.14.20.4
PWY-7754	PWY-7754	CARBOXYLATES-DEG // Fatty-Acid-and-Lipid-Degradation		1.1.1.52-RXN // RXN-21341 // RXN-21340 // RXN-21339 // RXN-21338 // RXN-17396 // RXN-19428 // RXN-19429 // RXN-21336 // RXN-21335 // RXN-17400 // RXN-17399 // RXN-17398 // BAI3OXO-OXRED-RXN // BAIAEUBSP-RXN // CHOLATE--COA-LIGASE-RXN	EC-1.1.1.52 // EC-1.3.1.114 // EC-4.2.1.106 // EC-2.8.3.25 // EC-1.3.1.115 // EC-1.1.1.395 // EC-6.2.1.7
ETHYL-PWY	ETHYL-PWY	HORMONE-SYN		ETHYL-RXN // 4.4.1.14-RXN // S-ADENMETSYN-RXN	EC-1.14.17.4 // EC-4.4.1.14 // EC-2.5.1.6
PWY-6091	PWY-6091	AROMATIC-COMPOUNDS-DEGRADATION // CHLORINATED-COMPOUNDS-DEG		RXN-9880 // RXN-9877	EC-1.3.1.119 // EC-1.14.12.26
GALACTUROCAT-PWY	GALACTUROCAT-PWY	CARBOXYLATES-DEG // Carbohydrates-Degradation		KDPGALDOL-RXN // GALACTUROISOM-RXN // ALTRO-OXIDOREDUCT-RXN // DEOXYGLUCONOKIN-RXN // ALTRODEHYDRAT-RXN	EC-4.1.2.55 // EC-4.1.2.14 // EC-5.3.1.12 // EC-1.1.1.58 // EC-2.7.1.178 // EC-2.7.1.45 // EC-4.2.1.7
PWY-6825	PWY-6825	Lipid-Biosynthesis		RXN4FS-2 // 2.1.1.71-RXN // 2.1.1.17-RXN	EC-2.1.1.71 // EC-2.1.1.17
GALACTITOLCAT-PWY	GALACTITOLCAT-PWY	Alcohol-Degradation // Carbohydrates-Degradation	1.1.1.251-RXN	TRANS-RXN-161 // RXN-16992 // 1.1.1.251-RXN // TAGAALDOL-RXN // TAGAKIN-RXN	EC-2.7.1.200 // EC-1.1.1.251 // EC-4.1.2.40 // EC-2.7.1.144
PWY-7410	PWY-7410	HORMONE-SYN // SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-15040 // RXN-15039 // RXN-5110 // GPPSYN-RXN	EC-1.14.14.31 // EC-4.2.3.15 // EC-2.5.1.1
PWY0-1241	PWY0-1241	Carbohydrates-Biosynthesis	5.1.3.20-RXN	RXN0-4301 // 5.1.3.20-RXN // RXN0-4361 // RXN0-4342 // RXN0-4341	EC-5.3.1.28 // EC-5.1.3.20 // EC-3.1.3.82 // EC-2.7.7.70 // EC-2.7.1.167
PWY-7957	PWY-7957	SECONDARY-METABOLITE-BIOSYNTHESIS	RXN-19281	RXN-19281 // RXN-19264 // RXN-19268 // RXN-19272	EC-5.5.1.31 // EC-4.1.99.25 // EC-1.14.20.11 // EC-2.5.1.146
PWY-5857	PWY-5857	Cofactor-Biosynthesis	RXN-9236 // RXN-9233	RXN-9232 // RXN-9231 // RXN-9230 // RXN-9237 // RXN-9236 // RXN-9235 // RXN-9234 // RXN-9233	EC-1.14.13.240 // EC-4.1.1.98 // EC-2.5.1.39 // EC-2.1.1.64 // EC-1.14.99.60 // EC-2.1.1.201 // EC-1.14.13.M56 // EC-2.1.1.222
PWY-5338	PWY-5338	Cyclitols-Biosynthesis		RXN-8279 // RXN-8278 // RXN-8277 // RXN-8281	EC-2.4.1
PWY-4985	PWY-4985	SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-7461	EC-2.5.1.52
PWY-5960	PWY-5960	SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-9503 // RXN-9502 // RXN-9501 // RXN-9500 // RXN-9499	EC-1.14.14.117 // EC-2.1.1.110 // EC-2.1.1.109
PWY-5519	PWY-5519	Carbohydrates-Degradation	RXN-8777	RXN-14807 // 25-DIOXOVALERATE-DEHYDROGENASE-RXN // RXN-8777 // ARABINONATE-DEHYDRATASE-RXN // D-ARABINONOLACTONASE-RXN // RXN-8776	EC-1.2.1.26 // EC-4.2.1.141 // EC-4.2.1.5 // EC-3.1.1.30 // EC-1.1.1.427
PWY-6717	PWY-6717	Polymer-Degradation // Carbohydrates-Degradation // Glycan-Pathways		3.2.1.37-RXN // 3.2.1.8-RXN	EC-3.2.1.37 // EC-3.2.1.M35 // EC-3.2.1.M32 // EC-3.2.1.8 // EC-3.2.1.M34
PWY-7442	PWY-7442	SECONDARY-METABOLITE-BIOSYNTHESIS	1.5.4.1-RXN	1.5.4.1-RXN // RXN-15263 // RXN-15262 // RXN-15261 // RXN-15260 // 4.2.3.12-RXN // GTP-CYCLOHYDRO-I-RXN	EC-1.5.4.1 // EC-3.5.4.3 // EC-4.2.3.12 // EC-3.5.4.16
PWY-7431	PWY-7431	AMINE-DEG		SYNEPHRINE-DEHYDRATASE-RXN // RXN-8505 // RXN-15198 // OCTOPAMINE-DEHYDRATASE-RXN // RXN6666-5 // RXN6666-4 // 1.2.1.53-RXN // RXN-5821	EC-4.2.1.88 // EC-1.14.14.9 // EC-1.4.99 // EC-4.2.1.87 // EC-1.2.1.3 // EC-1.4.3.4 // EC-1.2.1.53
PWY-7865	PWY-7865	Cofactor-Biosynthesis		RXN-18520	EC-1.8.7.3
PWY-7246	PWY-7246	Polymer-Degradation // Carbohydrates-Degradation // Glycan-Pathways		RXN-2102 // RXN-11459 // 3.2.1.82-RXN	EC-3.1.1.11 // EC-4.2.2 // EC-3.2.1.82
PWY-5022	PWY-5022	AMINE-DEG // Energy-Metabolism		RXN-16834 // R11-RXN // RXN-8890 // RXN-8889 // 4-HYDROXYBUTYRATE-DEHYDROGENASE-RXN // GLUTAMATE-DEHYDROGENASE-RXN // GABATRANSAM-RXN	EC-1.3.1.109 // EC-2.8.3.1 // EC-2.8.3.8 // EC-4.2.1.120 // EC-2.8.3.M6 // EC-1.1.1.61 // EC-1.4.1.2 // EC-2.6.1.19
PWY-7802	PWY-7802	Protein-Modification // Metabolic-Clusters		RXN-17898 // RXN-17899	EC-2.3.2.29
PWY-6455	PWY-6455	Antibiotic-Resistance // Cell-Structure-Biosynthesis	RXN-11299	RXN-11299 // 5.1.1.18-RXN // 3.4.13.22-RXN	EC-6.3.2.35 // EC-5.1.1.10 // EC-5.1.1.18 // EC-3.4.13.22
PWY-5199	PWY-5199	Cofactor-Biosynthesis		RXN-8081 // RXN-8080	EC-6.3.2.34 // EC-6.3.2.31
PWY-6771	PWY-6771	Polymer-Degradation // Carbohydrates-Degradation		RXN-12268 // RXN-12174 // RXN-12173	EC-4.2.2.24 // EC-3.2.1.172 // EC-4.2.2.23
PWY-7344	PWY-7344	Carbohydrates-Biosynthesis		UDPGLUCEPIM-RXN	EC-5.1.3.2
PWY-8581	PWY-8581	Energy-Metabolism		RXN-25291 // RXN-25289 // RXN-25288 // RXN-25287 // 1.2.1.25-RXN // BRANCHED-CHAINAMINOTRANSFERVAL-RXN	EC-1.3.1.129 // EC-1.1.1 // EC-1.2.1.25 // EC-2.6.1.42
PWY-8396	PWY-8396	Lipid-Biosynthesis		RXN-23521 // RXN-23458 // RXN-23459 // RXN-23457 // RXN-23456 // 1.1.1.197-RXN // RXN-23454 // RXN-23453 // RXN-23452 // RXN-23451 // RXN-23450 // RXN-23449 // RXN-23448 // RXN-23445 // RXN-23443 // RXN-23442	EC-3.1.1.4 // EC-5.3.99.5 // EC-1.3.1.48 // EC-1.1.1.197 // EC-5.3.99.3 // EC-1.1.1.141 // EC-1.11.1.20 // EC-5.3.99.2 // EC-1.14.99.1 // EC-1.11.1.12 // EC-1.13.11.33
PWY-8136	PWY-8136	Energy-Metabolism	RXN-13141	RXN-20456 // RXN-20457 // RXN-13142 // RXN-13141	EC-5.1.99.6 // EC-4.2.1.136
PWY-8158	PWY-8158	SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-21515 // RXN-21516 // RXN-21517 // RXN-21518 // RXN-21519 // RXN-21520	EC-4.1.1 // EC-1.14.19 // EC-1.14.13 // EC-1.14.11.76
PWY-8024	PWY-8024	SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-19839 // RXN-19841 // RXN-19840 // RXN-12063 // RXN-12062 // RXN-12061 // RXN-20040 // RXN-20042	EC-1.14.14.165 // EC-1.1.3
PWY-6686	PWY-6686	Metabolic-Regulators		RXN-12041 // RXN-12039 // RXN-12029	EC-2.4.1.266 // EC-3.1.3 // EC-2.4.1.270
PWY-7183	PWY-7183	Nucleotide-Biosynthesis		URACIL-PRIBOSYLTRANS-RXN	EC-2.4.2.9
IDNCAT-PWY	IDNCAT-PWY	CARBOXYLATES-DEG		1.1.1.264-RXN // GLUCONOKIN-RXN // GLUCONATE-5-DEHYDROGENASE-RXN	EC-1.1.1.264 // EC-2.7.1.12 // EC-1.1.1.69
PWY-7049	PWY-7049	Lipid-Biosynthesis		RXN-16019 // RXN-16020 // RXN-16021 // RXN-16022 // LINOLENOYL-RXN // RXN-13429 // RXN-13426	EC-2.3.1 // EC-1.1.1.330 // EC-4.2.1.134 // EC-1.3.1.93 // EC-6.2.1.3 // EC-1.14.19.44 // EC-1.14.19.3
PWY-7531	PWY-7531	SECONDARY-METABOLITE-BIOSYNTHESIS	RXN-15664 // RXN-15663	RXN-15665 // RXN-15664 // RXN-15663 // RXN-15662	EC-1.1.1 // EC-3.1.3 // EC-2.6.1
PWY-2881	PWY-2881	Metabolic-Clusters // HORMONE-SYN // Other-biosynthesis		RXN-4736 // RXN-4733 // RXN-4731 // RXN-4729 // RXN-4727 // RXN-4724 // RXN-4721	EC-2.4.1
PWY-5776	PWY-5776	SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-9066 // RXN-9065	
PWY-8392	PWY-8392	Alcohol-Degradation // Carbohydrates-Degradation		RXN-11106 // RXN-23377	EC-1.1.1.301 // EC-2.7.1
PWY-5920	PWY-5920	Super-Pathways // Cofactor-Biosynthesis // Tetrapyrrole-Biosynthesis		HEME-BIOSYNTHESIS-II // PWY-5189	
PWY-7237	PWY-7237	CYCLITOLS-DEG // Super-Pathways		P562-PWY // MYO-INOSITOL-2-DEHYDROGENASE-RXN // RXN-14178 // RXN-14148 // RXN-13779	EC-1.1.1.18 // EC-5.3.99.11 // EC-1.1.1.369 // EC-1.1.1.370
P181-PWY	P181-PWY	Other-Degradation		RXN-16528 // RXN-16527 // RXN-16526 // RXN-13072 // RXN-13071 // RXN-13070 // RXN-13069 // RXN-13068 // GABATRANSAM-RXN // RXN-13067 // SUCCSEMIALDDEHYDROG-RXN // RXN-13065 // 1.14.13.10-RXN // R181-RXN // R162-RXN // R161-RXN // NICOTINE-DEHYDROGENASE-RXN	EC-3.5.1.3 // EC-3.5.1.111 // EC-1.1.1.328 // EC-2.6.1.19 // EC-1.5.3.19 // EC-1.2.1.79 // EC-1.5.3.21 // EC-1.14.13.10 // EC-3.7.1.19 // EC-1.5.99.14 // EC-1.5.99.4
PWY-7746	PWY-7746	Lipid-Biosynthesis		RXN-18540 // RXN-17323 // RXN-9549 // RXN3O-9780 // RXN-17320 // RXN-17319 // RXN-17317 // RXN-17318 // RXN-15426	EC-2.3.1.287 // EC-3.1.2.14 // EC-2.3.1 // EC-2.3.1.283 // EC-2.3.1.284 // EC-2.3.1.288 // EC-2.8.2.37
PWY-6758	PWY-6758	Energy-Metabolism		HYDROGEN-DEHYDROGENASE-RXN	EC-1.12.1.2
PWY-5651	PWY-5651	Amino-Acid-Degradation		RXN-8665 // 1.13.11.6-RXN // 3-HYDROXY-KYNURENINASE-RXN // KYNURENINE-3-MONOOXYGENASE-RXN // ARYLFORMAMIDASE-RXN	EC-1.13.11.11 // EC-1.13.11.52 // EC-1.13.11.6 // EC-3.7.1.3 // EC-1.14.13.9 // EC-3.5.1.9
