	Pathways	Common-Name	Common-Name2	Classification	Object ID_x	Ontology - pathway type_x	Key-Reactions	Reaction-List	EC-Number	Object ID_y	Names	Enzymes of pathway	Reactions of pathway	Ontology - pathway type_y	Ontology -  all instances of class
500	PWY-7401	Syntrophus aciditrophicus	Bacteria <bacteria>	Bacteria	PWY-7401	CARBOXYLATES-DEG;Super-Pathways;Energy-Metabolism	R282-RXN // R265-RXN	RXN-15013;RXN-15012;ACETYL-COA-ACETYLTRANSFER-RXN;RXN-11662;RXN-11667;GLUTACONYL-COA-DECARBOXYLASE-RXN;GLUTARYL-COA-DEHYDROG-RXN;RXN-15010;RXN-8032;1.1.1.259-RXN;HADTHAUERA-RXN;4.2.1.100-RXN;R265-RXN;R282-RXN;RXN-15008;PWY-5535	EC-2.3.1.16;EC-2.3.1.9;EC-1.1.1.35;EC-4.2.1.150;EC-3.1.2;EC-2.3.1;EC-1.1.1.259;EC-1.1.1.368;EC-4.2.1.100;EC-1.3.8.10;EC-1.3.8.11;EC-2.8.3	PWY-7401	crotonate fermentation (to acetate and cyclohexane carboxylate) // crotonic acid fermentation (to acetic acid and cyclohexane carboxylate) // crotoate fermentation	CPLX-8777 // CPLX-8778 // CPLX-8779 // CPLX-8780	RXN-15013 // RXN-15012 // ACETYL-COA-ACETYLTRANSFER-RXN // RXN-11662 // RXN-11667 // GLUTACONYL-COA-DECARBOXYLASE-RXN // GLUTARYL-COA-DEHYDROG-RXN // RXN-15010 // RXN-8032 // 1.1.1.259-RXN // HADTHAUERA-RXN // 4.2.1.100-RXN // R265-RXN // R282-RXN // RXN-15008 // ACETATE--COA-LIGASE-ADP-FORMING-RXN	CARBOXYLATES-DEG // Super-Pathways // Energy-Metabolism	
501	PWY-7700	"Pseudomonas mendocina (pWWO) or (pTOL),Pseudomonas putida"	Pseudomonadota	Bacteria	PWY-7700	AROMATIC-COMPOUNDS-DEGRADATION		HYDROXYBENZALDEHYDE-OXIDATION-NADP-RXN;RXN-16205;RXN-16204;4-HYDROXYBENZOATE-3-MONOOXYGENASE-RXN	EC-1.2.1.96;EC-1.14.13.2	PWY-7700	4-methylphenol degradation to protocatechuate // <i>p</I>-cresol degradation to protocatechuate	MONOMER-11506 // MONOMER-19473 // CPLX-2182 // CPLX-9012 // MONOMER-2425 // MONOMER-19470	HYDROXYBENZALDEHYDE-OXIDATION-NADP-RXN // RXN-16205 // RXN-16204 // 4-HYDROXYBENZOATE-3-MONOOXYGENASE-RXN	AROMATIC-COMPOUNDS-DEGRADATION	
502	PWY-6724	"Chlamydomonas reinhardtii,Solanum tuberosum,Arabidopsis thaliana"	Viridiplantae	Non-Bacteria	PWY-6724	Polymer-Degradation;Carbohydrates-Degradation;Glycan-Pathways		RXN-12391;RXN-12384;RXN-12280;RXN-12279;RXN-12278;RXN-12277;RXN-12276;RXN-12204;RXN-12203	EC-2.4.1.25;EC-3.2.1.2;EC-3.2.1.68;EC-3.1.3;EC-2.7.9.5;EC-2.7.9.4	PWY-6724	starch degradation II // starch mobilization in chloroplast stroma // transitory starch degradation in chloroplast stroma // starch degradation in chloroplast stroma	AT1G10760-MONOMER // AT5G26570-MONOMER // AT3G52180-MONOMER // AT4G09020-MONOMER // AT3G23920-MONOMER // AT4G17090-MONOMER // AT5G64860-MONOMER // CPLX-1973	RXN-12391 // RXN-12384 // RXN-12280 // RXN-12279 // RXN-12278 // RXN-12277 // RXN-12276 // RXN-12204 // RXN-12203	Polymer-Degradation // Carbohydrates-Degradation // Glycan-Pathways	
503	PWY-7644	"Pedobacter heparinus,Streptococcus agalactiae"	Bacteria <bacteria>	Bacteria	PWY-7644	Polymer-Degradation;Carbohydrates-Degradation		4.2.2.7-RXN;RXN-16483;RXN-16484;DISULFOGLUCOSAMINE-6-SULFATASE-RXN;N-SULFOGLUCOSAMINE-SULFOHYDROLASE-RXN	EC-4.2.2.7;EC-3.1.6.13;EC-3.2.1.56;EC-3.1.6.11;EC-3.10.1.1	PWY-7644	heparin degradation	MONOMER-19225 // MONOMER-19224 // MONOMER-19229 // MONOMER-19223 // MONOMER-19211 // MONOMER-19213	4.2.2.7-RXN // RXN-16483 // RXN-16484 // DISULFOGLUCOSAMINE-6-SULFATASE-RXN // N-SULFOGLUCOSAMINE-SULFOHYDROLASE-RXN	Polymer-Degradation // Carbohydrates-Degradation	
504	PWY-6409	Pseudomonas aeruginosa	Pseudomonas	Bacteria	PWY-6409	SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-20774;RXN-20773;RXN-20772;TRANS-RXN-389;RXN-16727;RXN-20771;RXN-11129;RXN-11128;RXN-11127;R101-RXN;RXN-11126	EC-2.6.1;EC-7.4.2;EC-3.5.1;EC-1.14.18;EC-1.14.13.195;EC-2.6.1.76;EC-6.3.2	PWY-6409	pyoverdine I biosynthesis	CPLX-7977 // CPLX-7978 // MONOMER-15308 // MONOMER-15307 // CPLX-9425 // MONOMER-20876 // CPLX-7763 // MONOMER-20875 // CPLX-9427 // CPLX-9426	RXN-20774 // RXN-20773 // RXN-20772 // TRANS-RXN-389 // RXN-16727 // RXN-20771 // RXN-11129 // RXN-11128 // RXN-11127 // R101-RXN // RXN-11126	SECONDARY-METABOLITE-BIOSYNTHESIS	
505	6-HYDROXYCINEOLE-DEGRADATION-PWY	Rhodococcus sp. C1	Bacteria <bacteria>	Bacteria	6-HYDROXYCINEOLE-DEGRADATION-PWY	SECONDARY-METABOLITE-DEGRADATION		RXN-4342;C04718-C060066-AUTOTRANSFORMATION-RXN;6-ENDO-HYDROXYCINEOLE-DEHYDROGENASE-RXN;6-OXOCINEOLE-DEHYDROGENASE-RXN	EC-1.14.14.56;EC-1.1.1.241;EC-1.14.13.51	6-HYDROXYCINEOLE-DEGRADATION-PWY	"1,8-cineole degradation // 6-hydroxycineole degradation"	MONOMER-5722 // MONOMER-5721	RXN-4342 // C04718-C060066-AUTOTRANSFORMATION-RXN // 6-ENDO-HYDROXYCINEOLE-DEHYDROGENASE-RXN // 6-OXOCINEOLE-DEHYDROGENASE-RXN	SECONDARY-METABOLITE-DEGRADATION	
506	CYCLOHEXANOL-OXIDATION-PWY	"Nocardia globerula,Xanthobacter,Thauera butanivorans,Pseudomonas aeruginosa,Pseudomonas,Neisseriaceae,Brevibacterium epidermidis,Brachymonas petroleovorans,Acinetobacter sp. SE19,Acinetobacter johnsonii,Microbacterium oxydans"	"Pseudomonadota,Actinomycetota"	Bacteria	CYCLOHEXANOL-OXIDATION-PWY	Alcohol-Degradation	CYCLOHEXANOL-DEHYDROGENASE-RXN	6-HEXANOLIDE-HYDROLYSIS-RXN;6-HYDROXYHEXANOATE-OXIDATION-RXN;6-OXOHEXANOATE-OXIDATION-RXN;CYCLOHEXANONE-MONOOXYGENASE-RXN;CYCLOHEXANOL-DEHYDROGENASE-RXN	EC-3.1.1;EC-1.1.1.258;EC-1.2.1.63;EC-1.14.13.22;EC-1.1.1.245	CYCLOHEXANOL-OXIDATION-PWY	cyclohexanol degradation	MONOMER-3121 // MONOMER-3122 // MONOMER-3125 // MONOMER-3124 // MONOMER-3123	6-HEXANOLIDE-HYDROLYSIS-RXN // 6-HYDROXYHEXANOATE-OXIDATION-RXN // 6-OXOHEXANOATE-OXIDATION-RXN // CYCLOHEXANONE-MONOOXYGENASE-RXN // CYCLOHEXANOL-DEHYDROGENASE-RXN	Alcohol-Degradation	
507	PWY-5272	"Vigna angularis,Arabidopsis thaliana"	Embryophyta	Non-Bacteria	PWY-5272	SECONDARY-METABOLITE-DEGRADATION;HORMONE-DEG;Interconversion		RXN-11469;RXN-8155	EC-3.2.1.175;EC-2.4.1.263	PWY-5272	abscisic acid degradation by glucosylation // abscisic acid inactivation // abscisic acid degradation II // ABA conjugation pathway // abscisic acid conjugation pathway	MONOMER-12304 // AT3G21780-MONOMER // AT2G23260-MONOMER // AT2G23250-MONOMER // AT4G34138-MONOMER // AT1G05560-MONOMER // AT1G05530-MONOMER // AT1G52400-MONOMER // MONOMER-19205	RXN-11469 // RXN-8155	SECONDARY-METABOLITE-DEGRADATION // HORMONE-DEG // Interconversion	
508	PWY-6961	"Escherichia coli,Klebsiella pneumoniae"	Bacteria <bacteria>	Bacteria	PWY-6961	CARBOXYLATES-DEG		RXN-21400;RIBULPEPIM-RXN;LXULRU5P-RXN;RXN0-705;RXN0-703;RXN0-704;RXN-12440	EC-5.1.3.4;EC-5.1.3.22;EC-4.1.1.85;EC-1.1.1.130;EC-1.11.1.11	PWY-6961	"L-ascorbate degradation II (bacterial, aerobic)"	LYXK-CPLX // CPLX0-2061 // EG12285-MONOMER // EG12287-MONOMER	RXN-21400 // RIBULPEPIM-RXN // LXULRU5P-RXN // RXN0-705 // RXN0-703 // RXN0-704 // RXN-12440	CARBOXYLATES-DEG	
509	PWY-8092	"Cupriavidus necator,Xanthobacter autotrophicus"	Bacteria <bacteria>	Bacteria	PWY-8092	CARBOXYLATES-DEG		RXN-20936;RXN-20934;RXN-20933	EC-3.7.1.28;EC-2.7.1.231;EC-1.1.1.421	PWY-8092	D-apionate degradation III (RLP transcarboxylase/hydrolase)	MONOMER-20970 // MONOMER-20971 // MONOMER-20969	RXN-20936 // RXN-20934 // RXN-20933	CARBOXYLATES-DEG	
510	PWY-6257	"Curcuma longa,Solanum habrochaites,Pogostemon cablin,Zingiber officinale"	Viridiplantae	Non-Bacteria	PWY-6257	SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-10599;RXN-10598;RXN-10597	EC-4.2.3.94;EC-4.2.3	PWY-6257	curcumene biosynthesis	MONOMER-14858	RXN-10599 // RXN-10598 // RXN-10597	SECONDARY-METABOLITE-BIOSYNTHESIS	
511	PWY-7175	"Brevundimonas sp. NBRC 101024,Brevundimonas vesicularis,Erythrobacter longus,Erythrobacter tepidarius,Sandarakinorhabdus limnophila,Sphingomonas elodea,Thermosynechococcus vestitus"	Bacteria <bacteria>	Bacteria	PWY-7175	SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-14017;RXN-14016	EC-1.14.13	PWY-7175	nostoxanthin biosynthesis	MONOMER-17879 // MONOMER-19189 // MONOMER-19198	RXN-14017 // RXN-14016	SECONDARY-METABOLITE-BIOSYNTHESIS	
512	PWY-5917	"Trichormus variabilis,Gloeobacter violaceus,Nostoc punctiforme,Nostoc sp. PCC 7120 = FACHB-418,Prochlorococcus marinus,Synechococcus elongatus,Picosynechococcus sp. PCC 7002,Synechocystis sp. PCC 6803"	Cyanobacteriota	Bacteria	PWY-5917	Tetrapyrrole-Biosynthesis	1.3.7.5-RXN	RXN-17523;RXN-15986;1.3.7.5-RXN	EC-1.14.15.20;EC-5.2.1;EC-1.3.7.5	PWY-5917	phycocyanobilin biosynthesis	MONOMER-13954 // MONOMER-18997 // MONOMER-18996 // SGL_RS03350-MONOMER // MONOMER-18992	RXN-17523 // RXN-15986 // 1.3.7.5-RXN	Tetrapyrrole-Biosynthesis	
513	PWY-8008	"Cupriavidus metallidurans,Methylobacterium nodulans,Ralstonia solanacearum,Shewanella denitrificans,Staphylococcus aureus,Staphylococcus pseudintermedius"	Bacteria <bacteria>	Bacteria	PWY-8008	SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-19823;RXN-19822;RXN-19821;RXN-19819;RXN-18395;RXN-18393;RXN-19820	EC-6.3.2.56;EC-6.3.2.55;EC-4.1.1.117;EC-2.7.1.225;EC-2.5.1.140;EC-1.5.1.51;EC-6.3.2.54	PWY-8008	staphyloferrin B biosynthesis	G1I0R-73-MONOMER // CPLX-9313 // G1I0R-69-MONOMER // CPLX-9312 // G1I0R-76-MONOMER // G1I0R-74-MONOMER // G1I0R-71-MONOMER	RXN-19823 // RXN-19822 // RXN-19821 // RXN-19819 // RXN-18395 // RXN-18393 // RXN-19820	SECONDARY-METABOLITE-BIOSYNTHESIS	
514	PWY-6982	Ruta graveolens	Viridiplantae	Non-Bacteria	PWY-6982	AROMATIC-COMPOUNDS-BIOSYN		4-COUMARATE--COA-LIGASE-RXN;RXN-12965;RXN-12963	EC-6.2.1.12;EC-1.14.11.62	PWY-6982	umbelliferone biosynthesis	MONOMER-17096	4-COUMARATE--COA-LIGASE-RXN // RXN-12965 // RXN-12963	AROMATIC-COMPOUNDS-BIOSYN	
515	PWY-5773	"Gossypium arboreum,Gossypium barbadense,Gossypium hirsutum"	Gossypium	Non-Bacteria	PWY-5773	SECONDARY-METABOLITE-BIOSYNTHESIS		4.6.1.11-RXN;RXN-9049;RXN-9050;RXN-9051;RXN-9048;RXN-9047;RXN-9046;RXN-9045	EC-4.2.3.13;EC-2.1.1;EC-1.10.3.2;EC-1.14.14	PWY-5773	gossypol biosynthesis	MONOMER-13698 // CPLX-7570 // MONOMER-13696 // MONOMER-13697	4.6.1.11-RXN // RXN-9049 // RXN-9050 // RXN-9051 // RXN-9048 // RXN-9047 // RXN-9046 // RXN-9045	SECONDARY-METABOLITE-BIOSYNTHESIS	
516	PWY-6953	"Shewanella denitrificans,Aneurinibacillus thermoaerophilus"	Bacteria <bacteria>	Bacteria	PWY-6953	Carbohydrates-Biosynthesis	RXN-12806	DTDPGLUCDEHYDRAT-RXN;DTDPGLUCOSEPP-RXN;RXN-12839;RXN-12811;RXN-12806	EC-4.2.1.46;EC-2.7.7.24;EC-5.3.2.3;EC-2.6.1.90;EC-2.3.1.197	PWY-6953	"dTDP-3-acetamido-&alpha;-D-fucose biosynthesis // dTDP-3-acetamido-3,6-dideoxy-&alpha;-D-galactose biosynthesis"	MONOMER-17006 // MONOMER-17005 // MONOMER-17003 // CPLX-8948 // MONOMER-17004 // MONOMER-17002	DTDPGLUCDEHYDRAT-RXN // DTDPGLUCOSEPP-RXN // RXN-12839 // RXN-12811 // RXN-12806	Carbohydrates-Biosynthesis	
517	PWY18C3-21	Solanum lycopersicum	"Solanaceae,Magnoliopsida"	Non-Bacteria	PWY18C3-21	Metabolic-Clusters;AROMATIC-COMPOUNDS-BIOSYN		RXN-20313;RXN-20311;RXN-20310;RXN18C3-59;RXN18C3-57;RXN18C3-58;RXN18C3-56;RXN18C3-55;RXN18C3-54	EC-2.4.1	PWY18C3-21	phenylpropanoid volatiles glycoconjugation (tomato)	MONOMER18C3-51	RXN-20313 // RXN-20311 // RXN-20310 // RXN18C3-59 // RXN18C3-57 // RXN18C3-58 // RXN18C3-56 // RXN18C3-55 // RXN18C3-54	Metabolic-Clusters // AROMATIC-COMPOUNDS-BIOSYN	
518	PWY66-426	Homo sapiens	Mammalia	Non-Bacteria	PWY66-426	Noncarbon-Nutrients;Metabolic-Clusters		HOMOCYSTEINE-DESULFHYDRASE-RXN;LCYSDESULF-RXN;RXN-19038;RXN-14632;RXN66-534;RXN66-562	EC-4.4.1.2;EC-4.4.1.1;EC-4.4.1.28;EC-4.2.1.22	PWY66-426	hydrogen sulfide biosynthesis II (mammalian)	CPLX66-335 // CPLX66-336	HOMOCYSTEINE-DESULFHYDRASE-RXN // LCYSDESULF-RXN // RXN-19038 // RXN-14632 // RXN66-534 // RXN66-562	Noncarbon-Nutrients // Metabolic-Clusters	
519	PWY-722	"Bordetella bronchiseptica,Pseudomonas fluorescens,Pseudomonas putida"	Pseudomonadota	Bacteria	PWY-722	AROMATIC-COMPOUNDS-DEGRADATION		RXN-11318;NICOTINATE-DEHYDROGENASE-RXN;RXN-7573;MALEATE-ISOMERASE-RXN;RXN-646;1.13.11.9-RXN	EC-3.5.1.106;EC-1.17.2.1;EC-1.14.13.114;EC-5.2.1.1;EC-3.5.1.107;EC-1.13.11.9	PWY-722	nicotinate degradation I // maleamate pathway // nicotinate degradation	CPLX-6928 // G1G01-4210-MONOMER // G1G01-4206-MONOMER // MONOMER-11621 // G1G01-4207-MONOMER // MONOMER-11619 // G1G01-4209-MONOMER // MONOMER-11618 // CPLX1G01-131 // G1G01-4208-MONOMER	RXN-11318 // NICOTINATE-DEHYDROGENASE-RXN // RXN-7573 // MALEATE-ISOMERASE-RXN // RXN-646 // 1.13.11.9-RXN	AROMATIC-COMPOUNDS-DEGRADATION	
520	PWY-7150	Chrysosplenium americanum	Gunneridae	Non-Bacteria	PWY-7150	AROMATIC-COMPOUNDS-BIOSYN		RXN-13876;RXN-13846;RXN-13845;RXN-13841;RXN-13840;RXN-13838;RXN-13844;2.1.1.83-RXN;2.1.1.82-RXN	EC-2.4.1;EC-2.1.1;EC-1.14.13;EC-1.14.11;EC-2.1.1.83;EC-2.1.1.82	PWY-7150	polymethylated quercetin glucoside biosynthesis I - quercetin series (Chrysosplenium)	MONOMER-14287 // MONOMER-14288 // MONOMER-17802 // MONOMER-17795 // MONOMER-17796 // MONOMER-17806	RXN-13876 // RXN-13846 // RXN-13845 // RXN-13841 // RXN-13840 // RXN-13838 // RXN-13844 // 2.1.1.83-RXN // 2.1.1.82-RXN	AROMATIC-COMPOUNDS-BIOSYN	
521	PWY-7993	"Corynebacterium diphtheriae,Mycolicibacterium phlei,Mycolicibacterium smegmatis,Mycobacterium tuberculosis"	Bacteria <bacteria>	Bacteria	PWY-7993	Cofactor-Biosynthesis		RXN-11158;RXN-16868	EC-1.3.99.38	PWY-7993	&beta;-dihydromenaquinone-9 biosynthesis // S881 biosynthesis	G185E-4694-MONOMER	RXN-11158 // RXN-16868	Cofactor-Biosynthesis	
522	PWY-6628	Escherichia coli	Bacteria <bacteria>	Bacteria	PWY-6628	Super-Pathways;Amino-Acid-Biosynthesis		PHESYN;ARO-PWY		PWY-6628	superpathway of L-phenylalanine biosynthesis	AROB-MONOMER // AROF-CPLX // AROH-CPLX // AROG-CPLX // AROC-CPLX // AROA-MONOMER // AROK-MONOMER // AROL-MONOMER // AROE-MONOMER // AROD-CPLX // CHORISMUTPREPHENDEHYDROG-CPLX // CHORISMUTPREPHENDEHYDRAT-CPLX // TYRB-DIMER // ASPAMINOTRANS-DIMER // BRANCHED-CHAINAMINOTRANSFER-CPLX	RXN-10814 // CHORISMATEMUT-RXN // PREPHENATEDEHYDRAT-RXN // 3-DEHYDROQUINATE-DEHYDRATASE-RXN // SHIKIMATE-5-DEHYDROGENASE-RXN // SHIKIMATE-KINASE-RXN // 2.5.1.19-RXN // CHORISMATE-SYNTHASE-RXN // DAHPSYN-RXN // 3-DEHYDROQUINATE-SYNTHASE-RXN	Super-Pathways // Amino-Acid-Biosynthesis	
523	PWY-5108	"Bacteroides fragilis,Clostridium sporogenes,Methanobacterium bryantii,Methanobrevibacter ruminantium,Methanobrevibacter smithii,Methanospirillum hungatei,Xylanibacter ruminicola"	"Methanomicrobia,Bacteria <bacteria>,Methanobacteria"	Bacteria	PWY-5108	Amino-Acid-Biosynthesis	RXN-19503	RXN-18448;RXN-19503;BRANCHED-CHAINAMINOTRANSFERILEU-RXN	EC-6.2.1.1;EC-1.2.7.7;EC-2.6.1.42	PWY-5108	L-isoleucine biosynthesis V		RXN-18448 // RXN-19503 // BRANCHED-CHAINAMINOTRANSFERILEU-RXN	Amino-Acid-Biosynthesis	
524	PWY-8367	Streptomyces hygroscopicus	Bacteria <bacteria>	Bacteria	PWY-8367	SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-23154;RXN-23153;RXN-23152;RXN-23151;RXN-23150;RXN-23149;RXN-13119;RXN-13118;RXN-13117;RXN-13116;RXN-23148;RXN-23147;RXN-23144;RXN-23143;RXN-23139;RXN-23140;RXN-23141	EC-5.3.1;EC-2.7.1;EC-3.1.3;EC-1.1.1;EC-2.6.1;EC-2.6.1.101;EC-1.1.1.329;EC-2.6.1.100;EC-4.2.3.124;EC-2.1.1;EC-2.4.1;EC-1.14.20	PWY-8367	hygromycin B biosynthesis	MONOMER-22068 // MONOMER-22069 // CPLX-9749 // MONOMER-22071 // MONOMER-22072 // MONOMER-22079 // MONOMER-22080 // MONOMER-22082 // MONOMER-22073 // MONOMER-22074 // MONOMER-22078 // MONOMER-22077 // MONOMER-22076 // MONOMER-22075	RXN-23154 // RXN-23153 // RXN-23152 // RXN-23151 // RXN-23150 // RXN-23149 // RXN-13119 // RXN-13118 // RXN-13117 // RXN-13116 // RXN-23148 // RXN-23147 // RXN-23144 // RXN-23143 // RXN-23139 // RXN-23140 // RXN-23141	SECONDARY-METABOLITE-BIOSYNTHESIS	
525	NADPHOS-DEPHOS-PWY	"Methanocaldococcus jannaschii,Escherichia coli,Homo sapiens"	"Archaea,Metazoa,Bacteria <bacteria>"	Bacteria	NADPHOS-DEPHOS-PWY	Cofactor-Biosynthesis	RXN-5822	RXN-5822;TRANS-RXN0-277;NAD-KIN-RXN	EC-3.1.3.1;EC-3.1.3.108;EC-7.1.1.1;EC-2.7.1.M29;EC-2.7.1.23	NADPHOS-DEPHOS-PWY	NAD phosphorylation and dephosphorylation	CPLX66-456 // CPLX0-682 // CPLX66-457 // PYRNUTRANSHYDROGEN-CPLX // ENSG00000151014-MONOMER // CPLX-9720	RXN-5822 // TRANS-RXN0-277 // NAD-KIN-RXN	Cofactor-Biosynthesis	
526	PWY-6973	Streptomyces argillaceus	Bacteria <bacteria>	Bacteria	PWY-6973	Carbohydrates-Biosynthesis	RXN-12930 // RXN-12932 // RXN-12921	RXN-16262;RXN-12943;RXN-12404;DTDPGLUCDEHYDRAT-RXN;DTDPGLUCOSEPP-RXN;RXN-12932;RXN-12931;RXN-12930;RXN-12921	EC-1.1.1.384;EC-4.2.1.46;EC-2.7.7.24;EC-1.1.1;EC-2.1.1	PWY-6973	"dTDP-&alpha;-D-olivose, dTDP-&alpha;-D-oliose and dTDP-&alpha;-D-mycarose biosynthesis"	MONOMER-17074 // MONOMER-17073 // MONOMER-17075 // MONOMER-17070 // MONOMER-17071 // MONOMER-17072	RXN-16262 // RXN-12943 // RXN-12404 // DTDPGLUCDEHYDRAT-RXN // DTDPGLUCOSEPP-RXN // RXN-12932 // RXN-12931 // RXN-12930 // RXN-12921	Carbohydrates-Biosynthesis	
527	PWY-7713	Fusarium graminearum	Fungi	Non-Bacteria	PWY-7713	SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-17055;RXN-17054;RXN-17053;RXN-17052;RXN-17051;RXN-17050;RXN-17049	EC-3.1.1;EC-2.3.1;EC-1.14.14	PWY-7713	nivalenol biosynthesis // NIV biosynthesis	MONOMER-19555 // MONOMER-19565 // MONOMER-19564 // MONOMER-19561	RXN-17055 // RXN-17054 // RXN-17053 // RXN-17052 // RXN-17051 // RXN-17050 // RXN-17049	SECONDARY-METABOLITE-BIOSYNTHESIS	
528	PWY-7384	"Arenicola marina,Ascaris lumbricoides,Ascaris suum,Fasciola hepatica,Magallana gigas,Mytilus edulis,Sipunculus nudus"	"Sipuncula,Nematoda,Platyhelminthes,Annelida,Mollusca"	Non-Bacteria	PWY-7384	Super-Pathways;Energy-Metabolism	RXN-8807 // RXN-14963	PWY-5537;SUCCCOASYN-RXN;RXN-8807;PYRUVDEH-RXN;1.1.1.39-RXN;PROPIONYL-COA-CARBOXY-RXN;METHYLMALONYL-COA-EPIM-RXN;METHYLMALONYL-COA-MUT-RXN;RXN0-268;RXN-14963;FUMHYDR-RXN	EC-6.2.1.5;EC-2.8.3.18;EC-1.2.1.104;EC-1.1.1.38;EC-6.4.1.3;EC-5.1.99.1;EC-5.4.99.2;EC-2.8.3.27;EC-1.3.5.1;EC-4.2.1.2	PWY-7384	"anaerobic energy metabolism (invertebrates, mitochondrial)"	CPLX-8760 // CPLX-8764 // MONOMER-18292 // CPLX-8766 // MONOMER-18294 // MONOMER-18296 // CPLX-8768 // MONOMER-18306 // MONOMER-18307 // CPLX-8771	SUCCCOASYN-RXN // RXN-8807 // PYRUVDEH-RXN // 1.1.1.39-RXN // PROPIONYL-COA-CARBOXY-RXN // METHYLMALONYL-COA-EPIM-RXN // METHYLMALONYL-COA-MUT-RXN // RXN0-268 // RXN-14963 // FUMHYDR-RXN	Super-Pathways // Energy-Metabolism	
529	PWY0-1507	"Escherichia coli,Candidatus Nitrososphaera gargensis Ga9.2,Corynebacterium glutamicum,Mesorhizobium loti,Mycobacterium tuberculosis,Sinorhizobium meliloti Rm2011"	"Methanococcales,Nitrososphaerota,Fungi,Bacteria <bacteria>"	Bacteria	PWY0-1507	Cofactor-Biosynthesis	DAPASYN-RXN // RXN-17472	RXN-25310;RXN-17473;DAPASYN-RXN;DETHIOBIOTIN-SYN-RXN	EC-2.6.1.62;EC-6.3.3.3	PWY0-1507	biotin biosynthesis from 8-amino-7-oxononanoate I // biotin biosynthesis from 7-keto-8-aminopelargonate	G185E-5758-MONOMER // DETHIOBIOTIN-SYN-CPLX // CPLX0-8613 // G185E-5756-MONOMER // DAPASYN-CPLX // CPLX-85544 // BIOTIN-SYN-CPLX	RXN-25310 // RXN-17473 // DAPASYN-RXN // DETHIOBIOTIN-SYN-RXN	Cofactor-Biosynthesis	
530	PWY-8001	"Felis catus,Passiflora edulis"	Eukaryota	Non-Bacteria	PWY-8001	SECONDARY-METABOLITE-BIOSYNTHESIS	RXN-19731	RXN-19732;RXN-19731;RXN-15127;RXN-15124;RXN-19546	EC-3.4.19.13;EC-3.4.13.23;EC-3.5.99.10	PWY-8001	felinine and 3-methyl-3-sulfanylbutan-1-ol biosynthesis	MONOMER-20541	RXN-19732 // RXN-19731 // RXN-15127 // RXN-15124 // RXN-19546	SECONDARY-METABOLITE-BIOSYNTHESIS	
531	PWY-6907	"Anaerotruncus colihominis,Dorea longicatena,Syntrophomonas wolfei,Staphylococcus aureus"	Bacteria <bacteria>	Bacteria	PWY-6907	Cofactor-Biosynthesis		THIAMIN-PYROPHOSPHOKINASE-RXN;RXNQT-4191;RXN-12610	EC-2.7.6.2;EC-3.1.3.100;EC-2.5.1.3	PWY-6907	thiamine diphosphate biosynthesis III (Staphylococcus) // vitamin B<sub>1</sub> biosynthesis III // thiamin diphosphate biosynthesis III (Staphylococcus)	MONOMER-16816 // MONOMER-16818 // MONOMER-16817	THIAMIN-PYROPHOSPHOKINASE-RXN // RXNQT-4191 // RXN-12610	Cofactor-Biosynthesis	
532	PWY-8364	"Adlercreutzia caecimuris,Adlercreutzia equolifaciens,Eggerthella lenta,Eggerthella sinensis,Gordonibacter pamelaeae,Gordonibacter urolithinfaciens,Paraeggerthella hongkongensis,Parvibacter caecicola"	Coriobacteriia	Bacteria	PWY-8364	Cofactor-Biosynthesis		RXN-23118;RXN-23117;RXN-23116;RXN-23115;RXN-18515	EC-2.1.1.350;EC-2.1.1.M96	PWY-8364	"7,8-dimethylmenaquinone biosynthesis // DMMK biosynthesis"	MONOMER-22054 // MONOMER-22053	RXN-23118 // RXN-23117 // RXN-23116 // RXN-23115 // RXN-18515	Cofactor-Biosynthesis	
533	PCPDEG-PWY	Sphingobium chlorophenolicum	Bacteria <bacteria>	Bacteria	PCPDEG-PWY	CHLORINATED-COMPOUNDS-DEG	PCP4MONO-RXN	RXN-18362;RXN-18405;RXN-18404;RXN-18403;MALEYLACETATE-REDUCTASE-RXN;CHLOROMALERED-RXN;26DICHDIOX-RXN;RXN-18407;RXN-18406;PCP4MONO-RXN	EC-2.5.1.18;EC-1.1.1.404;EC-1.8.5.7;EC-1.3.1.32;EC-1.14.13.50	PCPDEG-PWY	pentachlorophenol degradation	CPLX-9185 // 26DICHDIOXFLAVO-MONOMER // MONOMER-14670 // CPLX-9187 // CPLX-9184 // CPLX-1581	RXN-18362 // RXN-18405 // RXN-18404 // RXN-18403 // MALEYLACETATE-REDUCTASE-RXN // CHLOROMALERED-RXN // 26DICHDIOX-RXN // RXN-18407 // RXN-18406 // PCP4MONO-RXN	CHLORINATED-COMPOUNDS-DEG	
