Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
2808_NS1_R_Female_week5_S39_L001_R2_001	(11.0, 1.0)	(12.0, 10.0)	(13.0, 41.0)	(14.0, 119.0)	(15.0, 225.0)	(16.0, 264.0)	(17.0, 346.0)	(18.0, 444.0)	(19.0, 533.0)	(20.0, 624.0)	(21.0, 714.0)	(22.0, 904.0)	(23.0, 1055.0)	(24.0, 1280.0)	(25.0, 1588.0)	(26.0, 2104.0)	(27.0, 2812.0)	(28.0, 3996.0)	(29.0, 5702.0)	(30.0, 8156.0)	(31.0, 11409.0)	(32.0, 15766.0)	(33.0, 20916.0)	(34.0, 26980.0)	(35.0, 29943.0)	(36.0, 20571.0)	(37.0, 1449.0)	
2808_NS1_R_Female_week9_S51_L001_R1_001	(16.0, 1.0)	(17.0, 6.0)	(18.0, 18.0)	(19.0, 53.0)	(20.0, 147.0)	(21.0, 386.0)	(22.0, 654.0)	(23.0, 905.0)	(24.0, 1067.0)	(25.0, 1301.0)	(26.0, 1555.0)	(27.0, 1779.0)	(28.0, 2064.0)	(29.0, 2272.0)	(30.0, 2714.0)	(31.0, 3187.0)	(32.0, 3854.0)	(33.0, 4994.0)	(34.0, 6939.0)	(35.0, 10485.0)	(36.0, 20667.0)	(37.0, 57006.0)						
2808_NS1_R_Female_week9_S51_L001_R2_001	(11.0, 3.0)	(12.0, 19.0)	(13.0, 68.0)	(14.0, 176.0)	(15.0, 263.0)	(16.0, 343.0)	(17.0, 364.0)	(18.0, 362.0)	(19.0, 460.0)	(20.0, 519.0)	(21.0, 673.0)	(22.0, 774.0)	(23.0, 915.0)	(24.0, 1090.0)	(25.0, 1319.0)	(26.0, 1653.0)	(27.0, 2278.0)	(28.0, 3335.0)	(29.0, 4800.0)	(30.0, 6805.0)	(31.0, 9570.0)	(32.0, 13033.0)	(33.0, 17237.0)	(34.0, 21160.0)	(35.0, 21559.0)	(36.0, 12636.0)	(37.0, 640.0)	
2824_NS1_0_Male_week5_S43_L001_R1_001	(17.0, 4.0)	(18.0, 10.0)	(19.0, 35.0)	(20.0, 73.0)	(21.0, 240.0)	(22.0, 416.0)	(23.0, 549.0)	(24.0, 737.0)	(25.0, 1003.0)	(26.0, 1212.0)	(27.0, 1275.0)	(28.0, 1605.0)	(29.0, 1902.0)	(30.0, 2130.0)	(31.0, 2560.0)	(32.0, 3076.0)	(33.0, 4089.0)	(34.0, 5380.0)	(35.0, 8064.0)	(36.0, 15741.0)	(37.0, 58082.0)							
2824_NS1_0_Male_week5_S43_L001_R2_001	(11.0, 5.0)	(12.0, 15.0)	(13.0, 33.0)	(14.0, 102.0)	(15.0, 180.0)	(16.0, 267.0)	(17.0, 345.0)	(18.0, 373.0)	(19.0, 422.0)	(20.0, 478.0)	(21.0, 552.0)	(22.0, 660.0)	(23.0, 782.0)	(24.0, 929.0)	(25.0, 1082.0)	(26.0, 1407.0)	(27.0, 1750.0)	(28.0, 2642.0)	(29.0, 3523.0)	(30.0, 4961.0)	(31.0, 6949.0)	(32.0, 9728.0)	(33.0, 13551.0)	(34.0, 18711.0)	(35.0, 22065.0)	(36.0, 15547.0)	(37.0, 1124.0)	
2824_NS1_0_Male_week9_S55_L001_R1_001	(16.0, 3.0)	(17.0, 8.0)	(18.0, 25.0)	(19.0, 63.0)	(20.0, 204.0)	(21.0, 606.0)	(22.0, 987.0)	(23.0, 1276.0)	(24.0, 1539.0)	(25.0, 1919.0)	(26.0, 2260.0)	(27.0, 2563.0)	(28.0, 2926.0)	(29.0, 3343.0)	(30.0, 3912.0)	(31.0, 4812.0)	(32.0, 5949.0)	(33.0, 7656.0)	(34.0, 10868.0)	(35.0, 17162.0)	(36.0, 33757.0)	(37.0, 78928.0)						
2824_NS1_0_Male_week9_S55_L001_R2_001	(11.0, 5.0)	(12.0, 21.0)	(13.0, 77.0)	(14.0, 202.0)	(15.0, 260.0)	(16.0, 309.0)	(17.0, 314.0)	(18.0, 400.0)	(19.0, 506.0)	(20.0, 575.0)	(21.0, 659.0)	(22.0, 820.0)	(23.0, 1000.0)	(24.0, 1186.0)	(25.0, 1498.0)	(26.0, 2002.0)	(27.0, 2730.0)	(28.0, 3712.0)	(29.0, 5256.0)	(30.0, 7801.0)	(31.0, 11416.0)	(32.0, 16824.0)	(33.0, 23913.0)	(34.0, 32850.0)	(35.0, 38740.0)	(36.0, 26268.0)	(37.0, 1422.0)	
2824_NS1_L_Male_week5_S44_L001_R1_001	(17.0, 5.0)	(18.0, 15.0)	(19.0, 34.0)	(20.0, 118.0)	(21.0, 327.0)	(22.0, 502.0)	(23.0, 821.0)	(24.0, 1047.0)	(25.0, 1320.0)	(26.0, 1604.0)	(27.0, 1987.0)	(28.0, 2277.0)	(29.0, 2618.0)	(30.0, 3128.0)	(31.0, 3722.0)	(32.0, 4782.0)	(33.0, 5922.0)	(34.0, 7743.0)	(35.0, 11856.0)	(36.0, 22409.0)	(37.0, 79369.0)							
2824_NS1_L_Male_week5_S44_L001_R2_001	(11.0, 4.0)	(12.0, 15.0)	(13.0, 58.0)	(14.0, 143.0)	(15.0, 206.0)	(16.0, 240.0)	(17.0, 347.0)	(18.0, 423.0)	(19.0, 522.0)	(20.0, 648.0)	(21.0, 787.0)	(22.0, 865.0)	(23.0, 1017.0)	(24.0, 1319.0)	(25.0, 1542.0)	(26.0, 1978.0)	(27.0, 2610.0)	(28.0, 3784.0)	(29.0, 5176.0)	(30.0, 7555.0)	(31.0, 10232.0)	(32.0, 14126.0)	(33.0, 19503.0)	(34.0, 26025.0)	(35.0, 29626.0)	(36.0, 21219.0)	(37.0, 1636.0)	
2824_NS1_L_Male_week9_S56_L001_R1_001	(17.0, 1.0)	(18.0, 20.0)	(19.0, 54.0)	(20.0, 198.0)	(21.0, 496.0)	(22.0, 766.0)	(23.0, 1039.0)	(24.0, 1193.0)	(25.0, 1361.0)	(26.0, 1621.0)	(27.0, 1833.0)	(28.0, 2167.0)	(29.0, 2543.0)	(30.0, 2972.0)	(31.0, 3645.0)	(32.0, 4878.0)	(33.0, 6559.0)	(34.0, 9403.0)	(35.0, 15580.0)	(36.0, 31209.0)	(37.0, 39980.0)							
2824_NS1_L_Male_week9_S56_L001_R2_001	(11.0, 2.0)	(12.0, 15.0)	(13.0, 50.0)	(14.0, 113.0)	(15.0, 226.0)	(16.0, 268.0)	(17.0, 319.0)	(18.0, 330.0)	(19.0, 399.0)	(20.0, 433.0)	(21.0, 523.0)	(22.0, 666.0)	(23.0, 889.0)	(24.0, 1188.0)	(25.0, 1675.0)	(26.0, 2381.0)	(27.0, 4002.0)	(28.0, 6141.0)	(29.0, 9243.0)	(30.0, 13360.0)	(31.0, 17767.0)	(32.0, 21191.0)	(33.0, 21493.0)	(34.0, 16596.0)	(35.0, 7191.0)	(36.0, 1051.0)	(37.0, 6.0)	
2824_NS1_R_Male_week5_S45_L001_R1_001	(16.0, 2.0)	(17.0, 5.0)	(18.0, 10.0)	(19.0, 46.0)	(20.0, 94.0)	(21.0, 257.0)	(22.0, 453.0)	(23.0, 724.0)	(24.0, 966.0)	(25.0, 1150.0)	(26.0, 1439.0)	(27.0, 1744.0)	(28.0, 1923.0)	(29.0, 2369.0)	(30.0, 2812.0)	(31.0, 3366.0)	(32.0, 4302.0)	(33.0, 5273.0)	(34.0, 7081.0)	(35.0, 11056.0)	(36.0, 21712.0)	(37.0, 72507.0)						
2824_NS1_R_Male_week5_S45_L001_R2_001	(11.0, 4.0)	(12.0, 17.0)	(13.0, 48.0)	(14.0, 115.0)	(15.0, 196.0)	(16.0, 194.0)	(17.0, 223.0)	(18.0, 331.0)	(19.0, 402.0)	(20.0, 483.0)	(21.0, 576.0)	(22.0, 668.0)	(23.0, 836.0)	(24.0, 1031.0)	(25.0, 1182.0)	(26.0, 1519.0)	(27.0, 1986.0)	(28.0, 2858.0)	(29.0, 4019.0)	(30.0, 5806.0)	(31.0, 8525.0)	(32.0, 12132.0)	(33.0, 17589.0)	(34.0, 24494.0)	(35.0, 30072.0)	(36.0, 22191.0)	(37.0, 1794.0)	
2824_NS1_R_Male_week9_S57_L001_R1_001	(17.0, 3.0)	(18.0, 10.0)	(19.0, 30.0)	(20.0, 95.0)	(21.0, 239.0)	(22.0, 436.0)	(23.0, 636.0)	(24.0, 851.0)	(25.0, 1040.0)	(26.0, 1295.0)	(27.0, 1507.0)	(28.0, 1882.0)	(29.0, 2069.0)	(30.0, 2574.0)	(31.0, 2959.0)	(32.0, 3669.0)	(33.0, 4580.0)	(34.0, 6393.0)	(35.0, 9410.0)	(36.0, 18070.0)	(37.0, 60901.0)							
2824_NS1_R_Male_week9_S57_L001_R2_001	(11.0, 1.0)	(12.0, 6.0)	(13.0, 28.0)	(14.0, 85.0)	(15.0, 142.0)	(16.0, 217.0)	(17.0, 263.0)	(18.0, 333.0)	(19.0, 384.0)	(20.0, 495.0)	(21.0, 535.0)	(22.0, 625.0)	(23.0, 744.0)	(24.0, 996.0)	(25.0, 1218.0)	(26.0, 1501.0)	(27.0, 2104.0)	(28.0, 2920.0)	(29.0, 4324.0)	(30.0, 6008.0)	(31.0, 8454.0)	(32.0, 11972.0)	(33.0, 15982.0)	(34.0, 20570.0)	(35.0, 22723.0)	(36.0, 14912.0)	(37.0, 1107.0)	
2864_NS1_R_Male_week5_S46_L001_R1_001	(16.0, 1.0)	(17.0, 1.0)	(18.0, 12.0)	(19.0, 30.0)	(20.0, 56.0)	(21.0, 131.0)	(22.0, 261.0)	(23.0, 351.0)	(24.0, 539.0)	(25.0, 718.0)	(26.0, 911.0)	(27.0, 1102.0)	(28.0, 1247.0)	(29.0, 1557.0)	(30.0, 1854.0)	(31.0, 2159.0)	(32.0, 2718.0)	(33.0, 3497.0)	(34.0, 4697.0)	(35.0, 7213.0)	(36.0, 13768.0)	(37.0, 49104.0)						
2864_NS1_R_Male_week5_S46_L001_R2_001	(12.0, 12.0)	(13.0, 32.0)	(14.0, 65.0)	(15.0, 161.0)	(16.0, 170.0)	(17.0, 216.0)	(18.0, 218.0)	(19.0, 336.0)	(20.0, 324.0)	(21.0, 432.0)	(22.0, 501.0)	(23.0, 636.0)	(24.0, 724.0)	(25.0, 855.0)	(26.0, 1134.0)	(27.0, 1465.0)	(28.0, 2002.0)	(29.0, 2908.0)	(30.0, 4212.0)	(31.0, 5882.0)	(32.0, 8578.0)	(33.0, 11923.0)	(34.0, 16060.0)	(35.0, 19055.0)	(36.0, 13167.0)	(37.0, 859.0)		
2864_NS1_R_Male_week9_S58_L001_R1_001	(17.0, 2.0)	(18.0, 14.0)	(19.0, 31.0)	(20.0, 67.0)	(21.0, 241.0)	(22.0, 489.0)	(23.0, 699.0)	(24.0, 950.0)	(25.0, 1259.0)	(26.0, 1509.0)	(27.0, 1752.0)	(28.0, 2083.0)	(29.0, 2332.0)	(30.0, 2897.0)	(31.0, 3409.0)	(32.0, 4145.0)	(33.0, 5240.0)	(34.0, 7346.0)	(35.0, 11285.0)	(36.0, 21630.0)	(37.0, 75292.0)							
2864_NS1_R_Male_week9_S58_L001_R2_001	(11.0, 1.0)	(12.0, 19.0)	(13.0, 41.0)	(14.0, 105.0)	(15.0, 245.0)	(16.0, 373.0)	(17.0, 405.0)	(18.0, 431.0)	(19.0, 496.0)	(20.0, 583.0)	(21.0, 694.0)	(22.0, 726.0)	(23.0, 944.0)	(24.0, 1061.0)	(25.0, 1335.0)	(26.0, 1657.0)	(27.0, 2341.0)	(28.0, 3448.0)	(29.0, 4709.0)	(30.0, 7041.0)	(31.0, 9821.0)	(32.0, 13799.0)	(33.0, 19014.0)	(34.0, 24675.0)	(35.0, 28333.0)	(36.0, 19032.0)	(37.0, 1343.0)	
2893_NS1_0_Male_week5_S47_L001_R1_001	(18.0, 4.0)	(19.0, 23.0)	(20.0, 80.0)	(21.0, 160.0)	(22.0, 337.0)	(23.0, 542.0)	(24.0, 706.0)	(25.0, 930.0)	(26.0, 1165.0)	(27.0, 1337.0)	(28.0, 1572.0)	(29.0, 1915.0)	(30.0, 2186.0)	(31.0, 2575.0)	(32.0, 3215.0)	(33.0, 4162.0)	(34.0, 5479.0)	(35.0, 8382.0)	(36.0, 16377.0)	(37.0, 55215.0)								
2893_NS1_0_Male_week5_S47_L001_R2_001	(11.0, 1.0)	(12.0, 1.0)	(13.0, 28.0)	(14.0, 70.0)	(15.0, 134.0)	(16.0, 228.0)	(17.0, 257.0)	(18.0, 313.0)	(19.0, 377.0)	(20.0, 438.0)	(21.0, 540.0)	(22.0, 646.0)	(23.0, 744.0)	(24.0, 921.0)	(25.0, 1050.0)	(26.0, 1350.0)	(27.0, 2019.0)	(28.0, 2787.0)	(29.0, 3838.0)	(30.0, 5355.0)	(31.0, 7737.0)	(32.0, 10571.0)	(33.0, 14579.0)	(34.0, 18603.0)	(35.0, 20211.0)	(36.0, 12850.0)	(37.0, 714.0)	
2893_NS1_0_Male_week9_S59_L001_R1_001	(16.0, 1.0)	(17.0, 0.0)	(18.0, 12.0)	(19.0, 30.0)	(20.0, 94.0)	(21.0, 246.0)	(22.0, 412.0)	(23.0, 694.0)	(24.0, 1018.0)	(25.0, 1272.0)	(26.0, 1527.0)	(27.0, 1765.0)	(28.0, 2184.0)	(29.0, 2666.0)	(30.0, 3098.0)	(31.0, 3765.0)	(32.0, 4669.0)	(33.0, 5744.0)	(34.0, 7916.0)	(35.0, 11927.0)	(36.0, 23085.0)	(37.0, 76625.0)						
2893_NS1_0_Male_week9_S59_L001_R2_001	(11.0, 1.0)	(12.0, 25.0)	(13.0, 89.0)	(14.0, 196.0)	(15.0, 299.0)	(16.0, 282.0)	(17.0, 331.0)	(18.0, 402.0)	(19.0, 526.0)	(20.0, 546.0)	(21.0, 720.0)	(22.0, 874.0)	(23.0, 981.0)	(24.0, 1255.0)	(25.0, 1515.0)	(26.0, 1940.0)	(27.0, 2659.0)	(28.0, 3906.0)	(29.0, 5437.0)	(30.0, 8013.0)	(31.0, 10877.0)	(32.0, 15018.0)	(33.0, 20289.0)	(34.0, 25724.0)	(35.0, 27632.0)	(36.0, 18016.0)	(37.0, 1197.0)	
2893_NS1_R_Male_week5_S48_L001_R1_001	(16.0, 1.0)	(17.0, 1.0)	(18.0, 15.0)	(19.0, 34.0)	(20.0, 72.0)	(21.0, 213.0)	(22.0, 391.0)	(23.0, 577.0)	(24.0, 783.0)	(25.0, 999.0)	(26.0, 1128.0)	(27.0, 1416.0)	(28.0, 1598.0)	(29.0, 1959.0)	(30.0, 2180.0)	(31.0, 2756.0)	(32.0, 3333.0)	(33.0, 4150.0)	(34.0, 5564.0)	(35.0, 8634.0)	(36.0, 16604.0)	(37.0, 56557.0)						
2893_NS1_R_Male_week5_S48_L001_R2_001	(11.0, 1.0)	(12.0, 15.0)	(13.0, 41.0)	(14.0, 95.0)	(15.0, 129.0)	(16.0, 143.0)	(17.0, 212.0)	(18.0, 297.0)	(19.0, 341.0)	(20.0, 412.0)	(21.0, 523.0)	(22.0, 592.0)	(23.0, 684.0)	(24.0, 873.0)	(25.0, 1093.0)	(26.0, 1384.0)	(27.0, 1868.0)	(28.0, 2656.0)	(29.0, 3682.0)	(30.0, 5216.0)	(31.0, 7358.0)	(32.0, 10217.0)	(33.0, 14044.0)	(34.0, 19060.0)	(35.0, 21760.0)	(36.0, 15321.0)	(37.0, 948.0)	
2893_NS1_R_Male_week9_S60_L001_R1_001	(17.0, 2.0)	(18.0, 16.0)	(19.0, 39.0)	(20.0, 106.0)	(21.0, 302.0)	(22.0, 553.0)	(23.0, 839.0)	(24.0, 1193.0)	(25.0, 1521.0)	(26.0, 1831.0)	(27.0, 2332.0)	(28.0, 2659.0)	(29.0, 3212.0)	(30.0, 3853.0)	(31.0, 4605.0)	(32.0, 5682.0)	(33.0, 7388.0)	(34.0, 9890.0)	(35.0, 14857.0)	(36.0, 29279.0)	(37.0, 94481.0)							
2893_NS1_R_Male_week9_S60_L001_R2_001	(11.0, 3.0)	(12.0, 21.0)	(13.0, 65.0)	(14.0, 143.0)	(15.0, 232.0)	(16.0, 327.0)	(17.0, 415.0)	(18.0, 483.0)	(19.0, 634.0)	(20.0, 709.0)	(21.0, 883.0)	(22.0, 1014.0)	(23.0, 1166.0)	(24.0, 1531.0)	(25.0, 1944.0)	(26.0, 2507.0)	(27.0, 3551.0)	(28.0, 5009.0)	(29.0, 7234.0)	(30.0, 10088.0)	(31.0, 14516.0)	(32.0, 20285.0)	(33.0, 26899.0)	(34.0, 33129.0)	(35.0, 33210.0)	(36.0, 18095.0)	(37.0, 547.0)	
2999_NS1_0_Female_week5_S41_L001_R1_001	(15.0, 1.0)	(16.0, 2.0)	(17.0, 3.0)	(18.0, 13.0)	(19.0, 24.0)	(20.0, 70.0)	(21.0, 189.0)	(22.0, 307.0)	(23.0, 455.0)	(24.0, 586.0)	(25.0, 775.0)	(26.0, 971.0)	(27.0, 1114.0)	(28.0, 1357.0)	(29.0, 1684.0)	(30.0, 1941.0)	(31.0, 2120.0)	(32.0, 2746.0)	(33.0, 3606.0)	(34.0, 4820.0)	(35.0, 7280.0)	(36.0, 14124.0)	(37.0, 44338.0)					
2999_NS1_0_Female_week5_S41_L001_R2_001	(11.0, 3.0)	(12.0, 7.0)	(13.0, 29.0)	(14.0, 78.0)	(15.0, 115.0)	(16.0, 140.0)	(17.0, 169.0)	(18.0, 211.0)	(19.0, 284.0)	(20.0, 354.0)	(21.0, 372.0)	(22.0, 440.0)	(23.0, 554.0)	(24.0, 692.0)	(25.0, 855.0)	(26.0, 1060.0)	(27.0, 1428.0)	(28.0, 2024.0)	(29.0, 2916.0)	(30.0, 4174.0)	(31.0, 6025.0)	(32.0, 8603.0)	(33.0, 11888.0)	(34.0, 15631.0)	(35.0, 17600.0)	(36.0, 12072.0)	(37.0, 802.0)	
2999_NS1_0_Female_week9_S53_L001_R1_001	(16.0, 1.0)	(17.0, 2.0)	(18.0, 13.0)	(19.0, 24.0)	(20.0, 50.0)	(21.0, 156.0)	(22.0, 302.0)	(23.0, 415.0)	(24.0, 609.0)	(25.0, 730.0)	(26.0, 994.0)	(27.0, 1098.0)	(28.0, 1347.0)	(29.0, 1685.0)	(30.0, 1904.0)	(31.0, 2424.0)	(32.0, 2903.0)	(33.0, 3732.0)	(34.0, 4904.0)	(35.0, 7498.0)	(36.0, 14657.0)	(37.0, 51963.0)						
2999_NS1_0_Female_week9_S53_L001_R2_001	(11.0, 1.0)	(12.0, 2.0)	(13.0, 21.0)	(14.0, 48.0)	(15.0, 139.0)	(16.0, 196.0)	(17.0, 221.0)	(18.0, 309.0)	(19.0, 366.0)	(20.0, 402.0)	(21.0, 512.0)	(22.0, 598.0)	(23.0, 673.0)	(24.0, 894.0)	(25.0, 1165.0)	(26.0, 1513.0)	(27.0, 2071.0)	(28.0, 2764.0)	(29.0, 3984.0)	(30.0, 5192.0)	(31.0, 7543.0)	(32.0, 10459.0)	(33.0, 13233.0)	(34.0, 16365.0)	(35.0, 17327.0)	(36.0, 10761.0)	(37.0, 652.0)	
2999_NS1_R_Female_week5_S42_L001_R1_001	(16.0, 1.0)	(17.0, 3.0)	(18.0, 23.0)	(19.0, 42.0)	(20.0, 107.0)	(21.0, 309.0)	(22.0, 502.0)	(23.0, 848.0)	(24.0, 1237.0)	(25.0, 1649.0)	(26.0, 2134.0)	(27.0, 2494.0)	(28.0, 3060.0)	(29.0, 3801.0)	(30.0, 4445.0)	(31.0, 5453.0)	(32.0, 6732.0)	(33.0, 8776.0)	(34.0, 11699.0)	(35.0, 17618.0)	(36.0, 33847.0)	(37.0, 114422.0)						
2999_NS1_R_Female_week5_S42_L001_R2_001	(11.0, 3.0)	(12.0, 16.0)	(13.0, 56.0)	(14.0, 155.0)	(15.0, 233.0)	(16.0, 293.0)	(17.0, 345.0)	(18.0, 511.0)	(19.0, 638.0)	(20.0, 758.0)	(21.0, 918.0)	(22.0, 1128.0)	(23.0, 1357.0)	(24.0, 1590.0)	(25.0, 1921.0)	(26.0, 2624.0)	(27.0, 3493.0)	(28.0, 4926.0)	(29.0, 7168.0)	(30.0, 10550.0)	(31.0, 15198.0)	(32.0, 21631.0)	(33.0, 30337.0)	(34.0, 38429.0)	(35.0, 43177.0)	(36.0, 29397.0)	(37.0, 2350.0)	
2999_NS1_R_Female_week9_S54_L001_R1_001	(15.0, 2.0)	(16.0, 0.0)	(17.0, 2.0)	(18.0, 24.0)	(19.0, 33.0)	(20.0, 79.0)	(21.0, 191.0)	(22.0, 411.0)	(23.0, 614.0)	(24.0, 823.0)	(25.0, 1203.0)	(26.0, 1393.0)	(27.0, 1733.0)	(28.0, 2051.0)	(29.0, 2492.0)	(30.0, 3040.0)	(31.0, 3710.0)	(32.0, 4325.0)	(33.0, 5577.0)	(34.0, 7637.0)	(35.0, 11604.0)	(36.0, 22529.0)	(37.0, 82879.0)					
2999_NS1_R_Female_week9_S54_L001_R2_001	(10.0, 1.0)	(11.0, 4.0)	(12.0, 14.0)	(13.0, 70.0)	(14.0, 138.0)	(15.0, 177.0)	(16.0, 201.0)	(17.0, 247.0)	(18.0, 380.0)	(19.0, 507.0)	(20.0, 597.0)	(21.0, 668.0)	(22.0, 822.0)	(23.0, 956.0)	(24.0, 1200.0)	(25.0, 1437.0)	(26.0, 1837.0)	(27.0, 2572.0)	(28.0, 3613.0)	(29.0, 5331.0)	(30.0, 7399.0)	(31.0, 10536.0)	(32.0, 14976.0)	(33.0, 20529.0)	(34.0, 26051.0)	(35.0, 29336.0)	(36.0, 21058.0)	(37.0, 1695.0)
3995R_S2_0_Female_week5_S64_L001_R1_001	(16.0, 2.0)	(17.0, 2.0)	(18.0, 29.0)	(19.0, 53.0)	(20.0, 159.0)	(21.0, 380.0)	(22.0, 728.0)	(23.0, 1140.0)	(24.0, 1331.0)	(25.0, 1727.0)	(26.0, 2151.0)	(27.0, 2579.0)	(28.0, 3147.0)	(29.0, 3624.0)	(30.0, 4168.0)	(31.0, 4894.0)	(32.0, 6017.0)	(33.0, 7851.0)	(34.0, 10283.0)	(35.0, 15422.0)	(36.0, 28709.0)	(37.0, 94105.0)						
3995R_S2_0_Female_week5_S64_L001_R2_001	(11.0, 4.0)	(12.0, 18.0)	(13.0, 55.0)	(14.0, 124.0)	(15.0, 252.0)	(16.0, 315.0)	(17.0, 421.0)	(18.0, 545.0)	(19.0, 677.0)	(20.0, 824.0)	(21.0, 932.0)	(22.0, 1174.0)	(23.0, 1325.0)	(24.0, 1729.0)	(25.0, 2047.0)	(26.0, 2734.0)	(27.0, 3662.0)	(28.0, 5154.0)	(29.0, 7508.0)	(30.0, 10763.0)	(31.0, 14962.0)	(32.0, 20076.0)	(33.0, 26324.0)	(34.0, 32214.0)	(35.0, 33212.0)	(36.0, 20094.0)	(37.0, 1356.0)	
3995R_S2_0_Female_week9_S78_L001_R1_001	(15.0, 1.0)	(16.0, 1.0)	(17.0, 4.0)	(18.0, 20.0)	(19.0, 52.0)	(20.0, 147.0)	(21.0, 405.0)	(22.0, 759.0)	(23.0, 1050.0)	(24.0, 1260.0)	(25.0, 1588.0)	(26.0, 1746.0)	(27.0, 2099.0)	(28.0, 2421.0)	(29.0, 2757.0)	(30.0, 3260.0)	(31.0, 3715.0)	(32.0, 4676.0)	(33.0, 6095.0)	(34.0, 8175.0)	(35.0, 13001.0)	(36.0, 24595.0)	(37.0, 52571.0)					
3995R_S2_0_Female_week9_S78_L001_R2_001	(11.0, 1.0)	(12.0, 9.0)	(13.0, 34.0)	(14.0, 104.0)	(15.0, 173.0)	(16.0, 200.0)	(17.0, 218.0)	(18.0, 264.0)	(19.0, 313.0)	(20.0, 437.0)	(21.0, 483.0)	(22.0, 607.0)	(23.0, 737.0)	(24.0, 962.0)	(25.0, 1228.0)	(26.0, 1722.0)	(27.0, 2368.0)	(28.0, 3677.0)	(29.0, 5399.0)	(30.0, 7685.0)	(31.0, 11092.0)	(32.0, 15186.0)	(33.0, 19449.0)	(34.0, 22479.0)	(35.0, 21893.0)	(36.0, 12867.0)	(37.0, 811.0)	
3995R_S2_L_Female_week5_S65_L001_R1_001	(18.0, 11.0)	(19.0, 30.0)	(20.0, 90.0)	(21.0, 222.0)	(22.0, 389.0)	(23.0, 644.0)	(24.0, 851.0)	(25.0, 1087.0)	(26.0, 1287.0)	(27.0, 1505.0)	(28.0, 1853.0)	(29.0, 2215.0)	(30.0, 2568.0)	(31.0, 2991.0)	(32.0, 3749.0)	(33.0, 4504.0)	(34.0, 6200.0)	(35.0, 9253.0)	(36.0, 17811.0)	(37.0, 64580.0)								
3995R_S2_L_Female_week5_S65_L001_R2_001	(10.0, 2.0)	(11.0, 1.0)	(12.0, 7.0)	(13.0, 39.0)	(14.0, 97.0)	(15.0, 217.0)	(16.0, 300.0)	(17.0, 354.0)	(18.0, 388.0)	(19.0, 511.0)	(20.0, 546.0)	(21.0, 632.0)	(22.0, 758.0)	(23.0, 925.0)	(24.0, 1141.0)	(25.0, 1336.0)	(26.0, 1756.0)	(27.0, 2393.0)	(28.0, 3688.0)	(29.0, 5093.0)	(30.0, 7000.0)	(31.0, 9685.0)	(32.0, 13247.0)	(33.0, 17475.0)	(34.0, 20718.0)	(35.0, 20636.0)	(36.0, 12127.0)	(37.0, 768.0)
3995R_S2_L_Female_week9_S79_L001_R1_001	(16.0, 3.0)	(17.0, 8.0)	(18.0, 20.0)	(19.0, 40.0)	(20.0, 120.0)	(21.0, 319.0)	(22.0, 599.0)	(23.0, 863.0)	(24.0, 1137.0)	(25.0, 1362.0)	(26.0, 1571.0)	(27.0, 1835.0)	(28.0, 2226.0)	(29.0, 2526.0)	(30.0, 2939.0)	(31.0, 3413.0)	(32.0, 4362.0)	(33.0, 5366.0)	(34.0, 7384.0)	(35.0, 11091.0)	(36.0, 21142.0)	(37.0, 71431.0)						
3995R_S2_L_Female_week9_S79_L001_R2_001	(11.0, 4.0)	(12.0, 20.0)	(13.0, 69.0)	(14.0, 191.0)	(15.0, 242.0)	(16.0, 239.0)	(17.0, 305.0)	(18.0, 393.0)	(19.0, 509.0)	(20.0, 491.0)	(21.0, 657.0)	(22.0, 728.0)	(23.0, 937.0)	(24.0, 1128.0)	(25.0, 1375.0)	(26.0, 1708.0)	(27.0, 2322.0)	(28.0, 3220.0)	(29.0, 4455.0)	(30.0, 6445.0)	(31.0, 9097.0)	(32.0, 12751.0)	(33.0, 18190.0)	(34.0, 24201.0)	(35.0, 28757.0)	(36.0, 19957.0)	(37.0, 1366.0)	
3995R_S2_RR_Female_week5_S67_L001_R1_001	(18.0, 8.0)	(19.0, 21.0)	(20.0, 48.0)	(21.0, 142.0)	(22.0, 249.0)	(23.0, 422.0)	(24.0, 592.0)	(25.0, 798.0)	(26.0, 972.0)	(27.0, 1339.0)	(28.0, 1544.0)	(29.0, 1869.0)	(30.0, 2323.0)	(31.0, 2832.0)	(32.0, 3458.0)	(33.0, 4634.0)	(34.0, 6179.0)	(35.0, 9533.0)	(36.0, 18241.0)	(37.0, 60753.0)								
3995R_S2_RR_Female_week5_S67_L001_R2_001	(11.0, 3.0)	(12.0, 8.0)	(13.0, 43.0)	(14.0, 110.0)	(15.0, 152.0)	(16.0, 215.0)	(17.0, 256.0)	(18.0, 307.0)	(19.0, 340.0)	(20.0, 434.0)	(21.0, 499.0)	(22.0, 553.0)	(23.0, 716.0)	(24.0, 924.0)	(25.0, 1145.0)	(26.0, 1581.0)	(27.0, 2140.0)	(28.0, 2983.0)	(29.0, 4411.0)	(30.0, 6326.0)	(31.0, 9050.0)	(32.0, 12443.0)	(33.0, 16398.0)	(34.0, 20225.0)	(35.0, 21367.0)	(36.0, 12567.0)	(37.0, 761.0)	
