STATA_FemMicro364,STATA_FemMicro (all small),"STATA_FemMicro (no plate, all small)",Short ID,Id,Danska_ASV,Danska_species,Control,Inoculum,Plate,Sex,Community Sero Status,Consortium,Timepoint,Merged Weeks,Week and Consortium,Sex and Consortium,Sex and Timepoint,poor_quality_sample_exclude,SRA_sample_name,sequencing_plate_number,samples_364_by_seq_asv_table_name
plate2_1121R_0_M_NS1_week7_S28_L,plate2_1121r_0_m_ns1_week7_s28_l,1121r_0_m_ns1_week7_s28_l,1121R_0_M_NS1_week7,Plate2_1121R_0_M_NS1_week7_S28_L001,1121R_0_M_NS1_week7,1121R_0_M_NS1_week7,,,plate2,Male,IAB-,NS1,week_7,w7,NS1_w7,Male_NS1,Male_w7,,1121R_0_M_NS1_week7,plate2,Plate2_1121R_0_M_NS1_week7_S28_L001
plate2_1121R_0_M_NS1_week9_S29_L,plate2_1121r_0_m_ns1_week9_s29_l,1121r_0_m_ns1_week9_s29_l,1121R_0_M_NS1_week9,Plate2_1121R_0_M_NS1_week9_S29_L001,1121R_0_M_NS1_week9,1121R_0_M_NS1_week9,,,plate2,Male,IAB-,NS1,week_9,w9w10,NS1_w9w10,Male_NS1,Male_w9w10,,1121R_0_M_NS1_week9,plate2,Plate2_1121R_0_M_NS1_week9_S29_L001
plate2_1136R_0_F_S5_week9_S69_L0,plate2_1136r_0_f_s5_week9_s69_l0,1136r_0_f_s5_week9_s69_l0,1136R_0_F_S5_week9,Plate2_1136R_0_F_S5_week9_S69_L001,1136R_0_F_S5_week9,1136R_0_F_S5_week9,,,plate2,Female,IAB+,S5,week_9,w9w10,S5_w9w10,Female_S5,Female_w9w10,,1136R_0_F_S5_week9,plate2,Plate2_1136R_0_F_S5_week9_S69_L001
plate2_1151R_R_M_NS1_week5_S30_L,plate2_1151r_r_m_ns1_week5_s30_l,1151r_r_m_ns1_week5_s30_l,1151R_R_M_NS1_week5,Plate2_1151R_R_M_NS1_week5_S30_L001,1151R_R_M_NS1_week5,1151R_R_M_NS1_week5,,,plate2,Male,IAB-,NS1,week_5,w5,NS1_w5,Male_NS1,Male_w5,,1151R_R_M_NS1_week5,plate2,Plate2_1151R_R_M_NS1_week5_S30_L001
plate2_1151R_R_M_NS1_week6_S31_L,plate2_1151r_r_m_ns1_week6_s31_l,1151r_r_m_ns1_week6_s31_l,1151R_R_M_NS1_week6,Plate2_1151R_R_M_NS1_week6_S31_L001,1151R_R_M_NS1_week6,1151R_R_M_NS1_week6,,,plate2,Male,IAB-,NS1,week_6,w6,NS1_w6,Male_NS1,Male_w6,,1151R_R_M_NS1_week6,plate2,Plate2_1151R_R_M_NS1_week6_S31_L001
plate2_1151R_R_M_NS1_week7_S32_L,plate2_1151r_r_m_ns1_week7_s32_l,1151r_r_m_ns1_week7_s32_l,1151R_R_M_NS1_week7,Plate2_1151R_R_M_NS1_week7_S32_L001,1151R_R_M_NS1_week7,1151R_R_M_NS1_week7,,,plate2,Male,IAB-,NS1,week_7,w7,NS1_w7,Male_NS1,Male_w7,,1151R_R_M_NS1_week7,plate2,Plate2_1151R_R_M_NS1_week7_S32_L001
plate2_1151R_R_M_NS1_week9_S33_L,plate2_1151r_r_m_ns1_week9_s33_l,1151r_r_m_ns1_week9_s33_l,1151R_R_M_NS1_week9,Plate2_1151R_R_M_NS1_week9_S33_L001,1151R_R_M_NS1_week9,1151R_R_M_NS1_week9,,,plate2,Male,IAB-,NS1,week_9,w9w10,NS1_w9w10,Male_NS1,Male_w9w10,,1151R_R_M_NS1_week9,plate2,Plate2_1151R_R_M_NS1_week9_S33_L001
plate2_1152R_0_M_S2_week9_S60_L0,plate2_1152r_0_m_s2_week9_s60_l0,1152r_0_m_s2_week9_s60_l0,1152R_0_M_S2_week9,Plate2_1152R_0_M_S2_week9_S60_L001,1152R_0_M_S2_week9,1152R_0_M_S2_week9,,,plate2,Male,IAB+,S2,week_9,w9w10,S2_w9w10,Male_S2,Male_w9w10,,1152R_0_M_S2_week9,plate2,Plate2_1152R_0_M_S2_week9_S60_L001
plate2_1184R_0_M_NS6_week9_S85_L,plate2_1184r_0_m_ns6_week9_s85_l,1184r_0_m_ns6_week9_s85_l,1184R_0_M_NS6_week9,Plate2_1184R_0_M_NS6_week9_S85_L001,1184R_0_M_NS6_week9,1184R_0_M_NS6_week9,,,plate2,Male,IAB-,NS6,week_9,w9w10,NS6_w9w10,Male_NS6,Male_w9w10,,1184R_0_M_NS6_week9,plate2,Plate2_1184R_0_M_NS6_week9_S85_L001
plate2_1186R_0_M_NS6_week9_S86_L,plate2_1186r_0_m_ns6_week9_s86_l,1186r_0_m_ns6_week9_s86_l,1186R_0_M_NS6_week9,Plate2_1186R_0_M_NS6_week9_S86_L001,1186R_0_M_NS6_week9,1186R_0_M_NS6_week9,,,plate2,Male,IAB-,NS6,week_9,w9w10,NS6_w9w10,Male_NS6,Male_w9w10,,1186R_0_M_NS6_week9,plate2,Plate2_1186R_0_M_NS6_week9_S86_L001
plate2_1186R_RR_M_NS6_week9_S87_,plate2_1186r_rr_m_ns6_week9_s87_,1186r_rr_m_ns6_week9_s87_,1186R_RR_M_NS6_week9,Plate2_1186R_RR_M_NS6_week9_S87_L001,1186R_RR_M_NS6_week9,1186R_RR_M_NS6_week9,,,plate2,Male,IAB-,NS6,week_9,w9w10,NS6_w9w10,Male_NS6,Male_w9w10,,1186R_RR_M_NS6_week9,plate2,Plate2_1186R_RR_M_NS6_week9_S87_L001
plate2_1193R_R_F_NS1_week5_S1_L0,plate2_1193r_r_f_ns1_week5_s1_l0,1193r_r_f_ns1_week5_s1_l0,1193R_R_F_NS1_week5,Plate2_1193R_R_F_NS1_week5_S1_L001,1193R_R_F_NS1_week5,1193R_R_F_NS1_week5,,,plate2,Female,IAB-,NS1,week_5,w5,NS1_w5,Female_NS1,Female_w5,,1193R_R_F_NS1_week5,plate2,Plate2_1193R_R_F_NS1_week5_S1_L001
plate2_1193R_R_F_NS1_week6_S2_L0,plate2_1193r_r_f_ns1_week6_s2_l0,1193r_r_f_ns1_week6_s2_l0,1193R_R_F_NS1_week6,Plate2_1193R_R_F_NS1_week6_S2_L001,1193R_R_F_NS1_week6,1193R_R_F_NS1_week6,,,plate2,Female,IAB-,NS1,week_6,w6,NS1_w6,Female_NS1,Female_w6,,1193R_R_F_NS1_week6,plate2,Plate2_1193R_R_F_NS1_week6_S2_L001
plate2_1193R_R_F_NS1_week7_S3_L0,plate2_1193r_r_f_ns1_week7_s3_l0,1193r_r_f_ns1_week7_s3_l0,1193R_R_F_NS1_week7,Plate2_1193R_R_F_NS1_week7_S3_L001,1193R_R_F_NS1_week7,1193R_R_F_NS1_week7,,,plate2,Female,IAB-,NS1,week_7,w7,NS1_w7,Female_NS1,Female_w7,,1193R_R_F_NS1_week7,plate2,Plate2_1193R_R_F_NS1_week7_S3_L001
plate2_1193R_R_F_NS1_week9_S4_L0,plate2_1193r_r_f_ns1_week9_s4_l0,1193r_r_f_ns1_week9_s4_l0,1193R_R_F_NS1_week9,Plate2_1193R_R_F_NS1_week9_S4_L001,1193R_R_F_NS1_week9,1193R_R_F_NS1_week9,,,plate2,Female,IAB-,NS1,week_9,w9w10,NS1_w9w10,Female_NS1,Female_w9w10,,1193R_R_F_NS1_week9,plate2,Plate2_1193R_R_F_NS1_week9_S4_L001
plate2_184R_0_M_NS6_week9_S88_L0,plate2_184r_0_m_ns6_week9_s88_l0,184r_0_m_ns6_week9_s88_l0,184R_0_M_NS6_week9,Plate2_184R_0_M_NS6_week9_S88_L001,184R_0_M_NS6_week9,184R_0_M_NS6_week9,,,plate2,Male,IAB-,NS6,week_9,w9w10,NS6_w9w10,Male_NS6,Male_w9w10,,184R_0_M_NS6_week9,plate2,Plate2_184R_0_M_NS6_week9_S88_L001
plate2_2402R_0_F_S5_week9_S70_L0,plate2_2402r_0_f_s5_week9_s70_l0,2402r_0_f_s5_week9_s70_l0,2402R_0_F_S5_week9,Plate2_2402R_0_F_S5_week9_S70_L001,2402R_0_F_S5_week9,2402R_0_F_S5_week9,,,plate2,Female,IAB+,S5,week_9,w9w10,S5_w9w10,Female_S5,Female_w9w10,,2402R_0_F_S5_week9,plate2,Plate2_2402R_0_F_S5_week9_S70_L001
plate2_2403R_0_F_NS6_week9_S80_L,plate2_2403r_0_f_ns6_week9_s80_l,2403r_0_f_ns6_week9_s80_l,2403R_0_F_NS6_week9,Plate2_2403R_0_F_NS6_week9_S80_L001,2403R_0_F_NS6_week9,2403R_0_F_NS6_week9,,,plate2,Female,IAB-,NS6,week_9,w9w10,NS6_w9w10,Female_NS6,Female_w9w10,,2403R_0_F_NS6_week9,plate2,Plate2_2403R_0_F_NS6_week9_S80_L001
plate2_2404R_R_F_S2_week5_S35_L0,plate2_2404r_r_f_s2_week5_s35_l0,2404r_r_f_s2_week5_s35_l0,2404R_R_F_S2_week5,Plate2_2404R_R_F_S2_week5_S35_L001,2404R_R_F_S2_week5,2404R_R_F_S2_week5,,,plate2,Female,IAB+,S2,week_5,w5,S2_w5,Female_S2,Female_w5,,2404R_R_F_S2_week5,plate2,Plate2_2404R_R_F_S2_week5_S35_L001
plate2_2404R_R_F_S2_week6_S36_L0,plate2_2404r_r_f_s2_week6_s36_l0,2404r_r_f_s2_week6_s36_l0,2404R_R_F_S2_week6,Plate2_2404R_R_F_S2_week6_S36_L001,2404R_R_F_S2_week6,2404R_R_F_S2_week6,,,plate2,Female,IAB+,S2,week_6,w6,S2_w6,Female_S2,Female_w6,,2404R_R_F_S2_week6,plate2,Plate2_2404R_R_F_S2_week6_S36_L001
plate2_2404R_R_F_S2_week7_S37_L0,plate2_2404r_r_f_s2_week7_s37_l0,2404r_r_f_s2_week7_s37_l0,2404R_R_F_S2_week7,Plate2_2404R_R_F_S2_week7_S37_L001,2404R_R_F_S2_week7,2404R_R_F_S2_week7,,,plate2,Female,IAB+,S2,week_7,w7,S2_w7,Female_S2,Female_w7,,2404R_R_F_S2_week7,plate2,Plate2_2404R_R_F_S2_week7_S37_L001
plate2_2404R_R_F_S2_week9_S38_L0,plate2_2404r_r_f_s2_week9_s38_l0,2404r_r_f_s2_week9_s38_l0,2404R_R_F_S2_week9,Plate2_2404R_R_F_S2_week9_S38_L001,2404R_R_F_S2_week9,2404R_R_F_S2_week9,,,plate2,Female,IAB+,S2,week_9,w9w10,S2_w9w10,Female_S2,Female_w9w10,,2404R_R_F_S2_week9,plate2,Plate2_2404R_R_F_S2_week9_S38_L001
plate2_2433R_0_F_S5_week9_S71_L0,plate2_2433r_0_f_s5_week9_s71_l0,2433r_0_f_s5_week9_s71_l0,2433R_0_F_S5_week9,Plate2_2433R_0_F_S5_week9_S71_L001,2433R_0_F_S5_week9,2433R_0_F_S5_week9,,,plate2,Female,IAB+,S5,week_9,w9w10,S5_w9w10,Female_S5,Female_w9w10,,2433R_0_F_S5_week9,plate2,Plate2_2433R_0_F_S5_week9_S71_L001
plate2_2446R_L_F_S2_week5_S39_L0,plate2_2446r_l_f_s2_week5_s39_l0,2446r_l_f_s2_week5_s39_l0,2446R_L_F_S2_week5,Plate2_2446R_L_F_S2_week5_S39_L001,2446R_L_F_S2_week5,2446R_L_F_S2_week5,,,plate2,Female,IAB+,S2,week_5,w5,S2_w5,Female_S2,Female_w5,,2446R_L_F_S2_week5,plate2,Plate2_2446R_L_F_S2_week5_S39_L001
plate2_2446R_L_F_S2_week6_S40_L0,plate2_2446r_l_f_s2_week6_s40_l0,2446r_l_f_s2_week6_s40_l0,2446R_L_F_S2_week6,Plate2_2446R_L_F_S2_week6_S40_L001,2446R_L_F_S2_week6,2446R_L_F_S2_week6,,,plate2,Female,IAB+,S2,week_6,w6,S2_w6,Female_S2,Female_w6,,2446R_L_F_S2_week6,plate2,Plate2_2446R_L_F_S2_week6_S40_L001
plate2_2446R_L_F_S2_week7_S41_L0,plate2_2446r_l_f_s2_week7_s41_l0,2446r_l_f_s2_week7_s41_l0,2446R_L_F_S2_week7,Plate2_2446R_L_F_S2_week7_S41_L001,2446R_L_F_S2_week7,2446R_L_F_S2_week7,,,plate2,Female,IAB+,S2,week_7,w7,S2_w7,Female_S2,Female_w7,,2446R_L_F_S2_week7,plate2,Plate2_2446R_L_F_S2_week7_S41_L001
plate2_2446R_L_F_S2_week9_S42_L0,plate2_2446r_l_f_s2_week9_s42_l0,2446r_l_f_s2_week9_s42_l0,2446R_L_F_S2_week9,Plate2_2446R_L_F_S2_week9_S42_L001,2446R_L_F_S2_week9,2446R_L_F_S2_week9,,,plate2,Female,IAB+,S2,week_9,w9w10,S2_w9w10,Female_S2,Female_w9w10,,2446R_L_F_S2_week9,plate2,Plate2_2446R_L_F_S2_week9_S42_L001
plate2_2475R_0_M_S5_week9_S77_L0,plate2_2475r_0_m_s5_week9_s77_l0,2475r_0_m_s5_week9_s77_l0,2475R_0_M_S5_week9,Plate2_2475R_0_M_S5_week9_S77_L001,2475R_0_M_S5_week9,2475R_0_M_S5_week9,,,plate2,Male,IAB+,S5,week_9,w9w10,S5_w9w10,Male_S5,Male_w9w10,,2475R_0_M_S5_week9,plate2,Plate2_2475R_0_M_S5_week9_S77_L001
plate2_2476R_R_F_NS6_week9_S81_L,plate2_2476r_r_f_ns6_week9_s81_l,2476r_r_f_ns6_week9_s81_l,2476R_R_F_NS6_week9,Plate2_2476R_R_F_NS6_week9_S81_L001,2476R_R_F_NS6_week9,2476R_R_F_NS6_week9,,,plate2,Female,IAB-,NS6,week_9,w9w10,NS6_w9w10,Female_NS6,Female_w9w10,,2476R_R_F_NS6_week9,plate2,Plate2_2476R_R_F_NS6_week9_S81_L001
plate2_2518R_0_M_S5_week9_S78_L0,plate2_2518r_0_m_s5_week9_s78_l0,2518r_0_m_s5_week9_s78_l0,2518R_0_M_S5_week9,Plate2_2518R_0_M_S5_week9_S78_L001,2518R_0_M_S5_week9,2518R_0_M_S5_week9,,,plate2,Male,IAB+,S5,week_9,w9w10,S5_w9w10,Male_S5,Male_w9w10,,2518R_0_M_S5_week9,plate2,Plate2_2518R_0_M_S5_week9_S78_L001
plate2_2529R_R_F_NS1_week5_S5_L0,plate2_2529r_r_f_ns1_week5_s5_l0,2529r_r_f_ns1_week5_s5_l0,2529R_R_F_NS1_week5,Plate2_2529R_R_F_NS1_week5_S5_L001,2529R_R_F_NS1_week5,2529R_R_F_NS1_week5,,,plate2,Female,IAB-,NS1,week_5,w5,NS1_w5,Female_NS1,Female_w5,,2529R_R_F_NS1_week5,plate2,Plate2_2529R_R_F_NS1_week5_S5_L001
plate2_2529R_R_F_NS1_week6_S6_L0,plate2_2529r_r_f_ns1_week6_s6_l0,2529r_r_f_ns1_week6_s6_l0,2529R_R_F_NS1_week6,Plate2_2529R_R_F_NS1_week6_S6_L001,2529R_R_F_NS1_week6,2529R_R_F_NS1_week6,,,plate2,Female,IAB-,NS1,week_6,w6,NS1_w6,Female_NS1,Female_w6,,2529R_R_F_NS1_week6,plate2,Plate2_2529R_R_F_NS1_week6_S6_L001
plate2_2529R_R_F_NS1_week7_S7_L0,plate2_2529r_r_f_ns1_week7_s7_l0,2529r_r_f_ns1_week7_s7_l0,2529R_R_F_NS1_week7,Plate2_2529R_R_F_NS1_week7_S7_L001,2529R_R_F_NS1_week7,2529R_R_F_NS1_week7,,,plate2,Female,IAB-,NS1,week_7,w7,NS1_w7,Female_NS1,Female_w7,,2529R_R_F_NS1_week7,plate2,Plate2_2529R_R_F_NS1_week7_S7_L001
plate2_2529R_R_F_NS1_week9_S8_L0,plate2_2529r_r_f_ns1_week9_s8_l0,2529r_r_f_ns1_week9_s8_l0,2529R_R_F_NS1_week9,Plate2_2529R_R_F_NS1_week9_S8_L001,2529R_R_F_NS1_week9,2529R_R_F_NS1_week9,,,plate2,Female,IAB-,NS1,week_9,w9w10,NS1_w9w10,Female_NS1,Female_w9w10,,2529R_R_F_NS1_week9,plate2,Plate2_2529R_R_F_NS1_week9_S8_L001
plate2_2562R_0_F_NS6_week9_S82_L,plate2_2562r_0_f_ns6_week9_s82_l,2562r_0_f_ns6_week9_s82_l,2562R_0_F_NS6_week9,Plate2_2562R_0_F_NS6_week9_S82_L001,2562R_0_F_NS6_week9,2562R_0_F_NS6_week9,,,plate2,Female,IAB-,NS6,week_9,w9w10,NS6_w9w10,Female_NS6,Female_w9w10,,2562R_0_F_NS6_week9,plate2,Plate2_2562R_0_F_NS6_week9_S82_L001
plate2_2562R_RL_F_NS6_week9_S83_,plate2_2562r_rl_f_ns6_week9_s83_,2562r_rl_f_ns6_week9_s83_,2562R_RL_F_NS6_week9,Plate2_2562R_RL_F_NS6_week9_S83_L001,2562R_RL_F_NS6_week9,2562R_RL_F_NS6_week9,,,plate2,Female,IAB-,NS6,week_9,w9w10,NS6_w9w10,Female_NS6,Female_w9w10,,2562R_RL_F_NS6_week9,plate2,Plate2_2562R_RL_F_NS6_week9_S83_L001
plate2_3795R_0_F_S2_week5_S43_L0,plate2_3795r_0_f_s2_week5_s43_l0,3795r_0_f_s2_week5_s43_l0,3795R_0_F_S2_week5,Plate2_3795R_0_F_S2_week5_S43_L001,3795R_0_F_S2_week5,3795R_0_F_S2_week5,,,plate2,Female,IAB+,S2,week_5,w5,S2_w5,Female_S2,Female_w5,,3795R_0_F_S2_week5,plate2,Plate2_3795R_0_F_S2_week5_S43_L001
plate2_3795R_0_F_S2_week6_S44_L0,plate2_3795r_0_f_s2_week6_s44_l0,3795r_0_f_s2_week6_s44_l0,3795R_0_F_S2_week6,Plate2_3795R_0_F_S2_week6_S44_L001,3795R_0_F_S2_week6,3795R_0_F_S2_week6,,,plate2,Female,IAB+,S2,week_6,w6,S2_w6,Female_S2,Female_w6,,3795R_0_F_S2_week6,plate2,Plate2_3795R_0_F_S2_week6_S44_L001
plate2_3795R_0_F_S2_week7_S45_L0,plate2_3795r_0_f_s2_week7_s45_l0,3795r_0_f_s2_week7_s45_l0,3795R_0_F_S2_week7,Plate2_3795R_0_F_S2_week7_S45_L001,3795R_0_F_S2_week7,3795R_0_F_S2_week7,,,plate2,Female,IAB+,S2,week_7,w7,S2_w7,Female_S2,Female_w7,,3795R_0_F_S2_week7,plate2,Plate2_3795R_0_F_S2_week7_S45_L001
plate2_3795R_0_F_S2_week9_S46_L0,plate2_3795r_0_f_s2_week9_s46_l0,3795r_0_f_s2_week9_s46_l0,3795R_0_F_S2_week9,Plate2_3795R_0_F_S2_week9_S46_L001,3795R_0_F_S2_week9,3795R_0_F_S2_week9,,,plate2,Female,IAB+,S2,week_9,w9w10,S2_w9w10,Female_S2,Female_w9w10,,3795R_0_F_S2_week9,plate2,Plate2_3795R_0_F_S2_week9_S46_L001
plate2_3861R_R_M_NS1_week9_S34_L,plate2_3861r_r_m_ns1_week9_s34_l,3861r_r_m_ns1_week9_s34_l,3861R_R_M_NS1_week9,Plate2_3861R_R_M_NS1_week9_S34_L001,3861R_R_M_NS1_week9,3861R_R_M_NS1_week9,,,plate2,Male,IAB-,NS1,week_9,w9w10,NS1_w9w10,Male_NS1,Male_w9w10,,3861R_R_M_NS1_week9,plate2,Plate2_3861R_R_M_NS1_week9_S34_L001
plate2_3909R_0_M_S2_week5_S61_L0,plate2_3909r_0_m_s2_week5_s61_l0,3909r_0_m_s2_week5_s61_l0,3909R_0_M_S2_week5,Plate2_3909R_0_M_S2_week5_S61_L001,3909R_0_M_S2_week5,3909R_0_M_S2_week5,,,plate2,Male,IAB+,S2,week_5,w5,S2_w5,Male_S2,Male_w5,,3909R_0_M_S2_week5,plate2,Plate2_3909R_0_M_S2_week5_S61_L001
plate2_3909R_0_M_S2_week6_S62_L0,plate2_3909r_0_m_s2_week6_s62_l0,3909r_0_m_s2_week6_s62_l0,3909R_0_M_S2_week6,Plate2_3909R_0_M_S2_week6_S62_L001,3909R_0_M_S2_week6,3909R_0_M_S2_week6,,,plate2,Male,IAB+,S2,week_6,w6,NS1_w6,Male_S2,Male_w6,,3909R_0_M_S2_week6,plate2,Plate2_3909R_0_M_S2_week6_S62_L001
plate2_3909R_0_M_S2_week7_S63_L0,plate2_3909r_0_m_s2_week7_s63_l0,3909r_0_m_s2_week7_s63_l0,3909R_0_M_S2_week7,Plate2_3909R_0_M_S2_week7_S63_L001,3909R_0_M_S2_week7,3909R_0_M_S2_week7,,,plate2,Male,IAB+,S2,week_7,w7,NS1_w7,Male_S2,Male_w7,,3909R_0_M_S2_week7,plate2,Plate2_3909R_0_M_S2_week7_S63_L001
plate2_3909R_0_M_S2_week9_S64_L0,plate2_3909r_0_m_s2_week9_s64_l0,3909r_0_m_s2_week9_s64_l0,3909R_0_M_S2_week9,Plate2_3909R_0_M_S2_week9_S64_L001,3909R_0_M_S2_week9,3909R_0_M_S2_week9,,,plate2,Male,IAB+,S2,week_9,w9w10,S2_w9w10,Male_S2,Male_w9w10,,3909R_0_M_S2_week9,plate2,Plate2_3909R_0_M_S2_week9_S64_L001
plate2_3918R_R_M_S2_week5_S65_L0,plate2_3918r_r_m_s2_week5_s65_l0,3918r_r_m_s2_week5_s65_l0,3918R_R_M_S2_week5,Plate2_3918R_R_M_S2_week5_S65_L001,3918R_R_M_S2_week5,3918R_R_M_S2_week5,,,plate2,Male,IAB+,S2,week_5,w5,S2_w5,Male_S2,Male_w5,,3918R_R_M_S2_week5,plate2,Plate2_3918R_R_M_S2_week5_S65_L001
plate2_3918R_R_M_S2_week6_S66_L0,plate2_3918r_r_m_s2_week6_s66_l0,3918r_r_m_s2_week6_s66_l0,3918R_R_M_S2_week6,Plate2_3918R_R_M_S2_week6_S66_L001,3918R_R_M_S2_week6,3918R_R_M_S2_week6,,,plate2,Male,IAB+,S2,week_6,w6,S2_w6,Male_S2,Male_w6,,3918R_R_M_S2_week6,plate2,Plate2_3918R_R_M_S2_week6_S66_L001
plate2_3918R_R_M_S2_week7_S67_L0,plate2_3918r_r_m_s2_week7_s67_l0,3918r_r_m_s2_week7_s67_l0,3918R_R_M_S2_week7,Plate2_3918R_R_M_S2_week7_S67_L001,3918R_R_M_S2_week7,3918R_R_M_S2_week7,,,plate2,Male,IAB+,S2,week_7,w7,S2_w7,Male_S2,Male_w7,,3918R_R_M_S2_week7,plate2,Plate2_3918R_R_M_S2_week7_S67_L001
plate2_3918R_R_M_S2_week9_S68_L0,plate2_3918r_r_m_s2_week9_s68_l0,3918r_r_m_s2_week9_s68_l0,3918R_R_M_S2_week9,Plate2_3918R_R_M_S2_week9_S68_L001,3918R_R_M_S2_week9,3918R_R_M_S2_week9,,,plate2,Male,IAB+,S2,week_9,w9w10,S2_w9w10,Male_S2,Male_w9w10,,3918R_R_M_S2_week9,plate2,Plate2_3918R_R_M_S2_week9_S68_L001
plate2_3924R_L_F_S5_week9_S72_L0,plate2_3924r_l_f_s5_week9_s72_l0,3924r_l_f_s5_week9_s72_l0,3924R_L_F_S5_week9,Plate2_3924R_L_F_S5_week9_S72_L001,3924R_L_F_S5_week9,3924R_L_F_S5_week9,,,plate2,Female,IAB+,S5,week_9,w9w10,S5_w9w10,Female_S5,Female_w9w10,,3924R_L_F_S5_week9,plate2,Plate2_3924R_L_F_S5_week9_S72_L001
plate2_3929R_0_F_S5_week9_S73_L0,plate2_3929r_0_f_s5_week9_s73_l0,3929r_0_f_s5_week9_s73_l0,3929R_0_F_S5_week9,Plate2_3929R_0_F_S5_week9_S73_L001,3929R_0_F_S5_week9,3929R_0_F_S5_week9,,,plate2,Female,IAB+,S5,week_9,w9w10,S5_w9w10,Female_S5,Female_w9w10,,3929R_0_F_S5_week9,plate2,Plate2_3929R_0_F_S5_week9_S73_L001
plate2_3969R_0_F_S2_week5_S47_L0,plate2_3969r_0_f_s2_week5_s47_l0,3969r_0_f_s2_week5_s47_l0,3969R_0_F_S2_week5,Plate2_3969R_0_F_S2_week5_S47_L001,3969R_0_F_S2_week5,3969R_0_F_S2_week5,,,plate2,Female,IAB+,S2,week_5,w5,S2_w5,Female_S2,Female_w5,,3969R_0_F_S2_week5,plate2,Plate2_3969R_0_F_S2_week5_S47_L001
plate2_3969R_0_F_S2_week6_S48_L0,plate2_3969r_0_f_s2_week6_s48_l0,3969r_0_f_s2_week6_s48_l0,3969R_0_F_S2_week6,Plate2_3969R_0_F_S2_week6_S48_L001,3969R_0_F_S2_week6,3969R_0_F_S2_week6,,,plate2,Female,IAB+,S2,week_6,w6,S2_w6,Female_S2,Female_w6,,3969R_0_F_S2_week6,plate2,Plate2_3969R_0_F_S2_week6_S48_L001
plate2_3969R_0_F_S2_week7_S49_L0,plate2_3969r_0_f_s2_week7_s49_l0,3969r_0_f_s2_week7_s49_l0,3969R_0_F_S2_week7,Plate2_3969R_0_F_S2_week7_S49_L001,3969R_0_F_S2_week7,3969R_0_F_S2_week7,,,plate2,Female,IAB+,S2,week_7,w7,S2_w7,Female_S2,Female_w7,,3969R_0_F_S2_week7,plate2,Plate2_3969R_0_F_S2_week7_S49_L001
plate2_3969R_0_F_S2_week9_S50_L0,plate2_3969r_0_f_s2_week9_s50_l0,3969r_0_f_s2_week9_s50_l0,3969R_0_F_S2_week9,Plate2_3969R_0_F_S2_week9_S50_L001,3969R_0_F_S2_week9,3969R_0_F_S2_week9,,,plate2,Female,IAB+,S2,week_9,w9w10,S2_w9w10,Female_S2,Female_w9w10,,3969R_0_F_S2_week9,plate2,Plate2_3969R_0_F_S2_week9_S50_L001
plate2_3971R_L_F_NS1_week5_S9_L0,plate2_3971r_l_f_ns1_week5_s9_l0,3971r_l_f_ns1_week5_s9_l0,3971R_L_F_NS1_week5,Plate2_3971R_L_F_NS1_week5_S9_L001,3971R_L_F_NS1_week5,3971R_L_F_NS1_week5,,,plate2,Female,IAB-,NS1,week_5,w5,NS1_w5,Female_NS1,Female_w5,,3971R_L_F_NS1_week5,plate2,Plate2_3971R_L_F_NS1_week5_S9_L001
plate2_3971R_L_F_NS1_week6_S10_L,plate2_3971r_l_f_ns1_week6_s10_l,3971r_l_f_ns1_week6_s10_l,3971R_L_F_NS1_week6,Plate2_3971R_L_F_NS1_week6_S10_L001,3971R_L_F_NS1_week6,3971R_L_F_NS1_week6,,,plate2,Female,IAB-,NS1,week_6,w6,NS1_w6,Female_NS1,Female_w6,,3971R_L_F_NS1_week6,plate2,Plate2_3971R_L_F_NS1_week6_S10_L001
plate2_3971R_L_F_NS1_week7_S11_L,plate2_3971r_l_f_ns1_week7_s11_l,3971r_l_f_ns1_week7_s11_l,3971R_L_F_NS1_week7,Plate2_3971R_L_F_NS1_week7_S11_L001,3971R_L_F_NS1_week7,3971R_L_F_NS1_week7,,,plate2,Female,IAB-,NS1,week_7,w7,NS1_w7,Female_NS1,Female_w7,,3971R_L_F_NS1_week7,plate2,Plate2_3971R_L_F_NS1_week7_S11_L001
plate2_3971R_L_F_NS1_week9_S12_L,plate2_3971r_l_f_ns1_week9_s12_l,3971r_l_f_ns1_week9_s12_l,3971R_L_F_NS1_week9,Plate2_3971R_L_F_NS1_week9_S12_L001,3971R_L_F_NS1_week9,3971R_L_F_NS1_week9,,,plate2,Female,IAB-,NS1,week_9,w9w10,NS1_w9w10,Female_NS1,Female_w9w10,,3971R_L_F_NS1_week9,plate2,Plate2_3971R_L_F_NS1_week9_S12_L001
plate2_3975R_0_F_NS1_week9_S13_L,plate2_3975r_0_f_ns1_week9_s13_l,3975r_0_f_ns1_week9_s13_l,3975R_0_F_NS1_week9,Plate2_3975R_0_F_NS1_week9_S13_L001,3975R_0_F_NS1_week9,3975R_0_F_NS1_week9,,,plate2,Female,IAB-,NS1,week_9,w9w10,NS1_w9w10,Female_NS1,Female_w9w10,,3975R_0_F_NS1_week9,plate2,Plate2_3975R_0_F_NS1_week9_S13_L001
